V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_A01_02,1365.9558,106.4257,312.9059,25.4012,0.3828,10629.1612,231.3435,177.3758,54.1541,4.8437,113.9662,22.1888,59.6962,20.907,22.6032,6.1587,0.09,2.0673,2.8949,0.4902,19.4851,25.9116,133.5015,31.6021,182.2325,123.3776,3.8224,0.4588,0.6307,0.6848,0.6958,1403.1469,10.9432,0.119,1.5808,16.5768,6.4179,3.3362,8.9908,106.8972,33.4144,37.1108,9.9317,8.5516,0.0
COL_A03,7.8808,1.632,24.3566,1.9088,0.0296,39.4771,50.3405,0.1297,1.5793,0.3179,25.3584,9.8068,1.404,1.5842,1.3368,0.34,0.0043,0.1114,0.2107,0.009,1.5232,0.3969,10.3042,2.3345,0.1035,4.8486,0.2487,0.0346,0.04,0.0317,0.051,22.923,0.0516,0.0,0.112,1.111,0.3147,0.0817,0.6583,54.7387,3.7565,5.4674,2.7739,3.7539,0.0
COL_B05_06,451.2165,25.2077,1406.6701,112.0621,2.6112,317.2902,47.9321,8.221,95.3537,2697.3096,77.3238,1.7527,80.7723,108.7386,88.2155,21.112,0.2488,6.4023,12.1902,0.5292,87.1355,23.2728,1963.646,133.6951,19.4487,279.7727,20.0797,1.9935,3.0626,2.664,3.008,35.9838,2.9883,0.0079,6.4064,63.6453,18.4492,5.3124,37.7248,164.0268,60.4105,33.2258,22.6802,19.3483,0.0
COL_B07_08,36.5435,0.7995,33.6221,19.39,0.0295,14.6556,1.6689,0.1277,2.8987,13.7015,64.5249,2.8463,2.2744,220.7277,1627.0573,211.7914,0.0337,0.7383,0.4387,1.5128,2.6454,21.9846,10.2446,2.3603,839.5917,4.8448,0.6574,0.0341,0.0402,0.04,0.0511,7.9194,0.0567,0.0005,0.1102,1.1232,0.5201,0.119,0.6683,3.2704,1.1431,0.6025,0.4148,0.3502,0.0
COL_B09,12.3652,0.6882,38.0187,3.0213,0.0461,8.2323,1.125,0.2023,2.467,0.5293,2.086,0.0495,2.1923,3.0009,2.096,0.5326,0.0068,0.1742,0.3289,0.0141,2.376,0.636,16.0738,3.6417,2.2506,7.5635,0.388,0.054,0.0624,0.0495,0.0796,0.5985,0.0805,0.0,0.1747,1.7331,0.4908,0.1275,1.0269,4.4545,1.641,0.9045,0.6162,0.5256,0.0
COL_C10T12,1614.9973,52.6004,7.2554,2.3309,0.216,4182.9326,15.7762,6.8937,29.4584,4.7684,266.3207,45.009,4.8054,22.0106,15.3794,2.9572,0.074,1.4116,1.1402,0.0845,0.0995,7.6078,169.5879,4.5831,57.9399,40.8653,4.6092,0.0869,1.5915,0.5012,0.1976,3763.4516,0.4352,1.4939,3.3107,10.4548,0.6848,15.7235,10.0183,25.5133,45.4726,71.8922,3.5652,5.2457,0.0
COL_C13T15,59.6918,0.5426,23.4698,2.1479,0.4551,29.2416,1108.4224,0.9199,97.66,3.5973,16.5953,3.1504,13.0609,4.6546,13.2803,7.0727,0.1685,2.4412,1.0872,2.0851,0.0286,79.8765,40.2903,9.4332,145.7345,79.1624,23.2623,0.1823,3.4089,13.9137,2.1798,114.9867,6.7257,9.8734,5.7778,7.1181,1.6915,14.533,32.0208,38.4874,55.6862,30.3168,8.6179,15.0791,0.0
COL_C16,55.7376,0.2349,5.0735,12.3305,0.0005,4.3493,16.7487,128.7283,2.0815,0.6077,2.8382,0.3341,5.2612,5.6307,5.9871,5.1495,0.3838,8.1929,1.4569,0.188,0.0031,160.1323,8.416,0.162,407.4895,83.1618,0.6289,0.2335,0.4071,1.9206,0.2314,3.4451,0.5203,0.6525,0.2635,0.7245,0.0575,15.9338,0.0031,8.4863,3.5838,3.279,2.762,5.5487,0.0
COL_C17_18,112.971,1.6589,9.1485,5.3485,0.096,252.1315,80.8135,19.1662,838.7073,7.0003,126.9349,32.1399,39.2716,10.3487,8.5696,4.0154,1.0024,14.6651,4.827,0.3934,0.0044,20.8566,159.9999,4.5702,22.6058,172.9076,11.7932,0.1876,1.9355,5.7037,3.794,50.3118,70.6401,90.1328,35.3164,42.6811,7.9112,71.1779,153.6626,547.5032,201.1628,42.794,20.0136,17.4746,0.0
COL_C19,318.9625,5.8234,776.6549,28.5641,0.8609,82.6105,28.286,4.3709,23.766,5929.4118,88.0807,4.6212,10.8969,462.2661,13.9705,3.7529,0.448,10.501,0.644,0.8531,0.0737,21.1735,267.4149,48.5675,305.8573,328.7489,2049.4275,20.0875,334.387,55.7084,18.1772,31.7429,5.6231,20.2714,6.0536,29.503,3.5826,46.0641,24.5748,224.8272,4.5719,42.3552,5.6592,8.3349,0.0
