V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_C23,7.822,2.7358,1.7249,7.7928,3.7413,60.5542,110.6151,1.3468,24.2895,22.0262,173.0071,39.9807,17.1785,1213.2796,455.0704,67.4278,2242.4373,38.818,63.0342,74.3212,18.5169,20.3862,54.4668,49.0022,3869.1591,51.7359,3.7878,5.3102,1.8046,4.6114,3.0193,47.5962,4.4465,1.4313,2.22,12.0583,5.173,20.3864,9.3418,81.4695,40.5628,25.7437,4.7801,16.1359,0.0
TWN_C24,14.2841,12.4538,11.0074,7.4941,2.7985,47.0838,35.9306,2.6353,52.4753,315.7143,670.5855,5.4471,159.5904,145.7619,14366.2225,5613.74,994.4735,920.2417,3670.4084,702.3151,446.3383,299.0195,142.5373,26.8335,2827.0358,130.7593,42.178,11.421,50.1942,11.6568,2.1865,27.5047,5.7432,2.71,4.0286,10.8047,10.5843,23.5472,13.3925,37.9822,17.7593,20.0835,4.9158,32.9936,0.0
TWN_C25,38.4988,3.5867,2.2894,12.9924,8.4516,187.88,53.2627,17.3223,40.467,78.7065,164.0027,13.4111,211.013,76.8672,475.0608,1882.4297,828.909,267.2901,1363.0024,295.1856,157.3912,194.3357,21.7293,21.6328,2098.1466,136.7047,9.6369,3.6037,6.4701,6.5324,1.7935,80.6681,10.7315,3.1724,7.6676,12.3864,11.7039,50.665,17.8255,844.2388,41.6775,55.1181,8.6791,53.4962,0.0
TWN_C26,374.3207,60.4334,4.2876,8.7219,4.3091,946.4017,298.6245,45.5035,207.6158,275.5174,1084.5201,116.1931,218.8979,160.4592,921.6907,439.5024,32606.0366,690.3456,1157.53,208.2712,262.1308,185.4658,169.2666,201.4082,960.873,341.8829,34.6532,15.5558,41.5152,11.2597,2.7543,435.9177,209.4194,151.0889,277.018,90.5058,39.0532,426.529,102.4139,316.6188,249.9109,674.4251,72.1203,74.1926,0.0
TWN_C27,17.2176,3.4881,1.6338,4.3465,2.6594,43.9174,19.5146,2.3122,11.5019,44.3101,71.5424,5.9137,25.6439,28.7087,80.2088,77.4529,892.1478,2141.8663,1172.839,187.7398,104.2534,108.7063,65.6556,13.8894,1619.0016,109.4556,11.2635,10.6942,18.6138,9.8941,1.1711,26.2492,19.3987,62.7857,20.1512,11.3813,20.8942,69.6554,44.4309,105.7238,131.9882,50.6534,7.3179,53.8737,0.0
TWN_C28,29.2161,6.3504,4.9884,27.5032,16.1382,55.2794,23.7302,3.6599,21.5873,106.9155,126.8801,5.3972,48.3102,65.7453,127.1061,158.1755,517.5608,218.4362,1730.0848,109.2512,108.4461,337.3969,39.8181,53.4808,613.4437,57.4231,6.3138,3.9116,7.1861,5.7594,1.495,25.3506,8.6286,4.7473,3.9549,18.6468,22.3906,15.017,22.5244,63.6143,28.8663,47.1712,6.2501,20.9892,0.0
TWN_C29,9.8568,1.589,0.5159,0.4724,0.2621,26.914,11.2282,1.3271,5.4637,21.9952,26.3128,2.9423,7.9168,6.6965,27.8419,56.6364,110.5557,29.594,57.0339,2868.3052,91.5747,6.8954,4.9473,1.3975,51.2954,190.0301,45.1736,2.1969,3.5799,3.3244,0.5007,12.59,2.9149,1.4631,2.1819,3.9172,2.2059,9.917,22.9058,88.4452,6.7439,15.6718,1.7691,332.3361,0.0
TWN_C30,2.5349,29.6329,0.2806,0.3264,0.1932,6.1459,3.5665,0.3354,2.4757,5.8333,13.926,0.7273,3.0406,4.1334,22.8278,7.1684,59.9764,5.9664,14.3971,137.5025,1986.3406,200.5349,3.1586,4.4523,9.7863,102.1531,12.1564,14.2621,54.948,9.4699,0.6714,3.6122,1.2804,0.6591,1.271,2.8328,1.976,2.9384,3.941,11.8945,3.4778,45.5939,3.026,89.5555,0.0
TWN_C31T33,9.9964,26.4178,4.6371,3.8547,2.9637,29.935,33.5562,2.3403,34.7806,85.5789,191.6761,6.668,41.7621,50.5252,384.9982,56.8424,796.4414,26.816,99.6072,32.3363,51.5026,291.1852,120.1211,90.3932,82.3161,89.2373,188.7564,64.8985,839.5674,64.7833,13.1372,23.1944,11.9573,2.6323,8.9929,38.7545,6.773,17.5527,29.7078,123.3583,47.0782,171.1082,60.418,25.6667,0.0
TWN_D,36.0334,40.5419,4.4137,19.767,9.8076,201.5692,427.9611,19.1088,336.5563,2017.6325,2523.1401,29.6391,354.3368,694.3775,1314.858,452.3755,2657.4966,107.9115,182.459,116.221,60.4543,77.9957,2693.6195,114.4676,119.2304,1539.1975,130.2966,5.3279,32.8485,46.3515,9.2643,463.1817,33.4134,95.7545,21.9382,113.6726,179.591,93.9548,43.6884,207.7324,337.6157,283.9923,98.8038,210.7588,0.0
TWN_E,10.6107,1.1191,0.4472,2.1656,1.1846,58.5643,34.4331,2.695,344.0704,31.0803,158.5485,3.4255,33.4118,83.485,2061.7897,49.949,135.0734,6.0907,14.4427,10.8893,7.1345,8.6904,30.0401,1128.291,29.8847,87.5423,4.1561,0.8577,8.6955,3.3445,1.4648,74.1352,4.2911,3.5596,5.8852,37.2927,17.6964,56.1027,12.6063,1061.9925,249.4776,77.526,36.5499,37.3141,0.0
TWN_F,35.3057,24.4273,4.2419,22.8117,11.4844,63.3052,71.1801,6.0336,46.8464,199.2821,312.959,12.0444,59.9204,87.8464,265.9522,118.0344,523.1448,39.7934,110.7957,11.7868,28.9075,59.6591,52.9933,89.2167,88.4935,900.1681,156.9976,4.4698,9.3799,67.3043,4.4231,97.9111,104.1188,212.406,17.1766,87.5726,2309.9178,80.0015,47.0135,313.7346,158.4099,132.4859,36.4977,57.1349,0.0
TWN_G,1721.5958,286.119,8.228,43.5962,19.005,4079.7328,1269.9027,124.2471,786.7957,989.4081,3243.3927,405.4595,755.798,565.3176,2615.6535,1477.7024,5813.031,1001.17,1619.731,1574.0909,575.4157,423.6656,592.7125,132.0676,2627.926,3033.4203,2178.8771,65.0405,150.1747,92.967,86.1053,2376.5602,536.5926,51.8518,124.7374,364.3993,223.5605,582.5224,213.5704,628.5857,325.5862,1646.8021,238.632,439.0619,0.0
TWN_H49,48.8083,30.7911,5.3721,33.0537,15.1586,139.4932,81.7543,15.1776,51.9934,168.4498,289.2892,19.773,57.0754,174.6117,267.222,144.8544,646.131,76.5582,217.0931,84.9732,38.0059,56.2302,140.9137,91.6468,394.9796,774.1019,128.5938,307.2452,55.8189,203.2461,158.0061,88.5939,41.3146,24.2147,67.8726,248.0124,69.2076,136.7255,60.0945,161.0616,113.2084,205.4001,14.3416,101.4285,0.0
TWN_H50,1.2238,10.0935,3.8789,15.6559,7.7658,6.597,4.6963,0.4567,2.0526,37.243,27.5728,0.5489,4.2703,23.9765,20.0039,8.9377,62.1716,5.0303,25.128,3.787,4.8506,2.2077,13.019,0.4952,20.7002,460.6805,19.7268,2432.3592,30.6629,116.0265,7.2779,2.7787,11.1384,3.8075,1.0242,2.3273,0.9043,2.6693,15.2649,26.8701,12.2001,2.478,8.4823,9.3311,0.0
TWN_H51,13.5634,2.2086,2.7676,2.4176,1.6289,35.713,20.1396,3.2506,12.466,90.7058,87.833,3.9939,15.558,19.8754,72.8159,30.8826,194.8846,21.2426,51.466,17.7619,12.0637,14.978,42.6082,1.8517,59.1471,98.551,9.4646,5.3056,55.4638,9.1649,161.2623,18.5401,8.0612,3.6509,5.473,15.4371,3.5815,23.6531,13.0938,47.3428,26.5215,21.8624,2.8821,17.4888,0.0
TWN_H52,1.7433,10.6235,7.3935,11.8374,5.5938,31.93,43.4649,3.8466,18.128,32.0463,146.2617,3.7547,55.276,28.9338,93.3066,83.3032,296.192,44.2102,97.8113,33.1434,12.8777,12.9733,4.0795,1.8491,28.1027,798.0064,57.9415,758.123,489.9969,139.1479,9.232,18.4885,13.0844,17.1019,5.5842,21.4486,11.9728,7.7804,11.7866,34.8142,3.7242,8.9058,12.8023,12.2931,0.0
TWN_H53,0.5718,9.3022,0.6533,5.5358,3.8922,9.3999,23.5622,1.7258,8.7371,7.5496,22.4569,3.7,22.4169,6.0664,19.2651,33.6746,181.4178,13.2538,36.3676,9.9747,4.0277,11.4744,2.3822,11.0732,21.704,340.3237,11.948,3.7123,4.4098,35.2904,164.342,38.5847,11.268,76.8845,9.2798,173.4642,33.1413,56.3717,27.2731,163.3647,29.1845,22.3197,3.1048,33.2732,0.0
TWN_I,12.1482,1.8008,0.4806,1.3798,2.209,52.761,134.8469,3.2407,22.7111,30.5517,149.8806,108.2427,215.715,40.4093,59.5146,91.5614,908.325,77.8171,167.3327,31.3063,26.1117,54.8845,6.4053,87.1061,94.2732,1920.5018,23.207,11.9076,314.0957,37.9235,3.8633,49.2132,65.3382,29.0027,39.6691,167.9689,76.4653,166.4043,37.9141,698.7672,250.5266,114.632,51.9866,410.4146,0.0
TWN_J58T60,3.8315,1.1321,1.0927,2.0056,1.3233,99.2993,37.8444,2.6276,17.2038,8.0084,62.9808,20.0511,32.0505,10.38,16.375,28.1964,219.1852,21.9816,35.3047,13.8096,18.9101,18.3383,18.1617,3.5305,65.1445,519.8473,18.0683,6.7336,22.8913,13.6968,4.9018,66.6173,1380.8623,95.0439,175.9932,162.7854,116.8351,979.022,153.8357,170.976,219.2889,55.3648,180.2041,162.7186,0.0
TWN_J61,10.8626,4.2281,0.7509,3.5575,3.2391,38.145,55.9081,6.1927,40.774,38.1507,63.93,6.6692,41.899,31.4638,27.3046,76.6582,354.3475,25.3141,70.8546,13.2848,12.8137,23.1708,10.8296,11.4364,138.4797,915.5588,37.0266,5.1272,25.9982,31.3522,8.8047,128.4645,63.2772,1721.423,246.0503,264.6597,78.4166,160.6899,126.7011,678.6383,88.5215,201.6022,43.2322,159.9141,0.0
TWN_J62_63,3.4914,0.6353,0.2379,0.3393,0.1841,19.5941,23.7315,1.7902,10.6053,12.8387,47.9938,3.9435,15.9539,8.625,16.671,12.8079,235.5985,12.0356,17.2389,7.629,8.5128,9.0365,8.7776,6.3802,27.4397,589.7856,8.3968,7.8586,32.4657,12.6364,1.7301,110.5727,23.089,26.3384,235.1172,195.3102,115.4479,56.5758,55.1679,148.1727,32.1459,34.4977,16.8692,8.6245,0.0
TWN_K,92.202,24.0793,3.4657,14.7033,7.2737,219.6685,339.0647,27.1,224.2258,323.5115,788.0369,43.182,363.5192,212.8069,807.8196,537.6156,3527.8709,320.0367,410.3086,176.0085,105.1323,89.9926,261.5017,101.9855,395.2455,2225.4806,131.7055,69.7837,152.3185,84.926,21.9226,307.7974,78.627,103.3926,91.1397,8092.6605,3987.5527,191.7807,145.143,1035.3356,166.9813,266.8035,102.3762,220.9514,0.0
TWN_L,1.1261,6.4631,0.283,1.8281,1.3359,29.8486,85.5586,1.7638,23.801,19.4368,54.0357,6.5331,32.4148,29.0682,17.2581,61.3305,597.23,46.7763,113.0963,22.7248,7.3444,21.7397,5.3459,19.7967,106.7922,3212.8012,85.1272,19.2429,34.3808,102.5332,13.1506,281.1134,40.5677,55.8353,48.9233,563.5565,344.2842,167.7646,103.2382,41.045,44.2645,199.1879,194.5579,275.5754,0.0
TWN_M,41.7157,2.1217,4.3879,7.2219,6.2229,389.0038,146.2894,9.9201,82.4522,129.3055,329.7295,90.3756,181.6567,83.5802,121.6209,136.7448,1075.2031,107.5332,156.4794,89.0032,100.885,58.6761,114.5476,51.9965,1002.0445,2211.7809,49.6865,6.1492,50.6953,61.7095,16.6578,201.6976,227.3573,310.2521,67.4683,889.3004,1182.0922,482.1075,138.4066,99.3724,80.4922,143.6703,55.8763,184.0705,0.0
TWN_N,3.379,0.9396,8.7838,7.9008,7.4968,60.0615,95.3411,2.3491,34.8311,139.7447,272.6007,10.1798,52.1225,230.3906,173.1998,205.7339,1808.3439,69.7667,185.4374,47.9199,53.0591,73.8331,105.9225,60.2084,193.7743,1488.8092,191.4629,62.2515,296.6826,147.5901,46.766,138.1663,45.9948,142.0746,62.507,363.6407,107.8745,178.8532,181.8362,467.4578,236.5724,155.8016,52.9569,46.4054,0.0
TWN_O,40.2539,0.0273,0.5046,3.7764,2.1723,67.291,45.0957,8.5971,35.9212,75.5379,103.6616,12.3693,55.2261,38.7905,95.7686,121.7954,359.0761,44.3331,124.7784,39.6208,14.0085,26.6071,161.5133,48.58,222.7514,758.2478,141.8182,11.0078,8.1176,39.2839,4.7734,29.1616,39.1435,87.9481,20.1824,427.0081,324.5942,45.3438,57.3742,1.7766,72.8052,52.9343,51.5711,40.2692,0.0
TWN_P,9.473,0.8671,0.3261,0.187,0.1009,13.4458,10.8694,0.9657,4.4027,5.2578,22.2045,3.0371,5.2634,8.7405,29.3255,27.3645,124.9856,15.6772,9.6721,5.2841,4.7853,7.2569,15.6989,13.393,39.5086,114.826,5.8922,4.5029,13.3677,4.5608,0.9035,22.5471,10.0201,29.486,40.8926,48.0098,24.9699,131.0444,15.0998,308.4524,37.1395,19.1718,4.7176,3.7379,0.0
TWN_Q,85.3579,14.8434,0.1425,0.822,0.3734,183.3844,51.2582,1.1792,19.658,16.4056,89.8454,15.2631,15.9085,9.1344,13.085,9.5285,127.1274,29.1053,22.4791,6.1995,9.4819,11.2866,16.2458,2.6895,41.9135,57.8226,4.9982,1.4116,6.5146,1.9388,0.5105,119.757,29.8082,2.5451,8.2706,10.5396,5.8806,33.0271,7.183,49.9239,12.9771,55.2885,12.611,10.037,0.0
TWN_R,0.0619,0.0,0.0066,0.0601,0.0667,8.6936,10.2815,0.4064,5.1362,3.7044,11.792,1.8124,6.9354,3.5761,5.8068,15.2572,45.9235,6.9054,17.4218,4.0835,3.2216,20.3198,1.705,1.6816,16.449,401.0026,2.2604,0.6453,0.7204,4.4451,0.1903,4.9641,251.1574,0.0333,1.3061,44.8249,59.4818,253.8847,14.0956,115.2659,11.9666,4.5021,148.1059,190.8867,0.0
TWN_S,3.1845,2.4751,0.4923,2.8195,1.8386,30.086,37.7201,3.4188,27.2426,46.2021,55.9578,4.8675,29.0818,15.4945,66.1467,91.6459,219.2485,13.3131,58.0231,24.1654,12.6004,46.7656,37.7898,21.8679,151.0108,341.8988,148.287,0.9512,5.8116,25.0586,2.2453,61.7616,17.8226,83.0769,7.6884,228.8142,61.9999,43.7227,24.7198,202.8344,21.8305,87.5344,21.6697,192.9374,0.0
TWN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
