V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_A01_02,7021.345,22.3506,3.6788,3.1605,0.0,29534.1193,1544.6489,113.8678,98.7946,6.3076,62.5578,17.8078,24.7911,3.1444,0.4371,2.8404,0.2491,0.2198,1.7873,4.9964,0.0692,5.2938,6.5722,3.1145,143.8111,67.5935,23.6131,0.0733,0.5258,8.423,0.3175,2019.7304,2.1624,14.0184,1.0518,3.9801,44.1738,41.7477,70.2044,163.226,40.302,25.9798,4.9873,34.6594,0.0
ARG_A03,7.976,72.6433,0.0408,0.0007,0.0064,612.4146,0.045,0.002,0.1803,0.2672,2.6328,1.0672,0.018,0.0206,0.0178,0.0407,0.0282,0.005,0.0303,0.0253,0.0028,0.1115,0.0085,0.0025,0.0173,0.3663,1.4573,0.0083,0.4025,0.2538,0.0126,396.4272,0.0913,0.0142,0.0061,0.0204,0.003,0.1492,0.458,2.3198,1.528,2.5565,0.1269,2.0316,0.0
ARG_B05_06,5.3907,0.1209,360.9753,10.07,42.5685,15.8616,2.526,0.7495,1.7184,10825.5522,208.9724,179.3714,2.8052,30.2512,64.9915,4.5783,2.2819,1.5004,3.588,4.8674,0.1977,13.0273,1896.1531,10.0352,427.4482,70.0666,75.1564,0.2577,2.6602,25.9909,1.0624,24.3634,2.9347,48.0068,5.1771,41.7858,134.5083,23.6556,69.5855,87.6015,43.9133,41.2266,2.5885,18.4202,0.0
ARG_B07_08,0.9832,0.2743,76.6361,511.8613,0.0224,111.9267,10.5371,0.052,8.3223,139.5662,80.2987,107.1606,1.361,676.0429,915.8146,25.2286,0.6869,0.5705,1.4613,21.1766,0.229,2.1518,0.011,5.7879,783.3724,0.3661,0.0928,0.0014,0.1285,0.1266,0.0,13.7367,0.2646,13.3257,0.3333,0.1289,56.4466,0.9136,39.0725,27.8435,0.6649,0.4626,0.3354,1.1895,0.0
ARG_B09,0.0,0.0,4252.0885,86.9235,156.7731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696,0.0,33.1434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.9236,65.4473,0.0,0.0,0.0,0.0,0.0,0.0
ARG_C10T12,2403.4577,24.2686,18.2701,12.7352,5.0305,10880.9506,97.1496,10.055,112.3381,40.1087,271.0612,231.4223,59.6949,91.025,68.9837,32.0488,36.1689,20.4225,35.2637,65.6936,1.8982,33.1079,7.3123,17.0831,177.8633,178.683,35.4992,0.2513,48.0688,22.3521,1.3658,8361.6887,27.653,92.7857,28.8023,49.1101,22.5486,77.6002,139.4189,905.4531,437.5818,666.0857,156.7775,273.3648,0.0
ARG_C13T15,214.6091,12.9925,71.3229,1.9535,28.7494,417.523,3205.0531,10.0122,75.507,16.044,34.7537,73.2966,362.2928,24.8597,13.0828,20.6004,18.6801,12.6243,36.4361,79.0057,2.0717,128.1227,4.6026,45.9641,62.1451,333.0558,41.5,0.3214,21.105,86.4164,5.9173,269.4625,17.6784,44.0977,8.5163,28.1743,57.2244,80.9211,95.7411,371.7396,126.8189,231.0141,32.321,251.2067,0.0
ARG_C16,58.8828,0.5509,0.9227,0.3933,0.2123,113.469,8.1052,380.8008,25.1184,3.0272,11.5366,7.6516,15.4679,17.2553,2.5957,28.7438,8.6099,13.1207,11.8546,11.7088,0.6174,376.5944,0.4023,71.4954,574.7029,664.4334,1.9914,0.0094,0.7535,7.432,0.1087,36.5728,5.0486,5.1403,1.0506,1.7807,45.1138,6.5645,32.5719,16.2201,3.1363,3.0243,5.6729,5.0033,0.0
ARG_C17_18,15.8653,14.709,3.371,58.8679,13.9659,1031.0109,75.6337,49.2813,2184.496,7.8351,125.8287,188.0565,53.795,141.0418,9.6433,43.045,89.5235,48.1007,27.4354,27.9848,3.1599,58.9389,7.1261,13.3995,27.8159,599.8966,32.7358,0.4879,24.9461,8.4428,31.0875,123.9624,605.1143,34.4047,109.98,522.9421,47.4205,466.1471,134.1978,309.7546,255.4438,127.5426,40.3092,190.24,0.0
ARG_C19,1126.0159,74.6247,18.7077,136.2656,46.1514,268.9061,47.0427,35.1397,49.6505,997.2595,660.8881,107.4734,235.9539,143.1594,109.0932,46.7148,16.9201,37.0697,28.4283,31.7013,3.1091,35.3161,223.0457,151.9429,259.3661,851.4663,3353.9048,6.3029,728.9536,426.2775,13.7524,36.7811,10.8563,20.5009,13.1695,99.6527,17.8892,87.753,111.4786,586.8649,31.4134,72.1442,15.8361,32.4644,0.0
ARG_C20,950.1894,5.9063,10.4928,68.6343,11.0249,355.9866,243.8715,48.0628,264.9826,186.7959,1386.0451,394.8415,1877.9276,98.914,59.6354,93.0334,137.1357,131.7653,64.8371,106.5415,5.7957,101.183,9.3262,30.3171,248.2501,126.0767,91.4749,0.9072,17.9433,15.1418,0.7666,70.3679,30.6049,32.8401,10.8822,22.6701,139.3527,65.8565,86.0816,78.9642,26.0051,267.4671,21.2626,152.5427,0.0
ARG_C21,275.6227,2.0873,10.9411,6.653,2.827,574.7244,57.0096,15.4387,42.5264,57.251,117.7723,3437.6047,106.8819,23.8055,19.3635,21.6831,55.1711,24.1179,48.2332,75.1738,1.7338,21.4845,9.781,7.6089,131.7086,134.0056,33.81,0.1864,8.2316,11.4495,1.5781,85.2186,25.0753,124.7529,32.0236,57.8299,26.9133,86.5814,31.2706,46.8756,50.9792,2253.1511,42.665,310.5205,0.0
ARG_C22,243.3817,18.6473,57.5009,10.3635,106.5562,1917.4911,510.4547,22.6257,336.9248,37.4852,780.9228,364.5465,583.8641,75.4632,16.2483,84.5452,136.2669,192.103,408.1453,689.9066,20.4361,251.6849,3.701,62.3053,442.7318,881.6027,693.6281,0.2315,94.9586,270.1425,4.5585,464.9457,25.708,18.6977,19.7301,47.4454,54.3452,94.41,69.2983,253.3298,32.9519,107.5527,28.0895,72.0918,0.0
ARG_C23,29.8489,0.2843,63.0306,2.9475,5.8381,486.5003,6.9775,11.2705,7.445,6.4829,70.5673,75.9622,42.4687,693.3509,26.0445,38.0236,50.1151,53.8916,49.9893,135.2458,0.9107,16.5734,28.3694,46.2445,4520.4321,162.1125,13.4246,0.7496,80.0036,3.7478,0.1783,14.2917,6.9025,8.6949,2.7256,5.5512,354.4908,10.935,349.1382,38.357,17.9271,65.0007,6.1807,22.0318,0.0
ARG_C24,45.574,2.891,105.1708,16.9073,0.3128,235.6861,16.3869,23.9144,86.2365,22.5688,97.0278,28.5704,169.6366,103.2515,3721.7548,1458.1634,167.1388,1928.7759,794.0313,847.1531,17.183,162.5769,4.2445,3.9653,788.7583,22.2024,10.0722,0.0518,5.4284,13.6703,3.509,6.9927,10.8786,12.2172,3.1581,2.2485,91.5569,8.6983,76.6381,32.2095,4.6218,13.6953,7.2516,9.6249,0.0
