V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_C25,9.3656,0.9601,0.3754,7.29,3.4567,114.0554,8.9762,19.3922,6.269,44.4745,23.3099,3.1717,11.3145,7.7672,23.2888,45.2405,455.4023,186.2221,84.3245,26.6318,27.4067,20.6961,2.1825,4.3091,475.8175,61.006,52.9211,19.8309,43.2566,18.9399,0.6048,32.9943,2.8093,32.8016,3.8521,30.5955,49.9162,14.9689,17.2689,10.2945,1.9753,6.6276,4.9544,15.3765,0
PHL_C26,42.1785,10.2788,1.5885,8.0216,3.9571,223.7892,34.5806,7.9433,10.6861,24.3765,220.0041,7.8322,20.0186,6.6305,27.1543,24.6135,2867.8606,492.7272,61.5167,244.006,251.1375,79.3006,83.5116,27.791,670.9107,837.7881,163.1715,71.2168,143.6454,65.6473,16.7891,217.4488,100.5237,390.5181,36.6618,277.2645,171.1845,119.8537,393.1508,20.927,20.3475,48.9941,38.6374,350.7749,0
PHL_C27,15.5699,3.1323,1.3517,5.9958,1.4223,95.5644,20.6638,3.9697,7.4651,11.1686,20.5033,2.3979,9.1335,7.4725,22.1679,10.7201,490.1341,306.3773,18.1267,150.4691,82.4859,18.9346,76.124,15.8223,242.577,224.8409,112.0596,49.7848,107.1315,44.5358,3.5235,93.3589,11.1238,137.2366,13.2052,104.8387,65.046,35.8318,63.4379,12.6661,17.506,15.8258,8.657,43.4194,0
PHL_C28,4.3,0.7358,1.135,15.5753,2.695,23.5152,3.4363,1.1304,1.8762,3.7134,4.4328,0.8015,5.2354,1.4555,6.053,2.702,68.0303,11.2515,11.7373,5.2053,2.7412,7.0591,6.3217,2.5873,33.7452,53.2193,6.5668,7.6762,3.4291,3.278,0.4628,6.7131,1.1063,6.6615,1.3433,9.5381,8.762,2.8702,9.5929,2.4202,2.8597,2.8357,2.8712,5.6117,0
PHL_C29,7.9883,1.5713,0.794,2.1067,0.49,52.891,8.3965,2.1645,4.0833,5.8285,8.2881,1.3315,2.6964,5.3411,15.7781,6.4506,88.14,9.827,5.1822,10.0493,15.6719,8.4855,20.5671,4.7826,33.6767,349.5228,12.523,4.9968,3.4522,30.2448,0.9757,16.3095,1.6821,12.6709,3.859,22.6012,14.78,6.4452,20.6025,7.7051,14.6585,9.7826,3.6013,10.5228,0
PHL_C30,2.759,0.519,0.3812,0.7375,0.0982,20.399,3.0137,0.7419,1.4986,2.0325,3.3343,0.5898,1.0608,2.2075,4.1457,1.6621,43.5093,3.6829,1.7659,3.3288,33.5179,3.6884,8.9055,2.0712,11.9216,215.184,5.7704,7.0649,1.5682,15.4986,0.423,7.0717,0.7602,5.9372,1.6386,8.9832,11.226,6.6605,8.8177,2.9375,6.3705,4.4596,2.0367,5.6977,0
PHL_C31T33,10.8884,1.7483,6.2406,1.7057,2.2523,71.35,28.5953,45.1557,16.3452,34.5998,50.5931,21.8055,10.5145,8.7797,22.4773,18.8812,599.0306,45.1244,110.5259,13.9338,46.9896,173.8582,14.4951,4.8582,193.7525,265.4905,50.9682,21.6821,49.1339,26.2995,1.6261,41.4887,5.1913,47.9095,6.4103,67.6594,52.5917,15.2516,37.9145,16.5127,10.0438,12.4306,14.5317,28.2424,0
PHL_D,178.0816,38.1047,22.0285,26.2779,4.328,1179.2567,156.5653,31.4832,93.7066,155.6187,108.8878,16.6952,48.3918,127.4486,243.7546,59.4955,274.9894,41.8839,23.8844,66.7881,16.8689,76.141,659.3055,69.3415,251.7266,856.6907,220.9727,38.3178,40.7755,48.3937,8.9996,306.5904,20.0599,188.9141,61.784,275.493,173.1763,70.9455,203.6044,90.088,151.3412,152.8095,44.3339,89.4935,0
PHL_E,34.1193,5.4119,0.6035,3.1777,1.1514,264.5516,21.3812,4.4264,12.8484,15.355,14.9645,3.0894,6.3767,16.0966,23.4945,7.7987,31.7922,4.7905,3.2004,9.24,2.1848,10.4697,137.1649,22.742,43.4779,71.276,17.2388,6.0448,5.9739,6.9223,1.9536,92.8982,2.6018,16.9956,6.1373,38.6538,28.6498,9.7668,21.0517,15.981,16.6477,60.3788,5.7468,11.6576,0
PHL_F,20.0789,3.2895,13.5594,71.4242,5.072,592.6337,69.4012,12.4904,22.8674,32.731,55.6323,38.8261,15.4461,55.6452,44.5039,23.1084,156.993,31.373,17.5823,28.4968,12.0584,35.6059,87.0831,25.5143,150.503,343.9054,69.2063,90.015,91.395,65.5578,3.1174,102.9551,109.6661,27.7516,52.4618,132.124,175.9864,159.13,84.0699,11.8188,63.2501,51.2321,19.5363,41.234,0
