V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_A01_02,254.1666,2.5768,0.9978,0.2993,1.1666,2579.6874,5.0597,249.3786,51.2253,1.5474,48.2966,0.4292,0.9266,0.7988,0.5443,0.9538,0.6846,0.4436,1.1542,0.079,0.6885,1.3133,2.7774,0.633,73.2725,41.1388,1.5598,11.3052,0.4689,2.0354,0.4975,67.0929,5.7261,1.4148,4.7242,3.7193,2.104,14.347,9.2347,46.0188,7.8727,34.7183,3.8832,3.187,0.0
NOR_A03,2.3901,600.1367,0.7113,0.1824,0.0965,2837.3891,0.2682,0.912,0.2708,0.0491,0.9499,0.6628,0.2236,0.6081,0.302,0.6939,0.3615,0.3359,0.8872,0.0909,0.4388,0.9913,1.2094,0.3117,1.1138,6.8317,0.2072,9.4558,0.1686,0.3311,0.1735,68.4763,3.4372,0.3863,3.0251,1.8931,0.4819,3.3585,2.2091,4.5286,3.4919,30.2183,1.0154,0.1624,0.0
NOR_B05_06,55.9584,61.9842,103.1017,49.6347,171.0549,34.4881,1.0522,7.2333,11.9876,1033.8565,94.003,33.1975,2.0661,48.7489,76.4487,14.9235,2.4351,6.4312,260.1407,1.7773,54.9213,55.9705,47.2583,41.4738,244.6992,262.0363,231.9414,714.4879,297.613,124.4435,13.6342,29.7463,25.5772,13.8426,25.6,8.1876,26.5429,66.723,105.0713,81.3987,22.3092,74.5944,28.6343,13.3888,0.0
NOR_B07_08,3.7426,2.8446,19.1596,59.6124,55.6261,15.8768,0.2936,4.6946,28.0046,0.3871,171.4326,31.2549,5.3732,173.8932,31.4055,2.3726,0.795,0.6913,13.3159,0.1545,75.5079,3.4604,0.2335,2.4895,107.3012,6.2503,8.2691,3.1622,0.7883,6.4054,1.6359,0.8358,0.8427,0.2263,1.1771,0.6332,5.3149,3.8711,4.4053,7.1626,0.59,3.8359,5.6431,0.47,0.0
NOR_B09,7.0857,25.6326,4066.563,223.2798,6183.5579,15.4589,0.074,1.5451,12.5063,3711.2015,51.1947,0.4893,1.4826,135.0102,406.596,16.2224,0.2589,0.8582,8.7473,0.0678,0.2545,3.9533,192.7366,7.9195,1048.9112,7.51,16.5513,11.608,4.0637,19.7887,0.0857,1.2171,0.0848,0.0,0.121,0.0884,22.6788,46.0973,13.8975,26.1758,0.9486,8.5355,1.3792,1.8746,0.0
NOR_C10T12,749.8878,1660.2607,6.6616,1.9422,5.9028,5289.0661,8.4188,8.6025,1.6297,1.1465,44.1792,5.5977,2.173,4.9835,1.7928,7.2418,4.6906,2.9633,9.0521,0.6074,4.9099,10.3425,12.138,2.4622,15.4329,58.8761,2.3717,93.4794,0.8699,3.8544,0.9484,1155.2203,31.8688,3.0748,29.2169,16.3237,4.4786,29.7511,23.3348,71.2079,35.677,297.0645,12.1248,0.8168,0.0
NOR_C13T15,1.8465,13.6773,2.6465,0.5548,2.4011,8.7522,25.5999,1.6981,1.2401,1.5822,3.7411,0.3214,3.3813,2.4017,5.1986,9.9578,1.8656,1.6285,7.2273,0.6314,3.5511,12.5631,1.9316,8.2016,53.0354,17.9658,1.6865,22.1016,0.8468,4.517,0.1683,4.8983,7.9631,0.801,3.054,0.7031,4.6739,11.2525,8.0753,6.3836,4.4743,37.9632,24.1045,9.9164,0.0
NOR_C16,2.4858,8.6704,1.4391,0.4256,4.8629,8.376,0.4304,456.1845,33.4681,0.6958,22.4071,0.2024,0.6114,5.1289,1.5606,5.8291,1.2796,1.0878,6.3075,3.1309,5.7238,29.8606,10.4267,13.6339,1704.2417,67.8124,2.3236,5.6007,1.428,4.3916,0.4156,4.7673,3.6535,1.4567,2.7334,2.2207,383.9017,12.4101,7.4274,3.951,5.3514,12.912,21.7176,9.7316,0.0
NOR_C17_18,8.9866,26.2197,3.4767,1.8213,5.7693,70.7201,0.5382,6.4992,338.1942,22.9188,2.1526,4.3499,6.1069,7.3875,4.0293,2.9028,1.1078,2.7059,7.879,0.1705,9.5991,5.1705,2.4608,13.6395,40.7666,380.9133,7.0115,9.915,3.1762,8.4059,15.6124,23.237,294.1882,2.6097,33.4199,23.0923,38.9438,237.0616,90.0017,93.476,31.3638,29.9855,45.7163,30.1014,0.0
NOR_C19,92.9913,91.9444,70.4471,67.4628,202.6072,58.3915,2.2703,9.3389,15.2264,209.0502,54.362,35.6622,2.0937,48.6917,106.05,11.0717,3.0411,3.6444,20.1019,1.2985,7.7745,17.2867,33.5,52.5075,281.7795,313.7092,343.803,1112.4814,440.4694,64.5836,15.9616,37.3066,29.6343,17.7826,19.9664,7.1211,31.4086,56.9574,45.924,124.4027,32.563,107.3546,33.8834,16.9712,0.0
NOR_C20,85.9023,19.3897,33.4406,27.9021,84.6906,52.9821,5.5736,40.5012,92.5613,24.666,721.116,32.6091,153.1744,55.4874,29.9288,31.9089,5.8521,22.1781,52.0306,8.6487,63.7595,64.8003,4.4791,21.558,245.528,325.0196,53.668,104.3257,59.6094,20.3003,3.8859,22.7681,19.5899,8.8632,13.5269,8.3155,60.5997,72.7243,130.876,19.1064,49.7052,68.7137,22.7586,30.6304,0.0
NOR_C21,8.563,58.9603,2.2436,2.9966,2.1158,9.0874,1.7339,0.8724,0.864,38.6406,7.5398,11.1167,1.326,0.9712,8.2196,1.128,0.8089,0.7895,3.0492,0.1815,5.8288,1.7234,0.4799,3.8141,11.2656,9.7263,1.7112,3.2298,1.9765,2.1051,0.2113,7.8984,1.3082,1.4273,2.2967,0.7383,2.7065,11.3416,4.784,6.9382,3.3531,335.8877,1.1716,1.2225,0.0
NOR_C22,17.0092,15.0112,10.1609,3.1616,18.7189,85.6483,1.871,5.8296,8.6883,7.8276,21.4344,2.6017,17.1101,4.9047,4.8478,18.8914,2.7549,10.0459,16.4561,1.2778,11.6694,23.6563,3.5941,44.5839,213.3028,94.0795,82.1501,12.0168,2.1803,9.6676,0.762,10.8654,8.7299,2.8121,7.083,3.2009,32.937,28.1247,19.1594,11.678,12.1322,23.6385,6.1154,5.0301,0.0
NOR_C23,6.3601,13.6308,26.5108,3.0655,34.8353,27.0802,0.7642,56.33,2.3059,2.8734,37.424,1.0008,9.4845,249.9992,28.7653,31.9494,5.886,8.7819,17.4045,4.7947,64.4731,21.5157,2.7231,8.9146,1413.0274,77.9518,7.43,16.0011,2.9593,346.1352,0.3527,41.7225,5.2636,1.5277,4.6854,1.918,212.9594,12.7281,9.204,34.1977,26.286,26.1788,5.4866,3.4536,0.0
NOR_C24,0.0,3.4264,19.02,0.1805,21.1177,3.8388,4.4863,13.9097,7.1756,0.1394,3.2255,0.0758,6.1581,35.441,1815.346,232.4095,0.5942,285.1964,55.0497,51.6188,112.5087,98.8998,0.0,22.0813,23.2999,30.7695,0.0,0.0,0.0026,280.0601,0.0,0.0643,1.2641,0.0,0.0508,0.0,0.0732,0.0918,1.6714,0.8306,0.6779,34.0669,0.8445,0.0,0.0
NOR_C25,14.475,39.3701,54.0147,9.8646,71.4778,62.816,3.7271,35.6422,10.1995,7.3382,18.2463,2.0518,5.6761,29.1055,112.0268,384.5123,98.5835,16.9817,274.5948,4.6938,403.0111,108.6774,10.8803,34.3497,527.4798,140.8878,21.1843,82.7561,13.7437,427.101,2.2383,17.0228,21.0387,11.9427,22.0302,10.5657,24.1841,67.8024,60.3781,58.685,16.2072,62.5895,21.8359,21.6625,0.0
NOR_C26,2.9683,7.0375,13.0002,3.3211,10.0434,7.6456,0.3611,3.0408,2.7913,5.9707,2.4438,1.6819,0.9339,5.5821,3.056,13.662,188.4225,17.3077,46.9311,1.0966,49.8509,27.8719,3.5956,10.1584,61.3256,119.2026,5.7935,19.5073,3.678,11.9583,5.4047,2.5004,35.4225,8.7229,28.1915,31.3491,13.8489,233.0582,72.2072,74.0863,26.8204,85.9905,12.8436,14.151,0.0
NOR_C27,3.0859,9.226,13.3148,3.1534,9.7342,12.8887,0.8155,5.9394,3.1817,2.22,7.9808,0.6192,1.6149,8.1361,55.7186,14.0329,29.6831,102.9368,62.1189,13.4977,77.0083,60.3903,2.8081,4.3554,323.8432,81.2266,29.2056,29.1045,5.1608,111.7364,1.1353,7.4477,6.0945,4.7438,6.0803,6.094,9.3055,31.9174,23.3575,22.2887,9.4723,19.4461,17.8275,15.9634,0.0
NOR_C28,14.0803,90.2281,152.19,28.6478,144.7241,71.8187,6.5321,40.9658,24.9069,15.6693,27.8587,4.382,9.1471,83.6848,37.745,104.7072,35.6937,21.4898,1281.8388,6.8008,451.8265,226.7408,10.8973,25.3076,397.8454,293.931,68.7813,281.1392,42.2917,386.7927,4.1639,6.4463,23.5287,29.5059,48.685,19.9096,44.8293,104.8663,219.0367,41.5266,13.7384,43.4775,41.8053,12.1345,0.0
NOR_C29,1.5332,2.258,2.557,0.6256,3.2488,6.0519,0.3313,1.4925,1.079,0.6718,7.3128,0.4073,1.6395,1.8481,2.8686,2.3131,1.3039,1.9908,12.2085,1.9954,7.6028,3.7292,0.3263,0.8536,14.3171,74.7686,5.9465,5.043,1.5539,5.2714,0.1422,1.1508,0.9375,0.8684,1.5149,0.6961,2.2217,4.4379,4.1341,2.2395,1.1925,4.0833,1.2123,1.9415,0.0
