V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_C30,0.0811,3.0911,1.0149,0.001,0.2138,0.6124,0.025,0.4852,0.2005,0.1123,0.1572,0.0205,0.1688,0.1768,0.4055,9.3697,0.2041,0.0471,0.3833,13.436,770.2428,235.684,0.3646,1.0157,2.8588,1.8081,1.1711,2.8737,54.5536,0.1374,0.0017,0.1024,0.6817,0.014,0.4626,0.0,0.2487,2.0318,1.082,120.2993,0.3805,3.0758,0.4946,7.3598,0.0
NOR_C31T33,16.2142,76.5906,76.7205,18.6923,66.0546,128.8237,6.543,70.1694,45.1909,27.3114,47.3691,7.6528,15.6171,125.2127,59.9148,113.1742,51.338,36.8733,603.1427,9.9631,624.6914,155.9229,8.6787,30.7787,312.9945,194.5894,112.5376,399.9174,77.1309,101.1269,5.8851,20.4355,22.547,54.3453,37.5865,38.2307,62.6338,202.2209,123.2756,49.0816,19.4403,84.8957,55.3592,34.2625,0.0
NOR_D,73.3775,54.8393,53.4982,38.4143,176.8054,164.8089,4.6924,55.1564,126.448,52.3012,244.8056,14.8895,18.7926,65.8909,900.4942,63.4052,13.876,13.3778,114.4411,7.7862,122.8705,65.0577,173.8615,58.3033,163.3356,340.1419,57.7095,83.4402,25.2956,70.54,5.7663,113.7304,19.7422,23.514,31.0284,29.4143,262.6278,62.3705,68.1977,567.4522,204.7306,247.3753,66.6279,66.0956,0.0
NOR_E,1.666,42.1855,14.3892,3.1877,35.3192,23.4166,1.2214,8.8753,44.5303,18.6199,255.9337,5.2535,2.2724,59.908,264.8855,10.2962,6.0703,9.8316,24.5633,1.4805,12.4062,21.455,26.2218,591.3223,279.4906,432.2945,22.2777,25.4469,16.8238,151.7179,3.6243,86.0803,41.458,10.5858,54.368,31.8656,568.4844,156.8918,77.7316,184.9111,111.2731,119.9541,32.4056,36.5834,0.0
NOR_F,219.4937,147.9758,22.0984,6.7213,147.0813,103.1717,3.3949,29.1267,20.1373,19.114,23.4588,5.3873,8.3825,52.112,29.5851,49.908,18.3639,9.2829,144.4985,4.8133,160.3326,55.2905,38.6842,247.3238,12928.5316,275.6987,49.0113,93.5097,23.8733,161.9803,5.3082,242.8896,21.9993,557.6787,38.4278,145.7195,2519.7213,74.338,67.2062,4084.5092,256.4968,497.9783,130.0254,54.5248,0.0
NOR_G,358.508,617.099,234.1632,69.7477,358.3091,2511.5354,128.0823,240.4862,162.463,147.2422,412.7444,41.4866,97.1174,202.8811,377.622,301.7399,267.5747,193.5514,492.9977,44.0557,342.2214,373.7608,65.1736,255.5137,3123.4876,2007.5458,850.2438,623.8384,288.3918,667.0997,112.2721,477.6965,311.7935,137.0482,532.5835,268.3439,643.7542,1122.2811,1018.8614,731.4283,298.7256,968.3643,271.4942,250.3645,0.0
NOR_H49,39.9646,47.9446,26.1338,16.4501,192.9579,334.9701,9.8839,68.2489,66.1817,68.6716,122.5103,20.0182,25.9915,106.168,114.7393,51.2665,23.3342,26.5625,109.1915,9.3203,48.4749,61.275,6.7065,57.9159,562.9209,740.5801,442.1691,53.6344,74.3587,80.9063,96.874,39.3566,161.2687,25.8134,70.6236,58.6096,102.6019,139.5808,236.0944,232.4787,217.4015,187.4225,28.1515,35.1274,0.0
NOR_H50,14.0754,20.937,101.2347,13.7746,59.5293,111.2335,5.0909,18.7531,19.6327,25.9348,43.8121,8.118,8.8953,27.9789,35.7043,28.8108,16.6462,17.3698,52.0309,4.5146,37.3462,43.0989,10.3823,40.9872,236.7489,269.4455,262.5229,1515.3745,76.5916,56.9819,16.3492,39.6498,45.0437,19.4725,49.0612,36.4738,64.795,150.6209,146.3235,117.8111,35.7758,83.7916,27.2843,28.4354,0.0
NOR_H51,7.2535,12.4771,40.1982,7.0587,27.3309,54.1905,2.3214,9.3604,10.3622,24.4643,29.224,7.1241,4.3125,13.7679,23.5958,17.1814,10.6215,10.4548,38.6896,2.6107,26.5309,28.1591,4.1567,10.3933,111.0247,125.7701,28.867,33.6169,113.9358,35.4278,22.0752,12.8729,20.5513,9.3016,31.6482,23.3631,18.3701,87.2524,440.836,87.4241,26.6048,53.3969,23.6413,22.5407,0.0
NOR_H52,25.2462,20.9328,11.3236,6.4349,78.7855,130.4455,3.8015,25.0447,22.4918,22.3311,40.4968,6.4978,9.1691,38.1888,38.7538,25.1249,9.5804,11.0325,44.2172,5.8773,20.8478,25.9736,5.1613,57.1988,431.4742,590.7675,351.8692,1308.0563,340.6222,67.8593,45.7684,49.2306,72.7173,30.6573,76.1767,79.3923,148.0068,103.6407,238.9276,201.5187,44.0368,103.8074,24.2434,29.847,0.0
NOR_H53,4.4038,7.5715,6.3766,2.5828,13.2043,21.2464,1.1445,4.463,3.452,11.5531,11.5826,3.2492,1.7868,4.9362,7.2179,7.9249,4.5034,4.5866,15.4537,1.126,8.5366,12.1697,25.7021,28.0773,59.4733,232.6803,16.1744,16.0702,7.2816,51.1719,5.6858,15.8341,278.1894,7.1833,46.2035,132.3764,86.8674,209.7397,100.3854,115.938,31.028,62.6621,37.7447,23.4465,0.0
NOR_I,2.5522,7.3349,50.2518,9.3069,48.1196,67.5106,3.1675,14.2845,15.6732,51.575,50.4179,14.6209,7.2734,19.2388,33.8247,30.2951,33.9176,17.3356,47.704,4.8904,34.4916,49.0952,27.2005,7.3329,108.9842,280.6248,27.7396,126.2676,78.4666,31.4024,5.6099,282.7628,50.345,26.789,72.2121,63.0926,23.4408,145.9342,738.273,245.0731,58.3141,187.1916,57.3642,31.2333,0.0
NOR_J58T60,5.1787,8.8172,19.5903,3.5465,13.2268,31.2096,1.4765,5.8018,14.05,12.7355,13.6993,3.5874,2.7413,8.8026,9.6579,9.9352,5.1845,5.4605,18.6527,1.2222,10.2624,15.3463,19.9221,28.6156,104.7006,863.1905,34.3896,39.1999,90.3627,50.0552,9.7751,60.0333,463.8792,170.0945,1010.6724,152.5449,109.1539,581.0671,336.2844,226.8676,263.5917,118.3186,87.428,142.9621,0.0
NOR_J61,13.6977,15.923,12.0837,4.7499,41.9772,40.5217,2.0723,8.4692,6.5675,21.4865,21.31,6.0625,3.2656,8.9311,13.6414,14.5068,8.4888,8.2245,31.4945,1.9771,15.9024,22.5319,47.1761,50.1886,114.7576,411.643,154.382,415.4643,13.398,98.6415,10.2325,27.2371,55.8956,2116.2519,86.8434,124.8977,159.11,374.393,179.6242,199.9776,53.4574,108.6766,33.1313,41.9025,0.0
NOR_J62_63,3.82,23.5798,35.4201,6.9047,38.357,69.9003,3.561,14.2497,12.1645,36.9338,36.6748,10.4038,5.7639,16.837,22.4776,25.7197,14.3019,15.0255,48.8088,3.4788,27.2897,39.5599,149.147,91.8936,191.1159,670.3636,58.2909,65.2996,39.4802,149.9525,117.1274,49.9072,117.3865,249.2299,360.8904,1144.5057,247.5652,781.6852,304.415,648.3674,116.1153,592.7022,74.5983,68.8549,0.0
NOR_K,84.1659,93.9268,200.2521,28.6403,252.7515,290.7251,9.6974,54.8679,55.651,258.6197,169.702,72.6791,25.6931,71.931,149.0312,109.541,62.8048,57.9131,240.5254,16.4015,171.1422,155.51,117.0951,182.8675,664.0035,522.6362,148.3748,541.817,94.0886,124.9928,19.9282,109.2535,145.8206,86.6573,206.4697,3367.8349,4032.6725,427.2604,232.0996,1333.5986,158.435,382.6669,133.3849,163.0493,0.0
NOR_L,7.6029,0.4378,26.4557,9.7197,48.8743,171.6246,17.7858,41.5768,55.0158,22.2859,33.5591,6.279,28.3603,45.2237,14.4714,131.3729,47.0335,34.2331,107.1796,15.2723,95.1779,167.9931,59.4507,62.2816,571.7231,3074.9388,90.6788,0.2476,22.238,282.096,40.3165,733.9002,127.7955,92.9077,180.9548,279.4515,1067.7081,607.8021,375.6667,831.2423,338.6524,546.3662,260.7697,218.0063,0.0
NOR_M,65.5705,207.2792,140.9996,18.2635,597.1131,98.9963,5.0007,20.0837,17.9447,59.4015,57.4642,16.72,8.3375,23.8984,36.0289,37.2202,21.5721,21.6091,135.9936,5.4473,40.9591,59.0591,143.5137,139.4113,3463.8857,1184.7315,77.0355,84.2771,69.2447,303.1186,25.875,263.8646,157.1603,229.5309,387.0993,538.9885,407.5147,1427.5948,630.1461,606.5847,147.0364,327.0168,159.3517,208.7015,0.0
NOR_N,13.0508,48.5509,382.1836,53.4825,284.9186,277.2033,10.0381,46.4954,56.7016,111.7874,111.8075,31.4508,24.8005,80.6722,68.1956,100.5732,46.0702,60.0814,145.2228,11.076,99.0977,154.0859,123.8781,243.758,1175.8907,1287.364,378.647,543.5182,358.2238,328.0114,66.4865,289.9471,223.8399,174.6776,369.2043,383.0026,521.9551,1339.2704,920.9241,773.4781,339.5173,499.1909,173.9436,205.091,0.0
NOR_O,6.7169,6.2972,99.1525,4.7112,20.9861,125.6071,5.526,25.4265,35.8285,127.953,120.1699,35.9337,13.5032,42.2265,80.7797,60.4336,37.5745,36.704,166.1458,10.094,80.6461,111.8047,9.7074,207.9395,685.5272,83.7925,132.5843,284.4955,10.3317,28.0475,2.7354,6.3881,106.9083,18.0878,154.7097,70.8117,53.0451,181.3933,58.8457,470.3894,170.828,374.7439,200.6231,153.8353,0.0
NOR_P,0.7412,0.7325,9.1281,0.6926,7.9293,13.3705,0.5246,2.6987,3.9012,13.7498,12.6596,3.8664,1.4954,4.6182,8.9028,6.493,4.0061,3.9452,17.367,1.0089,8.5092,11.6723,1.2311,26.3853,71.1707,11.4842,2.5032,14.8043,2.8145,4.2752,0.2921,0.6711,12.9872,5.0804,23.7902,9.313,7.0677,45.4436,13.6245,134.455,107.1075,135.2492,94.7845,18.5196,0.0
NOR_Q,6.285,3.3644,7.7133,1.0436,10.2207,14.4105,0.5662,25.3362,7.3227,8.4431,9.8722,2.3716,1.4622,4.659,9.5964,16.651,13.3079,5.1249,22.9469,1.1145,23.6026,13.8468,1.5728,14.6554,101.3968,27.6458,5.4784,14.8853,1.8832,17.4368,0.6036,2.5478,18.3317,2.5413,12.2146,6.8559,19.8873,34.2206,13.0278,92.2267,12.7221,42.9144,16.5682,11.8686,0.0
NOR_R,1.4381,3.1061,8.0004,2.0497,2.8611,18.7419,0.9249,3.6374,3.8002,9.8498,11.1178,2.7663,1.4991,4.7154,7.4732,7.1046,4.2045,3.9397,15.8446,1.021,8.5004,11.5387,5.9373,19.2098,34.0839,67.4212,6.2733,15.0966,4.3334,15.0504,1.6094,8.7049,23.2646,3.5477,20.3101,12.0682,25.9698,56.9899,27.7873,60.9887,21.1437,37.9607,186.9291,15.9521,0.0
NOR_S,9.4812,10.2106,19.8587,10.1767,14.7072,48.3632,3.109,13.2574,10.8336,30.8434,31.5112,8.658,4.8403,15.5711,23.0105,19.6864,12.3016,10.9202,42.2668,2.7467,34.3876,34.788,12.17,49.36,134.2048,122.5267,20.6598,36.177,7.7891,40.368,4.1591,53.2704,40.1838,8.5019,49.7166,30.4078,54.1066,114.9695,47.6383,150.1341,106.0545,321.2483,35.8526,63.9549,0.0
NOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
