V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_A01_02,1129.8172,0.1707,0.4619,0.254,0.8212,2652.8795,3.0291,90.7786,2.9074,0.96,13.0718,49.5935,5.1023,3.0342,0.2862,6.5236,3.7644,1.9989,50.7625,0.7053,0.5064,55.4199,46.7011,21.6658,103.0515,121.0186,7.2816,5.618,8.5693,31.0554,3.4846,149.4395,25.7145,15.8291,34.85,20.1896,25.4928,87.2805,115.9956,65.2467,58.8704,117.0623,28.2027,18.2285,0.0
DNK_A03,4.3259,0.9181,0.1521,0.0868,0.1635,173.1869,0.048,0.0264,0.0943,0.0286,2.3663,1.2784,0.0375,0.241,0.0157,0.2491,0.2515,0.2044,2.4962,0.0798,0.0688,4.4064,0.299,2.0364,16.7894,10.7708,1.311,0.6172,2.2554,7.3432,0.2195,10.3241,1.226,0.5244,3.1537,1.0373,1.1113,6.6686,4.6989,1.7052,2.2288,3.4951,1.8708,1.1634,0.0
DNK_B05_06,6.0142,0.001,60.0759,25.7514,1.8681,53.7012,0.6284,0.3614,4.5229,1122.7389,26.9843,4.0589,2.5537,13.2562,8.8472,4.9488,0.6322,0.7741,4.5979,0.712,0.09,1.1591,361.2746,2.4564,62.4642,7.7901,0.1083,0.0499,0.0555,0.7705,0.3909,5.7912,1.6949,0.2425,0.841,1.0618,1.1801,2.5034,19.7334,2.0959,5.2234,12.6813,3.3014,0.5018,0.0
DNK_B07_08,10.0199,0.0006,7.463,14.5377,0.6434,9.4803,0.6147,0.2766,5.5854,0.2422,5.6748,0.8647,3.9431,123.5683,0.5746,7.0615,0.6642,0.9144,4.2774,0.7471,0.008,0.8606,49.7073,0.5354,103.3429,4.6598,0.1052,0.0272,0.0444,0.2122,0.0798,0.4061,0.3157,0.0198,0.6224,0.9814,0.2481,0.5855,4.2066,3.1804,4.5995,2.6754,0.7046,0.4357,0.0
DNK_B09,2.237,0.3335,79.003,6.7812,20.8703,1.9635,0.0179,0.0777,1.0091,61.5949,4.0702,0.6667,0.3713,10.3368,6.7427,2.0965,0.0406,0.0989,1.8933,0.0097,0.0083,0.2969,24.3219,0.8388,73.88,0.8422,1.5612,1.2436,0.1739,1.3786,0.01,0.1506,0.0134,0.0,0.0123,0.0093,2.5869,3.5099,1.411,1.6447,0.1151,0.7777,0.1583,0.2084,0.0
DNK_C10T12,1106.4279,60.7591,0.462,0.271,0.1173,2944.8455,12.456,0.5451,4.3215,0.4443,169.5326,95.4805,21.7983,2.3327,0.0196,1.8736,2.1585,1.1538,34.4348,0.6072,0.239,6.1734,21.4515,8.1062,8.416,129.3602,4.4102,4.7467,0.7434,8.4078,0.9954,964.9971,6.4433,2.852,19.4871,7.4088,4.4007,51.0831,21.6407,34.6385,25.6697,158.0749,17.7381,31.4907,0.0
DNK_C13T15,1.5365,0.2839,0.1056,0.0688,0.0932,4.4151,105.6237,1.7045,9.7343,0.1138,2.4683,3.6015,7.2203,5.3685,1.0186,17.0725,4.1042,1.3002,21.3598,2.3382,3.9636,32.226,1.8634,6.0861,29.5419,18.475,2.2087,1.9729,0.2762,4.8177,7.5311,5.2786,3.4603,1.4828,2.5255,0.9047,0.5376,7.6977,16.676,13.5054,6.7766,46.2112,8.8418,13.658,0.0
DNK_C16,2.5212,0.0534,0.7624,0.5614,0.1095,5.6455,0.6433,127.3697,4.5654,0.133,4.1276,1.1839,8.4125,6.2618,3.2316,12.1626,7.2309,1.9311,21.0533,3.9484,3.686,99.225,21.1919,8.1565,812.4922,15.7304,1.2034,0.6042,0.156,2.0477,0.2485,0.8923,0.8298,0.5814,1.044,0.7289,3.9198,2.4375,9.1548,2.0515,2.0447,3.9437,7.9977,3.0627,0.0
DNK_C17_18,4.6752,0.1085,1.0069,0.7836,0.233,100.3022,2.3767,4.1689,327.8783,0.1528,18.6429,20.7914,17.8522,7.9743,4.4007,13.2745,10.6618,5.7162,30.5142,1.1921,0.5895,18.2521,1.8248,13.8519,13.75,249.9706,3.053,1.4026,0.4942,2.6911,8.3067,9.3437,124.2835,15.7184,30.6181,19.3952,19.2598,113.3435,28.7774,42.0005,37.8595,33.7075,20.6399,15.6199,0.0
DNK_C19,122.0273,35.4463,2.4737,1.9291,4.1606,24.567,0.9344,3.0881,2.8304,115.5016,6.7177,1.306,3.665,38.6851,1.3762,14.1813,1.1439,1.4368,14.3734,1.2234,0.3044,12.6568,18.3146,22.6622,169.8432,114.7214,264.4313,1015.4219,188.8656,27.5902,11.5107,7.993,2.7682,1.9992,4.455,6.1332,18.5036,19.5081,33.7749,52.7695,17.2236,18.3551,6.4717,8.1247,0.0
