V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,1247.5276,0.5233,0.9264,8.9733,0.0008,5577.3529,102.1739,105.9154,0.3794,0.0788,14.04,4.7589,13.9668,0.3109,0.6447,0.0274,0.0011,0.0026,0.0629,0.0051,0.0017,158.0253,0.2257,0.0222,2.4558,1.0874,0.2892,0.0004,0.016,0.0113,0.0032,775.3244,0.0063,0.0491,0.0048,0.5668,0.026,0.1359,0.0414,15.2991,0.95,4.0777,0.6774,37.8489,0.0
PER_A03,0.576,8.4032,0.0462,0.6408,0.0221,872.5547,0.0765,0.0025,0.059,0.0139,0.2029,0.0109,0.0482,0.0385,0.0557,0.1042,0.0037,0.0041,0.1636,0.002,0.0007,0.3777,0.0842,0.0297,1.1595,0.3001,0.1425,0.0082,0.2286,0.0346,0.0006,73.2292,0.0805,0.4249,0.0046,0.1152,0.0011,0.1628,0.1877,3.9089,0.2387,1.741,0.1603,2.4135,0.0
PER_B05_06,28.8194,5.915,72.271,70.327,12.5827,97.1687,3.7988,2.0673,5.0425,2702.6594,13.4997,0.0649,6.1722,1271.4437,82.7345,10.0771,0.0159,0.2918,0.9152,0.2201,0.083,3.0938,339.5596,17.2977,13.8768,6.5804,84.8939,0.648,7.1806,3.5746,0.7913,8.955,0.7205,0.8711,0.0165,0.8299,0.0449,4.495,2.2829,20.918,1.5387,1.773,0.5723,6.6374,0.0
PER_B07_08,19.5129,0.2709,51.2344,138.8134,0.6733,22.5181,2.6755,0.1063,0.6339,0.4834,20.9742,0.5823,1.084,274.9169,1359.5587,6.2423,0.1459,10.345,2.0635,0.8656,0.2961,133.5498,37.3553,12.7766,757.4293,2.0523,1.0321,0.0029,0.1233,0.2108,0.0217,5.4065,0.5511,3.4472,1.7939,3.8418,6.8539,3.3979,1.9754,64.9776,1.5292,3.5449,0.3715,4.4883,0.0
PER_B09,0.775,0.0122,262.8716,202.8299,3.3162,0.4958,0.1783,0.0108,0.1138,0.6825,0.1643,0.0298,0.1149,0.093,6.1494,0.2773,0.0046,0.0062,0.0802,0.0963,0.0407,0.0746,0.3752,0.0657,9.1847,0.7267,0.2916,0.0119,0.3435,0.1881,0.0272,0.301,0.2008,0.9632,0.0425,0.6862,0.0816,1.056,0.7987,1.2043,0.5165,0.6453,0.307,0.2446,0.0
PER_C10T12,445.9367,8.3419,5.0689,27.682,0.505,2506.3644,31.109,1.2746,18.2335,1.4262,48.7501,7.0142,14.1158,2.0659,2.8877,3.8861,0.1498,0.2874,7.9709,0.7065,0.2218,32.663,3.8256,1.0242,28.4628,12.2157,3.6982,0.1683,4.6403,1.0042,0.0452,2746.9746,1.8695,9.0756,0.1208,4.6659,0.7527,4.0574,4.9821,167.9566,13.4029,16.1799,20.1966,109.585,0.0
PER_C13T15,17.8309,18.5987,3.1888,8.2092,0.2438,44.6841,1366.6437,3.5077,16.5775,0.8656,14.7761,6.9653,19.8199,2.4711,1.1438,5.145,0.0611,0.0872,0.6758,0.4593,0.1939,115.7571,0.5252,0.1826,41.4441,12.476,0.5728,0.0015,0.0596,0.0754,0.0075,67.9865,5.3126,0.2075,0.0159,5.6975,0.0554,52.6145,33.1061,29.4629,5.6013,22.0856,4.8294,11.0779,0.0
PER_C16,15.5111,1.1186,0.49,24.4836,0.0008,6.349,2.2805,194.1824,8.1964,0.0002,5.2496,0.0031,4.5102,3.2305,1.2031,1.7629,0.0002,0.1568,0.0002,8.2643,3.5748,150.515,0.2579,0.1574,591.3396,0.6194,0.0495,0.0001,0.0035,0.0026,0.0007,1.7404,0.0007,0.0078,0.0004,3.1936,22.1221,2.1867,0.3195,42.3174,0.3403,1.4678,0.1808,14.4258,0.0
PER_C17_18,20.0112,1.0868,0.3792,9.1338,0.0774,255.1773,19.0461,8.8928,921.2287,0.4181,29.0073,6.4171,23.4703,16.2201,0.3701,12.5918,2.2305,1.783,3.4689,4.7453,1.7094,37.7173,14.1916,3.0318,17.1441,175.6194,3.8223,0.0039,0.2397,6.2579,0.3792,57.5662,208.1577,62.4007,1.6399,129.5506,34.4504,277.4482,103.1905,212.8126,140.6619,10.1486,23.1683,51.2752,0.0
PER_C19,32.3198,118.7134,70.3732,764.4297,2.3797,308.8948,36.6782,5.8364,24.0088,135.5295,49.2823,1.3913,9.3762,49.6548,58.2785,23.9017,0.3588,1.2277,6.5805,4.8977,1.8376,54.3496,129.3204,19.1879,242.1899,117.9105,1661.6065,13.0644,138.7342,73.4694,16.022,80.3886,3.8551,11.7414,0.4028,22.2617,1.1598,90.5784,44.3196,410.1696,34.2566,37.739,11.1855,24.4531,0.0
