V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_C20,352.4665,1.3185,23.9412,241.8693,1.406,157.851,126.5312,24.7905,42.2555,28.4581,365.105,33.1098,382.3294,22.997,12.2496,26.3162,0.9086,3.3114,2.2502,18.686,5.7968,153.4614,0.9966,5.722,107.1929,13.1365,1.4678,0.0039,0.4379,7.0375,0.0362,44.8376,4.2759,7.1335,0.3122,7.076,14.677,22.7954,28.2938,56.4227,14.6563,51.3236,7.3074,44.6597,0.0
PER_C21,32.2206,0.0029,0.1981,1.0667,0.08,12.5339,0.11,0.3079,0.1192,0.0808,1.8654,16.6954,0.8067,0.1905,0.0629,0.0309,0.0134,0.0244,0.1199,0.0379,0.0146,0.6252,0.0716,0.0216,1.4196,0.2093,1.357,0.0144,0.0452,0.2297,0.09,1.5183,0.0608,0.0922,0.0003,0.0494,0.0571,4.1309,0.0761,23.5377,1.8761,138.3551,0.3844,1.6468,0.0
PER_C22,16.1939,2.8938,37.4604,116.5778,2.5311,429.494,71.8835,0.5899,70.3096,2.0539,151.2569,27.4406,203.2642,6.0045,5.4078,11.5467,0.5833,5.4638,2.248,27.5288,6.2386,150.0909,1.498,0.5589,431.8375,112.1159,217.8254,0.0955,0.125,2.3555,0.157,51.1316,5.398,0.781,0.0161,7.7126,11.2365,23.9701,16.4974,77.1725,25.0433,16.7242,4.7075,18.5234,0.0
PER_C23,20.7368,0.621,3.6694,162.9733,0.1149,147.9353,1.7982,0.1938,3.2326,0.2976,33.8152,6.9358,4.267,146.3111,8.8969,2.2613,0.2556,0.3682,4.6334,10.4918,2.8509,61.2589,9.5204,29.7929,2910.4288,34.8616,20.196,0.1317,3.0633,2.1016,0.2773,33.6781,0.3506,3.1786,0.0282,3.0715,40.5959,7.9341,3.4647,242.7523,2.9485,4.8659,1.9101,14.5888,0.0
PER_C24,16.0657,0.1649,10.3217,40.0846,0.0536,22.9663,5.0735,1.1551,8.5894,1.7012,93.5189,4.8471,39.9335,28.4429,1151.9658,246.8968,2.5263,432.709,16.9795,24.6397,6.6067,140.842,0.7309,3.6915,74.0178,0.837,0.2522,0.0006,0.0053,0.3011,0.0036,2.1526,0.8671,0.4927,0.1955,26.6741,1.1034,6.0461,2.618,22.9872,0.7003,3.6605,0.4589,5.2608,0.0
PER_C25,33.4381,7.0441,103.6431,277.0615,19.3348,261.8616,14.3429,11.3987,8.9751,18.2746,38.6177,0.5898,9.1123,5.8059,14.1965,183.523,2.2002,6.9634,91.1502,84.4399,28.805,131.9173,12.2103,3.7198,575.6141,5.5609,0.3564,0.0233,0.2183,2.1896,0.0031,25.1891,0.6455,17.3366,0.0216,2.9393,22.6115,9.2993,30.3792,64.2989,2.8836,6.492,9.4285,18.2406,0.0
PER_C26,0.3242,0.22,0.0883,0.1637,0.0913,0.2879,0.0813,0.0114,1.2797,0.0279,0.1782,0.0239,0.1853,0.0168,0.0136,0.0901,2.7183,0.2081,0.1741,0.117,0.0372,0.0849,0.2629,0.0053,2.1396,0.2335,0.0,0.0035,0.002,0.0025,0.0,0.2796,0.4036,10.4681,0.5216,0.3282,0.0154,0.8255,0.544,0.0771,0.4565,1.3417,0.1095,2.3685,0.0
PER_C27,0.0642,0.4118,5.5689,7.1935,0.5443,14.674,1.4015,0.0884,0.9435,1.0353,2.0478,0.2989,2.9052,1.0438,22.1727,35.161,0.8521,11.0104,8.5448,10.9556,3.0339,8.4834,18.2595,0.8251,115.1836,0.6228,0.0946,0.2467,0.1436,0.0054,0.001,8.9986,0.1959,18.1411,0.1358,1.1339,0.9202,1.1839,0.8094,6.5704,3.4737,8.8366,4.3204,7.111,0.0
PER_C28,0.7521,17.5051,19.362,37.0615,1.9819,76.968,17.1872,1.5685,4.0705,1.6908,1.7762,0.2094,6.689,8.5283,1.8511,23.1881,1.6415,2.3174,118.4871,3.8175,1.4534,294.2164,3.6501,0.5134,44.8655,4.1572,0.4003,0.0135,0.3637,0.1095,0.0045,0.625,0.5562,2.1167,0.0303,27.904,0.4755,5.6087,7.4061,20.2469,8.5056,23.0643,4.9806,4.9625,0.0
PER_C29,4.2564,0.6339,0.8361,0.9691,0.0,0.147,0.0,0.0165,0.0479,0.1098,0.0598,0.0,0.0085,0.4467,0.3787,0.6117,0.0,0.0,0.2852,20.6704,0.9942,0.0271,0.8572,0.6958,0.6012,86.4858,40.8103,0.5074,5.584,0.587,0.0805,0.2682,0.0002,17.7327,0.0,5.2567,0.0,0.2348,1.9407,11.312,7.3899,0.1895,0.0002,1.4248,0.0
PER_C30,0.0,15.894,0.0065,0.0,0.0,5.1206,0.0,0.13,0.0,0.018,0.0,0.0,0.0,0.0137,0.0,3.0396,0.0347,0.3228,0.7087,16.7939,14.0468,0.0,0.0006,0.0001,0.0,2.804,21.4013,0.7738,24.1959,0.9304,0.2817,0.0,0.0,1.7427,0.0205,0.0972,0.0,0.5826,3.7572,4.0092,0.0,0.0,0.2458,0.211,0.0
PER_C31T33,14.2523,33.2606,72.3604,77.4247,3.8983,149.7667,71.1268,4.8459,10.8223,1.6152,19.2019,4.3188,13.4271,13.3665,2.9922,42.6109,2.3244,4.5569,236.9501,4.8912,1.6199,973.0746,7.3214,2.164,126.1319,12.2769,0.0012,0.0,0.0001,1.2107,0.0,96.7993,2.7027,9.5126,0.886,86.6199,2.2068,6.4929,37.6406,125.526,97.2584,381.6038,23.0523,51.9001,0.0
PER_D,29.6225,2.0958,13.0053,676.3771,0.1793,297.9516,171.0532,7.9305,62.2725,27.993,63.4399,5.2747,72.7748,71.7215,123.7336,44.2823,1.1582,3.5129,16.2249,9.9582,3.1501,14.0068,545.5044,28.6074,12.8328,162.7918,151.0071,0.098,0.6699,3.6,0.4905,118.366,13.0635,56.1319,2.2206,52.8827,8.9891,50.3148,28.7203,137.9379,87.8774,71.5954,48.9134,27.6357,0.0
PER_E,10.6828,11.5489,17.7675,48.1498,0.2684,63.1327,15.9303,0.4981,20.0571,3.691,5.5962,1.0445,9.2711,4.4887,33.3158,1.1836,0.0,0.2035,1.4587,0.5665,0.3239,7.1656,4.8361,19.8697,5.9473,16.4739,2.6419,0.0609,0.3692,2.9508,0.3784,43.6919,0.4532,1.0078,0.0,21.0436,1.1642,6.3297,4.4497,163.8563,52.0919,59.2095,3.3983,5.3325,0.0
PER_F,4.9007,0.0846,3.7341,112.0723,1.9787,6.0236,5.1413,1.2169,2.0516,7.6626,3.7941,0.7908,0.6612,0.2677,3.8721,2.5064,0.1083,0.1444,1.0868,4.7315,2.1032,0.2709,0.3853,45.8559,429.8877,10.8884,1.3935,0.1508,2.1941,0.8133,0.0546,6.049,1.7163,43.449,0.3025,38.8186,101.7839,10.1094,3.9805,565.1258,3.8027,19.6189,3.633,9.4676,0.0
PER_G,702.9272,62.7717,101.2634,570.5075,12.0472,2966.3267,475.5488,97.0698,244.4934,328.2535,241.9159,43.2963,218.8647,101.7987,198.8628,172.7854,12.3386,58.2228,94.8019,79.5284,26.5525,350.4921,106.4657,28.5846,1285.447,179.8686,1176.6469,7.5826,58.0974,78.7648,10.3791,981.3267,44.3838,75.7139,3.1743,54.939,33.8774,136.8579,124.5386,563.3301,110.2429,248.4012,26.0529,111.7685,0.0
PER_H49,25.9131,14.7672,671.8769,459.5256,4.1277,165.8342,44.357,94.3406,188.2518,217.4349,106.0686,9.7026,25.5142,31.3868,32.4371,44.5567,0.9612,13.8844,6.6569,7.1576,2.1567,75.3114,61.3022,28.2571,338.55,4427.5543,2278.3948,110.8129,788.8578,1148.0948,63.265,107.6918,17.3537,77.9819,2.3246,79.5703,4.4796,48.0017,115.3733,262.6764,155.6292,44.3421,15.1624,58.9996,0.0
PER_H50,1.8763,3.3627,117.7859,36.2369,0.0735,6.2358,2.4762,5.4803,6.27,42.8691,2.8276,0.0149,0.0757,0.388,3.6983,1.2918,0.007,2.7098,0.0329,0.0433,0.0136,0.2326,0.0623,0.0173,1.5024,34.5465,0.2337,17.979,0.0206,88.4779,0.002,0.309,0.6991,0.047,0.0015,0.0339,0.0345,0.1195,0.3139,0.2497,0.0851,0.1315,0.0148,0.0571,0.0
PER_H51,5.7925,0.7948,64.9642,17.6495,2.1377,51.2168,15.4651,1.8811,5.1348,11.5666,4.9725,0.8059,4.8172,5.4979,3.8474,4.6381,1.2442,2.1728,5.094,1.7744,0.5265,30.4611,4.0879,1.01,26.8844,20.4216,6.7363,0.0555,51.213,44.4185,7.5552,17.7369,2.2985,7.0535,2.1932,10.3767,1.206,27.8637,20.9014,99.1831,10.5986,23.6297,5.0579,15.0764,0.0
PER_H52,9.4478,8.753,329.5065,184.4384,1.4533,56.1316,17.2781,37.5956,57.0169,121.0403,36.4163,2.2757,6.6699,9.2343,12.8246,15.6172,0.4788,7.762,2.0502,1.4547,0.4598,29.009,2.7514,9.1866,102.1063,1531.2608,728.828,58.5139,278.2987,497.2951,15.0165,28.9282,3.4987,20.2354,0.6465,10.9771,1.0032,12.196,35.9232,75.341,40.6267,9.9158,3.3267,12.7818,0.0
PER_H53,0.0,0.1095,0.0,3.3312,0.145,3.427,1.8126,0.047,0.5973,0.0,0.3323,0.5864,2.4301,0.3412,0.3967,3.8137,0.2019,0.4169,2.1937,0.5821,0.2219,0.7881,0.7361,0.8996,0.3444,40.0173,0.0,0.0,0.0,30.8418,26.5028,1.705,12.2452,50.291,1.5821,108.1001,5.1866,36.4913,8.6158,22.3704,20.6992,2.1682,1.0126,14.1967,0.0
PER_I,0.1554,2.6064,41.0899,21.3511,3.8028,6.7862,1.7522,0.2808,1.5148,8.0541,8.0977,2.6561,8.7236,2.7736,1.2999,8.2034,0.5307,1.053,5.6003,3.1172,1.7461,3.3344,13.0343,5.2052,27.193,132.7257,77.0889,1.1863,19.4205,3.0436,11.3887,14.0095,5.1908,33.9785,6.8073,19.3989,0.5184,126.0664,41.4629,269.462,43.9959,90.0522,52.7069,33.4503,0.0
PER_J58T60,0.8758,0.803,6.8406,7.9602,1.3214,18.3595,1.5012,2.0598,26.4627,1.7233,18.3194,2.9366,1.3762,1.2852,0.7965,0.9939,0.1521,0.3221,0.3636,1.2017,0.5165,3.758,3.1604,0.9654,7.7276,45.1165,0.6174,0.1267,2.3589,1.0611,0.0436,9.9927,142.3514,65.9275,0.307,31.5409,9.1092,797.4037,13.0313,49.4051,159.9991,47.1369,3.2737,15.6655,0.0
PER_J61,1.663,2.2865,5.1954,13.2773,1.0677,10.5228,12.4124,0.5515,1.2153,1.1455,1.0144,0.5535,1.8676,1.6928,0.5362,8.7563,1.0375,1.0219,8.3124,0.9871,0.4214,0.6479,4.698,2.2843,13.9314,98.6176,9.0367,0.34,2.7705,8.5797,3.3781,156.1756,24.2343,663.0207,4.5885,289.5764,6.7918,80.9365,56.6567,146.735,43.1668,49.6943,15.629,32.6869,0.0
PER_J62_63,0.0009,0.0015,6.737,0.9914,0.0009,11.428,0.9716,0.3167,1.1708,0.0062,11.4472,2.8306,2.2095,2.3556,0.3955,0.398,0.291,0.262,2.2974,2.0313,0.8339,0.4242,0.6721,0.2714,5.6564,22.267,2.2986,0.0001,3.9675,4.8299,0.2455,10.2451,16.1004,93.5881,67.1723,80.3932,5.784,91.1075,53.9607,7.7531,1.8744,7.3887,0.041,4.2093,0.0
PER_K,183.9012,80.7493,186.0955,864.4152,9.5608,811.4536,135.997,9.9537,37.661,52.6752,120.6583,21.6636,66.8853,94.6119,113.1751,61.3933,0.9003,10.9265,24.9863,13.6097,5.6735,27.1107,200.4339,53.6313,368.0359,888.9968,194.3526,3.5173,32.3519,93.2636,4.6109,295.874,43.1509,237.8446,10.7212,1273.4082,278.5632,314.4291,171.1807,689.393,114.9546,98.9079,55.7376,60.5023,0.0
PER_L,9.9974,4.2798,58.9286,21.4759,0.9576,99.377,51.6589,1.2993,5.3578,0.9071,10.0416,8.9368,7.7444,5.1558,0.9891,16.6356,3.1561,0.8991,11.7591,10.6001,4.4595,22.6542,6.2188,0.3587,22.4808,368.3422,22.0749,0.6462,3.3288,63.5875,6.6877,339.187,36.1414,142.4084,13.7694,312.575,25.7512,351.664,156.4185,52.5149,165.2799,72.4158,94.3809,109.2894,0.0
PER_M,95.8311,8.9694,177.3527,377.4163,51.4731,786.256,179.1521,3.8732,38.0949,46.6739,418.5918,95.8317,110.4803,30.9627,67.3399,192.0183,9.4231,16.7937,55.0682,61.8127,23.0102,36.2332,68.4203,18.0736,728.74,566.1519,128.6692,0.6777,85.6448,172.2495,9.9369,248.7441,254.6614,1016.1587,46.7584,853.539,356.9569,1476.5595,431.2333,414.7749,359.4929,331.722,162.3216,375.6305,0.0
PER_N,134.2289,5.0649,80.3776,248.9832,19.3873,162.7569,38.3025,3.7715,22.6403,23.6457,65.224,18.6156,40.9867,21.3847,34.7507,132.9222,2.2363,2.8768,28.7113,77.6968,33.0186,54.167,58.2525,19.5163,297.8691,347.9787,69.309,2.5869,78.3255,130.0939,21.6147,138.8321,96.0764,528.8678,29.3548,463.6302,70.2207,771.0131,577.544,486.7963,288.3539,446.4027,95.5243,97.8279,0.0
PER_O,8.2328,0.6244,10.3051,19.9163,1.915,21.9242,5.0147,1.3397,8.7228,3.038,5.5192,1.3641,3.3924,2.0207,6.1309,9.5548,0.155,0.2539,1.9737,6.498,2.8563,6.3337,5.0558,4.9844,34.3982,44.8947,15.5518,0.3785,7.6113,14.8697,1.9333,9.3311,8.9026,36.1091,6.2075,53.3209,10.5354,80.8973,40.3076,75.4469,40.4476,45.3818,7.4018,9.1837,0.0
PER_P,0.9198,0.2478,1.474,6.3696,0.2134,4.9114,2.2655,5.3201,3.0157,0.238,0.6789,0.4355,0.4488,0.2117,0.0604,0.4216,0.0553,0.0477,0.2784,1.1692,0.6933,9.1968,4.5558,0.3048,3.6776,4.5803,1.5094,0.0123,0.3107,0.7421,0.0849,2.9258,1.789,2.4875,0.3993,6.9682,0.5785,14.1624,20.7799,15.8008,301.793,8.3372,2.6959,18.3809,0.0
PER_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.9317,0.0,0.0,0.0
PER_R,0.0,0.004,0.0633,1.0034,0.0,0.3116,0.0105,0.3009,0.6596,0.012,1.6368,0.4723,0.0,0.2089,0.2292,0.0,0.0,0.0001,0.0005,0.0238,0.0088,0.4951,0.0821,0.0125,0.0,0.0761,0.24,0.0003,0.0168,0.0104,0.0032,5.6379,3.695,0.101,0.0223,18.5775,0.0,4.3961,0.3313,1.7603,13.6703,0.22,87.0304,2.9546,0.0
PER_S,0.0185,0.0602,3.5275,5.006,0.4947,1.4495,2.2046,0.0021,2.6253,0.4166,2.1934,1.0719,0.1526,1.5411,0.7274,0.8046,0.0124,0.0205,0.1272,0.1718,0.0724,0.1013,1.1297,0.8737,0.2975,36.7983,1.5435,0.0225,0.3893,0.0761,0.2378,65.8482,7.402,98.1396,38.2371,102.8346,3.8109,50.2178,42.9832,8.2702,24.8148,117.4716,4.6365,20.526,0.0
PER_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
