V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_C30,0.1953,0.0024,0.0048,0.0033,0.0,0.1906,0.0506,0.0189,0.0088,0.0023,0.0009,0.0063,0.2031,0.0084,0.0173,1.0218,0.0123,0.1444,3.9278,10.7707,24.9176,6.1798,0.0181,0.0402,1.1171,3.0569,13.2789,0.0182,0.8197,2.3289,0.0219,0.0228,0.0102,0.0,0.0776,0.0,0.0166,0.1627,3.06,0.3471,0.0686,0.1639,0.1258,0.1075,0.0
HUN_C31T33,5.182,0.1586,0.0932,0.6315,0.492,18.7657,9.833,5.0125,8.0194,37.9422,17.9358,15.6469,19.579,5.4034,7.803,9.896,28.2904,9.2523,56.6687,72.3272,1.3383,57.0407,55.0313,8.2906,43.2832,37.9636,68.8372,7.2145,55.914,43.4248,1.1891,2.9271,2.6158,14.4096,9.7665,16.801,13.6817,14.0503,9.4205,20.2208,14.2621,114.7342,10.9956,5.3226,0.0
HUN_D,99.8905,0.8582,0.4481,4.4143,1.0098,138.2691,9.3855,22.4782,59.0224,137.989,238.0261,43.6386,85.5663,92.7615,96.4114,44.7584,34.9503,23.2325,91.8939,116.9875,4.3454,26.2395,294.1425,77.9068,55.1029,333.7289,120.841,0.6542,1.4296,35.0321,4.9612,122.218,11.9224,36.9606,15.5627,28.0235,123.0438,57.1529,31.0164,130.6325,72.9528,80.5648,73.5725,31.9223,0.0
HUN_E,24.9651,0.1219,0.4245,1.3701,1.7024,45.5522,4.1282,3.7446,98.5271,17.0903,24.2927,20.2626,17.4746,13.3489,124.9963,9.3377,7.0179,3.7718,13.4705,37.4674,1.2409,6.2431,29.8487,204.5651,38.5285,108.2325,12.6497,0.8447,1.2408,11.823,1.156,33.6754,2.4385,2.6913,2.211,10.416,37.5481,17.4907,17.2741,78.9654,24.2179,43.2201,28.0669,15.4871,0.0
HUN_F,8.1354,0.0769,0.1176,0.834,0.3985,17.4788,1.2285,1.0126,3.7706,39.3219,10.292,3.3273,5.1329,9.8035,3.8485,18.378,5.8972,9.863,14.168,26.739,0.9057,11.2424,80.6138,43.0417,893.7803,69.7948,14.1325,0.9467,5.4909,149.2548,1.1871,40.0398,5.8427,15.5913,3.0812,7.4666,370.7465,95.7556,35.4732,298.8232,46.353,28.0526,21.434,13.5738,0.0
HUN_G,603.2544,2.566,1.359,4.7772,3.057,947.0732,88.7943,55.9774,120.7406,225.4496,278.3441,110.4436,180.2626,96.5435,102.444,126.941,140.3068,104.9346,185.8203,573.2312,16.1627,111.9503,135.5648,64.6034,317.0338,844.0515,433.0742,14.3324,59.8429,100.3416,28.7022,343.8029,51.9317,41.1734,41.406,76.5331,105.2049,152.0732,165.9484,102.3555,46.2927,189.2186,56.4405,62.0352,0.0
HUN_H49,96.0291,0.6557,1.4545,9.587,3.6269,190.2272,14.5196,12.3527,28.7102,83.9217,94.9006,12.4572,46.3636,58.9218,32.8331,44.1891,61.8146,35.8647,72.6761,244.0172,4.7327,27.1921,148.8301,30.2238,156.5675,595.6683,154.2136,3.9609,15.0536,80.3728,11.2369,30.6902,10.134,15.6451,8.7671,19.5444,20.0023,40.0428,59.3018,39.5402,36.2028,49.0368,17.8567,20.5966,0.0
HUN_H50,2.0633,0.0089,0.0078,0.0314,0.0248,2.8429,0.4968,0.2705,0.6831,3.3686,1.9793,0.4977,1.5457,0.9197,1.1928,1.4331,2.0412,1.1124,1.4091,6.061,0.2327,0.7111,1.3863,0.2796,2.6519,2.5192,2.1471,0.1072,0.7304,1.3182,0.0414,0.932,0.1596,0.1423,0.092,0.1504,0.5167,0.5785,0.5663,0.54,0.2435,0.9215,0.3634,0.2965,0.0
HUN_H51,4.8166,0.0129,0.0093,0.055,0.0332,5.7932,0.8398,0.5721,1.3442,8.0157,4.2345,0.4295,2.3534,1.5472,2.838,2.6701,1.9707,1.1557,0.4003,12.0959,0.3876,0.8382,2.9063,0.2431,3.6823,1.6801,1.1746,0.0615,0.3551,0.7814,0.0445,1.3922,0.399,0.0896,0.1926,0.2456,0.6664,0.5484,0.4375,0.2253,0.0816,1.4734,0.1393,0.1977,0.0
HUN_H52,21.9346,0.2325,0.1324,1.4348,0.431,69.9463,4.7873,3.6608,7.2134,11.028,17.0427,6.3299,17.6004,17.4882,11.5812,11.9371,18.0688,5.1247,20.7789,38.4016,1.685,9.2856,41.6863,13.6492,74.7072,271.8999,344.6915,4.8609,142.9425,336.5865,6.4929,14.3833,7.4463,8.1348,5.178,8.9946,13.691,20.9622,20.8717,32.7336,5.8797,7.3421,11.6004,16.6114,0.0
