V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_A01_02,191.6961,0.1151,0.4421,0.4474,0.0183,208.0475,3.1865,56.6287,11.2234,0.0255,3.7995,4.2928,17.0911,3.253,5.6463,6.6109,1.6214,5.2201,3.5009,7.4432,0.5983,5.3919,11.403,4.9221,27.5255,56.6236,8.1364,0.1422,1.513,2.1154,1.1079,21.9314,2.4969,3.3456,1.7634,4.5695,3.7971,16.3291,5.7875,5.901,9.0762,7.8719,5.4588,4.0597,0.0
SVN_A03,0.0414,0.5801,0.0005,0.002,0.0001,0.4001,0.0232,0.0198,0.0169,0.0001,0.0213,0.0287,0.0238,0.0189,0.0271,0.22,0.01,0.0486,0.0173,0.0373,0.0013,0.0125,0.0454,0.01,0.0538,0.3859,0.0443,0.0032,0.0117,0.2257,0.0015,1.4516,0.2149,0.0165,0.0365,0.0518,0.0363,0.1311,0.0625,0.0312,0.1558,0.0705,0.5689,0.0822,0.0
SVN_B05_06,0.0291,0.0002,0.2978,0.1766,0.0113,1.1825,0.0872,0.0742,3.1097,0.0233,3.3899,1.1826,0.289,2.131,10.9867,0.3107,0.0217,0.0543,0.1062,0.3524,0.0055,0.0963,80.2875,0.6866,0.8622,3.2192,0.2613,0.0005,0.01,0.5631,0.0412,0.6314,0.0336,0.0632,0.0819,0.0651,0.3668,1.0878,0.2444,0.185,0.2948,1.3659,0.2522,0.0727,0.0
SVN_B07_08,0.3875,0.002,0.044,2.0611,0.036,1.8955,0.082,0.1294,0.9609,0.0003,5.1423,1.8142,0.1206,17.5566,17.7771,1.7549,0.0416,0.9995,0.0673,0.2555,0.0107,0.4452,0.6293,1.5789,21.1095,2.3662,0.9511,0.001,0.0203,0.8751,0.0631,1.0319,0.0553,0.0799,0.0271,0.2333,0.6396,2.2682,0.4609,0.8616,0.2588,2.0778,0.396,0.0469,0.0
SVN_B09,0.0279,0.0005,0.1379,0.3633,0.0698,0.0173,0.0009,0.0043,0.0519,0.004,0.0782,0.0162,0.0153,0.3013,1.0032,0.1002,0.0006,0.0093,0.0171,0.0035,0.0003,0.0071,0.6467,0.0345,1.2711,0.0148,0.0563,0.0007,0.002,0.0364,0.0002,0.0027,0.0002,0.0,0.0002,0.0001,0.0223,0.07,0.0178,0.0262,0.0014,0.0102,0.003,0.003,0.0
SVN_C10T12,75.7623,0.9509,0.101,0.7413,0.0026,199.5034,0.1678,0.6052,0.8328,0.0021,9.5537,3.7692,0.2933,0.5651,0.1602,2.3759,0.305,1.0211,0.6761,0.4772,0.0319,1.9233,1.9361,0.5329,4.1654,39.5254,1.9295,0.1122,1.7448,1.1849,0.057,133.4843,0.7887,0.1316,1.1701,8.0144,3.518,4.8592,4.154,2.309,35.5095,21.5282,9.2371,1.0021,0.0
SVN_C13T15,0.6381,0.043,0.1236,0.2159,0.0076,1.3376,106.8399,1.4042,1.4941,0.0086,3.2229,3.052,24.3193,1.334,0.8188,1.5329,0.2077,1.8486,0.8103,20.8818,0.0854,4.1149,0.9037,1.836,2.5641,9.7131,1.0575,0.0109,0.2079,1.2958,0.5263,2.7918,0.6095,0.3104,0.334,0.7846,1.4988,7.7295,1.9333,1.8468,2.2678,11.4453,3.4048,0.6487,0.0
SVN_C16,4.2206,0.0105,0.2177,0.1455,0.007,1.8581,0.3514,23.3982,2.434,0.0063,1.8085,1.8009,2.5342,1.4387,5.709,12.3811,0.4574,3.9646,3.0392,9.3161,0.1539,20.8796,3.6814,1.6809,23.4675,9.6412,2.5375,0.0215,0.3342,0.5016,0.0557,1.3156,0.3431,0.2838,0.3246,0.6588,1.1552,10.211,0.7638,1.7848,1.0162,1.5009,0.5814,0.416,0.0
SVN_C17_18,2.2837,0.047,0.0366,0.4029,0.007,25.6358,1.0832,2.2226,203.1462,0.1298,3.6924,80.8085,7.0459,7.2043,1.706,3.5033,1.6924,15.3314,2.9394,9.9105,0.2753,5.6904,3.284,5.2072,3.1857,70.8781,2.3858,0.0862,0.59,4.7495,0.6779,9.416,19.9156,3.8597,3.6885,18.7348,1.4294,50.8708,7.5916,8.1227,8.0007,4.9432,8.046,3.0115,0.0
SVN_C19,0.1213,0.0006,0.0007,0.0027,0.0009,0.0442,0.0085,0.0317,0.0349,0.0004,0.0413,0.0563,0.044,0.0602,0.0692,0.0919,0.0292,0.0613,0.0452,0.0788,0.0021,0.0687,0.0568,0.0559,0.1481,0.5204,0.613,0.003,0.0574,0.0471,0.0052,0.067,0.0917,0.0201,0.0452,0.1349,0.0682,0.4462,0.1037,0.0468,0.0463,0.0609,0.0392,0.0465,0.0
