V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_C20,68.2829,0.0728,0.5351,0.8418,0.0797,12.0871,19.6218,15.4872,6.3505,4.3359,278.9881,2.6378,107.0774,7.4787,0.2405,9.169,0.7178,0.8102,3.4083,4.4917,3.3214,29.4491,4.4189,3.2179,25.73,52.3214,28.1422,3.0131,1.089,4.057,0.0289,2.4622,2.4317,0.1971,0.1766,0.5793,4.1192,3.7721,2.6942,4.2187,3.4121,5.3409,0.6813,4.6987,0.0
LTU_C21,6.5277,0.0565,0.0195,0.0125,0.002,2.3728,0.6402,0.6852,0.2107,1.299,1.0371,0.2829,0.4197,0.1956,0.0218,0.3784,0.108,0.1052,0.1729,0.146,0.0619,0.9023,0.3457,0.1153,1.0469,1.3677,0.4914,0.0483,0.0836,0.0622,0.0093,0.1726,0.0828,0.0266,0.0931,0.0502,0.17,0.2067,0.1554,0.5145,1.6784,18.4261,0.104,0.1508,0.0
LTU_C22,76.0302,0.5127,0.4859,0.3617,0.0353,59.746,6.9131,3.9553,4.0474,24.1782,7.2922,2.0391,18.2988,2.7669,0.9076,8.3739,7.686,6.7309,10.1006,3.073,2.6838,8.9392,0.4382,5.9358,41.4324,16.8262,0.826,1.5337,3.1255,0.1485,0.1095,0.7041,1.0084,0.7337,0.1525,0.4575,4.3322,2.2834,5.7054,13.0594,1.5179,2.1066,0.2929,0.4349,0.0
LTU_C23,26.1964,0.8958,0.0272,0.0656,0.0391,25.0543,1.4661,39.4253,1.6964,1.0116,0.6614,1.1682,12.8494,17.1579,0.0557,1.7485,0.4658,6.7449,0.541,1.8787,0.5494,1.8724,0.4591,3.7276,107.0196,8.4,1.1536,0.9743,0.2081,3.8921,0.0312,1.8138,0.7526,0.8633,0.2451,0.1511,22.5915,1.8734,1.7882,0.5805,1.3594,0.6387,0.215,1.5165,0.0
LTU_C24,0.9403,0.0054,0.0,0.0431,0.0184,0.0208,0.3124,0.0814,0.0564,0.0102,0.0005,0.0691,0.1056,0.0784,1.9446,9.5244,1.6168,4.1118,9.2005,3.6829,0.3721,2.069,0.2344,1.6068,19.7502,0.312,0.0349,0.046,0.0004,0.4045,0.0,0.0102,0.0001,0.0022,0.0,0.0423,0.0315,0.406,0.2755,0.0075,0.0087,0.0307,0.0051,0.221,0.0
LTU_C25,21.1619,0.2133,0.1586,0.1321,0.0714,6.8489,2.7147,23.0791,3.3796,11.6039,1.1023,0.1284,5.7155,3.0917,0.7765,73.176,1.4484,5.9687,7.8867,22.5768,5.8918,25.7039,1.8107,1.3924,45.0926,7.9008,6.4248,0.6966,1.5134,1.7119,0.1362,0.4506,0.2751,0.9354,0.8826,0.9151,2.6046,4.3814,5.7494,1.8032,0.7758,1.3922,0.8679,0.7393,0.0
LTU_C26,1.0799,0.0361,0.027,0.0325,0.0067,1.2791,0.6403,0.4731,0.1163,0.9128,0.4576,0.0132,0.2247,0.1621,0.0115,0.4994,10.8779,0.3369,1.1609,0.1524,0.0351,1.6476,1.1028,0.3534,1.7955,2.3214,5.1986,0.0389,1.0351,0.0765,0.0808,0.1894,1.2141,0.9122,3.2912,0.6469,0.4136,1.2208,1.0041,2.5652,0.6567,1.3965,1.2929,3.3265,0.0
LTU_C27,1.4097,0.0311,0.0277,0.0337,0.0068,1.0066,0.5313,0.6879,0.1581,0.9216,0.2731,0.0139,0.2191,0.1641,0.0187,3.3724,1.0416,9.6856,1.3551,2.4545,0.1189,3.8534,0.7079,0.2881,4.4649,0.887,1.2854,0.151,0.1659,0.2292,0.0218,0.1465,0.9681,0.2004,0.2169,0.3622,0.4025,0.5338,1.5707,0.4388,0.4832,0.8207,1.8481,0.2336,0.0
LTU_C28,19.0831,0.1523,0.4434,0.3022,0.0398,7.8043,1.8364,1.7794,0.4368,1.1334,0.7456,0.0587,0.4009,0.5089,0.0331,3.2653,0.9957,0.4426,6.0977,1.4502,0.117,4.0185,1.2084,0.8996,8.6376,7.6396,1.8103,0.2364,0.6028,0.2868,0.0171,0.3259,0.1743,0.1251,0.3196,0.1712,0.3764,0.564,4.0112,0.665,0.7299,0.7946,0.2145,0.4374,0.0
LTU_C29,1.6812,0.1103,0.0431,0.059,0.0051,0.9565,0.3535,0.5646,0.093,0.2235,0.036,0.0022,0.1022,0.1678,0.0184,0.9293,0.1939,0.2136,0.2999,15.0432,0.0973,0.4111,0.1008,0.4373,5.2841,15.4564,7.3784,0.0285,0.4102,0.2599,0.0304,0.0238,0.0622,0.0608,0.2018,0.0965,1.008,0.6568,2.3635,0.4127,0.1353,0.1779,0.1428,0.1735,0.0
LTU_C30,0.1185,1.8151,0.003,0.004,0.0004,0.0,0.0,0.1232,0.0016,0.0,0.0003,0.0,0.0,0.0248,0.0,0.0,0.0,0.0,0.654,0.0861,0.1448,25.8243,0.0016,0.003,0.0013,0.1241,1.5673,2.1566,0.4824,0.0408,0.0,0.0,0.1316,0.0,0.0,0.0044,0.0,0.4054,0.1444,0.1272,0.0384,0.0775,0.9908,0.0029,0.0
LTU_C31T33,52.8699,0.6755,2.0364,2.1619,0.1803,20.6278,7.6388,28.0705,4.1699,20.7365,4.7697,0.53,5.3112,7.9552,0.2332,8.0688,0.7314,2.6068,1.9125,2.2545,0.6488,96.7213,29.3263,15.8959,52.5523,44.6968,94.6927,3.9515,12.0713,8.4508,0.3326,3.2232,7.432,4.0911,3.138,8.0688,11.1865,18.7537,15.2094,28.6754,14.998,64.6369,4.8277,3.2661,0.0
LTU_D,82.3092,1.048,1.1732,2.4781,0.1607,64.6916,12.1762,27.5191,21.282,21.4876,50.302,0.7762,23.09,22.9747,2.4481,16.7289,5.6241,13.634,7.1651,2.142,0.5761,41.1877,172.1397,19.3835,10.5288,60.7344,10.0294,0.4495,4.9406,5.4437,2.0643,24.2462,2.3268,17.2026,6.6688,5.2243,85.4397,14.9949,12.7193,51.4402,23.9069,42.3511,13.4915,6.4769,0.0
LTU_E,3.1906,0.1131,0.1592,0.2142,0.0462,17.827,1.8268,2.6642,4.6044,4.5235,1.6615,0.3112,0.9186,6.0135,0.1516,1.755,0.4571,0.5515,1.025,0.4082,0.0819,7.8308,52.7308,104.8159,5.9943,72.9444,2.9464,0.4274,1.8587,0.9605,0.1468,5.9228,1.0858,0.5221,0.3752,1.2363,11.8456,4.382,5.3499,8.5356,6.8125,20.0782,3.0341,1.6781,0.0
LTU_F,38.4883,2.8806,0.1091,1.5637,0.1271,35.6982,6.6913,5.6216,1.9546,17.995,3.7698,0.3343,2.3684,3.1109,0.1417,9.1193,0.4895,1.218,4.2509,4.8064,0.4216,5.1304,102.6376,8.6744,350.7143,35.8773,6.6435,0.2846,2.7192,20.3387,0.6226,5.9343,1.0147,19.7382,15.6874,10.6334,48.7099,59.625,33.2281,42.078,23.1894,9.9808,17.2025,8.3556,0.0
LTU_G,248.761,10.09,2.952,2.4632,0.3781,444.0628,52.707,92.8574,32.6432,143.1279,139.3696,3.6066,52.8192,25.1343,2.8498,48.2413,14.68,15.2711,24.3325,32.4067,7.552,116.6519,54.2857,20.5489,160.3882,208.4493,185.5507,8.3713,34.9268,18.6517,3.7692,38.7433,18.9672,7.6315,19.5757,11.8695,54.5731,44.9476,55.2521,61.7675,27.0074,73.0835,14.3824,13.4228,0.0
LTU_H49,58.9301,1.3419,15.2999,7.2795,0.2012,164.0728,9.9755,46.192,25.7366,123.157,44.1296,1.4567,16.561,39.602,0.8924,27.2281,1.7005,27.1714,11.2865,9.9872,0.9933,71.9383,48.8771,6.512,71.506,233.9177,314.892,4.182,5.7445,247.1941,0.7993,4.3734,3.0878,2.2824,2.5648,1.2341,5.983,10.1589,10.8786,9.4857,4.8669,7.734,2.5392,5.7019,0.0
LTU_H50,1.3633,0.0032,0.0146,0.0134,0.0008,1.8343,0.3016,0.0361,0.183,4.5944,0.0256,0.0058,0.1205,0.0888,0.0668,0.4287,0.0667,0.101,0.264,0.3912,0.0087,0.2373,1.5238,0.0815,1.3516,0.3772,0.3057,0.0073,0.1266,0.0365,0.01,0.1799,0.0248,0.034,0.0622,0.0409,0.312,0.1946,0.2693,0.0798,0.0982,0.3809,0.025,0.0693,0.0
LTU_H51,0.7581,0.0376,0.0186,0.0256,0.0008,1.7931,0.2874,0.4581,0.3062,8.8672,1.1562,0.0151,0.4348,0.3158,0.0786,0.4302,0.024,0.1861,0.2947,0.2405,0.0227,0.6012,1.4602,0.1354,1.6284,0.5954,1.6322,0.0471,0.0258,1.0753,0.0207,0.1684,0.0334,0.0284,0.0237,0.0453,0.0646,0.0796,0.1709,0.0658,0.0229,0.1708,0.0407,0.0484,0.0
LTU_H52,15.6758,0.4126,0.2324,0.1863,0.0586,30.0244,2.7863,6.169,2.2897,15.3052,6.882,0.2119,4.6493,3.7427,0.7238,4.0474,0.8071,1.0589,2.8672,2.0693,0.3471,12.0491,3.9604,3.3332,14.7603,48.6362,184.0009,4.5953,1.67,148.087,0.8667,1.5982,0.9031,0.8419,1.2587,1.7398,4.3155,5.5766,7.1682,2.8877,1.6524,3.2796,0.6471,1.0853,0.0
LTU_H53,0.4735,0.0156,0.0611,0.0187,0.0101,2.3285,0.6172,0.3214,0.0742,0.2832,0.2253,0.0026,0.1961,0.0708,0.0268,0.2891,0.1726,0.1005,0.4384,0.0455,0.0332,1.0765,0.8185,0.6742,1.5602,5.7159,0.9506,0.0454,0.8856,18.5746,6.3636,0.3844,2.7858,0.7361,0.9109,4.2734,3.4935,6.1711,1.8541,14.9838,0.8406,1.4887,0.3399,0.7148,0.0
LTU_I,1.2275,0.0132,0.0706,0.0338,0.0398,1.6361,0.7905,0.5939,0.1742,4.8033,0.4201,0.0017,0.1889,0.3634,0.4023,0.2388,0.3164,0.6023,1.1779,0.5458,1.4189,1.4292,0.2646,0.1089,0.6269,11.4907,0.7408,0.7507,12.3473,0.5905,0.1285,1.3701,0.7599,1.4162,5.9125,4.0341,0.0633,12.1965,53.9677,17.6417,8.0002,28.6869,6.9477,0.6159,0.0
LTU_J58T60,1.8915,0.1865,0.0575,0.1089,0.0076,3.6679,0.5214,0.5967,0.4475,0.853,0.6977,0.0157,0.2581,0.2357,0.0806,0.3147,0.181,0.4252,0.365,3.0116,0.1656,3.1127,0.9104,0.4678,1.318,14.8334,1.7235,0.1683,0.8333,0.9061,0.1349,0.6282,6.6335,2.7163,4.9377,3.2961,1.5411,13.9723,3.0674,2.5532,2.4996,1.4799,1.6264,1.9524,0.0
LTU_J61,4.8661,0.5798,0.2078,0.0594,0.037,10.1721,1.4545,2.195,0.8142,3.6733,2.1629,0.1256,0.9059,0.7396,0.2157,1.5812,0.9542,1.1461,1.2974,0.5855,0.2999,3.3681,5.7342,1.8324,3.9938,25.0384,2.9768,0.3283,2.4581,1.1473,1.4811,1.5962,2.4421,32.203,11.0658,7.8848,3.9579,19.7277,5.2897,4.8291,3.6372,3.6855,2.5594,2.1859,0.0
LTU_J62_63,4.2115,0.0921,0.1962,0.0592,0.026,7.9612,2.3387,1.5466,0.6703,1.9935,1.6653,0.0526,0.565,1.2242,0.0361,1.2787,0.8262,1.7772,2.0872,1.4537,0.1816,1.9366,15.0074,1.9617,2.9309,67.0393,13.4795,1.0906,18.3745,0.7205,1.5098,2.1541,2.7977,27.1094,17.9048,34.7017,10.0776,35.6519,7.6906,15.1698,12.53,7.331,2.2192,7.3202,0.0
LTU_K,21.8753,0.8923,0.5578,0.3977,0.2141,22.537,7.1566,6.5301,3.5228,18.9361,8.7671,0.7527,4.3246,2.7766,0.6147,4.7454,2.3419,3.5189,3.1586,3.6513,1.0119,12.1509,9.4657,3.7528,19.831,84.684,32.5796,3.3568,2.7892,10.1207,0.864,5.7481,2.1221,5.5669,9.0743,182.3131,34.6981,19.6986,23.6601,108.3879,5.3715,5.9574,3.1354,20.0067,0.0
LTU_L,70.0806,1.2676,0.326,0.2894,0.152,20.1751,8.1705,4.5654,1.1638,4.4946,3.7202,5.6977,2.3969,4.5577,3.5198,9.7296,5.5563,6.09,8.7185,1.672,0.1971,40.4284,15.7574,6.4562,72.8767,334.9723,37.9644,0.7184,6.5934,16.6843,4.5003,42.0046,20.9924,25.4408,69.6063,46.2985,266.8567,70.6099,51.5845,65.7376,23.095,21.7434,27.0319,43.2109,0.0
LTU_M,111.0884,0.2954,0.4016,0.2849,0.4867,73.1667,13.2433,10.7437,6.8933,6.4738,24.5114,3.1632,3.9957,7.066,0.5604,3.3145,2.0914,12.7808,7.7305,7.6842,0.7634,38.2483,43.4508,10.3655,144.8072,244.3412,35.5169,10.3273,21.7928,11.8694,3.0738,21.8482,17.5403,37.9732,40.8247,82.9947,79.208,166.6358,54.4537,83.0037,13.9073,16.7238,11.1002,23.8941,0.0
LTU_N,10.6067,0.3176,1.2769,0.8095,0.2972,67.6196,5.3631,9.794,1.4555,7.3954,5.8109,0.1099,4.1442,1.8413,0.5103,7.8996,7.8028,3.6642,5.7055,1.4916,0.4264,11.2817,27.2254,7.68,87.9971,137.3752,49.7867,3.9538,31.3901,14.3187,4.8627,15.9791,6.1979,28.3968,28.8584,22.6218,105.583,109.6558,97.3343,30.6691,15.2561,18.4393,8.7454,11.5082,0.0
LTU_O,5.0962,0.1328,0.3153,0.1537,0.0333,6.8753,1.1094,0.8556,0.519,6.0019,10.3849,0.538,1.0605,0.6267,0.1384,1.5082,0.519,0.8131,1.0721,0.4055,0.5345,3.4789,2.9556,1.406,3.2214,21.772,2.6988,0.4558,0.8026,1.2742,0.458,2.7202,1.3381,3.1888,4.219,17.9936,16.6243,69.8579,4.5027,24.4584,1.7697,4.2959,1.5203,5.728,0.0
LTU_P,2.0288,0.0177,0.0138,0.035,0.0064,3.4784,1.5112,0.6565,0.1731,0.5284,0.9691,0.3149,0.1902,0.2235,0.017,0.4024,0.9685,0.194,0.5384,0.609,0.1633,5.2248,4.1617,1.4823,4.3132,14.6342,1.0734,0.7081,1.7643,0.5906,0.175,0.7644,0.3837,1.2034,19.9884,11.3924,2.7061,11.5852,3.4252,8.3612,26.0176,5.6783,2.3707,1.5999,0.0
LTU_Q,0.5447,0.078,0.7705,0.0038,0.0044,1.9085,0.4966,0.0759,0.1009,0.0436,0.1366,0.0251,0.4885,0.1552,0.0191,0.2031,0.0783,0.065,0.5857,0.083,0.2086,0.49,0.7862,0.1773,0.3451,2.011,1.4918,0.0319,0.2826,0.3026,0.1091,0.4236,0.0931,0.3807,0.3505,0.6908,0.6273,1.2706,0.7197,8.8118,0.8757,63.4286,0.3859,1.0786,0.0
LTU_R,0.5699,0.4769,0.0394,0.0226,0.0016,1.1179,0.0928,0.1436,0.0751,0.1413,0.3208,0.009,0.1384,0.0759,0.0104,0.4803,0.2,0.0892,0.1134,0.3115,0.0141,0.8695,1.2391,0.1042,0.4194,2.1834,0.8236,0.3055,1.0708,0.2052,0.0637,0.9249,2.094,0.5784,2.4,1.9105,0.6648,6.1104,4.5603,2.2928,1.153,2.9254,30.8718,5.406,0.0
LTU_S,5.5777,0.566,0.3294,0.3058,0.0107,2.0338,0.8101,2.046,2.6397,0.296,0.3313,0.0125,2.1041,0.7931,0.1094,0.1925,1.7636,1.798,0.2019,0.7049,0.0467,0.8084,3.2058,1.3311,1.0222,6.9889,1.7302,0.3661,0.6814,0.4904,0.4665,7.0658,3.1959,1.1082,5.3221,3.9589,0.8949,16.7027,2.451,7.8754,4.6618,2.2375,1.1066,6.0454,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
