V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_A01_02,270.1634,1.1981,0.1342,0.0788,0.0041,635.6492,7.8278,92.5571,9.6053,1.6579,124.5781,0.4807,0.4669,0.3671,0.0234,0.4566,0.1359,0.2191,0.2614,0.182,0.0566,6.4205,0.809,0.2648,16.7845,58.1614,1.7322,0.0743,0.1983,0.9883,0.0141,0.3203,0.1373,0.0388,0.1421,0.0581,3.6054,0.92,2.2188,0.543,2.3418,2.7666,0.9401,2.1377,0.0
LTU_A03,0.1079,0.4519,0.0006,0.0005,0.0001,66.8632,0.0848,0.0091,0.0083,0.0202,0.076,0.0007,0.0039,0.0044,0.0005,0.0048,0.001,0.0026,0.0025,0.0019,0.0003,0.0145,0.0676,0.1301,0.0127,1.8983,0.0098,0.0006,0.0487,0.0063,0.0005,0.9465,0.0353,0.0016,0.0013,0.003,0.0187,0.0744,0.0525,0.1843,0.1058,1.8158,0.1268,0.0125,0.0
LTU_B05_06,1.5889,0.0222,0.1025,0.14,0.0056,1.7099,0.3492,0.4782,0.581,56.5173,0.7368,0.0123,0.1681,0.4043,0.0165,0.1749,0.0454,0.0782,0.0786,0.0895,0.0287,0.7758,10.5134,0.0998,1.7084,0.7564,0.4322,0.0224,0.0371,0.2165,0.0045,0.183,0.039,0.0121,0.0372,0.0173,0.3262,0.0858,0.3679,2.091,0.0558,0.1491,0.0466,0.056,0.0
LTU_B07_08,1.5999,0.004,0.0,0.0342,0.0325,0.123,0.7769,0.0,0.0891,10.6145,0.0685,0.0004,0.0002,15.5882,0.1298,0.2715,0.0,0.0025,0.0914,0.0282,0.0,0.0157,0.0727,0.0231,35.4397,0.0204,1.3352,0.0,0.2178,0.0002,0.0001,0.0217,0.0005,0.0,0.0002,0.0,0.0146,0.0109,0.058,1.1413,0.0086,0.0024,0.004,0.0918,0.0
LTU_B09,0.1329,0.0066,1.0163,0.2613,0.1554,0.1048,0.0048,0.0121,0.061,12.0003,0.2724,0.0017,0.0212,0.395,0.0527,0.0606,0.0007,0.0034,0.0129,0.001,0.0012,0.02,1.2467,0.0324,1.7478,0.0325,0.1662,0.0027,0.0037,0.0925,0.0001,0.0028,0.0002,0.0,0.0002,0.0001,0.0459,0.0495,0.0252,0.0527,0.0022,0.0136,0.0031,0.0034,0.0
LTU_C10T12,115.8554,8.2418,0.0149,0.0198,0.0026,319.7136,13.9192,0.0331,0.3413,0.0085,35.2693,1.8697,0.0279,0.0163,0.2191,0.0233,0.0063,0.0147,1.7633,1.159,0.0093,0.9326,3.8199,1.0682,0.0089,18.644,0.0384,2.3697,2.6954,0.0092,0.0082,60.4236,0.0232,0.0738,0.2035,0.8596,0.1559,1.3878,1.1344,0.9675,2.9638,34.0326,3.9844,0.1619,0.0
LTU_C13T15,20.476,0.212,0.1882,0.0655,0.0214,6.9648,41.0769,2.2395,1.8765,3.3476,2.0185,0.0682,1.2099,0.6464,0.0843,3.0096,0.3328,0.5335,1.0878,1.9616,4.5656,8.8407,8.7756,0.6199,6.0362,10.7437,3.3019,0.5284,5.6503,5.9888,0.1357,0.9046,0.3776,0.5212,0.5726,0.5631,1.5629,8.8528,2.7552,4.1456,0.8844,3.37,0.6598,0.8387,0.0
LTU_C16,25.5572,0.3255,4.9584,0.8428,0.006,2.58,1.9147,140.1469,16.5616,10.5952,0.6283,0.0107,2.3227,3.2573,0.0117,1.7369,0.0708,0.5835,0.2482,0.9192,0.2868,285.8966,17.8064,0.1554,18.4106,2.7316,0.547,0.4563,0.5565,0.4568,0.2191,0.7744,3.4182,0.0651,0.0927,0.1782,1.2224,13.2488,3.7052,1.0135,0.5848,0.9737,0.1785,2.0938,0.0
LTU_C17_18,9.8546,0.5075,0.0243,0.0452,0.0082,35.9234,21.7836,2.5287,66.4737,20.6827,2.7015,1.8526,2.6088,1.7704,0.1832,2.1077,0.5683,0.8963,13.1501,0.1784,0.333,6.3856,3.3613,7.0522,1.3537,18.9622,1.269,0.4475,3.6224,0.2547,4.4372,1.2328,30.6753,1.0879,18.9349,5.4707,6.1137,19.9244,5.943,78.9314,48.3899,4.3443,4.5381,0.8803,0.0
LTU_C19,98.1348,9.7741,1.2776,1.8531,0.2648,21.3788,6.2064,5.4998,12.5539,34.4745,6.4149,0.1126,8.3079,9.0192,0.8379,3.5617,0.362,1.1687,4.2144,0.4569,0.7855,8.7462,31.1794,13.0114,35.7573,61.9152,212.7917,8.1715,11.7071,8.2174,1.1092,2.5999,4.2936,2.092,2.2693,3.8835,18.5477,9.8725,21.8693,27.5833,2.6776,8.3941,4.5796,4.1259,0.0
