V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_I,5.0253,0.7313,3.7374,5.9344,0.8384,18.2614,19.3991,3.2096,0.2305,2.4369,2.8428,1.0801,0.3919,0.1954,0.1692,0.0254,0.2297,0.0225,0.0521,0.0013,0.0008,10.3514,5.9449,2.2194,30.4895,417.507,21.5606,3.7424,30.1884,13.8711,3.924,11.1474,35.734,40.1068,40.6405,16.5786,0.0761,11.2988,2.078,163.4933,65.8499,8.5478,16.6744,7.1046,0.0
CMR_J58T60,0.1112,0.002,0.3175,0.0283,0.0515,0.3891,0.2739,0.0803,0.1067,0.0251,0.0798,0.0272,0.002,0.0118,0.001,0.0002,0.0,0.0017,0.0034,0.0,0.0,0.133,0.0386,0.0104,0.1054,3.023,0.158,0.0384,0.1319,0.1867,0.0507,0.1629,4.806,1.8125,1.0104,1.6429,0.4739,3.0999,0.7218,3.2073,1.508,0.1325,0.0243,0.2343,0.0
CMR_J61,0.3736,0.0056,0.9133,0.0996,0.1751,0.5857,0.7654,0.2087,0.1329,0.0435,0.1116,0.0347,0.0053,0.0306,0.0027,0.0005,0.0001,0.0038,0.0093,0.0001,0.0,0.3749,0.1131,0.0328,0.4507,5.6554,0.6474,0.1183,0.2475,0.5847,0.1801,0.3332,0.4975,5.1723,0.7194,5.0472,1.2286,3.3383,1.3085,6.6156,1.1836,0.3498,0.0214,0.4459,0.0
CMR_J62_63,0.6146,0.0081,2.077,0.2709,0.3366,1.0654,1.9922,0.3697,0.317,0.1051,0.3503,0.1108,0.011,0.0708,0.0089,0.0011,0.0002,0.0104,0.021,0.0002,0.0001,0.9182,0.3535,0.0831,0.7681,13.0263,1.0874,0.2719,1.0937,1.2975,0.3771,0.3361,2.9434,4.8876,10.7099,16.7914,2.2568,10.7536,1.7667,17.7231,3.2195,0.7753,0.0543,0.9473,0.0
CMR_K,2.7287,0.2101,37.9485,3.9813,5.3882,10.5655,10.7113,0.882,1.4874,1.7451,1.5899,0.4367,0.3811,0.7313,0.2902,0.0345,0.0217,0.0687,0.1533,0.0269,0.0108,2.2427,1.7977,1.4006,9.3109,44.8728,22.6011,6.2786,11.7901,17.9228,2.0779,4.0998,3.0807,6.8437,4.7269,95.1167,69.3726,30.256,53.8745,11.4273,10.7712,0.9994,2.1108,2.1736,0.0
CMR_L,0.8352,0.0284,0.1792,0.286,0.0321,4.0164,11.6499,0.6866,0.0732,0.1031,0.0707,0.0226,0.0572,0.0036,0.1159,0.021,0.0,0.0143,0.0333,0.7617,0.4347,2.2829,0.7849,0.944,1.9651,96.5521,13.6597,2.2849,5.9868,21.3591,2.3795,23.1662,0.5743,1.3574,0.8739,12.3994,1.5086,13.9996,2.8933,40.0124,0.1677,1.6528,0.5463,3.0672,0.0
CMR_M,95.6919,0.4778,28.883,2.2841,5.8915,14.8423,53.762,0.2067,9.355,0.5238,0.0027,0.0013,2.6222,31.4953,0.6656,0.087,0.0011,0.0244,0.0471,0.0028,0.0014,3.6269,4.3786,2.7271,64.5087,59.5368,10.7004,3.3939,6.1878,12.3007,1.537,2.9188,30.9735,40.3979,37.0706,42.3842,51.3443,46.9528,52.8971,56.8475,17.6736,2.2299,15.0643,15.9419,0.0
CMR_N,4.2149,0.0262,6.4225,2.5217,1.3147,20.6364,3.0922,1.0423,0.1734,1.1394,0.1141,0.043,0.1793,0.0223,0.0443,0.0066,0.0,0.0006,0.0012,0.0005,0.0003,1.6032,0.5627,0.0456,1.2182,17.833,3.9872,1.5612,3.5815,4.3186,0.5642,1.3141,0.2447,0.4111,0.365,0.0794,4.9113,2.1613,3.947,229.3724,0.2208,0.1898,0.1479,0.7298,0.0
CMR_O,0.0033,0.0008,0.0017,0.0008,0.0003,0.0049,0.0006,0.0,0.0002,0.0014,0.0002,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0003,0.0001,0.0032,0.0056,0.0034,0.0009,0.0019,0.0044,0.0007,0.0003,0.0006,0.001,0.0014,0.0009,0.0,0.0043,0.0027,0.0771,0.0016,0.0002,0.0002,0.0003,0.0
CMR_P,0.4198,0.0054,0.1159,0.0052,0.0155,0.268,0.0253,0.0318,0.0248,0.0606,0.0145,0.0089,0.003,0.0475,0.0009,0.0001,0.0,0.0006,0.0017,0.0,0.0,0.0104,0.0222,0.0017,0.4304,0.7413,0.0849,0.0248,0.0726,0.0982,0.0157,0.0183,0.0884,0.1443,0.2041,0.1284,0.0084,0.6325,0.4122,11.5237,0.2393,0.0282,0.0263,0.0243,0.0
CMR_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5951,0.0,0.0,0.0
CMR_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.47,0.0,0.0
CMR_S,1.6127,0.4136,0.0,2.7425,0.0,0.8317,0.0279,0.2595,0.0036,0.0,0.0033,0.0009,0.0012,0.6324,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0736,0.0,0.0042,1.85,7.6472,3.0491,0.8489,2.0083,2.9821,0.5555,0.1621,0.0662,0.0658,0.0626,1.8775,0.0509,0.8793,2.6161,0.0524,0.1842,0.0081,0.0238,47.1325,0.0
CMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
