V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_C30,2.5149,13.0026,0.2573,0.2925,0.0606,4.2615,4.4367,0.2166,0.6208,0.1546,1.0168,0.1633,1.3634,0.7846,1.2455,4.115,11.2526,5.8231,14.3829,39.053,253.9859,221.1488,0.7299,0.2672,19.5347,17.2719,46.1091,0.8533,12.8879,0.2453,0.112,1.8504,0.2643,1.2578,72.8084,0.5425,2.276,1.2221,2.3156,18.455,0.4567,6.6574,0.3637,7.5813,0.0
TUR_C31T33,61.0007,125.4106,41.7955,45.8695,6.2738,397.5794,701.9533,62.9388,101.2455,1.6371,67.788,20.4969,258.8275,329.2975,106.2633,223.8575,54.9501,101.4413,242.4943,237.7948,52.9749,1563.5992,4.5727,57.0224,1151.5997,405.5441,163.5332,54.6186,294.6147,112.3995,2.9215,187.6859,22.3584,76.458,25.1044,208.4114,64.8598,70.5511,108.5576,111.5713,88.6042,1082.4055,62.6088,115.965,0.0
TUR_D,1327.4655,9.8839,169.154,122.8831,15.3006,2427.8617,3046.2013,376.293,740.2741,0.5953,966.4791,155.5036,1689.484,3729.2035,3909.9851,1248.8614,87.1545,537.2357,938.5349,1113.88,108.7681,613.9093,5500.3989,1002.2292,1302.4106,5227.0626,667.0283,24.9469,30.3064,441.7119,78.5104,3139.2547,242.1278,663.096,114.4729,799.835,2976.4815,735.5767,344.4554,3598.4707,2145.7127,1516.0756,572.7514,519.747,0.0
TUR_E,188.2314,0.3319,0.8955,1.0535,0.9517,68.1299,104.8512,3.9445,335.2266,0.5751,75.8624,3.5686,106.1286,52.3332,6083.4858,83.7679,22.6849,91.0128,49.2261,94.4118,2.1913,37.5361,4.8318,1943.0634,113.4745,168.2122,41.2969,1.3531,4.2814,16.3996,3.0512,157.1233,3.558,9.4148,2.4308,24.7057,446.6321,87.5852,14.1636,190.7894,112.1241,140.2085,45.3697,53.772,0.0
TUR_F,252.5306,6.8369,49.1716,59.4476,5.5545,339.3921,234.4459,51.3217,57.5289,8.3735,104.7524,18.3741,136.113,299.0236,139.951,215.0846,62.767,117.6524,163.3105,188.4624,49.782,296.7271,51.138,974.6279,36773.1134,1581.9989,467.4662,17.1513,62.6079,45.1,39.9479,288.1013,66.9672,223.8353,27.2617,131.5663,1682.9078,409.3013,250.6731,2638.0582,213.5361,241.774,448.3106,152.2145,0.0
TUR_G,3692.3797,58.7715,252.9665,518.8321,12.4424,7060.3945,7598.5794,272.8938,959.491,218.1304,1408.4344,327.0606,1735.5456,1309.0296,1390.9077,1238.7703,523.1704,1457.7213,1241.0008,3197.7514,179.3451,2035.1531,1025.3865,306.0812,8376.5117,3434.3672,5580.6572,179.0261,1266.2068,334.3247,164.0177,2968.4932,178.5475,149.2772,106.2381,300.5568,865.4195,562.4773,814.474,1606.1431,333.3393,1082.8505,163.474,698.2626,0.0
TUR_H49,1385.1646,15.2466,117.8277,215.4692,9.9051,2430.807,1231.1734,124.9137,361.9747,108.1349,578.5902,82.0859,528.8155,740.2574,964.4985,649.1899,90.2182,525.0274,591.8812,788.6468,63.5406,638.7627,455.3195,223.5641,2736.8001,4213.5075,18760.8267,129.9195,372.0734,485.8701,375.7558,564.315,116.6543,103.7505,40.5177,89.9917,257.7479,523.4148,572.3949,1313.1996,914.1055,223.1014,113.195,254.9815,0.0
TUR_H50,39.7946,1.2666,4.9758,7.9963,1.5041,97.2538,75.4997,10.045,19.7296,60.9584,54.6484,8.8203,44.8487,43.374,112.22,47.612,7.043,28.8905,30.8016,59.5771,11.2939,35.0528,236.101,6.0004,90.2774,380.5046,393.8611,341.9127,114.0923,353.2444,2.2658,17.9832,1.7745,1.7617,1.4592,5.0348,10.5096,77.9813,11.4344,36.1102,2.5157,14.6171,63.4329,8.4028,0.0
TUR_H51,42.4831,1.7009,4.2236,7.5917,1.8159,75.2823,70.3172,11.914,19.4611,72.7999,35.4849,6.609,27.3177,28.7989,51.8784,24.7011,8.0292,29.9335,22.0918,50.8999,4.0636,27.9103,282.6768,5.8493,99.9034,70.3025,91.7752,7.6114,393.4452,12.0137,30.4374,19.7049,3.5049,2.1574,4.0718,31.5241,12.5174,28.1063,295.5374,75.8225,8.334,20.0877,8.9652,20.3269,0.0
TUR_H52,152.3473,20.2372,21.2995,116.6922,2.7005,456.7835,229.3287,25.0981,72.8557,31.7063,210.8461,16.7541,120.063,102.4671,156.8907,108.7068,18.7173,105.2708,74.477,148.8995,21.4891,93.4336,127.5143,43.6756,504.922,1103.639,2285.9842,799.7566,861.7535,1217.7481,97.9494,89.5745,8.1528,10.0664,6.8583,42.8823,66.4679,46.538,233.1436,137.679,16.3528,29.2103,33.846,65.5999,0.0
TUR_H53,3.7956,0.1969,1.1365,4.604,0.3227,41.5221,78.2509,3.2393,18.6765,0.721,20.5955,4.5691,23.7086,17.6604,10.625,27.8755,7.4182,22.0288,33.6229,11.1433,3.5015,53.1845,3.3617,6.6235,67.41,1016.9468,172.6555,9.2957,17.008,65.402,164.6405,14.4953,38.3272,120.9781,14.3021,134.7166,4.9515,89.0798,164.0908,79.8127,28.1091,8.2507,9.8765,72.406,0.0
TUR_I,7.5256,2.693,2.7639,1.1717,1.4639,99.9413,86.6788,7.6001,30.0255,0.1299,33.3966,17.5324,37.952,40.1567,33.4881,79.0852,7.6196,65.2227,92.2606,59.116,18.9413,72.3663,1.0713,34.7794,268.3711,859.5218,180.9576,2.1434,62.3455,60.6426,19.9732,270.3782,39.8989,39.6592,62.6727,223.6479,28.2995,201.4266,2901.5885,290.2132,167.7173,290.5509,81.4336,138.1336,0.0
TUR_J58T60,5.6573,0.0954,0.6073,1.956,0.2027,116.5497,39.6677,2.2144,83.8953,0.6332,49.3997,4.6579,15.8644,21.0976,12.7086,20.199,36.3584,91.1682,31.6284,37.772,2.651,38.1804,2.6982,2.4731,46.4304,533.5439,29.7854,1.8735,5.4641,17.734,15.6966,41.708,1469.9853,187.1384,75.6551,143.7471,10.2514,1486.1158,112.0069,116.3119,103.6952,21.8346,41.5605,52.7285,0.0
