V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_A01_02,2601.1186,37.235,0.0142,0.0092,0.063,4216.005,65.8273,410.8283,61.2631,1.879,2.3078,0.4004,1.3751,2.0606,0.3376,0.0878,0.7162,0.7644,0.9928,0.4278,0.4184,72.0785,1.5894,0.7859,37.8734,176.3063,5.8256,0.5535,0.2661,1.5354,0.0015,10.1173,0.3407,0.0216,1.9279,1.0513,0.0205,36.4793,10.9643,0.2743,0.603,1.7407,1.6454,8.5932,0.0
ROU_A03,0.0001,20.3389,0.0005,0.0001,0.0002,201.1506,0.0,0.0161,0.0,0.0,0.0007,0.0001,0.0,0.0203,0.0,0.0763,0.0003,0.0,0.0,0.0,0.0018,0.0,0.0002,0.0111,0.0873,14.5288,0.0004,0.0,0.0,0.0,0.0,4.2707,0.0077,0.0002,0.0,0.0,0.0,0.1267,0.0,0.0,0.0,0.0225,0.0508,0.337,0.0
ROU_B05_06,0.0038,0.0,0.2402,0.0001,2.931,0.0063,0.0027,0.0344,0.0001,1254.1257,0.105,0.002,0.0749,0.0037,1.7384,0.0271,0.0,0.0,0.0,0.0032,0.2749,0.0241,959.8876,3.8397,0.0003,0.7246,96.0794,0.0,0.0,0.0,0.0013,4.0012,0.8381,0.0139,0.0003,0.0,0.0017,1.2023,0.0018,0.0004,0.0219,0.3219,7.5887,4.0765,0.0
ROU_B07_08,0.4659,0.0849,5.086,18.1104,2.6683,0.1154,0.843,0.058,0.3228,18.9947,1.7758,0.0331,2.322,143.4666,32.9039,2.8616,0.0037,0.051,0.0057,1.8194,0.154,0.214,27.6185,0.5862,23.1645,20.8145,2.4565,0.0273,0.0006,0.0,0.0,0.3752,0.0886,0.0,0.0,0.0,0.0286,4.7229,0.0336,0.007,0.0,0.0051,0.4623,0.77,0.0
ROU_B09,2.1362,0.0749,59.1789,5.399,24.5702,1.6328,0.1162,0.1199,0.4902,81.2812,1.5874,0.0222,0.3697,8.8224,16.5434,1.0154,0.0143,0.1444,0.2538,0.0882,0.0229,0.1788,36.5197,0.5059,46.1575,0.4736,2.3631,0.0239,0.0403,0.6889,0.0031,0.0627,0.0036,0.0,0.0066,0.0019,0.5921,1.241,0.3517,0.5207,0.0278,0.2521,0.0736,0.1075,0.0
ROU_C10T12,371.6981,0.8008,10.0803,1.7206,0.216,2483.4114,37.9149,23.6149,10.0429,5.5429,16.0702,18.4761,4.9796,13.7193,9.4789,15.187,11.662,28.7584,13.7118,49.5928,5.8636,16.6094,11.8941,25.4807,114.3758,575.4677,35.2169,3.9937,6.307,49.0919,7.7186,1113.0009,11.9636,22.478,39.5809,14.6373,10.2863,156.5857,55.369,46.6643,99.3119,277.4459,141.3534,320.606,0.0
ROU_C13T15,22.9739,0.1308,17.5687,0.5257,0.6857,32.2881,656.8851,39.208,8.6477,12.0167,13.0011,1.1783,62.0718,25.3994,22.3911,17.7637,17.4107,32.4077,33.8897,83.2837,9.8234,121.3133,34.2085,8.6203,125.5142,595.9737,77.6994,0.9214,0.8265,15.1407,2.3994,9.7138,26.6297,6.7287,10.4313,2.9508,47.8668,99.5531,18.4829,84.9767,7.6977,146.4103,5.6585,69.093,0.0
ROU_C16,20.8521,0.5735,0.573,3.4062,0.3313,13.2245,5.7836,427.9009,29.1014,2.8249,5.4262,1.0789,6.1854,29.8752,21.5249,8.2366,8.8743,19.9825,26.3051,26.4726,15.3599,368.8341,9.5293,6.9501,600.8885,258.2989,38.4003,0.3701,1.067,13.482,2.1248,1.284,3.2376,6.1969,11.3293,3.3001,22.6158,42.7909,14.804,0.5396,0.6142,2.0967,10.9926,10.325,0.0
ROU_C17_18,17.8205,0.6101,4.5899,0.5337,0.2813,21.5849,14.6166,23.1266,95.9567,1.7649,12.0423,2.4598,4.8917,21.7338,13.7647,13.0369,17.7136,41.8442,14.3648,53.8781,4.031,35.3655,23.1472,11.5809,33.8221,341.2774,15.1534,0.2952,7.6243,11.3977,12.0249,4.5219,62.857,31.4541,9.5899,41.7128,31.0294,50.2428,12.5688,64.2643,148.2363,38.4305,48.1964,12.2084,0.0
ROU_C19,641.5965,0.8535,23.4919,10.4704,11.866,77.6932,19.2411,44.8038,18.2919,24.2692,149.8127,3.0088,44.2057,82.1601,402.3689,35.5552,3.6393,19.2472,27.2799,95.7911,10.7432,23.4354,430.6034,21.3937,495.9275,1455.3731,1144.6538,23.1444,43.9649,38.0334,5.8727,3.5821,9.2406,17.7114,31.9619,18.0876,16.2306,139.8833,42.5034,41.6025,3.4204,15.2201,18.866,64.5833,0.0
