V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_A01_02,3923.98,70.7953,1.6149,0.848,0.1512,42567.6338,959.876,2413.4625,683.6243,10.8544,883.4761,288.6165,2564.023,51.1433,0.0027,38.3441,0.0928,0.0227,178.948,0.0011,50.1012,419.5719,0.7273,3.3298,3312.7333,150.7389,0.4717,45.2903,143.5172,0.6223,0.0027,5498.5429,0.0891,0.0125,0.0148,6.9941,2.2277,0.0178,5.1613,247.1706,30.2213,435.0576,104.5383,174.8453,0.0
IDN_A03,1.1521,466.3334,0.0,0.0,0.0,3209.0189,0.2568,0.3359,0.0,0.0,134.7736,5.4016,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,187.6303,0.0,15.547,0.0,0.0,0.0,32.5621,0.0,0.0,0.0,3054.097,0.0,0.0,9.3527,0.0,0.0,8.6809,3.9978,15.108,34.3653,154.8596,68.3406,14.1219,0.0
IDN_B05_06,0.08,0.0,2101.0134,29.8757,1.4985,19.7979,87.3046,2.0263,229.1059,7248.5258,4603.042,20.9047,71.7473,2482.5371,320.7022,220.5542,0.022,14.7011,34.3415,0.8439,0.6146,34.8209,8369.8647,0.0,0.1891,0.0,0.2145,0.0,0.0,14.7276,0.0,0.1554,0.0219,0.0,0.0,0.0,2.1611,1.6023,3.3398,0.0,0.0,0.0,0.0,0.0,0.0
IDN_B07_08,0.0256,0.4186,0.2451,160.2608,7.8359,53.1413,1.1756,9.937,0.1071,461.8806,890.6711,17.2649,9.4762,1711.9628,3654.341,886.4716,2.2212,4.2647,20.3676,0.049,9.7158,243.1586,0.061,3.0564,8558.6243,5.737,0.0,0.0,0.0,0.0084,0.0,0.0177,0.0,0.0,0.2024,0.0,0.0,0.3242,0.0134,2.6499,84.3547,0.0024,0.0001,0.0048,0.0
IDN_B09,0.0,0.0,1901.0553,559.3983,23.245,0.0201,0.001,0.0,0.0,3.7698,27.7406,0.0,0.625,7.6717,3.4769,0.5021,0.2285,0.9183,0.0,0.0059,0.0038,4.0815,9.5825,0.0,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,5.241,0.645,0.0,0.0,0.0,0.0,0.0,0.0
IDN_C10T12,2994.186,535.3023,55.7354,59.9048,2.2695,16392.4426,557.3978,36.105,25.9933,8.4458,2048.5583,33.3119,3.6794,44.0178,2.8683,22.8732,6.1936,5.3005,419.4398,1.907,5.8795,70.9338,16.9621,48.689,18.4747,360.0782,213.0128,261.8823,318.4506,142.1106,27.0457,13185.9021,61.5132,20.9926,18.1262,154.6945,127.5388,8.4141,400.4374,249.9896,213.3976,1260.8386,155.3677,4.7214,0.0
IDN_C13T15,63.4829,17.0094,9.1785,7.1553,1.1517,41.8435,7441.2536,64.2011,34.8114,3.1095,27.7065,20.8067,28.1415,19.5508,9.9418,24.667,3.2546,31.4406,52.1519,13.3563,36.4525,513.8975,2.5969,7.2379,216.1672,1301.844,114.0817,25.7389,120.203,46.609,45.7985,39.7179,47.5739,7.7004,0.988,24.693,52.3383,1.4586,308.0904,167.4113,209.9139,80.9642,16.1603,198.4118,0.0
IDN_C16,13.2478,2.6127,0.003,19.4309,6.7874,19.0459,2.7892,733.4407,35.1391,32.9112,13.0238,0.1764,5.0061,22.6629,0.5491,26.8737,0.6637,1.3568,2.8388,1.7788,105.9297,1240.1868,0.0,1.6863,5162.2689,585.0256,1.0184,0.0,0.0002,10.1797,0.3197,5.7084,0.5985,0.1728,0.052,0.0,3.4068,0.2189,5.1152,88.8034,2.6233,0.3441,0.655,33.4142,0.0
IDN_C17_18,15.0941,0.3112,11.4531,5.9073,3.3355,353.31,39.404,5.5098,2569.6361,9.4894,66.4882,25.3765,20.1059,60.2639,8.6883,7.261,73.9461,24.0534,35.8986,1.1124,11.2975,90.7164,3.7894,24.7268,132.8142,3195.0819,170.4239,54.7776,143.9297,148.8688,29.9702,18.7997,290.0542,19.7403,6.6485,510.7836,223.7071,34.6527,672.9845,627.7378,946.1706,40.8317,2.2649,6.179,0.0
IDN_C19,176.7195,148.0634,359.6195,198.3441,56.218,162.8698,104.9987,51.8049,60.2288,449.6245,349.8099,26.854,52.1972,378.3552,70.8047,108.5021,11.2435,45.0655,107.1538,20.0634,111.2525,132.4592,934.0091,83.4458,4680.7321,7306.0107,4485.3648,988.7247,4233.0221,161.8012,109.2439,100.4826,69.6264,55.03,44.0556,34.2259,301.6663,6.3553,715.4516,335.8712,102.4185,78.1035,14.0217,70.9265,0.0
IDN_C20,2210.652,11.0332,142.2733,303.3327,64.2364,1197.2291,1091.6464,358.3529,939.1601,183.3717,4109.8849,247.3024,2394.6088,518.5679,118.4596,160.6756,499.8736,1069.1386,878.4761,58.1884,235.288,936.552,29.6854,384.9968,1000.7306,1413.1568,116.7433,29.6208,152.9754,62.4753,3.2981,52.7235,139.7628,15.8586,16.642,90.6856,107.9705,7.1544,415.1303,162.5032,293.4877,312.8534,17.8282,53.9756,0.0
IDN_C21,36.171,2.5699,0.3371,3.6804,0.1871,10.9394,0.8639,0.5301,8.9189,0.676,11.9276,98.3786,3.5147,0.5039,0.1098,2.6985,9.0476,1.8291,0.5004,0.4603,0.1091,3.5881,0.0961,3.7193,1.5544,11.6218,35.215,8.7784,7.9022,26.3124,0.2991,1.7505,0.4785,0.681,1.141,4.2323,0.1786,0.3645,19.404,24.2289,18.8577,540.6474,0.2533,8.2375,0.0
IDN_C22,55.2893,3.9677,38.6453,34.1854,3.3837,165.5089,236.0337,46.0998,64.0023,2.0838,95.756,38.1694,694.6116,109.83,12.2869,89.3969,154.4528,117.1682,257.5213,225.5755,474.5054,624.6253,3.8586,17.742,1686.9619,3126.3477,396.238,41.1577,225.9557,113.1587,33.4425,45.3307,26.8685,18.4504,1.4422,200.2463,156.0618,4.8206,267.2575,65.9297,67.6148,23.9729,7.656,36.7591,0.0
IDN_C23,0.5288,0.1501,13.5875,1.8837,0.2377,13.5055,5.2049,13.6527,14.2053,63.551,20.5111,7.3042,11.8749,843.0019,5.1512,51.3583,724.3778,179.8732,135.6328,42.0327,284.1478,144.6007,0.0002,4.5095,12308.3269,94.0167,119.5739,20.7596,56.6453,19.2547,0.003,4.2684,10.8749,0.0565,0.2329,0.3693,253.2595,17.5922,73.4772,26.2413,70.0918,27.3476,0.3089,77.2077,0.0
IDN_C24,0.1725,0.3805,0.2141,15.9592,0.0,2.2729,14.0082,1.0223,15.8635,14.4215,2.2617,0.0023,1.341,26.84,182.3752,918.5687,102.47,378.0013,506.1803,158.5612,435.9701,1203.604,0.0056,5.6632,3566.9976,51.8827,0.0104,0.0,0.0,0.0001,0.9613,0.0,0.7781,0.0103,0.0,5.3106,0.0016,0.0,0.0028,0.2672,0.0112,0.0358,0.0989,1.0497,0.0
IDN_C25,32.4277,0.7818,2.1755,100.72,1.8566,11.542,15.4624,12.8517,3.2495,9.0231,10.2461,0.1269,19.5557,28.976,5.4523,125.4365,57.5747,92.7768,222.3265,55.6951,200.0864,207.8751,15.9317,219.1202,3571.7551,839.993,109.7396,31.1871,93.4889,32.5504,9.565,14.936,7.643,4.6294,6.4138,83.8276,33.0007,2.2133,148.5986,85.3263,16.4792,9.8583,1.1287,103.7716,0.0
IDN_C26,0.0039,0.0,48.6172,12.869,11.7147,1.5061,1.6361,0.3199,1.905,0.7268,5.0961,3.3532,1.5489,20.8184,6.1259,59.3932,1152.9133,186.386,105.5341,39.798,96.8249,93.9632,76.3208,4.6707,460.9979,312.3499,37.9343,10.4581,21.2154,37.3857,0.6867,0.2497,108.2257,51.104,67.5372,3.3972,0.2414,8.6462,508.4884,69.5868,149.0956,47.1009,1.5609,1064.4297,0.0
IDN_C27,1.699,10.8634,189.753,49.6602,21.3873,14.1156,22.1029,3.6224,46.7898,4.6556,37.1693,8.6195,10.1441,23.4082,14.2033,46.9685,521.8768,1038.0053,469.9528,239.7153,620.0082,62.6632,81.2113,19.0786,1923.7093,596.1351,310.1545,45.9882,96.1382,83.5585,11.2155,9.6268,52.5613,29.8767,37.0691,0.7305,42.9546,1.5441,125.5627,182.9765,83.5735,21.0106,4.5034,710.1166,0.0
IDN_C28,57.4473,4.0043,215.0274,242.3813,70.5861,46.6294,69.3361,31.1399,117.0085,17.8674,32.068,9.1955,28.0169,26.4067,19.225,81.5118,56.2052,109.8737,1805.9504,44.0891,238.0006,162.2801,12.6194,67.4885,1031.9305,161.0709,21.3457,12.4229,57.012,32.6617,4.9354,1.5163,46.9327,2.9132,4.1625,1.5084,0.0964,15.1684,557.393,2.8071,16.3032,4.8986,1.6848,79.1038,0.0
IDN_C29,72.623,14.1465,130.3484,86.5343,26.2347,39.3853,18.8835,15.8303,43.014,10.1386,26.8438,21.5011,11.7344,43.3238,9.5216,22.5145,7.3969,8.8572,51.4926,1678.0258,56.5812,28.2904,17.0594,11.7957,696.1038,1411.7375,958.0649,19.4945,106.9526,62.4437,19.1114,57.383,6.3896,3.9548,3.8963,177.7798,273.7954,7.5973,572.496,70.1509,19.5037,15.7744,19.4289,98.2794,0.0
IDN_C30,6.1227,20.1568,59.9231,19.9536,1.1366,9.8087,5.5166,5.499,12.46,6.1476,7.6689,6.2337,4.5988,16.3809,2.8667,8.4927,1.6784,4.2797,17.8291,0.9292,1805.1703,11.3694,5.9342,4.2886,20.3415,208.6978,114.0123,140.4018,468.2606,30.0897,30.5891,28.4606,1.5217,1.6751,2.2773,14.4066,39.1243,0.7247,90.5557,26.8667,4.2982,1.3322,1.0553,12.6344,0.0
IDN_C31T33,14.103,18.8319,23.4009,17.882,1.8594,16.6581,8.716,18.4333,16.1986,2.4202,20.0434,20.7866,6.0259,3.5905,1.5517,7.2724,21.7754,53.2701,2.8077,5.9517,25.424,432.8388,11.18,6.1819,81.9174,238.6946,100.7364,106.6061,353.5952,89.7388,5.238,4.8439,31.2073,9.2806,12.2944,98.0245,86.3867,5.3585,517.8754,128.3127,208.2654,286.228,126.1674,41.0041,0.0
IDN_D,24.3478,42.4078,257.6726,78.4008,70.5104,337.6762,428.6504,108.4163,217.5752,115.3232,568.6511,93.4303,242.6594,922.6691,237.9168,261.2955,90.7288,271.2997,235.2589,29.6159,133.0262,367.4274,18219.5554,232.5354,1059.5441,3075.4611,478.3753,67.3742,427.0298,700.5523,246.6323,245.0359,603.0711,599.7479,1021.4456,386.4362,707.1905,10.5926,670.9676,700.6553,400.8505,399.7984,121.4484,374.6514,0.0
IDN_E,2.3185,0.5971,14.904,9.1783,2.7058,26.9073,9.08,1.6321,11.9274,2.4637,17.8719,13.9491,6.4179,15.1788,38.4412,8.4808,4.313,8.2771,15.3251,1.9747,14.1583,14.7385,3.9725,251.5055,14.0194,157.3875,15.0621,10.506,10.7462,32.108,0.8085,9.1087,4.1159,3.228,0.7189,9.087,9.1862,0.3717,128.2081,24.1356,17.8173,60.7322,17.9656,5.2512,0.0
IDN_F,593.1676,9.6878,431.0827,190.7755,67.5434,37.3865,57.9388,5.7641,26.7809,41.0416,5.38,3.4961,2.1042,93.1715,21.5008,6.688,0.061,0.0457,0.3607,2.1742,16.73,26.9268,11.0592,164.3609,1759.6213,2767.0983,96.0611,38.0969,63.225,456.2323,33.6744,16.3436,48.6969,85.8466,26.1656,342.9085,7749.4691,24.1321,506.683,1410.6397,430.3226,56.4534,14.6377,8.8048,0.0
