V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_C31T33,36.8571,0.951,18.3395,70.3106,35.649,158.7543,177.3231,17.0642,131.1852,12.8935,61.1972,34.7638,54.8922,98.9909,101.082,109.7185,927.4275,154.3992,83.4519,421.9265,27.71,441.7233,17.7326,76.6614,551.9448,294.4677,82.292,10.0531,26.9044,59.1878,9.2398,125.3069,44.0116,54.2566,7.4895,173.3828,167.256,120.15,125.3782,321.8564,93.9166,279.5903,100.0276,40.6989,0.0
MEX_D,355.2607,4.4996,137.2256,413.6148,116.4733,1154.8526,330.2237,94.6354,363.7826,22.1139,329.9919,76.9663,344.2588,679.3622,1052.5463,265.65,117.0478,169.7201,106.5264,567.7022,23.5971,143.3307,117.4717,28.7605,400.4219,2609.9948,261.0178,8.0078,19.865,242.0955,44.0423,1142.7412,118.5935,174.9684,15.4157,252.2514,1248.8716,219.8591,346.2209,928.514,662.1898,711.8954,232.3583,158.0256,0.0
MEX_E,362.4306,22.1954,9.6985,54.9157,16.1524,665.2791,48.817,9.6125,35.4711,3.886,68.251,13.3738,30.4178,45.5875,39.8132,42.1816,14.3451,9.9836,17.1672,51.1228,0.9566,43.7832,17.8352,78.2719,117.267,123.5405,46.7882,2.8473,5.8283,29.1589,2.5802,225.265,73.9245,7.9508,11.0027,36.9387,172.1919,208.3883,150.0975,226.7608,157.3493,195.2994,113.1977,69.8806,0.0
MEX_F,49.3904,1.188,105.3068,17.6368,319.8011,39.7135,16.9482,2.2478,9.735,0.4386,3.8747,5.7945,15.7646,5.085,19.3066,16.3638,75.5369,55.6446,8.4335,33.0903,3.2414,20.9081,48.1882,156.2609,8493.6115,193.0327,100.2108,6.8271,15.4118,21.7174,23.6471,94.4206,11.1745,1.392,0.4982,90.3441,62.3197,9.3699,9.2181,221.6757,267.6482,538.6549,14.2922,5.7788,0.0
MEX_G,3615.033,105.7983,1050.0784,452.0007,459.0223,14391.3753,2213.4077,427.3421,2004.4299,6086.2249,5253.0394,1703.8417,2161.3715,1658.8421,2864.5432,1896.1988,7773.5172,2045.406,1401.9717,6574.9812,376.7452,1464.0614,1882.2124,327.7461,6937.696,2850.7484,4402.2113,72.5303,778.2466,268.2215,83.4684,1396.3549,184.9418,402.2296,22.6277,448.6095,916.4343,385.6749,580.9212,1522.1267,236.9136,1068.8464,184.5287,285.1043,0.0
MEX_H49,594.5223,18.4397,211.7923,145.29,122.781,2494.4441,282.6099,92.0849,353.3117,1205.5863,1003.7673,261.0716,364.8813,449.4446,1119.7481,455.3161,985.3173,447.3499,326.0796,2683.0012,89.3023,281.976,381.5463,64.2436,1769.3667,566.4874,1218.4355,13.4025,140.1039,80.6279,17.7411,196.0566,45.5277,114.241,5.454,118.1088,171.2106,104.7165,204.7662,429.936,72.7735,262.2876,36.7258,66.6799,0.0
MEX_H50,4.8823,0.2885,1.3614,4.7192,4.8885,10.7853,4.0584,0.3707,3.5834,10.6147,6.8167,2.6441,3.2461,2.0525,8.7756,4.3055,50.3156,6.4878,3.2906,20.762,0.6682,3.8775,2.3184,0.708,9.148,6.2629,7.3684,1.4037,4.5044,1.1692,0.191,1.1465,0.9307,0.7401,0.1593,1.9568,1.6742,2.0063,1.8358,0.6705,0.5832,1.1724,0.51,0.4052,0.0
MEX_H51,35.3079,1.1985,14.4477,10.2075,11.5199,129.3382,71.9378,4.6176,33.1234,68.8587,74.2826,21.2911,34.8559,27.7151,95.8907,56.8892,531.5336,106.8553,61.3885,295.5567,24.6613,60.0157,33.6457,4.6488,106.483,66.143,64.6169,2.4299,178.7991,13.4716,1.9176,10.9495,14.9362,19.9772,0.8834,154.1222,15.2077,53.4666,31.9879,121.7057,15.63,27.6384,5.6344,7.733,0.0
MEX_H52,62.6832,12.2843,21.6459,20.7831,11.7787,337.8377,70.6374,12.1976,58.4415,139.937,135.3844,56.5455,91.279,63.6548,174.0005,76.6591,135.3652,57.6266,58.7794,355.9794,12.6814,109.4919,41.8623,15.6288,188.039,1155.2655,638.6797,36.6034,183.0966,280.1557,2.4606,27.8873,10.8458,11.134,13.5052,70.7172,19.7519,11.3181,37.7765,197.0637,37.1332,34.0038,3.9018,8.35,0.0
MEX_H53,0.1206,0.0077,0.2268,2.0483,0.2403,13.8993,9.1492,0.2723,12.3685,0.2263,6.9706,6.5873,11.7467,5.1509,1.4591,7.2243,146.6203,11.3203,6.4066,9.4869,0.3699,20.1882,1.1875,1.0293,1.2017,62.7691,9.7121,0.2196,0.9695,5.8343,3.1434,6.0271,3.228,211.5558,0.1807,288.9902,44.7922,52.9467,30.1619,409.1618,44.1574,26.2156,23.4835,2.292,0.0
