V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_H51,487.8835,29.2021,244.3945,221.2367,12.8416,768.7892,569.291,131.0746,229.9953,1467.2194,1245.268,256.4624,460.2723,529.6723,2050.4405,344.6379,2072.4907,881.2053,1173.7648,590.9818,148.1108,205.9959,620.7241,121.3938,1788.5438,1455.6462,238.6576,68.1113,1787.3769,397.1096,545.5241,198.8138,202.3705,275.4782,1145.913,546.274,84.449,1916.5127,282.7527,1645.7871,855.8518,210.1298,40.2419,60.7435,0
CHN_H52,2494.5453,165.6103,842.888,619.3458,19.9261,2628.2552,1819.9516,482.2107,676.7876,837.3329,2329.2713,275.3738,792.0889,2447.0116,2881.0666,901.1013,1631.8906,1719.4112,2212.5199,1514.9385,240.5134,504.0279,1545.3692,239.4443,23226.7096,5293.8249,5744.4494,2554.6276,1051.1874,1123.9987,147.7769,626.1189,122.8724,510.1062,463.076,160.9391,282.8646,1741.1976,233.817,164.8837,98.4692,215.1093,26.1348,154.9818,0
CHN_H53,865.0613,67.2878,105.8857,58.1449,1.1137,271.2218,863.0935,58.3239,122.5276,16.7442,713.4924,366.557,168.841,201.2995,470.4416,92.7567,591.5973,621.8353,1160.7961,203.2556,19.3011,178.0478,129.909,90.642,443.7283,1524.9633,128.9771,14.0706,19.4479,106.4136,1687.7233,220.2092,187.5634,403.7882,294.6718,1113.9857,277.8358,2868.6765,469.6689,4378.9506,622.1057,141.4167,35.2637,144.6716,0
CHN_I,2258.0051,88.0373,2923.7909,2108.7403,45.2841,4124.3581,2315.5349,547.6945,1134.3014,582.4504,3701.5356,1394.0697,1274.0856,3977.1983,3962.1865,3797.3459,3317.22,4051.5829,5975.9734,1530.2065,311.8121,853.269,1902.088,1623.9628,12166.067,13601.3591,5744.8041,266.5461,1419.9952,1020.5561,167.9897,1579.4834,1573.2436,2846.6092,3608.2656,6865.9366,4225.0897,18928.319,8378.923,15231.2754,4199.8059,2054.9318,303.9754,971.1859,0
CHN_J58T60,18.8205,0.3044,125.751,170.3957,4.6079,285.8379,282.4077,55.1629,73.0267,29.1516,265.4471,99.4831,174.6551,337.057,252.2058,119.4519,323.2583,268.6129,513.2878,133.6149,23.6915,65.0403,584.5044,174.1354,729.3365,868.0901,277.5843,24.9099,86.6367,61.5169,85.5902,251.5496,436.6545,628.5266,235.885,248.1233,541.4415,1497.2367,76.9791,1721.5207,666.9399,156.4241,62.4514,68.6571,0
CHN_J61,2496.8451,127.9371,427.1296,198.7439,10.4872,1071.8397,913.2002,222.625,376.8298,733.2343,2020.137,359.0941,524.7751,698.0422,6446.2228,552.9371,2631.4611,1259.4036,1743.2061,534.4321,81.4818,337.2042,3133.4273,616.7167,16982.8026,2525.0479,1102.1764,1492.9233,145.7882,313.33,379.3017,666.0179,273.942,4980.1588,6006.2075,3825.6336,823.2943,1768.6013,192.8677,4240.497,1307.9938,1647.8729,80.9647,144.6401,0
CHN_J62_63,18.6577,0.031,237.931,74.9366,38.1612,184.1021,499.7053,109.6055,154.2927,321.8035,250.5732,31.096,153.2913,319.0233,1676.0092,320.583,4955.9562,397.4004,774.8614,212.6629,55.0974,231.3385,687.4426,259.1995,97.2058,3215.1529,57.2766,138.5664,388.6726,26.0626,109.8447,33.3,84.5402,662.9279,3163.9488,1077.9787,179.2207,233.6597,58.6293,164.3602,90.5395,79.128,47.1833,39.3138,0
CHN_K,6569.1628,644.1783,4529.068,1991.3724,277.0113,7829.1085,6956.1776,1792.1239,3364.6435,2475.0517,12328.906,1645.2857,3463.4442,13566.5438,15519.2719,2947.356,22541.7323,6760.3191,8785.2183,2756.7905,1195.6502,1929.7918,28126.3247,3040.1838,12147.4248,23630.9245,22713.9626,2852.6085,1715.7596,4576.1454,292.7454,4014.3719,441.8725,2806.9928,4473.5461,17587.7334,13069.1677,17422.5031,2850.6267,4122.786,4654.0314,1298.7217,572.9666,774.2111,0
CHN_L,128.1994,0.0142,202.7905,95.2234,4.2511,887.8198,1917.1766,185.1389,581.6958,38.2671,626.1865,71.1404,894.6456,791.7559,182.4496,899.4528,1575.9371,1122.7514,1555.1295,334.7249,129.1113,754.2832,253.8237,377.2105,510.5855,11428.0733,689.0063,17.921,270.5313,819.3672,260.7614,1784.7268,195.1785,2446.7674,3843.2242,3544.7368,2470.0331,4730.215,409.9531,1005.1806,969.7869,274.0842,99.7308,1285.5602,0
CHN_M,10675.8419,277.8696,2830.6864,1709.4691,265.4109,12442.8055,4863.2122,726.9457,2008.4404,1591.2205,11065.019,4200.6819,3140.1339,4002.3218,5104.1653,2459.1831,13246.0138,12291.4158,11100.88,6416.0616,756.1179,1840.3432,6761.5974,794.3662,12614.2801,23643.5898,1373.3663,533.3674,150.9332,486.2438,592.8913,1825.7143,757.4648,5737.5419,7178.2911,6233.2163,5935.2685,43972.762,908.3902,985.3051,2114.717,1442.9432,216.7488,500.06,0
CHN_N,552.9682,39.0282,1135.0428,572.0369,38.3382,2912.6749,1908.4856,1513.9052,488.5228,689.6351,1984.9704,1796.8945,2671.0812,1881.3094,1179.3246,636.368,2678.5699,3168.4026,2305.3074,1257.6144,227.5117,629.8545,1842.93,303.9914,4196.372,8300.95,2737.1848,591.3013,1091.282,2123.848,285.4394,1595.1573,387.7295,2939.5723,2548.7666,2672.4434,1940.2782,2855.3236,1137.0219,1676.4323,839.9924,554.6805,150.3579,291.0762,0
CHN_O,158.0224,7.1248,41.6888,17.9792,3.6872,59.9254,35.4629,9.0028,17.9928,9.5284,45.0443,11.8341,20.9374,47.1364,57.1682,22.9131,54.5339,36.6455,67.4748,52.2263,10.3183,32.8544,58.1822,16.6484,99.7585,110.4739,53.552,13.3933,7.2771,19.2185,5.0396,22.7022,5.0946,45.006,32.248,53.1576,111.7719,86.4875,8.8465,41.6239,21.0947,18.9894,3.1671,8.7112,0
CHN_P,198.6849,7.5124,118.4195,68.5517,1.7557,64.3756,32.1619,9.7143,17.9202,9.2371,64.6453,15.4636,20.6032,46.8994,48.2739,24.9391,59.8829,52.1493,175.7571,80.8195,15.8184,24.1233,73.4691,67.2126,108.3484,310.7241,188.7437,10.1292,60.6749,24.9017,17.0595,42.4873,24.9854,159.7337,102.7538,231.0307,44.1639,424.742,20.7671,1321.1168,542.7949,136.1341,13.6064,13.5015,0
CHN_Q,423.487,9.5788,329.394,207.5959,0.0,274.6205,210.6525,86.6309,175.1189,62.9291,328.4515,112.9659,50.859,594.3336,606.26,469.4005,398.9516,697.116,1356.1108,453.2731,116.0563,54.1517,621.7848,123.5192,284.1897,65.609,179.2991,26.3047,14.0514,12.4482,4.2634,33.1822,31.3331,59.1293,21.3052,99.7897,68.0017,260.473,6.61,492.0625,186.601,410.9006,29.1925,14.2474,0
CHN_R,83.046,3.5558,100.9221,149.1255,2.1739,190.091,97.3488,21.9291,67.2862,16.1739,157.6604,33.4261,72.6131,126.3824,107.6179,80.8539,128.8534,112.6899,181.2913,72.6171,5.1713,46.3681,481.6842,98.9471,468.4979,692.037,116.8962,32.93,18.1646,93.8985,35.7055,129.372,175.3493,261.2289,178.6699,425.4424,342.8943,759.3524,92.5044,736.0624,131.3602,69.0803,177.9545,70.2339,0
CHN_S,1264.2751,106.8156,1230.6511,182.6837,17.7266,423.6143,228.9807,44.6857,186.9919,173.9753,648.9223,57.686,174.8328,624.981,1125.603,240.5474,302.6058,234.8025,407.4943,349.9967,30.6909,117.9074,2210.7217,474.1491,839.3722,2853.9727,2256.5407,111.9366,21.921,1618.2762,15.7318,811.335,177.8,275.9306,129.6872,85.454,873.145,5527.3983,412.6827,1506.8202,566.6307,758.9228,185.2868,757.6119,0
CHN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
