V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_A01_02,10892.4464,8.1515,22.3565,2.065,39.1228,21201.3336,178.3416,1544.1658,701.864,28.2026,47.5983,18.6192,116.0649,23.0457,38.3949,18.2392,4.4064,4.7879,5.3352,6.8262,5.7412,207.3625,164.7811,9.0317,199.1333,406.1926,69.9978,5.3448,8.2246,100.9756,2.3113,585.5272,8.3524,5.0426,1.297,25.801,66.2491,32.6805,22.1035,868.478,131.1422,170.2876,22.2346,105.4384,0.0
RUS_A03,103.8285,71.7657,2.6414,0.4589,4.5381,1353.0705,0.9906,1.1515,1.1396,5.4807,2.2819,0.37,0.8192,2.0119,4.3842,3.3096,1.0416,0.5085,0.9122,1.4167,0.6279,1.4224,4.7415,0.6413,9.3929,26.7469,4.5772,0.8871,1.3028,4.5302,0.13,177.4451,1.4957,0.6968,0.2765,1.4862,2.0002,2.6284,5.1658,33.6176,6.4283,11.9781,0.8057,2.1286,0.0
RUS_B05_06,242.0658,63.7762,2465.3973,24.2252,1308.3244,159.661,6.8694,18.688,42.928,44504.3836,350.2567,5.7707,18.2363,141.0553,1488.9414,39.2198,12.3736,13.1595,35.005,20.5687,17.4563,37.8948,19235.0912,94.2821,413.3376,4501.1571,1604.6037,33.8949,252.4657,294.7005,12.5469,17.2155,11.139,26.3782,4.9464,47.5113,71.92,59.7427,60.6379,207.5053,36.0394,44.9761,34.4202,17.2433,0.0
RUS_B07_08,23.4964,0.9307,123.4385,25.4712,239.3432,42.6361,1.554,2.4982,4.9307,16.3001,255.7358,3.3497,4.5726,362.9429,2762.3929,67.6421,4.8297,7.2968,13.2024,11.2771,31.0608,246.3075,42.0832,31.7685,541.2028,47.152,39.3961,1.1502,6.9034,85.3846,1.4989,6.1996,1.2994,2.9927,0.9865,3.0354,25.1957,11.4651,8.4952,32.2537,9.5777,6.1719,4.373,19.3838,0.0
RUS_B09,28.1311,1.5672,12482.8065,6.055,24424.0112,54.7777,3.8941,4.3626,6.9455,6047.7349,23.1287,2.2502,8.5783,24.256,47.5445,20.5124,23.3349,8.2159,18.0747,10.9819,8.4476,23.2711,201.029,13.7367,430.651,129.2606,95.638,1.3331,9.4056,36.3111,3.4571,8.217,3.8637,13.0769,9.0479,11.0041,106.3043,296.1835,23.1585,118.3999,37.0389,30.8877,15.3092,6.754,0.0
RUS_C10T12,2748.8823,44.6329,37.15,3.4644,67.4922,12087.2982,44.6424,12.5064,21.8572,212.3329,95.2496,29.228,35.6119,33.4095,77.447,37.2558,17.5477,12.4624,16.192,17.2747,10.0197,35.4137,132.4474,17.9245,139.0295,868.8503,88.5124,6.5203,26.8026,114.6917,2.8247,2286.6174,21.8704,9.0595,3.9089,79.71,43.1091,39.5382,78.3144,1248.3843,359.3718,540.8251,23.4998,68.2072,0.0
RUS_C13T15,25.8213,15.677,18.5324,2.2703,39.1319,72.6375,620.6951,5.9568,10.105,24.1522,14.4938,4.6583,77.6327,17.0891,34.2613,15.8355,8.6521,6.2259,13.7107,24.7888,10.4635,87.6856,40.9535,6.8712,123.2714,78.2733,42.7956,1.4681,2.536,16.9643,14.2133,30.6718,2.7339,3.4969,0.4476,11.5815,11.9766,18.3879,21.5628,234.6826,19.8439,51.499,18.919,37.5718,0.0
RUS_C16,78.6995,0.7749,24.9967,1.3813,9.2017,125.6252,2.9261,507.3872,89.7096,9.7894,40.5118,5.6573,7.1495,105.8179,50.1226,57.6166,3.9306,15.5496,11.4285,9.3026,11.147,547.0807,32.1408,4.0066,1410.4925,164.0907,69.0702,1.4254,1.1966,71.6093,0.3623,4.4656,1.926,2.1487,0.395,18.8508,500.946,115.9067,51.4543,37.7756,16.3989,13.0545,7.4496,51.5084,0.0
RUS_C17_18,185.5711,17.39,26.8847,2.2378,25.6528,1587.3417,29.487,123.9758,1733.0684,37.818,89.5317,72.7226,74.6547,157.8251,42.4798,57.5847,24.8954,25.5926,20.1694,16.6365,8.1642,96.6622,77.2166,31.3274,154.1783,1679.2195,45.0261,2.223,6.4335,65.1549,79.2559,192.427,1014.0062,31.6659,41.3341,275.4797,270.6444,165.8634,151.8587,897.1358,128.9183,84.7651,46.1611,234.3537,0.0
RUS_C19,2410.3231,769.0807,1168.6147,231.1058,2166.0696,886.4215,60.7542,185.4801,215.1052,13719.8411,4158.9388,63.6244,416.1819,660.8805,3177.6278,283.7929,82.6139,107.3057,168.8943,118.2754,102.7055,222.0319,6214.5887,434.2674,3179.3486,3672.245,5383.382,382.7001,2798.4675,2770.5879,75.2187,78.3368,60.6336,44.0836,12.2431,100.3106,240.6616,283.0119,445.9741,1484.6689,103.4819,151.8599,40.6141,106.3166,0.0
RUS_C20,1209.6226,4.9001,237.0538,13.2823,558.2581,583.3016,146.5614,177.4563,356.9123,298.8306,2301.0318,128.7762,2393.7461,423.456,529.3032,326.3325,109.5585,214.5793,78.2097,149.4536,67.4501,209.8657,131.1059,80.4446,420.6207,333.0433,127.6524,2.9015,13.5916,74.9452,3.4253,34.3111,46.7511,6.519,4.3401,17.5085,149.186,114.4647,131.1444,89.194,38.4471,132.6053,22.2618,74.9017,0.0
RUS_C21,87.9736,0.2001,1.7361,0.1965,2.6453,35.9689,0.6353,0.6227,0.758,9.9856,3.1992,355.9003,1.3033,1.9959,3.2724,1.4219,2.6704,0.5662,0.7412,0.7403,0.7139,1.3967,6.91,0.7926,5.5309,15.4688,2.5116,0.0762,0.2956,1.4469,0.1846,1.9037,0.4377,0.6833,0.3332,1.2061,2.7435,23.631,1.1947,186.0837,41.3754,943.1858,2.0345,1.2568,0.0
RUS_C22,258.7651,15.8512,113.0232,23.4232,101.8809,1253.8011,254.7156,62.4829,133.4843,40.9828,204.8949,71.58,537.576,148.1704,95.7106,307.5083,98.682,216.9345,228.3106,712.2089,49.7959,417.4401,134.0967,60.7489,3201.8764,1024.029,222.9947,1.5896,9.3608,144.829,25.4368,93.6479,8.9996,7.9385,9.5018,17.4777,868.5894,69.3622,62.4757,79.7792,42.3914,39.6375,9.1732,33.1599,0.0
RUS_C23,125.751,3.217,160.9782,17.6484,334.7368,729.9731,7.6136,37.6605,15.7153,33.1624,92.2573,66.2217,141.1149,2774.7568,829.4442,311.7291,55.8895,100.8484,128.0831,232.2116,45.1969,164.5489,246.1623,140.941,12077.4557,297.365,246.7697,14.7762,6.1205,426.6007,1.7184,45.7621,5.6671,6.6953,2.0908,4.4831,1031.8548,88.011,42.624,97.4044,53.7596,51.5996,19.5233,94.8766,0.0
RUS_C24,78.8424,14.9134,688.2787,45.6243,1891.9985,313.5818,9.726,31.1616,88.35,58.6157,226.0531,15.8623,116.3371,410.2097,19066.4877,7635.7216,467.1302,2519.6045,1728.2888,1133.7269,802.0577,1002.6888,399.0224,2154.505,4743.2736,603.4119,488.2786,5.9264,4.0654,151.8489,0.766,5.6115,6.2684,5.9271,1.5866,3.4143,153.6172,221.3906,45.7983,46.2188,17.7227,11.0672,5.1712,76.9172,0.0
RUS_C25,411.3124,45.0926,336.4463,77.4791,842.3521,1341.5201,45.0438,88.7382,79.4276,46.8218,213.3897,11.9605,120.5855,406.8557,402.9164,2317.3132,356.618,316.1289,1389.7686,910.2365,510.1575,842.1143,1020.3707,85.8341,9813.8109,907.6987,370.4285,14.7212,3.504,339.6965,1.9608,50.6808,4.7956,22.8829,4.3417,30.1031,592.615,394.2819,105.4947,187.7212,43.699,25.4011,10.5146,80.7484,0.0
RUS_C26,34.5085,6.2998,70.3178,3.5381,299.8118,49.0872,4.4743,4.0801,36.3441,36.0604,27.2967,10.4028,8.0937,18.8603,86.1353,60.8649,2421.0139,60.0493,68.884,59.4894,133.4924,161.4832,123.4503,17.2258,268.5563,247.4957,93.9423,2.5334,7.3931,55.3664,44.5299,9.7103,74.6011,356.1139,212.0894,48.4708,43.9873,979.163,54.589,263.4727,68.4937,258.6673,20.5339,84.4568,0.0
RUS_C27,45.5949,1.6254,220.8367,9.3484,415.8301,22.6178,1.9757,2.7682,10.0294,23.3837,28.6545,1.4886,7.3363,45.3954,217.9228,145.0547,292.0288,485.4763,311.6261,210.2512,156.3269,168.6899,623.5104,24.6518,1261.7497,466.8942,340.1837,10.1976,23.0304,195.2641,2.7588,28.1888,18.6724,89.4492,24.5105,70.3185,153.189,388.2831,59.5695,177.6205,32.5007,18.0458,13.4129,110.7016,0.0
RUS_C28,374.4247,33.3495,296.3332,60.9859,687.081,312.3979,22.4854,36.4719,73.4392,179.9811,120.2287,9.0022,48.2516,131.017,633.6074,253.4505,112.387,96.8938,452.1685,150.059,155.9704,216.0349,452.4381,102.3879,1048.7084,462.2975,404.1794,11.6263,30.1818,197.8153,19.3507,28.1164,29.9868,56.2234,14.4414,49.957,247.7982,178.2059,56.329,165.3415,51.7467,78.0112,21.1246,40.1422,0.0
