V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_A01_02,2.9958,0.0,1.607,0.4519,0.1411,1.1905,0.0261,0.0072,0.0033,0.2642,0.0008,0.0,0.0119,0.0001,0.0,0.3381,0.9819,0.0001,0.5672,0,0.4388,0.439,0.0003,0.1507,4.0471,0.521,0.0764,0.0061,0.0361,0.0001,0.0,3.8103,0.0024,0.1066,0.0327,0.0792,0.0136,0.1138,0.1196,54.2429,6.6617,4.2857,0.0065,0.0061,0.0
BRN_A03,0.0327,0.0,0.0227,0.0094,0.0024,0.0248,0.0009,0.0,0.0001,0.0066,0.0,0.0,0.0003,0.0,0.0,0.0085,0.0,0.0012,0.0143,0,0.0139,0.0106,0.0006,0.0036,0.0,0.004,0.0019,0.0002,0.0009,0.0,0.0,0.1513,0.0001,0.0027,0.0007,0.002,0.0003,0.0026,0.0023,2.2972,0.1678,0.108,0.0002,0.0001,0.0
BRN_B05_06,0.0001,0.2424,1061.5147,99.2594,30.0532,0.1762,0.2116,0.0238,0.0,1039.7042,9.0265,0.0069,0.2748,0.0018,0.0,0.0,0.5729,0.0482,0.7649,0,0.8616,0.5058,6.9517,0.3543,8.8208,6.1039,0.1101,0.0,0.9921,0.4961,0.4947,0.1961,0.0282,0.4939,0.2323,0.0409,0.5278,0.8476,0.2701,0.0,0.0,0.7813,0.0545,0.055,0.0
BRN_B07_08,0.5957,0.0,536.5364,344.4491,40.6407,0.5729,0.9804,1.315,10.647,0.0456,19.6964,0.0726,1.0135,41.8459,16.757,14.592,0.0,10.4495,2.82,0,2.0199,1.8628,12.8055,1.7749,642.2798,48.8934,6.2948,108.3493,5.1678,0.1822,0.0001,17.4167,1.5691,106.2837,7.8637,110.9827,29.2866,30.0281,8.0899,218.3122,36.2556,6.6231,0.3206,0.5174,0.0
BRN_B09,0.0086,0.0025,40.0499,3.2444,1.7926,0.0071,0.0048,0.0303,0.0176,11.4681,0.1167,0.0001,0.0042,0.0,0.0,0.3265,0.006,0.0009,0.0126,0,0.0133,0.0121,0.0814,0.0098,1.2037,1.2831,0.1494,0.0015,0.0441,0.0061,0.0052,0.0262,0.0032,0.0266,0.0308,1.3698,0.6691,0.1679,0.0471,5.0774,0.8416,0.0238,0.0235,0.0032,0.0
BRN_C10T12,2.4432,0.0749,1.941,0.6052,0.0783,2.5021,0.1109,0.0061,0.0079,2.4414,0.0067,0.0,0.0264,0.0002,0.0,0.0683,0.0,0.0169,0.1018,0,0.09,0.0658,0.8031,0.0793,1.5061,2.8001,0.0273,0.0711,0.2523,0.3354,0.0,4.9097,0.0454,0.1422,0.1635,0.4649,0.3058,0.5284,0.185,8.7591,2.0973,0.9221,0.053,0.0612,0.0
BRN_C13T15,0.0373,0.0,2.9307,0.8016,0.1715,0.1804,10.261,0.0007,0.0007,2.9562,0.0098,0.0001,0.0071,0.0,0.0,0.3849,0.0,0.0782,0.468,0,0.6493,0.3588,0.0276,0.1103,11.4932,1.7084,0.002,0.1575,0.6452,0.0,0.92,0.1166,0.0075,0.1839,0.1526,0.6345,0.0068,0.3593,0.2171,1.7603,1.8592,0.6704,0.0062,0.0106,0.0
BRN_C16,0.0013,0.0,0.3457,0.1494,0.0241,0.0031,0.0063,0.0036,0.0048,0.0269,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0005,0.0031,0,0.0035,0.0025,0.0105,0.0051,0.1575,0.2006,0.0019,0.0004,0.0082,0.0195,0.0442,0.0027,0.005,0.0,0.0193,0.072,0.0043,0.079,0.0318,0.1398,0.1032,0.0159,0.0048,0.0078,0.0
BRN_C17_18,0.0058,0.0001,2.5022,0.6971,0.0945,0.0099,0.0382,0.0105,0.0251,0.1021,0.0002,0.0,0.0036,0.0,0.0,0.0084,0.008,0.0009,0.0119,0,0.0117,0.0075,0.0169,0.0276,0.4912,0.7956,0.0055,0.0013,0.0235,0.005,0.0001,0.0155,0.0281,0.1342,0.0755,0.1839,0.0133,0.292,0.1261,0.5342,0.3886,0.0416,0.0176,0.0209,0.0
BRN_C19,13.33,0.9027,922.903,359.851,36.6882,3.096,1.8508,0.5478,0.6804,184.8941,1.3676,0.0024,1.1349,0.0076,0.0,1.335,3.8345,0.0,2.3795,0,4.4049,1.6517,74.9139,2.3109,93.651,126.9911,24.0519,21.318,109.073,12.4426,0.0022,4.934,0.769,5.1093,8.4222,12.6548,2.0819,28.7647,23.782,279.6034,18.7656,12.518,0.6574,0.9021,0.0
