V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_H52,0.0147,0.0027,0,0,0.0075,1.2751,0.693,0.0899,0.1071,0.0246,0.0657,0.0196,0,0.0623,0.0345,0.0368,0.1154,0.2271,0.07,0.098,0.0334,0.0947,0.0516,0.2211,0.7609,42.177,1.3651,16.3753,13.3797,0.4012,3.792,0.4647,0.1128,5.7721,0.091,6.3683,1.1333,0.6465,1.5239,0.4417,0.383,0.3886,0.2576,1.0107,0.0
HKG_H53,0.1527,0.033,0,0,0.0007,23.6931,13.1435,1.8148,1.4708,0.0717,0.2661,0.1189,0,0.1056,0.0449,0.0614,0.4369,0.6041,0.197,0.1337,0.0546,0.0256,1.4064,6.3694,5.2584,742.0776,12.7263,142.1753,20.7946,0.9761,220.2652,9.6934,5.5193,224.6192,2.8309,356.2318,80.5971,25.3467,32.2857,28.1846,15.7357,12.4303,13.7674,40.7707,0.0
HKG_I,0.072,0.0202,0,0,0.0007,5.7167,2.7601,0.3645,0.3068,0.0831,0.2622,0.091,0,0.1212,0.0338,0.0315,0.2515,0.3063,0.0804,0.082,0.0408,0.025,0.6417,1.724,2.9478,114.3048,5.4226,9.8074,4.2896,0.3579,2.8817,17.1506,1.754,9.8024,0.6043,44.1099,26.5529,4.2461,5.7365,4.9135,12.3585,5.5955,5.8906,10.4641,0.0
HKG_J58T60,0.2559,0.0546,0,0,0.0001,19.2753,8.7065,0.4838,0.9851,0.0533,0.2217,0.1212,0,0.1517,0.0187,0.0294,0.5953,0.7384,0.1732,0.1068,0.0593,0.0333,1.05,1.7915,4.4456,360.5089,8.3678,7.6728,13.0472,0.5144,4.4698,9.4981,81.7975,50.7436,1.41,104.9591,75.9877,27.7383,10.9046,9.2202,10.3544,10.019,35.7406,15.4884,0.0
HKG_J61,0.5823,0.1287,0,0,0.0011,63.7621,42.3303,6.2557,4.0469,0.1955,0.7344,0.3351,0,0.3025,0.1138,0.1636,2.6801,2.1467,0.7042,0.4114,0.2227,0.0764,3.7609,19.3381,26.8702,2015.7896,50.5173,571.3995,98.3909,3.3105,29.5398,47.1219,32.0003,911.8591,16.4689,1002.5002,256.3616,92.1277,112.6741,77.1684,53.8589,52.9681,54.5419,119.4069,0.0
HKG_J62_63,0.2429,0.0516,0,0,0.0011,36.1715,20.6871,2.7305,2.231,0.1162,0.4387,0.2215,0,0.1965,0.0795,0.0919,1.4183,1.4734,0.4027,0.4167,0.2359,0.0738,1.7592,4.4712,7.873,751.9982,21.4938,14.6252,27.3498,1.5951,16.6232,14.2648,7.1228,116.2507,12.5815,431.402,56.0563,18.6529,21.9529,48.4218,26.6709,16.2701,13.3454,23.5203,0.0
HKG_K,0.5757,0.0867,0,0,0.0089,187.1834,81.3526,15.0455,13.648,0.6198,1.8271,0.6563,0,0.8776,0.8855,1.2639,4.057,9.0142,1.7827,1.2086,0.4809,0.2973,24.6933,54.2719,36.802,4678.3085,145.401,158.8331,73.736,9.8164,41.3966,94.4716,29.3462,209.83,18.2413,7736.8738,2322.7481,151.0354,250.673,65.0244,145.5986,72.8448,99.0446,309.3265,0.0
HKG_L,0.605,0.118,0,0,0.0028,78.7883,51.9884,4.9985,5.3088,0.172,0.6645,0.4178,0,0.5055,0.1382,0.2446,2.141,3.2911,1.0367,0.5801,0.2651,0.2148,14.471,96.0486,61.4548,6213.8336,114.5218,53.9726,69.2198,31.4155,31.1604,484.6185,74.0313,172.3327,20.6968,1465.7141,1434.8247,189.3655,232.0034,43.72,161.8724,161.6953,292.4286,773.8177,0.0
HKG_M,1.7274,0.3612,0,0,0.0272,173.34,70.449,18.6235,13.4262,0.3897,1.9622,1.4878,0,0.6557,0.2465,0.3989,4.1133,5.634,1.874,1.4792,0.7546,0.4074,8.3157,34.7321,72.7331,4675.4077,106.1424,63.9861,110.8567,6.6034,45.368,75.7471,28.8969,282.5937,19.1391,1173.8705,712.5755,315.9,192.8675,191.6774,113.0389,105.8856,76.387,145.1695,0.0
HKG_N,0.7977,0.1614,0,0,0.0231,68.5291,31.3604,8.9742,6.4968,0.1533,0.7577,0.3824,0,0.3209,0.108,0.1616,1.4006,2.0438,0.6644,0.6208,0.288,0.4014,3.2205,20.2092,23.0096,2191.5059,88.9107,118.0966,159.2229,4.9203,56.8571,48.9052,14.8854,221.898,9.4415,505.6811,367.6221,89.6077,200.3934,81.3252,66.1732,76.9928,52.1416,73.6304,0.0
HKG_O,0.2161,0.0527,0,0,0.0357,13.7916,5.7,1.3601,0.9453,0.0453,0.1844,0.1078,0,0.1523,0.0886,0.1464,0.5155,0.998,0.4205,0.3129,0.1634,0.1202,1.8586,10.2204,29.5751,426.0134,15.8895,15.8089,68.5713,1.9527,8.1091,20.206,4.6481,25.8874,1.9912,145.8364,67.3205,18.4797,21.5862,157.0832,23.2628,14.7609,16.8664,35.8733,0.0
HKG_P,0.2596,0.0592,0,0,0.0008,29.5363,12.2856,2.4304,2.4024,0.0705,0.2249,0.1814,0,0.1477,0.0639,0.0765,0.45,0.6326,0.2956,0.2514,0.1311,0.0367,2.1251,8.0445,13.411,738.6813,26.381,21.0929,28.0429,1.8026,15.2375,18.3389,4.6338,58.3211,6.0179,260.0218,109.863,39.1474,39.6778,75.8138,217.8617,31.4788,16.4893,44.9306,0.0
HKG_Q,0.0337,0.0082,0,0,0.0004,5.7317,7.9592,0.4047,0.3635,0.0679,0.1754,0.1476,0,0.0697,0.0268,0.0319,0.2077,0.2607,0.0853,0.0669,0.0347,0.0159,0.6719,2.2105,3.0271,163.2505,7.0727,14.1167,4.6171,0.6958,3.5087,6.2747,1.0538,10.3372,0.6152,74.8985,37.6768,7.2206,12.0272,5.1627,18.5545,83.7823,7.8886,14.2937,0.0
HKG_R,0.1582,0.0386,0,0,0.0003,10.8214,4.4208,0.3778,0.6594,0.0469,0.1487,0.0685,0,0.0578,0.0239,0.028,0.2399,0.3124,0.0896,0.0997,0.0506,0.0141,0.9067,4.066,2.9901,281.972,5.8926,11.0235,11.747,0.7908,7.0696,8.2534,19.8795,27.9902,1.2738,108.2841,59.1845,17.7204,17.8438,11.5883,16.7355,9.1681,251.1088,44.8028,0.0
HKG_S,2.0225,0.5992,0,0,0.0123,137.992,80.8354,8.2606,6.8249,1.8362,6.4901,3.2695,0,2.5108,1.2474,1.6016,16.2554,19.7534,5.6336,11.9506,5.149,0.6383,14.1114,32.4995,43.3638,1734.4661,59.597,50.8373,92.0144,2.738,28.6574,86.3246,22.1664,92.7133,7.025,438.1386,305.0255,59.3575,77.7131,44.6755,49.2811,66.6748,78.7557,263.6627,0.0
HKG_T,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
