V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_A01_02,111.1992,2.1702,1.6296,0.0001,0.5918,640.4381,25.8846,93.8034,0.0017,0.0,1.1296,0.4226,0.0117,1.325,0.4167,0.0833,0.0,0.0002,0.0006,0.1544,0.0559,8.3874,0.0,0.0719,146.5775,5.5487,0.0333,0.0246,0.0118,0.033,0.0046,90.9234,1.0083,0.6747,0.5927,0.0057,3.2405,2.0081,1.1666,1.1402,0.3112,10.1979,3.5473,1.4187,0.0
CMR_A03,2.9802,4.0316,0.0058,0.0,0.0021,42.0739,0.1287,0.0662,0.0,0.0,0.0035,0.0014,0.0,0.0009,0.0018,0.0004,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0003,0.1109,1.5264,0.0,0.0,0.0,0.0,0.0,44.6062,0.0787,0.0497,0.0591,0.0,0.0023,0.0069,0.0002,0.0264,0.0015,0.0379,0.0185,0.0418,0.0
CMR_B05_06,112.3398,0.0,179.6031,6.5735,4.791,9.4356,12.9801,0.4841,1.9311,352.2822,10.4572,0.0011,0.0,42.7716,15.4869,0.0037,0.0566,0.007,0.0185,0.0,0.0,0.1476,71.2678,2.3466,2.7508,61.7579,9.2388,2.8043,2.4717,4.0824,2.7907,1.7475,1.782,1.8681,1.7508,0.0944,0.1377,1.6863,0.0,0.0,0.3656,0.0294,0.0959,0.0038,0.0
CMR_B07_08,3.1787,0.4051,5.6799,5.296,2.0186,3.7336,0.0557,0.0642,0.0,0.0,0.0024,0.0003,0.0065,29.1132,1.5281,0.1141,0.3113,0.0,0.0,0.0,0.0,0.0297,0.0,0.0024,72.6717,0.0709,0.098,0.0138,0.0361,0.0777,0.0145,3.3484,0.0026,0.0039,0.0022,0.0,0.0016,0.6054,0.0165,0.0014,0.0249,0.1747,0.2118,0.1781,0.0
CMR_B09,0.661,0.0,47.6602,0.0813,12.7326,3.1048,0.0419,0.6317,0.1076,2.4002,0.0506,0.001,0.0,1.0517,0.0239,0.0028,0.0437,0.0042,0.0107,0.0,0.0,0.0325,3.0763,0.1206,8.5976,56.6212,9.3611,1.403,1.0582,4.5105,4.5215,1.1862,0.0929,0.0,0.2045,0.0971,0.1591,1.0016,0.0,0.0,0.3199,0.0263,0.0287,0.0024,0.0
CMR_C10T12,42.8732,0.893,0.0617,0.019,0.0226,325.6261,2.3292,0.3125,0.052,0.0007,22.1864,7.1301,0.0653,0.0014,0.0695,0.0148,0.0,0.0053,0.0122,0.0009,0.0002,0.1092,0.0002,0.0944,2.4775,17.4224,0.0423,0.0261,0.0351,0.0399,0.0055,432.3415,4.8976,3.0586,1.3831,0.1759,0.0033,0.4889,0.0274,53.753,1.4012,4.7609,0.2241,2.5019,0.0
CMR_C13T15,0.9009,7.4564,8.8354,0.063,2.3623,1.2329,151.0486,0.5139,0.0398,0.0006,1.1244,0.3691,0.1594,0.1104,0.0153,0.0045,0.0595,0.003,0.0044,0.0022,0.0002,0.5297,0.0012,0.0407,12.276,5.7179,0.1908,0.072,0.0571,0.1213,0.0293,1.846,0.1254,0.0763,0.0826,0.0353,0.0001,1.0051,0.212,12.8972,2.6185,12.5142,14.5584,14.6042,0.0
CMR_C16,31.6901,0.1877,0.0502,0.0183,0.0197,14.9174,15.3128,113.0724,0.0086,0.0034,7.0591,1.0935,0.0062,0.3548,0.1049,0.0272,0.0,0.006,0.0106,11.1231,4.0303,60.7297,0.0025,0.1007,105.9233,0.8279,0.2985,0.1285,0.0747,0.4924,0.0351,4.7276,0.9044,0.4697,0.4072,0.005,1.2551,5.8092,80.484,3.8703,0.2296,6.5032,0.2994,6.4561,0.0
CMR_C17_18,1.9112,0.0507,0.069,0.4202,0.0166,1.9669,0.4175,0.054,2.0536,0.0415,0.6879,0.2952,0.0532,0.9463,0.0033,0.0012,0.0002,0.026,0.0303,0.0103,0.0025,0.8919,0.0685,0.0069,2.7044,4.3025,0.177,0.0401,0.0651,0.2413,0.0629,0.1172,2.0342,0.4812,0.3683,1.6823,0.108,1.6202,0.4079,11.0227,8.3853,0.4822,0.18,0.4915,0.0
CMR_C19,43.1949,27.934,10.3259,0.8329,2.4922,49.4553,2.2789,12.044,1.4442,0.0317,2.414,0.1842,0.2574,0.1471,0.5718,0.0952,0.0001,0.0294,0.0505,0.0016,0.0004,4.8026,0.4006,5.3413,38.7156,25.2445,106.2205,34.0159,58.9241,25.5439,7.1221,11.5412,0.7554,1.3184,0.7195,8.1692,0.0664,14.1855,3.268,37.28,9.4502,4.7584,0.5742,7.7851,0.0
