V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_G,833.9847,5.3305,38.6018,60.6365,1.1408,2061.3483,483.9821,659.9712,661.9569,279.6092,1275.4061,293.2545,404.5407,466.1645,712.8347,688.4875,327.3032,547.3459,1035.7157,878.1366,134.3239,899.3899,1293.0026,222.4624,2006.2225,3098.4659,1119.0369,18.9087,242.1695,310.4891,29.6326,1187.45,254.0255,199.9612,348.7332,498.2755,293.1092,1348.009,498.2722,463.4425,220.8292,1111.9838,177.1134,259.1473,0.0
AUT_H49,66.4974,0.4171,5.807,36.2774,0.6053,340.6021,36.6621,159.7508,190.8905,129.1087,194.183,36.4315,78.4286,151.4935,184.5585,139.7081,38.8015,84.4223,168.8983,92.2984,25.3838,98.0413,203.3938,50.1445,291.6908,1047.3082,764.9854,7.011,48.8791,44.4478,22.6824,84.4189,58.6069,22.5171,20.1026,65.8233,53.8833,137.5793,90.7818,77.506,43.5971,81.3509,13.7725,25.607,0.0
AUT_H50,1.2524,0.006,0.0331,0.0524,0.0045,0.9674,0.202,0.2706,0.268,2.3117,0.9969,0.1667,0.2499,0.2449,0.2549,0.583,0.3674,0.3093,0.6847,0.7064,0.1347,0.8862,4.6599,0.165,2.0394,2.9469,1.219,0.08,1.289,0.8456,0.0423,1.5523,0.1973,0.3707,0.291,0.8062,0.5518,1.7351,0.5719,0.6078,0.3423,1.6392,0.1919,0.4133,0.0
AUT_H51,8.7832,0.0547,0.7905,1.3066,0.0247,27.9781,3.9107,8.1164,8.9251,11.9332,17.8571,4.6166,6.2653,10.3206,14.2026,17.2452,8.755,8.2824,24.9678,11.1002,3.6688,18.5604,28.1064,5.443,40.2208,98.2399,28.7477,0.6437,87.6715,9.3356,3.8862,12.8202,4.1268,5.9337,8.3912,34.4928,6.4021,40.984,93.0887,21.2126,6.9041,17.7148,3.8128,7.6661,0.0
AUT_H52,29.9057,0.2109,4.738,27.9231,0.5148,188.7255,15.4914,76.4291,92.4305,21.0654,77.8636,16.5314,36.0472,88.1306,93.0323,66.0784,17.8248,46.3923,78.9685,30.874,10.4912,48.887,512.3628,69.0782,224.2254,821.5663,856.5801,81.3224,814.0388,724.0288,4.239,59.9518,30.2703,15.9391,25.6107,56.9879,98.7142,119.9878,56.1729,63.0273,27.5565,64.4839,14.9126,23.3851,0.0
AUT_H53,6.5292,0.1102,1.393,3.1138,0.0771,26.0015,3.8851,7.3131,18.2402,0.885,6.9771,4.3874,6.6817,9.6716,12.1104,17.8612,9.3001,4.5129,31.2783,6.7839,3.986,18.3907,24.0338,10.6495,43.3177,276.537,21.3648,0.6729,3.0881,39.1097,820.4476,32.5226,23.2981,11.6593,24.8023,180.5713,39.3863,145.6367,48.1755,138.5475,21.691,64.442,19.4863,124.6724,0.0
AUT_I,12.0958,0.1842,2.4478,8.7509,0.3964,183.0269,15.0915,28.0116,25.5264,1.4971,40.4282,25.4015,17.9951,34.6391,44.7199,75.9566,52.1482,22.6573,150.9176,22.8777,17.3208,80.6197,106.2612,38.4553,202.6322,751.8604,126.3325,17.7964,179.3738,61.1659,7.4483,227.4005,16.2819,39.7115,26.5072,362.9527,37.7334,309.377,1386.4574,162.5078,87.9147,102.0875,21.4294,60.6003,0.0
AUT_J58T60,2.9901,0.0426,0.6702,1.5296,0.0376,40.9916,4.8393,5.964,181.5211,1.1544,12.2599,9.1887,4.1432,7.7628,6.0649,11.2348,11.9219,8.1495,16.8284,6.4917,5.1834,20.881,15.3293,7.6774,34.1798,289.756,19.0776,0.4286,7.1862,13.6531,4.838,21.2068,606.1541,40.7751,30.47,117.9125,30.2561,1046.3649,106.8024,78.7442,51.0125,31.0381,20.8798,16.0984,0.0
AUT_J61,17.6274,0.2126,2.943,5.7924,0.1593,52.3309,7.5937,14.2528,34.8808,1.567,14.5688,8.869,13.0514,19.4059,23.2755,36.4809,19.0074,11.4899,62.4599,13.5889,7.6406,43.5643,49.3397,20.9593,96.3595,533.0295,46.1963,1.4477,7.8254,146.71,11.3015,62.4153,125.3622,1913.4265,69.0925,300.4849,73.3116,300.9259,92.4184,157.053,38.4739,110.3708,34.1772,54.6561,0.0
AUT_J62_63,4.6893,0.0476,3.794,5.8083,0.1319,76.7531,9.7525,11.756,49.4972,2.8773,21.2457,10.1522,18.5975,34.1156,31.0767,53.1223,44.6258,27.1285,37.8618,21.9663,18.7624,50.6977,121.5521,21.8668,42.1834,536.433,29.0048,1.575,8.1475,45.5227,4.8803,28.8281,43.694,100.5818,1453.5856,534.186,39.6993,471.5947,84.0818,76.781,44.9851,115.033,33.5197,56.3557,0.0
