V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_A01_02,191.3546,0.0113,0,0.1559,0.043,215.0526,0.1697,6.8122,2.2432,0.0007,3.6599,0.7833,0.9308,0.0461,0.0016,0.0039,0.0,0.0,0.0,0.0056,0.0056,0.3744,13.0394,8.1324,11.1786,38.1059,2.9465,1.3713,0.7261,1.1726,0.2263,189.4693,2.2528,0.769,0.0444,0.0128,2.4947,0.3805,0.595,9.0926,2.3765,14.3573,4.8352,6.0576,0
KHM_A03,99.4702,99.5893,0,0.0457,0.0111,63.1043,0.0556,1.9397,0.5372,0.0,0.953,0.3042,0.2657,0.0131,0.0005,0.0011,0.0,0.0,0.0,0.0014,0.0023,0.0445,3.5898,2.0595,0.0013,10.8536,0.5836,0.456,0.3408,0.2011,0.0685,53.8912,1.1106,0.2168,0.014,0.0037,0.0027,0.0424,0.2406,0.0066,0.997,4.6314,1.4388,1.7427,0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KHM_B07_08,2.5843,0.0126,0,0.3644,0.0415,0.4704,0.0263,0.0052,0.1415,0.4387,0.0391,0.0027,0.0379,4.6062,2.7906,1.9521,0.0,0.0001,0.0014,0.0002,0.0003,0.0096,7.3856,3.5458,5.8128,0.0852,0.1433,0.0108,0.037,0.0409,0.1241,1.3053,0.4185,0.3594,0.1419,0.0608,5.0786,0.9441,0.5173,0.6503,0.1026,0.0776,0.482,1.2321,0
KHM_B09,1.7739,0.0086,0,0.2034,0.1539,0.1899,0.005,0.0057,0.0543,0.1387,0.0108,0.0002,0.016,0.4051,0.7632,0.8625,0.0,0.0,0.0006,0.0001,0.0001,0.0418,3.7287,1.2915,0.9952,0.0329,0.0564,0.0043,0.009,0.0151,0.1505,0.3032,0.3022,0.0,0.019,0.05,3.4589,0.4519,0.1256,0.5653,0.0717,0.0908,0.1359,0.2895,0
KHM_C10T12,6.7591,0.0516,0,0.0482,0.0038,81.0289,0.1207,0.0463,0.2057,0.0,0.064,0.0115,0.0982,0.1006,0.3768,0.7761,0.0,0.0001,0.0111,0.0329,0.0368,0.3658,0.7242,0.5421,4.4567,5.4065,1.2312,0.5809,0.6615,0.3965,0.2139,44.5494,0.2252,0.7477,0.1974,0.0497,3.0629,0.458,0.3455,0.6563,0.1441,0.2254,0.2772,0.4357,0
KHM_C13T15,41.7911,0.3184,0,0.0045,0.001,29.323,844.9412,0.0956,0.2601,0.0307,0.0496,0.0084,35.448,0.2452,0.9515,2.0633,0.0001,0.0001,0.0344,0.0889,0.0808,2.4452,0.558,0.9388,23.5487,26.8828,9.7207,2.0685,3.5341,3.5593,0.0002,25.3406,0.3787,0.0005,0.0036,0.0001,0.0166,0.0114,0.7483,10.8165,0.0006,0.1366,0.2999,1.5813,0
KHM_C16,7.543,0.0327,0,0.0067,0.0007,0.1578,0.2046,3.2099,0.0006,0.0032,0.0001,0.0,0.0005,0.0006,0.0035,0.0116,0.0,0.0,0.0001,0.0284,0.0268,0.0748,0.558,0.1478,1.5419,2.4215,0.0096,0.0021,0.0013,0.0058,0.0,1.7979,0.0266,0.0,0.5051,0.0,0.0,1.6366,0.8774,0.0012,0.0,0.0003,0.0356,0.0856,0
KHM_C17_18,0.0162,0.0001,0,0.0287,0.0024,0.528,0.0132,0.0082,7.9414,0.0064,0.365,0.0824,0.0651,0.0161,0.1617,0.6611,0.0,0.0,0.0022,0.0391,0.028,0.7537,0.1313,0.2162,0.4348,1.5363,0.2263,0.0262,0.051,0.1212,0.0934,2.8368,2.6372,0.2841,0.1474,0.0908,0.038,0.4228,0.2161,2.3706,0.6553,0.0471,0.0649,0.1149,0
KHM_C19,14.099,0.069,0,0.865,0.0812,3.0496,0.0192,0.3251,0.001,0.8462,0.0258,0.0011,0.0929,0.2151,0.203,0.1941,0.0006,0.0015,0.0,0.0431,0.0354,0.2422,4.474,0.9547,0.2631,5.1681,6.686,1.121,2.2276,0.6168,0.0489,0.6212,0.1268,0.0939,0.108,0.1464,0.0008,0.2663,0.3779,1.0979,0.0806,0.0906,0.1517,0.2717,0
