V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_H51,1.2046,0.0107,0.144,0.2361,0.0167,1.1392,0.3438,0.3757,1.0448,0.0056,0.9225,0.5078,1.0834,0.5925,1.3406,3.9509,0.4309,1.4066,1.6401,1.5629,0.0311,0.8518,1.6464,0.8415,3.6197,4.1615,3.2052,0.2788,1.3317,0.3196,0.0511,0.9953,0.4134,1.0256,0.5746,0.74,0.4476,2.2413,0.7714,1.1398,0.4801,0.8774,0.6657,0.4333,0.0
SVN_H52,5.8812,0.0703,0.5379,4.0685,0.1625,18.0901,3.7163,4.4788,9.3096,0.0586,11.2012,9.6647,7.301,9.7115,9.549,18.7545,2.6872,10.9422,7.2115,11.029,0.6521,6.0458,11.6004,14.3203,37.2999,102.7004,143.7225,5.7545,64.8413,133.4602,2.8949,7.0589,6.3453,2.5113,2.5274,7.0832,5.2492,13.5486,8.3643,5.2689,4.6028,4.3007,3.7913,3.0576,0.0
SVN_H53,0.6646,0.0744,0.0775,0.1436,0.0191,3.9704,0.7278,0.8972,1.9916,0.014,1.5269,13.33,1.3095,1.0286,1.2004,2.9276,1.0788,4.4835,1.1898,0.7267,0.7516,1.4063,11.3086,4.4985,3.8273,41.6513,6.03,0.1682,0.8011,3.5664,16.5646,2.7953,22.0577,8.1883,2.5907,61.1708,5.8236,18.0253,8.9729,39.9842,5.1666,7.5973,4.2684,8.9804,0.0
SVN_I,0.3317,0.071,0.0434,0.091,0.0173,0.6355,0.5389,0.7738,0.6653,0.0017,1.1173,4.9046,1.2067,0.9389,0.7794,4.039,0.8491,1.5125,2.1345,0.7614,0.109,2.5657,2.2356,0.8117,10.2512,17.2143,17.0044,0.1576,1.9383,1.311,0.2508,4.9383,1.1601,1.0991,3.6849,3.3298,0.7977,17.6869,108.1306,8.2836,9.4208,4.7249,6.3278,10.5201,0.0
SVN_J58T60,1.1769,0.0649,0.1132,0.2101,0.0176,6.6152,0.6822,1.0671,1.537,0.0187,1.7957,22.3192,1.9319,1.0521,0.8192,3.0012,1.507,3.9097,2.239,1.2935,0.193,2.0775,6.9597,1.5339,4.1384,60.8102,9.8444,0.1962,1.3579,4.1366,0.463,5.1627,97.6365,10.2903,25.7386,18.5833,1.8493,58.5929,8.4129,18.6532,13.4844,4.1826,10.5328,9.6669,0.0
SVN_J61,1.5711,0.1025,0.1253,0.2633,0.0472,4.6469,1.2941,1.0269,2.6973,0.0342,2.3786,9.1877,3.5649,2.8562,1.5511,6.2918,3.2039,2.9876,3.7244,3.7421,0.351,3.6174,16.6469,4.0227,9.7495,53.271,13.5227,0.5128,1.5532,8.382,1.3442,8.5736,25.1737,460.2495,21.64,29.6041,4.0965,35.0164,10.3195,25.4179,9.1734,9.5519,7.1525,6.1791,0.0
SVN_J62_63,2.0493,0.0734,1.8725,0.49,0.0382,8.2945,1.8365,2.2106,3.1639,0.0349,4.6468,39.6656,4.445,2.4059,2.0308,10.3096,5.9264,14.744,6.2625,5.448,1.5542,5.7328,27.9269,4.5786,13.9162,61.595,8.5584,0.3858,0.9529,19.5096,2.8904,8.7668,14.6559,40.1486,141.1651,65.5969,4.5723,64.6661,7.3894,39.1128,9.1764,14.2185,6.1486,10.5005,0.0
SVN_K,25.6875,0.4049,3.0836,2.6404,0.2998,30.8948,11.0957,12.3419,21.7507,0.0713,23.784,42.5214,28.4026,15.9722,36.4716,60.8197,12.4056,36.7586,26.6596,37.3855,2.4799,22.3496,47.0175,26.4682,129.643,285.6855,63.4114,3.9407,7.4361,33.0697,5.8461,39.1305,11.6578,29.7715,27.4645,485.0471,72.4903,90.6762,43.9039,115.154,12.1732,23.645,22.3522,32.5799,0.0
SVN_L,4.6865,0.0576,0.7795,0.8386,0.0581,9.5092,4.6634,4.0288,3.842,0.0525,5.3869,9.4914,8.9441,3.4412,5.6609,20.8538,2.5053,10.2388,7.5122,4.0156,0.8686,8.8671,10.5983,8.5631,43.4096,202.4806,21.1355,0.3348,3.5088,19.4161,2.9656,25.6752,6.1001,12.9843,9.5194,24.0827,33.8624,34.6276,19.2392,32.2835,9.8867,12.3723,14.287,10.7254,0.0
SVN_M,36.1908,0.5432,4.064,5.8289,0.5926,61.3085,17.6174,17.1396,25.1476,0.1844,29.4485,137.5255,55.2687,24.686,22.3612,73.5608,17.9112,93.6302,37.6288,35.5924,2.4697,29.0584,234.3599,30.9217,479.8141,553.9179,55.3457,3.2666,4.9002,61.4049,5.1883,63.0839,60.0708,80.288,45.9499,106.7962,64.4866,745.9218,74.2391,138.4509,77.3666,73.5965,68.1133,56.257,0.0
SVN_N,4.5384,0.163,1.1651,1.6037,0.1938,35.5532,5.3446,7.3443,13.5915,0.1241,11.4257,41.3766,11.1599,8.4147,14.5445,30.178,8.3731,16.5458,12.63,18.1151,0.7301,18.3232,18.7671,30.2922,41.7611,191.9736,28.07,1.3192,13.6901,28.7538,9.8409,57.9201,22.2629,20.1743,16.4532,45.9794,28.7278,92.3689,137.8495,41.5419,45.6736,49.6373,39.8518,25.2061,0.0
SVN_O,2.5339,0.0699,0.2626,0.1473,0.0215,3.9733,2.9293,1.5954,1.8988,0.0141,1.6012,42.9886,2.2522,0.841,1.3201,7.0824,1.2898,5.9409,4.1468,5.9091,0.1871,3.947,3.889,2.517,16.0278,58.7426,33.0713,0.5033,0.3684,9.148,0.5867,9.1538,9.6525,11.6443,5.45,22.7327,7.3826,37.1655,7.0649,63.9543,14.3948,11.9998,10.1519,8.7448,0.0
SVN_P,3.0639,0.0467,0.2801,0.2186,0.0116,4.5062,0.6821,1.1,1.574,0.0097,1.1264,10.7562,2.3824,0.8183,1.7276,5.1082,1.5282,2.3575,2.3591,2.0884,0.1502,6.764,10.6813,2.3947,7.0787,25.9487,3.5316,0.1462,2.2893,3.6832,0.3456,3.9351,3.282,5.0455,7.0985,12.4281,2.2295,21.6731,7.3923,16.9302,41.6175,20.1386,8.8646,7.5116,0.0
SVN_Q,1.6726,0.0326,0.3319,0.0987,0.0078,1.5128,0.4235,0.4839,1.9121,0.004,0.8996,2.5135,0.7435,0.9773,1.3142,2.7112,0.4817,1.1012,0.8122,1.0423,0.0846,1.5606,3.9671,2.0865,2.8051,9.8996,2.4768,0.095,0.3643,1.4436,0.31,4.1735,0.9437,0.9012,0.9577,2.2725,1.0193,4.3449,2.3203,9.9184,3.688,119.115,2.7194,20.4611,0.0
SVN_R,1.1505,0.106,0.5271,0.5497,0.0058,6.9912,0.6375,0.6129,0.8782,0.015,1.4905,23.0828,1.8014,0.7757,1.4809,2.3106,0.6524,4.2141,0.91,2.8523,0.0998,1.2405,4.2643,1.7147,4.0295,48.3073,1.5618,0.2451,0.3615,8.972,0.3368,17.3046,9.3578,12.4682,2.8932,9.3743,1.8652,27.1509,13.8559,4.8118,10.8309,1.6078,101.3212,7.0254,0.0
SVN_S,1.716,0.0899,0.1971,0.2486,0.0233,7.1375,0.7563,0.8711,1.2486,0.0341,2.205,20.2172,1.9919,1.4895,2.4609,3.8598,1.5787,7.383,1.491,3.5539,0.1081,3.0874,7.6031,2.5121,6.5876,58.8889,7.3513,0.3721,1.1279,3.0707,0.3171,15.3914,5.5041,6.9375,3.714,20.3078,4.4401,23.0022,7.4992,11.3581,13.8507,14.6428,12.3694,76.653,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
