V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_E,17.2616,0.2412,33.648,13.6194,4.0849,77.043,1.7868,1.8788,4.1921,5.9092,7.7128,1.1513,1.0252,3.0044,49.6407,0.8255,0.8003,1.73,5.9805,0.2394,3.2161,2.2628,34.4038,48.7264,20.7437,29.6808,35.9271,5.7125,5.0028,21.0646,0.6134,6.9277,0.2413,0.7535,0.7648,6.349,33.3772,2.8487,24.5985,16.4334,237.4946,21.224,3.6127,5.6903,0.0
UKR_F,6.0051,0.5992,6.2685,7.2114,2.6365,10.6009,0.6374,1.1171,1.3162,1.8763,3.6535,0.9884,0.3512,3.5973,5.9307,2.0619,2.476,1.1315,1.5475,0.7547,8.0043,8.0068,23.383,49.043,87.5037,70.0138,21.8019,1.5754,2.8307,13.051,0.0642,4.7146,0.6139,12.1705,6.506,64.6205,249.5595,169.6298,51.2506,95.9831,13.2017,13.2171,4.2374,2.2055,0.0
UKR_G,1758.3188,87.0806,196.9123,206.6176,90.9704,7279.9461,180.5343,202.5378,261.1602,440.1275,526.6224,240.2078,390.1333,525.879,2280.5949,266.2252,360.3287,209.8841,750.708,385.5841,611.7781,696.0025,163.8987,121.8632,726.0674,1336.4611,322.9871,60.1741,73.7315,113.9573,4.1477,115.5607,247.3068,42.2423,49.6353,134.9888,137.7758,111.0744,98.3783,71.1589,189.7458,173.8151,20.9075,25.9437,0.0
UKR_H49,643.3758,6.9486,430.5732,328.4868,135.7467,1097.3899,27.7081,65.9785,89.5032,202.3921,300.1322,21.6014,83.0132,173.5944,691.3561,58.8092,11.2846,59.1951,99.102,63.7514,104.564,76.757,201.0433,33.1509,296.9809,1089.5953,195.5933,17.7637,21.3234,61.5346,2.0853,33.2289,39.1313,7.2854,7.8701,97.2131,29.3157,27.0241,20.0614,182.329,45.4449,47.1817,25.6428,13.0353,0.0
UKR_H50,64.3092,0.6529,35.7062,25.1604,9.9317,106.6967,2.7728,7.4205,9.164,41.8495,36.2092,3.1592,8.0692,18.2361,82.3358,6.7277,1.4157,7.3472,10.0809,8.9941,11.8678,8.7715,33.1606,5.7209,40.6643,82.8166,17.3814,6.8181,3.0782,8.1229,0.2716,4.341,3.5199,1.0611,1.0076,7.6135,4.8762,4.2219,2.9442,5.6089,5.6933,6.7447,2.0803,1.294,0.0
UKR_H51,35.2097,0.4015,12.2683,7.7169,4.3821,56.6629,1.5755,4.1608,5.5234,29.1961,21.2208,2.579,5.6117,11.5631,57.7608,4.8433,0.9815,4.3309,6.0349,7.4012,8.295,5.445,27.3925,4.667,35.0446,25.5184,12.1919,1.8491,3.4257,4.7432,0.238,3.1177,1.774,0.8431,0.8287,2.5829,3.9344,3.2798,2.2045,5.8573,5.2462,4.9883,0.7769,0.6579,0.0
UKR_H52,308.1231,3.2107,173.6119,171.7812,57.8654,548.914,13.8159,29.6304,43.4268,71.789,123.9806,8.7515,32.0838,66.1464,252.5138,24.2227,5.4994,24.9342,41.3225,18.6262,39.4701,35.6254,66.5781,10.9157,85.9393,608.4644,65.0796,16.4397,21.7035,39.1122,0.4845,13.3135,19.9542,2.866,3.043,53.4519,9.4296,9.5437,7.563,84.3725,10.4368,18.2041,13.8225,6.705,0.0
UKR_H53,22.009,0.2454,15.2838,6.2248,3.0824,42.2702,1.0349,1.5276,3.4002,0.0887,1.1571,0.9401,0.4153,1.9686,2.9751,1.6277,0.2482,0.3754,1.3139,0.0975,0.5117,2.4472,1.9391,0.3196,0.7614,51.2414,12.6001,1.3451,1.7795,9.2672,35.4434,0.728,1.5448,0.5316,0.8435,4.502,0.0869,0.1446,0.1158,39.0604,3.4524,0.8831,1.1659,0.492,0.0
UKR_I,3.5497,0.0864,4.4751,1.9306,1.9735,16.3253,0.5206,0.5045,1.0375,0.8214,2.9777,0.7621,1.1254,2.4087,3.5089,0.6838,1.3273,2.6456,7.2598,0.1656,3.408,7.3493,10.9302,46.9906,76.3033,125.7705,29.3195,3.0143,17.2307,9.9578,0.2559,8.4463,2.866,7.1887,9.6165,8.7745,6.4502,36.3294,29.4021,53.3623,15.5671,6.6148,15.6425,4.1376,0.0
UKR_J58T60,119.5274,0.8412,16.234,14.1099,8.3602,73.9392,0.2419,3.878,11.1322,0.3141,0.7545,3.6342,0.5493,1.2538,1.9814,0.3886,0.2139,0.4292,0.8354,0.3575,0.4925,1.3887,15.2976,22.8958,10.3926,199.0003,82.6077,10.6632,25.5777,52.3698,8.9524,25.152,469.9025,36.2176,53.2019,30.7194,2.7053,131.1838,3.0835,0.0,4.7123,41.0547,8.2141,3.9299,0.0
