V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_A01_02,1466.8824,68.9681,955.1844,15.8047,68.0204,4706.7198,51.1293,5.5655,10.3826,8.4348,43.156,17.017,14.0134,4.8061,5.7673,7.919,1.0853,7.8181,1.6477,1.4638,0.3204,5.4059,0.2173,1.4575,82.9957,4.7069,2.4821,7.7336,1.4873,14.7701,5.0824,192.3141,1.7458,1.081,0.1584,126.3178,0.5874,1.1804,3.085,23.1314,1.815,19.0174,0.6638,7.2022,0
EGY_A03,0.0,27.0626,0.0,0.0,0.0,16.6183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0001,0.0,0.0,0.0,0.0,0.007,0.0,0.0,54.8943,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.3512,0.1025,0.7393,0.0033,0.0919,0
EGY_B05_06,20.401,19.7566,1470.1745,1.3283,6.5154,138.9289,18.5352,29.2629,22.7624,16515.1038,27.1936,10.9712,0.6413,74.1263,132.5471,1.5477,0.0412,0.582,0.0355,3.8416,0.0116,6.6821,6189.2971,14.6119,10.4916,39.3622,183.2665,71.7433,184.2864,16.8385,0.5048,90.0735,2.5881,10.7313,0.9491,12.8994,0.504,3.3194,2.7638,7.8001,1.2369,7.26,1.918,51.3785,0
EGY_B07_08,0.0,0.0,17.7234,13.4234,0.2915,0.8331,4.2902,0.6637,8.6054,38.7957,158.0386,42.2904,2.2402,251.6691,809.9998,5.3178,0.4588,7.6699,0.5514,2.3982,0.0139,12.2715,0.0014,0.0005,196.0143,2.1139,2.4151,0.0003,0.0001,0.0167,0.0,31.7967,0.0013,0.0028,0.0004,0.1173,0.0286,0.0715,0.0766,1.4524,0.7463,0.2168,0.0097,0.285,0
EGY_B09,7.4729,44.9456,539.6924,4.2062,42.4692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.574,0.0,0.0,0.0,0.0,8.7951,3.2075,0.0,0.0,0.0,0.0,79.9816,0.0,0.0,0.0,9.3785,0.0,0.0,0.0,0.0,0
EGY_C10T12,1034.6309,23.0957,0.9265,0.3012,0.0101,1608.1242,40.8141,1.5371,4.3865,3.1048,15.6189,7.3914,5.5276,1.8727,177.7328,163.2172,0.3345,2.5126,18.8813,0.5176,0.0357,1.3791,0.0614,5.6697,2.9291,3.1709,0.6126,11.2497,1.1589,0.7238,0.0205,338.6257,0.1418,0.3248,0.0491,1.2118,4.9813,2.0185,2.3149,19.1796,6.3923,37.2582,3.0175,8.8413,0
EGY_C13T15,14.354,1.0196,0.672,0.3641,0.0043,6.9133,861.8332,3.4262,6.3274,2.9719,7.7045,3.0494,6.5246,0.9467,7.0539,3.4576,1.1122,3.7558,0.4505,4.5852,0.2296,36.8068,0.0219,0.2301,2.9764,4.4249,3.8943,2.6852,10.9803,1.4047,0.0177,47.7869,0.395,0.8487,0.1269,0.9501,2.8338,2.4419,2.684,7.0129,2.874,8.8573,0.6998,8.6842,0
EGY_C16,0.0605,0.1335,2.8668,0.1059,0.0023,12.1241,1.3986,132.9309,7.2453,1.6709,1.8214,0.7486,3.4709,1.8391,26.2935,8.0645,0.645,10.2083,0.9655,2.508,0.4601,713.3786,0.0027,0.0183,192.7368,1.9331,7.7557,0.1287,0.0496,0.506,0.0022,1.6196,0.0166,0.0379,0.0057,0.2682,0.6249,1.6402,1.4463,2.3779,2.6906,2.9007,0.1724,12.233,0
EGY_C17_18,0.4709,0.0574,1.1812,0.4804,0.0038,106.7597,33.39,12.8129,350.448,4.4458,42.1356,17.8051,15.3857,26.0397,8.4075,20.4126,4.6328,24.2775,6.7454,4.051,0.1122,24.8319,0.027,0.8302,5.9021,62.4673,12.0406,1.0732,0.8671,16.0028,0.0969,42.3536,23.0437,48.9402,6.7827,14.8247,0.2167,169.6375,73.2951,17.2774,70.0659,41.6416,3.3982,59.2496,0
EGY_C19,102.2798,23.9379,181.1513,48.6369,0.7773,1615.8734,259.9465,157.1599,83.5135,138.2894,313.8966,22.4422,34.3199,569.0221,1479.606,78.2191,2.5098,41.3587,8.6431,39.1628,1.9426,73.8071,492.4113,10.9713,244.1519,315.282,1094.1629,1133.186,641.3366,166.9893,1.5859,410.9653,22.2961,44.4022,6.6342,8.0984,33.2362,17.5855,19.4892,129.8843,9.6743,17.4766,2.6128,59.3008,0
