V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_I,14.9561,2.7786,15.2864,1.5724,0.9341,13.1313,44.8371,1.6724,6.0554,3.116,9.1357,5.6468,4.5846,7.129,4.0832,4.7913,8.1406,3.8701,5.8937,6.5716,1.5632,9.2476,30.0847,6.7139,18.7582,177.8051,37.8744,10.5371,42.5754,21.033,3.1096,40.2473,16.6635,30.9265,14.8692,79.4501,14.0692,67.5368,59.4105,163.5092,64.9159,90.3696,26.1725,52.2541,0.0
PAK_J58T60,9.2375,1.2697,4.3614,0.6284,0.3022,17.6833,31.6309,1.1624,13.3404,1.6876,8.0914,4.9271,2.912,3.9422,1.9703,2.2414,6.0205,2.9252,2.7517,4.2161,1.2068,6.104,15.9949,4.1246,8.3495,144.6884,11.7489,2.99,6.1572,7.8714,3.068,19.0216,272.8951,88.5147,27.2754,62.4529,11.4821,148.4466,27.9962,84.886,82.019,24.8195,40.0006,32.1105,0.0
PAK_J61,26.9585,5.0043,15.2878,1.6531,0.7013,13.5781,52.7402,2.0483,7.3153,2.8339,8.403,4.3771,4.7622,7.7945,3.6185,5.3403,12.8951,4.6305,6.4763,6.752,1.6523,10.0074,35.3868,8.898,22.7397,212.1103,33.7893,7.8485,9.825,23.2607,8.5418,29.3279,45.2043,800.0821,32.7285,153.1852,22.7977,89.285,49.1874,171.2446,45.1928,52.9116,23.5335,55.1302,0.0
PAK_J62_63,5.9786,0.5765,6.098,0.4351,0.2224,6.9344,19.1864,0.6346,3.5157,1.6565,3.9455,2.6108,1.6298,3.0305,1.7921,1.8699,6.8082,2.5318,2.6099,3.2619,0.9709,4.0484,21.8722,4.0925,6.9887,73.0214,11.5765,2.3391,4.6826,7.4194,3.0363,6.4565,17.5414,52.4716,58.2938,89.0202,6.6829,37.7111,14.6932,65.5223,13.8003,17.1426,6.9983,16.3244,0.0
PAK_K,281.3863,32.2269,108.1683,8.1164,4.1422,69.6843,256.334,10.65,36.7974,24.4966,42.9208,17.8012,22.4316,36.5327,27.3628,23.5044,29.9619,18.2673,24.8212,30.2814,8.2508,39.4058,234.5124,34.5314,110.4381,652.13,149.3721,44.4598,39.5118,61.1994,11.6006,84.2955,38.2723,114.5966,32.6877,1611.3401,630.0926,177.0907,114.8641,323.0683,78.1167,113.1555,40.0379,97.8912,0.0
PAK_L,30.8536,4.0685,14.1457,1.6875,0.6633,23.7728,125.8428,3.5614,13.0453,2.9299,9.6898,4.9882,8.7503,10.8366,4.7249,10.2997,12.0072,6.2842,8.6578,9.433,2.5571,22.1702,38.4903,11.5251,42.9538,662.9369,48.7617,9.6804,9.8715,45.7719,8.4743,155.1197,31.049,84.9933,28.3034,170.287,171.5131,132.0892,70.1794,188.5418,89.9259,103.1929,47.4014,110.6751,0.0
PAK_M,153.4958,10.3941,120.7494,9.7739,8.6377,112.5053,237.7766,8.1591,35.9663,19.958,53.6361,47.9963,24.4659,39.0769,20.4032,22.4775,51.0513,27.3137,30.9267,42.4284,10.4079,45.9404,170.5846,43.3653,243.6055,753.6389,78.7136,24.88,24.8778,59.2633,10.7669,72.9514,97.917,199.2544,67.2973,347.8087,140.337,617.9685,144.7598,326.371,91.9307,134.3864,62.4188,120.0045,0.0
PAK_N,75.1102,10.31,79.711,6.6282,6.5849,69.0691,181.8366,6.192,29.9141,13.1369,32.6197,23.9004,20.4988,33.7278,15.7581,21.5499,35.3962,18.5039,21.2683,31.7862,7.2005,39.3904,123.0103,36.5731,98.3428,513.2397,141.9134,53.7567,69.9364,82.4411,18.7637,87.9031,61.0562,184.6621,51.8949,229.5035,103.5009,203.9408,242.0629,291.053,108.6744,185.3998,63.033,102.3067,0.0
PAK_O,41.6218,5.8342,16.4508,2.1548,1.1222,17.6557,51.7383,2.9367,10.1788,5.3142,9.8041,6.928,5.4929,9.1929,14.537,6.2543,6.166,4.6107,5.4333,8.2723,1.9026,9.3539,51.6862,20.7065,34.1698,121.5867,53.271,12.3695,13.0382,23.2737,3.5691,21.4708,15.4553,39.8242,10.5492,49.6964,33.332,57.4992,26.9347,381.3902,43.6852,54.367,17.787,28.5467,0.0
PAK_P,7.507,1.162,5.4772,0.4715,0.2392,4.8219,12.1757,0.657,2.3443,1.3951,2.5929,3.3886,1.4018,2.2116,2.1473,1.5566,4.5451,1.7194,1.7492,2.3524,0.6758,2.7051,11.3671,3.087,5.3114,38.9408,9.2998,1.6547,4.9392,4.7452,1.0946,5.1255,5.4077,15.988,8.9134,40.6458,4.2564,32.0152,14.2511,115.1101,159.8824,30.0118,6.145,18.4064,0.0
PAK_Q,15.9287,2.2978,2.8425,0.3364,0.2628,5.1073,12.6997,0.4719,1.4872,0.871,2.0846,3.1409,1.098,1.5767,1.0387,1.0476,1.6415,0.9161,1.0653,1.5104,0.4071,2.1714,5.8969,2.4137,3.6589,22.2695,6.4448,1.3773,1.5722,2.7717,0.887,5.6185,2.7308,4.7792,2.4675,15.1145,2.1214,12.6187,7.5387,98.1658,20.2385,612.5812,6.3533,12.0426,0.0
PAK_R,3.3318,0.4316,1.1668,0.1286,0.0516,3.1716,5.3972,0.3378,1.2625,0.3779,0.9151,0.5653,0.5205,0.72,0.4704,0.4641,0.7977,0.4776,0.414,0.9066,0.2149,1.0788,3.147,0.9243,1.8202,18.3256,2.4049,1.527,1.1374,1.8084,0.5626,9.0506,35.3818,7.9683,1.9243,8.5992,3.2155,13.4929,7.6204,26.264,16.6778,5.1082,128.6971,16.6445,0.0
PAK_S,24.3381,4.8939,7.1871,1.1177,0.5654,12.7702,35.146,1.537,4.7774,2.8628,4.798,2.4945,2.7416,5.5916,3.1516,2.7257,5.3775,2.6674,2.9936,4.0647,1.0081,7.1051,21.7183,6.5762,9.8195,72.643,18.8569,4.2947,4.7869,9.781,2.1424,25.8284,9.7868,24.7069,9.2599,33.6537,9.5628,30.745,18.7165,51.0952,22.6651,59.3376,14.5621,83.3864,0.0
PAK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
