V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_A01_02,778.8835,1.1946,6.2119,13.6233,0.3454,2658.8929,103.1911,809.9546,104.5248,10.7989,33.85,6.0104,15.1085,5.1493,15.5791,6.2856,5.5877,2.7378,9.8996,27.0974,3.4299,24.2194,31.8732,15.0449,47.9532,183.7029,14.1265,0.1426,1.1336,6.3925,0.3693,342.9984,2.9773,1.618,1.6778,5.8915,25.4322,21.1313,45.6821,8.5161,2.2913,14.5899,31.7955,8.4737,0.0
CZE_A03,1.7608,0.1502,0.0197,0.0286,0.0009,18.3577,0.1766,1.2434,0.175,0.0232,0.0976,0.0259,0.0551,0.0296,0.0374,0.0504,0.0516,0.16,0.0935,0.1569,0.0094,0.0871,0.106,0.1092,1.0048,0.8014,0.0925,0.0005,0.004,0.0765,0.0022,0.7232,0.0508,0.0131,0.0724,0.0942,0.2954,0.4222,0.1917,0.3586,0.115,0.1836,0.2908,0.6529,0.0
CZE_B05_06,11.5248,0.1019,15.7052,3.145,2.8196,16.4901,5.1155,3.7579,14.89,198.7764,107.5138,1.4167,6.1281,23.964,277.8839,8.5542,4.3952,3.5299,15.0419,21.463,1.213,14.7059,1072.7143,3.7142,14.0263,29.0769,16.2107,0.0467,0.9485,15.347,0.7574,5.1947,1.2493,1.7845,1.3478,4.8757,29.0151,5.6811,4.9804,20.0093,11.2579,8.6133,3.3069,3.4396,0.0
CZE_B07_08,9.6936,0.2249,2.5443,61.7539,0.2121,7.702,1.1108,0.924,1.4088,1.9596,25.7637,0.4363,3.3449,140.6551,113.5992,4.3391,2.6158,2.5527,5.8604,4.5092,0.8281,3.0034,16.6276,27.3562,278.4456,11.8031,6.4682,0.0629,0.2107,4.2868,0.1605,1.2711,0.3529,0.1967,0.39,0.8311,8.4745,7.9995,5.9117,4.3764,0.9234,2.4469,1.1922,1.0331,0.0
CZE_B09,29.1537,0.2342,10.4472,0.0821,15.0888,0.4278,0.1119,0.1873,0.1915,27.0093,4.4953,0.2161,1.0685,0.9496,12.7721,0.5463,0.1131,0.1396,0.2556,0.8302,0.0323,0.2479,35.0526,0.0786,1.6492,0.4914,4.0548,0.0002,0.0027,0.7442,0.0106,0.2,0.0167,0.0421,0.0177,0.1196,0.759,0.6278,2.2701,0.3839,0.2971,0.6244,0.0953,0.1142,0.0
CZE_C10T12,990.2113,0.4869,3.2676,1.8801,0.1289,2228.3931,10.4496,6.7969,8.7621,3.7316,57.3206,6.4878,46.4412,10.8834,14.3152,19.148,14.0384,8.6853,16.2597,39.5317,2.1274,11.0124,16.8791,9.6352,27.1222,231.9996,16.9024,0.3894,4.8438,9.1122,0.7298,815.5762,6.3282,2.1392,6.9148,7.1982,37.1652,34.6099,48.8644,41.0277,45.1724,101.5039,18.8195,13.3418,0.0
CZE_C13T15,13.0149,0.1445,7.0448,1.091,0.1148,12.1309,285.7839,1.6926,4.4707,1.0866,7.829,29.9755,60.2511,3.8694,2.6134,14.372,5.9326,8.8522,17.9209,280.1798,5.5327,43.769,4.3864,4.8981,19.3256,72.451,11.3137,0.0586,0.1626,1.0399,0.8052,9.6854,4.7392,0.5136,1.3335,1.1556,33.3491,10.2114,22.2547,14.0713,2.8316,42.769,15.8325,7.019,0.0
CZE_C16,55.6331,0.0724,12.291,4.2214,0.0867,16.4016,1.6289,595.1592,100.8807,1.9312,11.5829,0.8925,36.0996,42.1739,166.0469,31.7525,8.886,6.8614,21.1802,236.3016,5.4297,313.983,8.0924,23.8253,302.9558,77.142,7.1734,0.0484,0.6303,11.6633,1.4274,17.0305,7.4117,1.6247,2.4455,2.3584,445.2114,43.0001,15.6902,3.9451,7.6004,12.6643,5.4463,11.3067,0.0
CZE_C17_18,11.5446,0.0929,1.571,1.8289,0.0955,136.9888,11.0735,36.9513,957.8437,1.2503,41.6513,8.8261,47.755,31.7983,16.262,19.8318,18.3361,19.7922,23.5388,67.664,2.0251,39.2792,13.6924,6.1057,19.7595,147.1482,9.7006,0.4285,1.5782,14.9464,1.9807,28.1512,390.3156,2.6502,13.2385,124.9355,58.7434,476.2783,99.5844,38.5912,61.0697,35.9006,33.0618,46.6547,0.0
CZE_C19,203.2703,0.5323,28.1786,7.318,0.4438,50.0675,28.618,55.3347,28.6089,49.4824,349.576,2.4159,111.8104,64.5725,193.9108,55.5252,2.8821,10.6528,50.9682,137.7046,12.5483,33.5419,144.665,56.484,310.2319,765.1905,522.1977,2.56,119.682,136.8261,2.9726,10.8404,2.4865,25.7337,6.8936,21.023,131.4566,57.7099,49.7368,57.7199,4.3555,17.5358,18.7141,8.381,0.0
