V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_A01_02,15950.7175,5.1939,44.4501,65.1793,0.2,26686.1494,5269.9306,588.0876,215.3178,17.4705,130.9134,79.542,219.0254,23.052,4.9693,3.9933,0.2812,3.8413,6.7334,26.3462,2.7063,136.7074,0.8116,4.4823,91.3086,470.5547,29.4738,6.5616,1.4252,1.867,3.0261,2095.7783,1.5311,1.1804,1.7573,4.5947,46.6859,98.6274,108.2543,817.0165,61.6379,98.545,43.0479,71.1627,0.0
TUR_A03,4.3982,48.5946,0.0501,0.0854,0.0006,129.1687,0.0547,0.0013,0.0036,0.0749,0.0346,0.0022,0.2769,0.8052,0.023,0.0066,0.0014,0.0065,0.0043,0.0096,0.0112,0.0156,0.0064,0.0009,1.9733,16.8862,0.0646,0.2876,0.0319,0.2124,0.0011,282.4825,0.0006,0.0008,0.0004,0.0009,0.0245,1.2903,1.4117,5.8453,0.4162,2.5962,0.6747,0.1295,0.0
TUR_B05_06,6.7945,0.0869,17.3374,13.826,0.6003,19.4182,6.8284,6.6266,2.1218,783.8133,3.0415,0.1553,3.5178,63.295,618.1237,0.3731,0.1378,0.5111,0.8748,1.3303,0.114,0.9787,1410.4094,1.5034,6.2832,122.2195,26.5686,0.1693,0.0649,0.1646,0.1909,23.5631,0.2048,2.1546,0.1647,3.4705,243.9586,2.0336,1.4307,7.0417,8.4463,4.624,0.8582,23.7831,0.0
TUR_B07_08,37.5035,0.25,19.7946,507.026,7.0785,69.15,74.909,3.9087,32.3796,286.0269,321.942,0.743,19.0293,1292.9386,3871.8379,30.345,1.1526,22.5277,7.1177,20.6325,0.8679,15.1988,22.492,6.1361,639.2977,46.6859,32.4237,0.4796,0.7341,0.3124,0.1245,2.6786,0.4688,0.8258,0.1419,0.8633,16.4544,15.6488,5.1665,4.9236,1.6098,17.8446,0.9768,2.4499,0.0
TUR_B09,3.7938,0.1753,21.1139,50.1403,9.4741,0.6967,0.1933,0.1375,1.8523,137.3097,3.5918,0.0512,0.6435,21.9688,40.1834,2.0046,0.0072,0.0906,0.4704,0.0537,0.0154,0.1508,69.9,1.2617,85.0624,0.8108,5.0328,0.1148,0.0067,1.0432,0.0268,0.3184,0.0209,0.0,0.0126,0.0229,1.9906,0.4185,0.4744,1.7649,0.1594,0.1592,0.11,0.1928,0.0
TUR_C10T12,1933.5145,63.5646,1.7647,34.1586,0.4224,8255.3945,261.2659,4.3388,73.3336,5.6133,75.7502,34.3626,11.5791,20.2065,7.6172,11.7844,0.5003,10.657,10.6973,4.8535,3.9146,37.478,13.8138,12.4453,54.58,688.565,66.4677,14.1221,4.9753,8.5117,13.6279,6421.6258,9.9734,12.3773,5.178,25.6702,6.0797,93.9218,181.2812,628.4432,85.6156,191.3067,76.2073,118.3063,0.0
TUR_C13T15,57.4629,3.4891,18.9694,101.8033,1.4125,146.2327,17351.5354,14.4263,193.9101,18.2434,103.3929,41.329,125.9619,163.2232,92.5506,49.2835,18.1161,78.9715,77.9154,162.3668,16.0206,548.6811,38.3713,13.3648,224.0291,561.2051,118.3802,2.3685,60.5021,17.1349,19.0852,73.773,14.8317,3.9989,2.378,15.8145,62.7924,76.2925,160.253,424.4671,54.8363,76.9699,47.0838,506.9299,0.0
TUR_C16,40.074,0.6615,3.1446,2.4474,0.9305,26.3654,37.7173,847.0499,39.4514,2.9039,23.0393,2.6616,42.4482,98.9744,78.973,59.9233,2.9083,52.1229,34.1504,10.9961,16.4851,1162.8625,4.1614,7.0181,1594.7682,102.9137,58.5708,0.3035,1.378,1.022,0.6869,5.2466,1.9951,1.7385,3.3552,2.6917,18.2208,36.5947,16.1747,20.5401,6.4091,18.7044,2.1486,87.8078,0.0
TUR_C17_18,85.3461,4.6681,1.4049,26.0459,0.7997,508.3277,405.9215,71.5336,2596.3359,31.6586,230.4497,66.1261,217.84,308.3109,97.6421,89.8357,20.8361,133.6262,74.5407,58.8677,8.5423,153.6905,47.7233,43.8252,142.972,1191.1698,218.7274,1.5988,5.4229,62.0831,43.8814,151.9312,696.5654,68.7794,47.2932,281.0688,30.7332,716.4195,580.4571,338.3573,193.5313,163.7082,92.2045,163.8019,0.0
TUR_C19,611.8841,24.1008,66.1596,537.5696,6.2353,116.4983,149.6415,21.5079,40.857,658.4583,163.1822,11.8363,93.1986,412.7921,106.3616,56.7843,2.8705,74.0392,32.1458,70.9891,5.5598,48.0363,106.6203,50.5679,876.6266,760.758,3442.8333,141.1625,883.3709,122.2654,54.4251,80.4021,6.2813,14.2432,5.994,48.6858,202.4666,85.3959,137.5407,450.0066,80.6051,45.1998,8.7184,117.2816,0.0
