V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_C27,10.2162,0.0136,1.6901,0.1402,0.013,27.6305,2.1175,4.8774,6.3746,2.2363,10.4163,36.6312,10.8383,7.8026,8.6798,39.4207,605.9085,1927.8361,670.6487,13.3749,39.9197,182.6047,131.1628,9.3052,952.36,576.7282,114.2424,104.6131,20.8388,205.1318,1.1877,13.8448,2.4956,123.1048,54.0586,28.1211,5.4055,126.4282,99.1186,109.9002,14.5374,82.2195,3.978,56.4573,0.0
CHE_C28,22.0174,0.0319,6.7192,0.6853,0.0572,39.0644,4.262,7.6665,12.2104,2.5567,11.1025,60.1794,12.9064,14.2797,19.7654,26.3441,60.1257,92.307,1455.6711,59.3707,40.8674,59.9945,30.0847,5.1027,230.7788,437.1715,7.6479,10.3194,2.4929,25.7345,11.8771,11.5631,1.4245,3.4103,2.5238,2.7546,8.5156,52.0364,32.5451,49.8097,2.3766,13.9245,2.0537,5.8172,0.0
CHE_C29,0.2323,0.0004,0.0145,0.002,0.0002,0.421,0.0216,0.0624,0.0019,0.7928,4.817,0.006,0.0216,0.3154,0.0777,0.5152,1.2013,0.632,21.9192,45.0089,2.7489,0.6718,0.2881,1.455,0.5927,107.662,15.8169,1.9995,1.4648,4.8361,0.0262,0.0677,0.0091,0.076,0.6884,0.0088,0.0027,0.994,0.9731,1.5653,0.0847,0.0814,0.0042,2.0447,0.0
CHE_C30,0.0877,0.0,0.0374,0.0026,0.0003,2.6254,0.1182,0.0105,0.0912,0.0177,0.1144,0.229,0.0031,0.0453,0.0007,0.8649,0.0891,0.0946,0.2153,0.0001,203.147,34.1975,1.4362,0.0366,0.1171,8.9002,140.8288,89.336,192.7391,1.4521,0.0032,0.0059,0.0,0.0,0.0,0.0,0.0001,0.9347,2.1918,8.4606,0.0329,0.0037,0.0002,0.246,0.0
CHE_C31T33,164.3607,0.007,23.9846,1.8977,0.2,95.9824,7.9075,15.7208,36.1183,19.1916,78.4193,134.4718,16.6742,22.4988,14.088,103.9079,584.5482,190.3864,197.6276,9.0758,18.1615,446.8158,497.5374,31.0038,114.0406,809.4305,308.4181,308.2719,136.3486,45.6967,12.3793,30.4636,18.0133,140.5801,18.4181,9.9606,3.6896,165.3675,71.6782,182.565,17.4984,218.774,49.0335,16.0026,0.0
CHE_D,169.9208,0.0493,68.2528,8.6112,0.3178,539.697,35.5363,108.6812,243.2677,109.4254,573.8386,776.081,161.3974,311.2977,490.4968,229.1398,383.8597,175.3373,155.6878,10.5939,18.6804,61.3907,22248.0018,160.8442,202.3774,1036.7278,586.4167,206.9684,87.6312,126.3085,50.4538,385.3329,49.3249,145.5016,48.7722,269.7869,350.4317,380.3004,140.3789,1309.1387,302.9235,682.1001,356.6278,119.9821,0.0
CHE_E,5.077,0.0041,6.4708,0.7368,0.0856,33.0285,2.7574,14.7616,69.4431,1.8394,10.5389,19.0374,22.9503,14.5442,412.5454,15.7502,29.4536,14.8115,22.0125,0.6523,3.2187,11.7876,382.4337,479.6009,220.0395,210.1551,18.688,22.3687,3.7456,26.2662,5.608,58.033,8.1204,7.3068,15.4797,120.3674,744.6758,125.1084,28.6948,399.059,12.6188,64.8431,23.3418,18.5541,0.0
CHE_F,109.6907,0.1421,76.8899,7.0895,0.6868,258.2325,23.0821,96.1137,72.2633,40.0068,117.172,265.4898,59.1623,133.3989,50.8197,143.3246,375.0014,132.1496,167.3851,7.3718,14.8525,162.9207,607.0755,169.2182,8066.8761,1679.2033,501.8252,280.0658,96.1265,634.2356,160.5728,643.2785,73.7974,59.6164,115.7732,806.4469,4589.9232,281.7532,116.5748,1602.3866,294.3371,691.9789,416.4409,140.5672,0.0
CHE_G,1282.1174,1.6296,128.2594,12.4589,1.1075,6014.3572,533.498,914.7596,906.9641,672.463,2655.315,8756.9035,962.3653,784.8692,783.4573,1667.3353,6253.9466,3437.039,3989.9345,278.3178,486.0529,1820.8471,1696.952,278.3288,5369.2366,14071.4044,2958.7138,3345.1878,989.3226,1917.6292,158.6553,3059.5019,534.48,846.3051,323.0562,675.9336,200.2237,2180.2567,1215.3975,2461.2903,229.773,3613.5408,457.1598,551.3961,0.0
CHE_H49,145.2106,0.3664,35.7153,4.3704,0.2488,896.761,44.7942,165.0545,154.1839,141.437,482.5236,734.402,105.2437,201.4243,209.3303,345.2696,630.7849,296.6843,386.9371,21.7164,41.424,158.9338,377.7838,22.4186,978.7967,3612.3869,192.1087,142.8777,44.079,69.603,50.1786,214.8662,115.6004,44.9626,32.0593,104.4937,18.2256,321.8403,253.5256,223.3604,35.4911,257.0894,30.8939,43.762,0.0
