V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_A01_02,122.8936,0.8277,0.0871,0.0465,0.0044,578.0187,26.6085,47.6331,2.1552,1.9612,38.9772,0.3325,0.4192,0.3052,0.056,0.2287,0.2201,0.1989,0.1893,0.1457,0.0929,3.2841,0.9306,0.4155,7.8668,19.5112,2.6579,0.0998,0.2134,1.2176,0.0174,2.3127,0.2269,0.1541,0.2554,0.2387,3.6445,0.9468,1.0474,1.8244,1.3039,5.6972,1.0274,0.4402,0.0
LTU_A03,0.3765,0.187,0.0067,0.0036,0.0004,42.3137,0.1616,0.04,0.0777,0.2153,0.1769,0.0062,0.0514,0.0251,0.0199,0.0183,0.013,0.0111,0.0114,0.0041,0.0098,0.0676,0.2435,0.1651,0.1313,2.0537,0.5021,0.0211,0.0316,0.2144,0.0034,0.6089,0.0376,0.0056,0.007,0.0421,0.0378,0.304,0.0793,0.7498,0.036,1.9728,0.2735,0.0307,0.0
LTU_B05_06,1.9879,0.0063,0.1508,0.1397,0.0079,2.0175,0.206,7.6055,0.4736,49.9685,6.6027,0.007,0.1742,0.1771,0.046,0.0946,0.0762,0.0697,0.058,0.024,0.0642,0.5559,14.8414,0.5303,0.5551,0.6004,0.6022,0.0299,0.0395,0.2802,0.0022,0.0594,0.0478,0.0153,0.0459,0.0266,0.4159,0.1085,0.0673,0.1256,0.0669,0.123,0.0367,0.0684,0.0
LTU_B07_08,7.5525,0.0007,0.0,0.1448,0.0394,0.8173,1.1205,0.0,0.2832,34.0784,4.3609,0.0,0.0008,10.2123,0.0159,0.0693,0.0048,0.0018,0.0411,0.0096,0.0,0.0322,0.354,0.3496,11.655,0.0242,0.1146,0.0,0.1894,0.0328,0.0001,0.0059,0.0005,0.0002,0.0002,0.0,0.0149,0.0132,0.0132,0.0693,0.0181,0.0015,0.0128,0.5748,0.0
LTU_B09,0.194,0.0092,1.9084,0.2956,0.1576,0.057,0.0048,0.0375,0.0737,8.7861,0.3734,0.0025,0.0301,0.3408,0.1062,0.0758,0.0012,0.0029,0.0182,0.0006,0.004,0.0227,2.6246,0.072,4.262,0.0735,0.2276,0.0056,0.0001,0.269,0.0011,0.0085,0.0015,0.0,0.0015,0.0014,0.117,0.0364,0.0277,0.1474,0.0252,0.0229,0.0097,0.006,0.0
LTU_C10T12,110.2498,0.1602,0.0064,0.0049,0.0022,129.4317,0.02,0.0263,0.1309,0.0078,0.8395,0.007,0.0248,0.01,0.3038,0.0139,1.9029,0.0093,0.0142,0.0024,0.0204,0.0711,0.003,0.3391,0.036,15.6334,0.0234,1.316,1.504,0.2869,0.008,36.5264,0.4697,0.1338,0.0236,0.9076,0.1588,0.8614,0.0708,1.9267,1.0304,10.2655,0.9869,1.1685,0.0
LTU_C13T15,3.7387,1.4903,0.2143,0.0506,0.0169,4.8492,31.6147,1.384,2.8246,4.2151,2.0833,0.0574,2.7983,0.5829,0.2428,0.882,0.3166,3.4767,0.3816,0.0985,0.3255,17.7502,2.2775,1.7323,4.2984,6.3396,2.7427,0.3129,0.4455,2.2002,0.0797,0.534,0.4271,0.1383,1.3561,0.3392,2.0066,2.0777,1.796,2.3503,3.6458,9.8931,0.2939,0.7581,0.0
LTU_C16,1.2775,0.1528,4.3884,0.3994,0.0094,5.6006,1.1659,90.1434,2.7103,0.3958,0.9424,0.0203,0.7903,1.1337,0.076,0.5721,0.9823,1.832,0.2836,0.0547,0.971,128.3437,2.0214,0.885,11.543,8.2911,0.7975,0.1368,0.1298,1.2388,0.0452,0.1128,0.1067,0.0172,0.4716,0.168,130.6829,14.2194,1.9563,0.8473,4.4144,2.6747,0.148,1.9231,0.0
LTU_C17_18,5.9596,0.2132,0.211,0.2228,0.0051,18.7605,4.5912,14.8003,29.748,1.8697,2.1871,0.0339,0.9208,3.3719,0.365,0.325,1.066,2.4617,0.4325,0.0642,0.9391,14.8263,3.5658,1.4363,5.5511,21.3429,10.937,0.2874,2.4393,7.4298,0.2296,1.8362,21.3368,2.2344,5.5756,19.9594,4.0851,24.7185,16.3167,24.7795,4.279,4.0973,2.0724,1.6348,0.0
LTU_C19,199.733,3.4582,3.2364,2.6556,0.3304,52.1596,2.5204,5.0719,3.9121,92.9429,5.5234,0.009,1.3824,16.4254,1.0589,3.5339,1.5706,0.5135,1.272,1.6777,2.2271,7.8798,98.5649,20.9324,60.3345,72.6952,259.3383,35.0566,36.9237,44.9888,0.9273,7.6435,1.7789,2.502,2.7931,5.5728,8.9694,11.8835,14.549,55.3998,1.7377,4.5942,5.4204,6.0968,0.0
