V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,4937.2235,15.3867,0.0664,0.7038,0.2197,10919.3584,157.945,515.3393,9.7629,0.1643,310.626,30.1367,135.3419,1.8435,0.5852,0.1236,0.0649,1.0496,0.3861,0.021,0.0814,343.227,0.0118,0.3492,12.0417,42.0829,0.0392,0.0279,0.0003,1.152,0.0,403.8682,0.313,0.0196,0.5708,1.5243,4.5288,55.1436,4.467,0.8633,7.9928,1.4132,1.6435,0.7335,0.0
VNM_A03,3.5911,931.4826,0.0022,0.0008,0.0001,3732.8931,0.0891,0.3392,0.0076,0.0008,0.2455,2.1722,0.1658,0.0029,0.001,0.0022,0.0011,0.007,0.0007,0.0005,0.0007,0.2219,0.0,2.3379,0.0096,0.9842,0.0806,0.0015,0.0,11.8786,0.0,110.1735,0.0001,0.0,0.0001,0.0125,0.0492,1.8537,0.0483,0.0003,0.97,0.1703,0.035,0.1664,0.0
VNM_B05_06,18.4541,0.0852,926.309,1.9379,3.5035,35.8601,19.8749,1.0936,17.7481,2456.1613,219.5564,2.2058,8.6344,447.9725,58.2317,40.2973,2.8347,4.673,2.3026,4.4113,3.1869,12.48,219.6689,0.8158,25.6374,12.2014,1.5776,0.0856,0.0,0.1667,0.0,37.132,0.0091,0.0003,0.0635,0.0129,2.9171,1.3255,0.4568,0.0643,0.5757,0.4246,0.4189,3.2881,0.0
VNM_B07_08,1.1753,0.1522,0.9833,25.0413,0.03,9.4939,0.3587,0.0022,0.7618,0.0839,111.1686,0.0026,2.091,165.0685,72.0652,7.7984,0.0014,0.0286,0.0122,0.0101,0.1789,2.2491,2.1291,0.6802,143.4289,3.7002,0.0268,0.0018,0.0,0.3417,0.0,0.0652,0.0041,0.0007,0.0,0.0001,2.2056,0.1429,0.0845,0.0228,0.0202,0.0037,0.0101,2.4203,0.0
VNM_B09,0.0011,0.5947,339.3511,3.1262,0.1945,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0003,0.0,0.0,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.6556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,2729.2009,1774.9461,3.9024,0.4495,0.1626,6891.9204,4.3831,0.2572,16.6416,16.4517,4.3936,17.0364,1.9453,6.4591,0.5117,1.0139,0.0302,0.0249,0.0841,0.0321,0.0462,21.4664,0.3009,0.2499,1.1187,60.8213,2.1263,1.5859,10.0642,1.5172,0.0001,995.8598,0.2344,0.0155,0.3795,0.7068,2.4046,8.998,1.021,0.9855,6.7511,5.0272,0.3365,2.0364,0.0
VNM_C13T15,30.117,29.0776,33.9494,2.4635,0.4006,14.3582,4050.5176,9.5024,30.5317,9.8203,4.6231,0.7433,12.0526,24.6707,1.9977,6.1737,1.8776,1.5135,1.3763,21.2788,7.3964,97.6279,4.2468,7.1813,29.8571,64.137,7.5903,1.5897,4.142,5.5767,1.753,24.6887,1.2236,5.2659,0.4005,8.5717,10.3806,6.7577,5.846,9.0878,7.2966,8.2502,7.2767,44.1656,0.0
VNM_C16,37.3108,10.675,0.0474,0.3835,0.0001,21.1635,20.0576,932.3538,97.1932,0.0334,18.9359,0.2014,0.8108,7.806,1.0568,4.6811,1.0661,1.4339,1.858,0.2679,0.7432,1099.4658,0.1946,0.2762,143.079,19.3302,0.2017,1.2399,0.0932,0.7767,0.0861,2.2717,0.0562,1.7072,0.0031,0.5946,4.8543,2.9079,0.2106,1.5266,0.5012,0.2168,0.3494,3.7121,0.0
VNM_C17_18,66.0379,3.681,4.6012,0.6241,0.429,321.4435,210.8009,33.4687,961.5506,0.3148,35.4474,15.4365,41.1247,56.0535,1.6793,17.3087,56.8937,29.8756,4.9226,6.8893,5.0467,183.1828,2.8547,1.4582,24.181,296.5661,6.7433,0.8808,0.3005,5.0621,4.3086,67.2562,124.078,19.4382,4.5582,37.9095,13.7814,66.978,9.5708,40.1953,19.1103,11.3949,143.6895,9.6437,0.0
VNM_C19,230.4684,695.0358,750.6055,80.2194,1.6624,97.2525,40.1736,37.9961,17.2974,1183.2313,32.8864,3.2921,37.0669,155.4508,38.2857,30.6489,5.0967,5.5813,8.3608,10.3973,28.9271,57.3225,28.5521,28.6862,569.8038,330.8782,748.9248,258.3839,263.5319,68.5922,5.5083,425.9118,5.1785,30.1813,1.2394,38.9228,14.7226,15.8562,14.888,27.7935,16.7514,5.2741,3.9279,8.9987,0.0
