V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_G,1567.1696,20.4405,12.7173,169.972,8.6184,2430.0591,195.6319,239.455,853.1152,608.8118,759.2463,289.0898,314.586,299.9874,1094.4196,696.2654,846.5391,407.3502,1197.9946,1672.3602,237.0372,623.2392,490.2468,308.0302,1920.7521,2431.0895,1167.7094,235.3882,197.1969,887.5686,94.0016,1485.8282,623.6462,307.3881,557.5913,189.3881,577.5724,1239.0777,477.8241,538.1494,492.0789,1300.6065,408.1834,233.6622,0.0
SWE_H49,185.4917,4.5458,9.0307,94.261,4.2028,387.1686,23.3584,205.2428,375.224,264.7897,158.3643,41.1301,67.1775,184.9892,306.4161,147.9577,91.1568,74.8494,216.9336,322.0723,39.6019,111.6185,83.9399,109.6507,789.5142,935.6503,1887.9633,53.497,39.7921,5916.8288,40.6201,142.0764,174.9221,26.5552,100.8373,42.76,98.826,222.2184,268.1937,196.8393,456.7986,143.231,96.8952,129.5149,0.0
SWE_H50,98.4365,0.1962,2.8054,26.3516,1.511,63.1094,3.7013,52.9595,68.6313,92.0104,31.7548,13.1633,9.6131,49.2655,67.5737,55.9693,31.7315,29.637,58.7259,68.9337,16.0947,32.6881,23.9135,9.2746,47.3828,126.2906,16.6555,438.398,13.0832,1232.4248,6.2367,16.8893,91.3891,16.1871,55.589,13.07,14.8461,70.0517,46.0365,8.8348,13.0274,45.7644,11.6243,4.1691,0.0
SWE_H51,23.658,0.2188,0.3774,3.113,0.1417,24.233,2.019,4.9458,13.4195,81.0876,14.5772,6.5018,7.4074,5.8695,25.6021,16.5154,14.1304,8.9793,24.3158,38.2812,5.2968,12.1958,11.0425,5.5583,33.731,52.582,13.9356,4.4629,4.105,43.5019,4.9299,15.5725,15.3956,7.4189,18.0099,10.1971,24.6815,44.2598,199.6408,22.462,14.0791,24.0958,10.2417,8.4014,0.0
SWE_H52,71.0103,6.8129,22.6777,141.9634,5.845,566.0895,32.2202,516.6122,922.1565,77.0616,220.421,30.4127,114.5928,374.5718,329.7335,234.8595,89.4942,152.0871,330.5551,530.0963,69.019,204.7906,78.3924,212.6473,108.0807,4349.3972,1404.8619,815.5176,566.8161,2005.5863,126.8949,134.1479,467.4477,24.7956,90.0643,65.9672,173.6401,152.004,119.1237,131.2281,167.7949,81.4147,35.6071,30.2906,0.0
SWE_H53,34.2204,0.0727,2.103,17.7185,0.94,72.8285,4.2321,5.0971,19.1491,4.5622,20.3077,17.482,11.4125,9.3083,35.8209,21.9793,29.3244,25.8729,35.7568,35.8056,8.4752,19.1883,28.2353,34.2613,21.9906,172.606,37.4256,5.0685,2.1462,313.2133,72.3972,15.6328,664.6828,40.8676,53.2598,116.4604,77.7817,195.4627,90.1594,259.8992,39.4858,25.3505,35.6549,70.632,0.0
SWE_I,24.3082,0.1878,1.5257,11.6949,1.2486,49.4078,4.2254,4.6578,34.5727,1.9051,9.2101,11.0901,27.3127,14.0984,17.8989,41.0027,48.8411,34.4904,94.7103,53.1575,9.2076,47.6755,47.3559,85.6364,41.7843,297.2486,140.6488,21.6777,24.6974,88.1025,19.1182,58.6466,183.3504,218.5307,303.9323,153.2067,157.7043,1115.5978,700.8941,168.5344,179.2718,242.1097,157.0889,85.3546,0.0
SWE_J58T60,86.9599,0.7537,3.4271,22.4387,1.3313,109.307,5.8631,50.9973,125.9586,58.9149,64.4026,55.6495,48.1147,44.6899,125.848,122.7339,198.2109,75.1464,229.2112,232.3664,39.2943,107.2894,98.9366,76.5358,153.3346,993.5697,225.5785,55.1268,34.18,235.1375,151.862,124.9246,1156.7466,766.583,1466.5085,347.5789,224.2585,3032.102,488.8555,320.4821,980.7913,197.1839,388.5552,194.5083,0.0
SWE_J61,34.3427,0.0816,1.0888,9.7865,0.6131,63.8303,4.1924,13.0484,43.2188,4.5627,24.9021,18.5492,35.4378,17.4317,25.4115,52.4473,201.6922,38.3451,183.2618,93.6219,10.5072,60.3733,64.8507,17.6325,76.4234,560.6018,111.5406,15.5209,3.35,319.1064,37.9927,81.2621,378.0803,2085.9286,399.3645,286.1418,292.1665,549.7102,180.9871,618.3085,109.9213,249.562,73.505,71.066,0.0
SWE_J62_63,84.5684,0.6389,1.7783,24.7426,1.5155,87.0541,9.3623,22.7403,113.0132,37.7767,58.7328,91.6194,52.9074,39.4327,204.1194,140.0809,717.2308,82.2758,289.7853,534.0475,42.6866,109.616,241.3628,204.5112,324.6116,854.5989,272.6601,90.3482,45.602,299.3811,117.7936,84.1875,450.2161,518.2136,1795.9533,231.3378,103.6568,1617.3315,756.3307,525.9136,289.8537,201.3966,129.8957,98.2626,0.0
