V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_C25,42.8443,0.1216,277.2491,5.7365,33.4955,292.2459,9.68,5.5058,93.8924,28.5685,115.7108,2.987,35.2722,200.2985,449.7791,797.3066,358.788,468.5287,468.5575,185.5659,179.6685,37.2685,1.0895,21.8766,234.2733,133.2185,0.6308,208.5435,0.188,0.5765,0.0571,1.3799,0.1603,0.3653,0.3309,2.109,1.3922,1.3875,0.4991,121.9465,1.6592,4.7513,5.0395,0.1603,0.0
MYS_C26,10.4991,2.0113,18.9055,6.5476,12.8522,24.1786,17.9079,2.8882,12.0089,8.1884,10.5175,86.3372,54.6446,5.5513,18.1427,28.5863,9654.9334,403.5482,69.3487,465.7292,68.8015,97.2945,22.0564,1.2085,99.9022,440.9147,18.4607,7.1498,19.33,26.8466,4.9064,4.4985,9.3717,372.4051,24.2679,15.9407,14.5253,132.5509,7.0012,167.1394,161.6373,136.2019,86.9169,3.0245,0.0
MYS_C27,4.9522,0.1142,20.0784,0.1979,3.2355,7.0099,3.9541,1.156,5.282,0.6641,4.3751,0.6856,9.2083,9.971,60.743,27.4908,513.9538,199.1935,33.2268,361.0145,28.296,3.3169,0.5271,0.5254,190.6653,245.6914,5.9215,2.7529,0.1452,8.8343,0.0817,31.4626,0.1491,2.3343,0.4215,2.0096,0.6561,2.3228,8.7665,26.1057,8.0102,6.9163,6.8066,1.0814,0.0
MYS_C28,22.9293,3.1433,71.241,37.328,24.2233,1.7297,22.7801,42.8167,1.8587,0.3258,1.3729,2.7069,14.9944,10.7005,91.3091,64.4671,157.4015,60.3597,211.3511,129.1083,67.9253,49.5536,105.9349,24.732,87.9486,113.1986,35.8635,1.6983,1.4259,9.0295,0.0826,90.1498,7.6747,0.3616,0.1479,0.7747,1.1548,0.8958,0.2412,22.9916,3.4606,2.3595,1.4795,8.6921,0.0
MYS_C29,107.7641,9.1149,18.6183,1.8693,4.4401,9.0963,14.2845,82.3217,10.9422,34.0733,42.2765,0.3669,5.5498,3.6256,130.9866,9.9541,33.5873,36.0882,42.0193,1727.0673,61.6577,4.2978,7.6348,2.1788,51.2291,1264.4407,28.2872,4.1103,67.1171,30.0961,2.524,10.5808,5.4062,7.915,2.8522,71.2085,4.177,28.4027,13.8348,24.5799,11.2491,10.2585,53.6631,22.3319,0.0
MYS_C30,1.1296,14.8888,0.4085,0.0819,0.7737,0.4473,0.3764,1.0559,0.2856,0.3041,0.6784,0.0181,0.3846,0.8478,1.1871,3.6238,2.2045,0.4622,0.8046,68.7754,332.0705,0.1527,0.09,0.0506,0.932,47.7161,13.9169,49.5178,195.4483,0.4512,0.0411,0.3408,0.119,0.1262,0.0963,1.3753,1.3352,0.4207,0.2722,154.0124,0.6472,1.0909,0.8994,0.8448,0.0
MYS_C31T33,31.2145,2.4114,42.8644,37.346,56.7694,74.9905,87.5652,7.3511,26.1727,18.5092,37.3922,2.1996,22.2243,13.0208,5.5008,16.4931,113.5564,15.8009,15.5348,14.2519,26.032,431.3448,0.7873,3.1037,15.3874,428.339,79.1933,40.2645,115.001,79.8628,10.7406,7.2407,2.6366,29.897,8.7009,41.3838,10.2489,108.9911,9.4142,121.3246,47.8688,146.5627,163.6029,2.1796,0.0
MYS_D,153.8792,35.9348,15.1578,31.8991,75.3283,260.6831,147.5777,161.3146,196.2883,355.5443,392.8642,9.7341,384.2796,360.1931,380.0714,158.2291,522.9737,115.6489,84.5834,89.6514,51.6623,40.52,1355.6459,228.0976,96.3815,41.5515,55.7236,4.3392,4.7304,107.7469,4.3882,616.5899,9.1758,117.9796,17.1791,766.6772,83.7749,60.1842,58.976,666.7891,245.1872,83.0012,103.8988,49.0869,0.0
MYS_E,68.9484,50.5276,7.4391,5.9558,10.9382,124.0265,13.1491,10.2129,21.9034,9.3259,159.8735,1.1151,223.627,97.4621,62.8428,67.3321,53.2896,8.9768,10.0655,17.5238,10.0508,4.598,35.405,269.1728,43.9785,311.1148,16.7299,5.0092,7.1506,41.9482,2.7815,133.4139,2.2751,4.7682,2.5036,80.464,40.8234,6.8415,10.9684,308.7957,60.6198,19.1553,8.8621,3.1937,0.0
MYS_F,9.249,4.2624,185.3192,3.4134,44.0451,2.6478,0.3942,7.1081,0.4937,0.0954,4.4541,0.2134,1.8538,1.7485,1.5755,5.3125,145.894,2.639,4.3698,9.2519,1.2839,0.1571,834.0969,63.3905,1869.6761,143.3137,5.1425,0.5534,12.9158,41.5431,0.9446,38.6772,18.4946,122.2287,237.1191,103.9055,386.5429,44.6453,153.7527,1223.7962,268.2043,21.1847,35.9187,0.3379,0.0
MYS_G,1415.2662,271.5819,379.453,137.7638,109.2514,5364.3344,209.9877,489.0317,589.6936,1967.2027,1446.6428,45.3928,1601.6673,594.4428,546.3754,420.979,2942.9329,362.857,255.3462,553.3176,348.4059,131.2462,282.5534,72.2897,1694.5671,2707.5817,297.5979,129.4635,380.7484,98.423,35.3963,846.4051,43.3201,435.4885,43.4425,394.7382,558.4453,126.7807,252.7599,239.4428,89.0011,234.5647,85.5299,11.4054,0.0
MYS_H49,272.507,20.8223,35.9482,45.7725,47.3141,383.8323,19.8118,58.1243,49.2017,144.2768,120.9801,3.4315,133.4264,59.9678,53.4074,43.7605,196.1126,38.2576,28.9934,57.9029,21.1722,12.5555,32.7713,19.833,125.5468,421.4596,127.0696,13.3304,28.0549,165.6137,10.3315,66.9782,9.4505,8.76,3.5154,26.8107,25.6482,11.8773,71.6108,221.0889,39.034,30.5996,18.8804,18.0532,0.0
MYS_H50,16.0186,3.0544,32.6126,7.685,5.0321,84.2345,3.6505,7.449,9.5799,113.017,24.7132,0.7354,22.6175,8.7443,14.8445,7.6252,51.8491,8.7612,5.9276,13.054,4.8066,3.2567,4.3171,1.3989,24.9115,38.3375,75.069,309.2475,4.6873,235.6199,0.8174,22.6755,0.6165,5.0243,0.8103,26.4132,2.4492,1.3002,13.5731,29.1948,2.4709,4.1532,1.3059,0.2717,0.0
