V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_A01_02,492.0726,0.8566,0.0004,0.3376,0.0403,224.3553,1.2191,412.7574,0.3574,0.0014,52.0527,0.3183,0.3778,1.0556,0.4492,0.4177,0.09,0.1002,0.8835,0.1232,0.1109,5.6016,11.3275,0.5962,8.3648,18.1152,3.9149,0.5329,1.9467,1.6539,0.2067,2.855,0.2075,0.3994,0.3273,0.2643,2.8615,2.0205,3.3425,8.9871,5.5496,2.1876,2.3827,2.0646,0.0
LVA_A03,0.4619,1.3221,0.0001,0.0341,0.0006,12.4597,0.0112,0.2386,0.0726,0.0,0.0326,0.0174,0.0392,0.0692,0.0024,0.0464,0.0024,0.0038,0.0026,0.0085,0.0116,0.087,1.3898,0.1918,0.868,1.4333,1.1812,0.2295,0.7861,0.3477,0.0522,0.424,0.0343,0.095,0.0467,0.0466,0.0748,0.2533,0.2448,0.2311,0.1786,0.1859,0.0814,0.0786,0.0
LVA_B05_06,0.0027,0.0,0.0,0.001,0.0,0.0001,0.0001,0.0001,0.0009,0.0,0.0001,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.2184,0.0001,0.0009,0.0007,0.0,0.0,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0003,0.0001,0.0002,0.0003,0.0006,0.0088,0.0013,0.0,0.0,0.0008,0.0
LVA_B07_08,1.1868,0.0238,0.0091,12.6037,0.1244,0.213,0.0811,0.06,0.0155,0.0001,2.1821,0.0059,0.0788,25.8876,10.0225,0.2294,0.013,0.01,0.0069,0.0031,0.2068,1.6787,103.8646,0.7322,45.8555,0.4888,0.1728,0.0002,0.0001,4.0479,0.008,0.254,1.2213,0.0376,0.0142,0.0073,0.9377,0.1198,8.3016,1.371,0.9673,0.441,0.3775,0.2651,0.0
LVA_B09,0.0287,0.0025,0.0006,0.2326,0.0154,0.0105,0.0003,0.0156,0.0109,0.0004,0.0212,0.0009,0.0027,0.0912,0.2203,0.015,0.0001,0.0003,0.0014,0.0001,0.0001,0.0029,0.8359,0.0126,0.9424,0.0143,0.0504,0.0013,0.0001,0.1199,0.0003,0.0025,0.0004,0.0,0.0003,0.0003,0.0255,0.0101,0.0084,0.0251,0.0026,0.0023,0.0024,0.0015,0.0
LVA_C10T12,0.4004,1.9336,0.0001,0.0293,0.0,272.6083,0.0088,0.094,0.0344,0.0,2.2104,0.2284,0.0221,0.1724,0.0788,0.0063,0.0263,0.0213,0.0056,0.0268,0.0147,0.0349,0.0161,0.057,0.1744,12.1504,1.8345,0.1507,1.6003,0.0303,0.0205,84.3667,0.8027,0.0184,0.8517,0.1491,0.9335,1.0616,1.5206,1.2712,8.4788,6.1147,4.0719,1.1294,0.0
LVA_C13T15,0.5136,0.0326,0.0003,0.0749,0.0013,0.981,32.2484,0.3661,0.3638,0.0002,0.1215,0.0489,0.1839,0.518,0.1982,0.4501,0.4386,0.1198,0.0645,0.0446,0.0861,4.3756,0.5534,0.2698,1.591,8.8362,0.6213,0.0217,0.3063,1.5724,0.0367,0.2745,0.0724,0.1108,0.072,0.0474,0.5742,0.9893,1.4057,1.0261,0.4058,0.4607,1.2631,1.6077,0.0
LVA_C16,80.5915,0.0401,0.0074,1.6379,0.0499,4.7043,0.4806,355.5886,2.1869,0.0007,1.0121,0.1329,1.6339,4.3576,46.4189,1.5685,0.3152,0.3214,0.4102,0.101,0.3357,47.2946,14.7887,16.8963,176.4791,14.9589,1.7646,0.2182,0.7246,5.2901,0.0842,0.5095,0.1317,0.2355,0.1965,0.1834,16.8788,2.4149,1.4237,4.5145,1.989,0.9989,1.0458,1.6542,0.0
LVA_C17_18,2.5438,0.0287,0.0001,0.0447,0.0021,21.3252,0.7922,8.8499,55.6825,0.0025,1.141,1.0454,0.1171,1.7359,0.5385,0.2438,0.0361,0.1559,0.2477,0.037,0.0282,3.1414,1.7418,0.4712,1.5767,33.732,1.7549,0.2073,0.9041,1.6427,8.6491,1.2167,54.6949,2.4579,0.506,2.1426,2.6291,31.9565,7.9266,9.9015,5.0429,1.5337,3.1282,3.3358,0.0
LVA_C19,0.0764,0.0031,0.0,0.004,0.0,0.0134,0.0004,0.01,0.0005,0.0,0.0033,0.0004,0.0007,0.0034,0.0004,0.0013,0.0,0.0002,0.0007,0.0001,0.0004,0.0117,0.0121,0.0063,0.023,0.0297,0.1857,0.0023,0.0492,0.0254,0.0032,0.001,0.0011,0.0009,0.0028,0.0013,0.0092,0.0212,0.0118,0.0027,0.0019,0.002,0.0009,0.0024,0.0
