V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_A01_02,3419.5686,0.6219,11.7461,11.9793,0.166,27652.3228,83.3205,1607.0854,131.2928,21.1727,45.1305,5.6035,401.0197,7.708,6.7167,30.1063,6.8342,7.5452,27.9901,71.548,9.9706,131.4712,16.7786,19.9444,187.3977,612.0751,32.9189,24.2472,0.9581,28.2224,3.0471,666.745,3.9771,8.0569,4.5942,19.7571,868.8276,37.5674,358.0212,823.7619,54.9515,640.3341,31.7891,90.2736,0.0
DEU_A03,0.0,11.8425,0.0,0.0,0.0002,141.7955,0.0,0.0,0.6663,0.0,0.8852,0.1173,0.0,0.0,0.0,0.0,0.0,0.5966,0.6245,0.5788,0.0,1.9046,0.0,0.0,0.5809,3.8873,0.0,0.5262,0.0,0.0,0.0,34.1254,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.454,0.0,13.935,1.7348,0.0071,0.0
DEU_B05_06,18.9741,0.1185,98.5917,20.8239,0.9624,160.4855,14.7815,8.758,72.3411,1407.0567,174.9919,7.3911,37.3588,66.2213,522.3756,40.2549,9.6365,41.8,87.5487,109.3945,9.9938,33.4015,2995.5475,20.9526,28.6307,154.1183,34.9203,11.1596,13.838,18.4777,5.1297,31.7679,6.6636,9.8677,2.5914,19.2004,14.5028,25.1435,22.495,53.8773,12.5133,51.2624,8.417,12.6518,0.0
DEU_B07_08,61.7725,1.2915,1.1183,157.281,4.7456,84.8522,5.3143,16.8274,30.4853,27.5213,136.9733,10.3149,13.8467,1020.5986,517.9939,16.5616,13.6981,15.2126,42.549,50.8857,10.1624,89.1545,123.9582,13.5902,1395.2355,64.7684,9.539,0.6518,0.8667,4.1558,1.3466,17.8687,2.6063,3.4141,0.2743,0.836,4.1528,13.3624,13.8045,273.3496,1.5253,28.6094,4.3239,4.7767,0.0
DEU_B09,0.3894,0.0052,9.9448,4.1325,1.5143,0.3033,0.0111,0.0887,1.268,32.9273,3.7269,0.0782,0.3866,4.3715,11.931,1.9212,0.0219,0.0828,1.0599,0.1026,0.0326,0.1373,21.7836,0.6255,26.659,0.5162,0.8081,0.099,0.0024,2.2272,0.0402,0.1154,0.0309,0.0,0.0122,0.0347,1.9403,0.5718,0.6776,1.2172,0.1271,0.2667,0.1009,0.1549,0.0
DEU_C10T12,3385.2992,0.1392,9.2277,13.377,0.5438,24945.4826,40.593,16.2466,58.7926,77.6802,1816.7002,377.5029,48.2542,25.1655,59.4191,38.0678,34.2321,35.7297,73.6432,75.2657,10.399,79.7788,40.6252,5.8723,245.4173,73.6098,9.0927,164.3036,29.2928,7.8719,2.546,11794.3381,23.9327,7.8121,2.5949,11.3677,4.2002,25.9905,26.8343,1861.4253,349.8049,7063.6496,50.1427,143.104,0.0
DEU_C13T15,51.0307,16.3539,1.7112,1.9738,0.3436,65.769,1953.056,10.8492,30.9106,21.8754,36.3549,33.8534,527.9284,14.9963,21.134,96.9866,74.1889,94.5701,168.5069,792.7059,51.873,505.7705,22.4378,9.9136,356.1633,135.3379,11.9027,4.7889,4.6428,12.5741,13.8268,175.451,21.7709,8.1543,27.9886,28.4901,7.5164,52.1235,96.6483,130.208,15.3215,255.9902,80.0693,68.422,0.0
DEU_C16,66.2368,0.7492,40.0258,69.7909,0.9646,237.2924,35.759,5147.8515,399.3957,26.4672,235.2413,26.756,75.6502,93.1465,90.8074,277.2887,100.6552,94.7118,332.0223,354.2551,334.1953,2007.7461,143.0576,41.2672,4639.8065,260.9377,17.5525,2.6858,3.0459,45.034,6.3629,74.1104,13.4771,27.9532,4.3424,14.2455,128.1295,117.683,217.8869,128.0602,102.966,75.3988,47.4464,688.3343,0.0
DEU_C17_18,78.5537,3.9432,10.0309,69.8415,0.8396,3095.1129,427.4005,162.281,15066.0627,81.5458,1576.4272,590.2953,547.2296,334.9532,188.0926,508.523,614.3038,692.0982,757.9382,898.4424,95.6417,851.9872,181.9644,164.9474,682.1032,6272.2045,173.7756,13.3786,22.5852,135.337,335.5886,137.376,4603.7194,667.2633,152.6423,1388.6975,126.4706,2526.6774,1242.3136,1071.9134,376.7033,927.2823,202.7237,293.1027,0.0
DEU_C19,1272.2996,6.4622,26.1584,114.3508,15.6751,574.8598,154.9347,109.275,268.0438,5128.622,4511.0788,212.259,410.2701,460.7619,1387.8158,251.3173,144.7739,308.9384,423.9705,563.8771,68.7806,268.3384,1926.1715,253.7953,2562.3717,3899.2885,2521.956,1479.7023,3789.1338,2520.3364,377.9691,190.6462,277.8099,136.6488,160.0313,176.0662,79.208,764.5893,684.8517,1100.6441,165.3111,395.0515,176.5356,465.6253,0.0
