V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_A01_02,4380.7359,14.8548,0.0014,0.982,0.0967,21059.661,170.4946,198.0243,50.2096,0.0001,148.4779,135.6561,4450.2513,4.4628,0.6429,0.1089,0.0,0.0,0.0312,0.0,0.5177,13.0151,5.4519,0.0037,40.0574,0.262,0.0181,0.0005,45.4569,0.1221,0.0072,1938.1415,0.0443,0.0144,10.2573,15.0941,17.6127,15.8267,25.9436,86.3938,144.1751,267.03,17.8275,36.5829,0.0
THA_A03,152.1308,299.7575,0.0,0.0,0.0003,2483.882,0.0,0.0,0.0,0.0,6.4959,107.4193,0.0,0.1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2148,0.0,673.8136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7892,15.9298,33.1259,0.6234,0.0,0.0
THA_B05_06,0.0,0.0,140.4724,0.0,4.0485,3.7543,0.642,0.0,5.3795,7605.9135,73.6229,0.0,0.0,97.5122,147.9846,0.0616,0.0,0.0,0.4236,0.5876,0.0,0.0547,2675.0607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_B07_08,1.6293,0.31,1.5673,1.0895,3.025,21.0496,0.991,0.0,2.7975,0.0106,85.7992,8.7012,2.5543,790.5224,76.7783,1.3028,0.3839,4.7731,9.1648,15.6463,1.3381,102.0177,0.2189,0.4244,725.2714,0.0,0.3494,0.0,0.0,0.0,0.0,0.0493,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.077,0.1043,0.0057,0.0183,0.0
THA_B09,10.1863,1.5194,304.822,29.4829,29.7549,2.53,0.2923,0.3766,3.9103,261.5966,16.7107,0.098,2.5441,30.4075,26.4021,3.3391,0.2711,0.1723,1.4378,0.1908,0.1349,0.273,77.1746,1.3383,57.3575,2.0194,3.4786,0.2993,0.0131,0.2718,0.0375,0.649,0.0363,0.0,0.0144,0.0498,0.6519,0.2776,0.2513,2.6165,0.2583,0.1873,0.0429,0.1841,0.0
THA_C10T12,3086.4418,718.6899,0.0,0.0,0.502,11472.5573,280.563,13.6612,87.8951,5.5588,378.5899,107.9318,40.9967,37.7585,0.0021,0.0,0.0,1.9504,0.0,0.0,0.1838,49.4745,27.5317,0.0,0.0,191.5851,12.6457,1.5818,212.982,0.0,0.0321,7071.0075,7.4526,0.0508,2.3229,46.8198,2.348,5.5373,9.773,292.8244,210.5745,156.3768,19.4266,126.7947,0.0
THA_C13T15,29.0654,17.5995,0.0112,0.7675,1.4686,34.5016,8056.8571,0.09,7.7764,0.1802,267.7694,9.9474,158.0328,28.0376,2.2051,0.5747,21.0232,64.6616,11.4296,58.3017,85.651,246.1938,6.1151,2.5673,11.0167,928.166,108.3577,37.0773,15.2685,8.6644,0.0866,361.6492,22.5734,0.1192,26.6076,170.3383,3.979,26.2911,47.8625,171.6962,12.1358,86.7246,7.0404,120.1856,0.0
THA_C16,42.8351,1.5772,0.0,3.6003,0.5089,19.9957,1.8714,426.4086,3.1651,0.5541,21.8928,2.2088,9.4092,11.6005,0.7289,19.3418,15.4336,12.2826,22.6536,36.7528,36.3388,268.5257,0.8085,1.5037,366.3509,55.4427,0.0935,0.0084,0.0662,1.4139,0.0,2.9856,1.9027,0.0,2.0634,3.8718,0.1352,3.087,6.7351,0.0248,0.0339,0.4057,0.0064,7.6085,0.0
THA_C17_18,8.6748,0.1855,1.2694,1.2868,0.4408,121.3254,85.0054,16.019,1454.3823,1.5765,67.0695,34.8648,23.6075,42.322,10.9538,13.2452,49.849,21.0765,13.4974,90.8303,8.9618,54.399,7.2701,2.7657,11.3476,174.6642,19.4114,2.7058,3.1319,0.8992,3.7186,29.6604,205.2027,6.8828,152.5304,276.6846,2.3611,276.2348,184.8317,321.4411,417.4738,24.7728,8.1406,19.7029,0.0
THA_C19,1138.6776,702.1033,1099.9301,181.3632,22.9293,482.2784,305.2634,48.4469,72.7468,1347.2491,1615.5332,9.4191,284.0054,556.8751,385.0289,117.3191,207.4385,121.707,349.0948,548.6594,158.518,104.2439,1252.9418,68.3169,523.4104,817.6871,6872.2314,1109.0853,1284.2498,3.5472,23.1626,351.2083,35.767,25.5061,72.2962,138.4456,35.6096,129.9267,297.1058,965.9249,294.258,61.3974,11.5522,224.7174,0.0
THA_C20,1819.2893,12.7193,4.2021,33.8015,4.6854,201.7656,772.1435,59.551,262.5522,234.8342,3038.6784,173.8027,1926.8306,346.0343,36.8611,92.9484,341.2459,130.3218,87.9209,241.507,83.2695,201.0517,11.9047,35.3312,178.4848,148.1919,3.4195,1.6339,9.0511,1.0715,0.3957,69.8903,58.0275,0.7171,8.9386,28.9447,1.3515,21.5531,24.811,20.4277,52.2293,117.6418,0.6458,409.8349,0.0
THA_C21,99.655,2.8024,0.0,0.6334,0.0815,56.6119,0.1376,0.0,7.766,0.0,2.8704,106.38,0.0,0.2688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0162,0.0,1.5763,0.0,2.2096,1.9792,0.0077,1.1932,0.0,1.6449,0.0,0.0,0.0,1.0278,0.0,0.0,0.4302,0.6298,8.7253,999.585,0.4567,4.2594,0.0
THA_C22,228.7609,64.7992,5.7565,12.832,3.0266,379.419,470.9662,20.8197,75.2188,12.1479,195.4592,71.5608,1435.5962,43.7941,25.4524,130.5584,820.8727,289.2323,165.1941,925.2437,196.3805,234.2649,5.455,9.0303,308.1905,1326.5927,444.1015,4.8451,3.2271,5.6953,0.97,75.8989,20.8622,1.3784,15.9283,18.5894,4.5238,27.5182,44.7326,0.0,5.4926,55.8939,0.3538,33.2416,0.0
THA_C23,29.6424,5.4904,0.0033,0.673,4.979,228.9548,1.5359,8.8102,1.3388,0.0004,42.509,61.1188,2.2595,1586.0354,15.5666,57.4496,261.3988,356.0198,122.183,218.7677,31.845,39.6728,0.0,16.6823,6024.6466,56.5184,0.4901,0.0,0.1591,0.012,0.0,53.5666,0.0767,0.0,0.1027,3.4812,6.4976,3.4095,0.2234,40.4789,2.5214,2.161,0.2605,1.3837,0.0
THA_C24,0.2457,0.0049,0.0005,0.1773,1.1733,13.6205,0.2372,0.0006,3.2966,0.1134,1.8314,0.0,3.1668,21.7145,1034.4426,899.6544,1697.3555,797.9425,352.0896,455.7012,197.3216,1706.3498,0.0,0.1161,280.7791,62.9621,0.1056,0.3644,0.0,0.0508,0.0,0.1191,1.809,0.0,0.6201,0.0,0.0255,0.983,0.7679,0.0,0.0098,1.5517,0.0006,13.2646,0.0
