V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_A01_02,1293.2203,0.4466,0.3191,1.1334,0.0346,1933.4021,1.0472,1983.1859,1538.6139,0.9973,9.6815,2.8252,68.9873,2.6188,1.4203,2.5357,81.6527,2.0859,5.6007,0.5961,9.5485,3.4002,129.2787,2.1981,36.2259,39.8253,11.7113,34.7643,7.4969,2.4497,1.6137,90.4142,14.2447,1.1622,10.6106,3.7102,14.6302,14.4906,21.7296,72.2033,34.4605,53.6001,10.4404,3.3932,0.0
FIN_A03,0.2378,20.0893,0.0429,0.1088,0.0,29.7441,0.0712,0.152,0.6374,0.2734,0.4004,0.0629,0.2105,0.2055,0.2877,0.3565,3.0971,0.3543,1.3621,0.0581,0.0748,0.1367,0.171,0.182,0.9451,0.5892,0.1313,0.2609,0.5638,2.284,0.0259,37.2853,0.1517,0.3667,0.7969,0.7221,0.7665,1.4244,2.0542,4.9743,2.1855,4.4562,0.8744,0.9932,0.0
FIN_B05_06,1.747,0.004,0.0166,0.0567,0.0009,0.5835,0.0859,9.7675,3.4914,0.4687,0.2958,0.0274,0.1631,0.478,0.2415,0.1794,0.7365,0.0998,0.3571,0.0353,0.0516,0.5055,530.806,0.0712,12.719,0.9819,0.2481,0.0347,0.062,0.2191,0.0615,0.17,0.1518,0.1488,0.3266,0.2929,0.3806,0.3361,0.197,0.5731,0.3443,0.3283,0.1719,0.2461,0.0
FIN_B07_08,3.2775,0.009,15.7026,64.119,1.2599,4.4724,0.5414,1.2184,224.4429,2.3219,83.9272,0.0826,1.7202,214.1811,332.4502,3.4654,8.2083,0.5425,2.0556,0.4944,0.1724,1.4433,416.098,0.9417,315.9275,1.9835,0.5057,0.0799,0.1095,0.4194,0.1202,0.3828,0.3213,0.2797,0.6534,0.5484,0.4378,0.5423,0.4666,1.9222,0.6131,0.7385,0.3678,0.3308,0.0
FIN_B09,0.1243,0.0079,0.94,2.9797,0.1829,0.0619,0.0016,0.063,1.312,18.5562,0.4725,0.0067,0.0497,0.8659,3.3617,0.2731,0.0149,0.0101,0.1991,0.0012,0.0014,0.026,3.6068,0.1179,8.6841,0.0837,0.2162,0.0221,0.0006,0.3271,0.0044,0.0286,0.0037,0.0,0.0042,0.0033,0.2117,0.1128,0.0999,0.238,0.0315,0.0612,0.0238,0.0307,0.0
FIN_C10T12,401.936,0.1318,0.0021,0.0042,0.0001,1548.7365,3.3673,2.6139,71.7371,106.6945,208.5766,0.6587,0.7796,0.5364,0.014,0.0607,0.0466,0.0685,0.1329,0.0648,0.0071,0.0785,29.2097,8.827,56.8062,32.0285,7.3654,18.5614,18.5161,106.5358,1.5048,935.4339,9.4244,22.1924,48.3074,43.0537,52.1803,92.1852,117.1905,356.9497,143.4151,287.4452,55.9218,76.1974,0.0
FIN_C13T15,1.1122,0.0448,0.0977,0.2462,0.0063,5.7832,117.4459,2.8734,22.3833,0.82,4.4453,1.8363,11.6433,14.3512,2.9566,6.4306,4.0968,2.1716,9.5134,0.8567,3.6325,19.9769,1.5226,22.5487,39.7721,41.2123,1.9147,6.316,1.1509,7.3123,0.109,3.4787,1.4777,1.0952,5.5119,5.1492,2.8284,27.4659,21.2567,29.7619,1.5443,28.1578,1.6024,9.1629,0.0
FIN_C16,7.4569,0.0778,0.4892,1.2489,0.0328,17.1108,6.0743,777.0273,334.3258,14.1536,9.0473,1.239,12.0598,14.5733,14.496,9.6209,9.7274,3.0497,13.3558,1.867,2.4483,87.2711,190.8749,4.2293,2501.918,54.3482,8.8786,3.7204,7.2749,8.6628,0.5736,3.0983,2.8863,2.5384,4.622,6.4394,27.1398,32.875,11.8624,12.1783,30.0163,4.9022,3.4497,18.8694,0.0
FIN_C17_18,22.9492,0.213,1.5978,5.728,0.1264,230.6957,9.6217,38.075,2739.0942,13.5813,69.4084,8.2091,59.5447,29.8484,27.0713,20.4942,112.3147,12.6685,65.834,3.0776,5.3976,20.4212,47.3796,23.3227,158.6923,566.3368,22.9328,5.8756,12.9645,47.0896,6.5445,27.6821,690.1728,192.7944,55.123,68.1008,76.8272,177.9505,152.388,230.4817,137.6379,148.2182,99.4503,68.3547,0.0
FIN_C19,228.4115,4.236,5.6536,21.29,0.3049,12.036,1.6592,10.5092,42.2558,1551.2467,325.8903,1.4728,13.8479,40.3858,91.908,5.9526,28.2063,4.7267,10.0817,1.6831,1.6115,7.4858,199.894,44.6532,355.4757,172.4087,861.1023,231.7849,351.2371,140.8041,8.7485,7.5091,5.687,11.7337,6.9118,75.3786,326.3664,27.5302,129.3718,151.4505,41.9393,63.0508,34.664,41.6499,0.0
