V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1757.2515,3.4091,0.1523,0.301,0.1092,2544.1561,5.9701,82.7643,11.1526,14.5434,13.7297,9.1157,32.6641,5.1692,4.5139,5.6686,10.7737,4.5749,10.9155,17.5236,0.6051,12.2774,58.694,7.2373,26.7801,332.9725,9.8715,0.7323,2.4383,12.9992,0.3859,82.2026,7.0153,3.7002,1.4639,2.9373,13.8434,21.9484,15.8875,9.0786,3.6689,18.5816,3.1904,9.2582,0.0
HUN_A03,0.9989,4.1553,0.0,0.0004,0.0,1.909,0.0048,0.0015,0.0022,0.0028,0.0035,0.0014,0.0062,0.0029,0.0023,0.0034,0.0028,0.0009,0.0018,0.003,0.0001,0.0022,0.0103,0.0044,0.0719,0.1678,0.0045,0.0214,0.0003,0.0152,0.0009,8.0692,0.0067,0.012,0.0045,0.0152,0.0256,0.0167,0.0828,0.0183,0.0055,0.028,0.2478,0.0349,0.0
HUN_B05_06,0.7646,0.0023,0.0272,0.0418,0.0077,1.2134,0.0625,0.0597,0.1965,24.0592,1.489,0.2836,0.2247,0.5292,1.9604,0.5268,0.6541,0.2337,0.6474,1.4926,0.0451,0.1671,9.9844,0.3713,2.4008,1.6897,0.6104,0.0415,0.0764,1.1244,0.047,0.5577,0.0842,0.1745,0.2025,0.2599,1.1122,0.5765,0.4328,1.36,0.8717,0.9109,0.4056,0.2078,0.0
HUN_B07_08,9.8809,0.019,0.1174,0.6714,0.2829,2.7453,0.7287,0.6978,3.001,0.3233,7.5265,0.303,3.2458,31.5992,6.4504,1.2683,3.5836,2.98,4.524,4.2529,0.0852,1.449,1.3422,2.0859,56.81,4.4277,0.667,0.1122,0.0146,1.7208,0.0188,0.1725,0.0984,0.0863,0.5726,0.0734,14.0235,3.5132,0.6155,1.2685,1.5425,1.158,0.8871,3.126,0.0
HUN_B09,0.1165,0.0004,4.1776,0.0674,1.194,0.1702,0.0107,0.0979,0.0428,34.4925,0.3644,0.056,0.3295,0.1276,2.0624,0.0385,0.0755,0.0422,0.2191,0.6694,0.0278,0.4305,3.1541,0.2001,3.7623,0.4496,0.1267,0.0039,0.0077,0.1786,0.0092,0.1101,0.0316,0.041,0.0361,0.0515,0.1746,0.4409,0.1814,0.1451,0.1307,0.3838,0.1445,0.0452,0.0
HUN_C10T12,526.6232,1.5189,0.1956,0.1405,0.0695,887.4076,2.6255,1.2827,11.944,24.8778,54.3637,11.9545,7.8566,2.4699,2.4823,3.5366,4.8434,3.1621,4.4112,7.5961,0.3505,2.932,13.7381,4.8519,8.4346,134.3386,3.9664,1.7588,4.0028,1.395,0.4144,845.8262,4.2899,0.9802,0.9806,2.5163,15.8697,15.3908,24.8831,14.6691,3.0976,67.4713,5.8002,7.1674,0.0
HUN_C13T15,2.2466,0.0256,0.0654,0.0896,0.026,4.3258,124.0685,0.5761,6.3301,0.6045,1.2724,1.5267,14.4851,1.9526,1.2979,1.3336,8.8643,3.6855,7.5036,34.0082,0.26,29.7379,1.4748,1.9298,6.2528,15.7061,1.9943,0.1371,0.3147,1.0248,0.5903,2.7249,0.5122,0.6837,0.8296,1.0624,2.127,2.5782,6.4084,3.6519,1.4681,11.2234,4.6861,11.5813,0.0
HUN_C16,13.3287,0.0243,0.0327,0.0985,0.0233,11.5701,1.4117,93.0129,2.635,1.4639,8.5338,0.994,7.9179,11.7522,2.7645,13.2058,5.7941,9.042,11.3205,16.6372,0.4777,59.107,20.0975,1.6852,135.0107,34.9733,4.8776,0.335,0.4069,1.1427,0.1771,1.8374,0.3337,1.1503,0.2128,0.643,37.2875,8.2612,4.9989,1.6214,0.5034,2.1119,0.9638,3.1366,0.0
HUN_C17_18,13.1235,0.0522,0.0405,0.1926,0.0164,163.1373,4.8526,12.4954,467.9135,1.6316,28.5826,16.2618,28.8559,9.4064,2.8884,7.363,40.1149,24.3771,10.9646,11.485,0.6228,18.7179,2.5561,2.3845,8.1644,266.667,8.7706,0.1367,0.7105,4.7583,5.1749,8.3595,207.8745,3.467,7.2806,62.7845,48.5981,42.1349,40.9371,55.2903,20.6877,9.2532,10.4468,11.0783,0.0
HUN_C19,222.4666,1.2274,2.4507,6.5229,2.9085,91.9021,7.5652,8.6443,17.119,687.5007,668.3372,23.0925,42.2389,45.208,118.5357,17.6992,31.6583,19.0873,32.901,43.7635,2.1686,15.9984,152.51,40.6025,125.0886,286.3678,621.5894,49.5688,226.198,90.4361,6.7363,25.4513,6.6019,7.0122,7.3691,23.0334,45.933,49.1247,47.1175,38.0605,19.4795,38.1623,16.3812,16.5502,0.0
