V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_A01_02,9356.7242,3.6347,0.4703,1.5788,0.2233,37304.1346,103.6313,6.0541,3817.5594,2.8439,136.4113,66.0267,5980.9038,14.3382,9.1896,8.6588,22.5113,8.9848,13.1645,20.1136,3.6225,76.0483,8.846,4.2255,357.3996,5773.9309,11.6503,3.4569,1.5731,20.3651,6.5007,8030.3522,8.1571,19.4641,12.9506,47.6235,8.475,232.9851,23.162,34.7832,396.3945,917.3192,211.3191,248.5146,0
JPN_A03,1.321,475.9351,0.0569,0.4022,0.0007,7720.8923,0.5214,0.332,2.6829,0.444,5.2776,3.7674,1.5567,1.202,1.8047,1.6859,7.8384,3.0535,4.0381,5.4544,3.2279,80.3331,3.3088,1.5998,11.0026,84.5121,5.0159,2.0006,0.5822,3.9298,2.3374,2654.3623,5.4115,7.294,8.4352,17.8161,3.0932,11.2825,3.0774,9.0285,22.4699,283.7874,4.7172,19.8319,0
JPN_B05_06,0.8645,0.0629,0.028,0.0451,0.4038,4.4311,0.4675,2.0421,0.4377,938.7538,9.9299,0.5989,0.8416,10.6247,12.3905,0.3108,2.5675,0.7154,1.1748,1.7021,0.2435,0.6209,443.3493,0.1915,7.2297,2.6931,0.4793,0.1118,0.0706,0.1317,0.015,1.76,0.1072,0.1972,0.1309,0.3136,0.3047,5.4606,0.1787,0.6312,0.3677,0.758,0.2802,0.3013,0
JPN_B07_08,1.0075,0.0007,0.0,3.4144,6.5379,0.5678,2.2211,6.3877,0.6789,40.0643,75.3811,6.6041,12.7395,913.1446,2919.625,1.4201,3.0259,3.5957,4.5877,1.7114,0.3828,12.0321,0.0408,0.0003,935.068,1.0379,0.1097,0.0,0.0,0.0,0.0,0.0,0.0473,0.3,0.0,0.0003,0.0017,17.2678,0.0,1.9476,0.002,0.0175,1.1596,0.8677,0
JPN_B09,7.5472,2.1848,12.594,23.4791,37.0625,6.0675,0.0926,0.5324,13.612,509.6993,46.1116,0.8952,4.9729,51.9323,298.7184,10.7284,0.622,0.9821,10.4321,0.9845,0.2906,0.5133,215.2214,12.3765,329.6445,8.6977,13.7044,0.8494,0.0168,11.4068,0.1156,5.2375,0.2907,0.0,0.3948,0.4506,13.4412,6.2502,6.4389,16.1835,1.2524,3.5217,1.1354,1.38,0
JPN_C10T12,5127.6877,705.5422,1.3695,9.7908,0.6491,31546.1211,79.3901,30.1117,104.1527,15.9751,508.943,202.6339,41.1028,50.7636,60.2192,46.932,132.2414,71.4113,114.3637,102.213,23.7597,58.9279,77.335,44.7082,253.0006,2527.3016,113.825,38.5644,13.2004,135.2607,68.2344,46592.2314,136.1733,160.878,177.7178,405.6295,105.9423,297.0058,166.0345,280.5603,1163.2223,2855.8348,138.0124,307.6194,0
JPN_C13T15,136.7038,300.5618,1.1575,6.664,1.2261,707.2987,7673.3131,122.4089,105.7909,9.7597,59.6656,22.2657,1710.5566,307.8376,65.4602,41.3852,345.8626,172.8343,189.9558,335.3314,102.9823,476.787,30.0619,25.3418,481.7,1517.8141,121.8289,255.0409,16.5459,118.1576,39.2208,256.9855,63.5684,131.321,187.2334,223.1442,25.6959,325.908,385.7496,365.8968,76.0333,473.6051,436.8313,348.5081,0
JPN_C16,708.2353,12.5034,0.1907,1.3332,0.7696,1749.7193,48.4894,1543.5245,2840.8511,3.355,635.7573,119.6279,103.806,294.4654,36.4615,62.332,320.6152,241.5758,116.8492,91.1043,11.6186,251.6367,9.4984,14.3634,392.0158,2442.0968,88.9707,35.0936,10.2229,464.4181,34.5502,383.3576,1539.1372,93.8582,512.4262,405.9268,69.242,391.7757,237.2823,162.9878,151.8024,588.202,43.6738,126.3154,0
JPN_C17_18,476.2463,127.7364,3.8229,10.124,4.4501,4854.121,104.123,1828.6788,31884.7495,11.6616,633.8427,415.2018,1566.4316,901.5073,393.2937,470.2699,1626.8124,757.7428,809.3844,872.9325,406.0173,3669.6437,1132.16,160.1565,36313.9651,9639.1696,418.8313,122.3269,24.7382,2423.763,471.7888,1142.0951,9424.9744,1761.1907,1900.8668,7664.0729,77.3566,3211.8698,1019.4474,4993.5268,2420.9864,1683.3482,1449.7708,711.4321,0
JPN_C19,2535.7665,1344.0813,14.6664,800.4505,65.4288,2364.2647,291.1354,119.953,523.3948,7904.2012,14858.4482,1378.1485,124.5903,1630.7206,4878.7697,363.6572,168.9603,194.6197,125.2971,689.0089,281.0766,382.312,9574.5536,485.536,8692.3592,15873.863,12891.3904,7089.8396,4195.8208,471.8782,96.231,2685.204,474.4841,255.1685,729.0825,880.2467,956.6879,1779.8553,1242.8553,5713.6373,1480.9766,2120.6933,1696.3033,1390.166,0
