V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_C20,184.7925,0.8617,0,3.1057,0.9756,378.9817,311.5552,90.2856,269.3262,1411.4012,3763.0341,545.5564,639.5674,100.2471,189.0338,107.3926,80.0856,84.7676,47.5614,88.3443,5.5086,89.5975,161.9947,84.1413,458.0061,819.6686,58.8322,14.7778,22.1226,67.931,7.1996,63.8862,33.2351,31.9107,54.169,97.1705,42.4368,255.9701,94.8762,83.2166,21.6091,324.3763,11.9607,124.7132,0.0
BEL_C21,10.5893,0.063,0,0.8958,0.2497,102.076,29.6715,5.2838,12.68,57.8362,117.7903,639.1306,20.7747,11.9988,24.7749,19.1331,7.7502,9.2546,12.8624,11.7282,1.96,11.2298,25.8038,19.7443,113.7727,267.828,45.7935,20.8278,15.7104,49.8532,5.7231,17.9389,35.7616,22.7418,45.2487,95.6886,35.6596,302.2932,107.1415,57.7659,15.8924,1225.5842,12.7613,25.446,0.0
BEL_C22,19.1118,0.3811,0,2.1557,0.2359,263.1211,35.2777,26.672,77.3127,37.0515,151.1452,82.4356,169.5194,32.7609,99.8647,155.4076,27.9033,53.9257,78.9449,254.946,3.3985,60.3379,19.5252,78.529,516.9787,117.4311,31.0959,1.5648,4.5665,30.2612,0.9316,30.2094,4.584,7.2266,10.7598,9.9662,17.5844,29.539,14.7187,42.6807,9.5181,35.2503,2.2373,22.9274,0.0
BEL_C23,25.5771,0.1333,0,9.3759,0.6536,181.7879,14.0892,11.5919,20.779,120.0452,95.4709,23.9345,25.522,563.8858,124.1803,43.2124,18.7217,57.1661,14.1967,81.3232,1.2909,35.6739,19.3904,18.3595,3266.1415,219.7462,6.9534,0.4204,1.6225,16.8852,0.8343,39.6685,2.4573,2.201,5.8294,6.2286,61.7358,36.8112,236.8983,20.8763,2.3997,19.7651,3.1793,21.8636,0.0
BEL_C24,0.0,0.0,0,0.1757,0.7967,13.8663,3.9766,1.5038,4.1226,2.0415,214.6405,0.7998,44.1953,36.7906,4457.7931,1413.8757,64.5708,280.3807,444.9599,177.6975,70.5642,132.6986,13.8336,9.8227,571.5217,122.4284,136.6969,0.0021,0.0348,18.7514,0.0,0.1654,0.5541,2.8215,0.1216,0.0,1.7112,46.6856,2.8338,23.5183,26.3038,21.3665,0.0,0.7579,0.0
BEL_C25,40.423,6.5913,0,5.7448,1.3653,250.4719,49.983,35.1943,53.5399,92.0886,262.2068,23.5789,66.8601,74.5592,516.0877,928.8354,89.2135,166.623,324.4703,245.1541,38.9632,238.4229,109.9001,64.0372,2402.5374,181.3455,41.3533,20.4025,57.528,114.5233,6.7327,54.0468,9.0685,47.656,15.9804,48.6169,110.7377,178.4628,97.9948,155.2933,36.6516,84.9658,25.9907,18.4717,0.0
BEL_C26,6.8276,0.3715,0,0.9198,0.1557,25.1375,5.7133,5.8875,10.0355,14.9433,23.2541,13.2835,2.3994,7.6451,18.6525,31.3689,125.9383,38.1782,66.2568,90.7575,7.4557,51.0744,32.6929,13.4989,185.366,69.6124,8.8817,4.4566,15.507,28.0912,1.3281,3.5238,2.4464,58.1422,25.045,20.3425,8.7509,58.4417,26.3134,30.3733,6.0092,24.8581,3.0539,3.9833,0.0
BEL_C27,9.6001,1.3205,0,0.5909,0.1613,34.1602,6.3186,5.1714,11.3898,20.8552,47.7065,19.7404,13.424,7.0269,29.3584,107.7217,42.8593,217.6629,135.8152,117.1249,3.4054,70.6007,119.7433,10.5549,590.0914,65.1135,15.4296,3.5419,7.7685,10.1264,4.038,6.1034,4.1307,25.9717,7.9139,7.3052,21.7094,33.851,15.5556,22.497,4.419,13.1795,1.9957,5.7401,0.0
BEL_C28,47.5275,1.2729,0,2.4061,0.8042,73.4883,12.6841,10.818,23.6348,48.2024,83.7866,21.7861,8.8033,16.1501,60.3825,80.4082,9.9516,15.7364,603.5016,165.183,14.1108,44.1867,62.4523,33.3558,400.0641,64.0843,17.2781,7.175,29.8996,32.0636,1.9187,14.1619,5.0608,21.5074,16.1133,15.914,22.2411,88.9943,23.9953,26.6733,8.6146,45.1519,4.5828,8.666,0.0
BEL_C29,12.3048,0.2979,0,0.6447,0.1466,52.9557,10.7347,4.8798,8.9069,35.4294,35.6465,15.5023,24.4027,7.9088,25.5707,30.5962,15.0991,15.9132,36.2397,2403.1925,7.7527,55.5574,9.4231,9.5607,101.5974,250.5166,88.7785,10.2479,4.6985,38.6624,2.8158,11.3691,2.8959,7.8401,11.9186,11.5969,7.5433,148.3603,40.2619,20.6819,2.8403,27.1465,2.5258,9.2164,0.0
BEL_C30,0.0,1.2545,0,0.0,0.0141,0.1547,0.0,0.0,0.0,0.1426,0.2733,0.0,0.3228,0.5167,0.0,0.0538,0.469,0.0,0.0024,0.1631,119.0344,48.3764,0.0007,0.0,0.055,8.6729,67.0556,0.1113,102.5155,2.8429,0.0,0.0,0.1901,0.0,0.0555,0.0,0.0,1.8863,54.5919,28.7735,0.0,1.0929,0.3675,0.0175,0.0
BEL_C31T33,52.1294,2.9084,0,7.8537,1.0364,230.9842,54.0926,51.5603,106.8411,109.2286,97.9311,46.3814,26.5995,69.2064,147.7941,165.4957,12.7091,27.1679,55.3831,67.1554,64.5469,137.9445,209.4919,82.6986,297.1253,285.081,73.347,37.0448,135.0042,160.4917,7.664,29.8813,20.2245,85.8104,31.3001,47.9573,73.6052,399.1549,77.2783,56.5193,34.4323,234.0253,29.8435,34.1697,0.0
BEL_D,179.5009,0.0904,0,14.4689,1.3478,572.1952,118.1481,70.0167,227.1336,404.2456,1451.3639,121.3064,63.6847,225.1701,654.4223,152.2643,26.0676,49.6071,71.7927,86.4519,15.4423,48.9895,1631.4347,264.2784,290.7875,963.9438,183.2594,2.4951,3.7388,141.0057,12.5916,138.655,29.6548,158.1552,98.7153,187.588,966.3581,404.0431,96.0774,264.6741,125.7272,307.6869,55.0214,86.7197,0.0
BEL_E,19.763,0.729,0,2.5008,0.2954,96.3493,14.8336,74.8288,208.0305,105.4623,215.8075,29.2226,32.9416,21.8944,2273.0616,224.8388,4.3752,5.456,10.8773,35.504,4.3531,14.8261,221.0933,3826.518,305.3078,211.9447,65.919,14.5746,3.7861,99.3153,7.4838,49.4343,5.1128,7.4224,14.6223,32.4193,95.2008,94.3348,49.0874,468.8754,18.904,111.4255,16.6746,27.5662,0.0
BEL_F,165.3553,2.3701,0,16.9966,2.4506,312.2367,47.7679,44.4561,85.5505,167.8102,314.0735,124.2714,35.8691,95.2157,188.9144,414.6419,28.2434,79.9644,150.3078,86.1714,49.0846,237.965,836.8494,583.7027,20586.4759,878.9414,179.021,56.1081,118.5244,433.3814,16.9772,131.2869,74.8273,173.4809,100.5328,438.3486,3124.4593,830.4623,348.6665,588.9483,212.4954,413.3937,92.3858,143.3491,0.0
BEL_G,1144.9731,11.814,0,29.0016,3.3778,5364.2161,775.9651,334.7256,685.1291,2779.6625,2392.0292,592.6925,426.5987,519.54,973.408,579.4133,300.786,327.5627,576.9111,1238.8993,59.5257,441.6807,418.7537,342.7456,3764.849,2295.9184,1325.7676,158.6927,166.4088,967.935,144.5791,1371.9457,286.533,241.1591,437.4077,359.1392,344.4424,1094.7529,1294.6665,511.9984,140.7796,1341.0712,131.9744,293.4919,0.0
BEL_H49,170.7843,1.3172,0,23.9977,1.3326,872.0789,112.1894,109.7176,204.7108,477.8325,526.5779,82.0905,122.4091,235.1529,345.2383,169.0052,24.5767,64.5009,142.7823,174.7114,13.7497,91.1028,159.2722,191.6492,545.9603,2114.2514,1472.8946,86.1412,49.0532,833.6718,291.5622,83.1989,85.5384,22.425,33.4413,63.5501,70.6344,174.1381,243.8133,116.8883,44.5024,253.6293,52.1043,94.6203,0.0
BEL_H50,5.9917,0.1217,0,2.3353,0.1055,44.1668,7.0574,4.1836,8.2575,79.5883,73.1213,14.8884,4.3131,17.888,45.4182,12.6625,3.1843,6.1798,14.5531,25.7822,1.6657,8.8928,7.9616,31.8167,55.2077,146.013,32.0614,181.5511,5.3041,82.6849,3.6635,8.4766,7.4257,13.0147,4.4028,8.8534,9.4945,20.9852,54.4953,5.224,2.7965,10.771,2.4974,3.5867,0.0
BEL_H51,12.1277,0.2295,0,1.8625,0.0937,60.7419,9.3319,5.0649,10.8185,125.0359,47.2751,8.1196,7.3812,21.4337,48.4887,14.3148,5.6034,6.6468,14.442,32.2632,3.4258,15.4218,13.1007,3.2006,60.8408,56.8806,8.2173,2.3064,19.8524,44.1358,11.9314,15.351,2.4591,2.8687,3.4249,13.8586,5.3858,34.1662,131.2056,8.0202,7.148,12.0773,1.7567,7.0222,0.0
BEL_H52,38.0222,8.9286,0,6.9529,0.872,269.816,25.0418,18.0109,53.1289,253.9975,399.6045,28.2764,24.0105,54.7436,118.4135,47.5149,18.559,20.3805,45.0031,168.9968,9.1301,37.9387,59.768,71.1759,180.8974,2813.9809,2178.0348,1315.9398,319.3902,2929.0658,160.9371,47.8929,37.1839,84.8475,234.0102,116.0543,74.1283,198.4309,192.1378,74.9435,30.2907,97.3812,17.3224,53.4979,0.0
BEL_H53,3.9197,0.0709,0,0.4791,0.1217,39.2732,13.947,3.8952,43.1561,7.2314,25.5559,5.1882,4.8285,7.1816,7.5856,15.1879,8.031,3.0736,8.6131,9.4119,1.0106,17.982,85.5146,48.8693,58.3753,659.7055,28.3926,0.6526,0.6076,172.5949,302.8333,12.8557,223.1478,75.0435,19.7295,330.162,101.9639,173.4644,248.4484,667.0791,54.4861,211.7808,18.7106,145.0146,0.0
BEL_I,9.8174,0.0628,0,1.1013,0.3695,31.3823,9.8597,4.3068,7.2193,16.9489,37.3607,35.1554,11.0972,12.4953,14.4645,59.5274,11.2728,14.9621,29.8579,13.981,4.7596,31.3989,35.5346,12.5209,187.107,979.1795,24.6009,4.0653,140.4918,525.1751,9.6204,32.9123,120.6999,37.7474,63.3641,531.9128,46.9024,546.9071,1094.9607,141.9949,210.818,352.8928,151.6192,315.2851,0.0
BEL_J58T60,2.9016,0.0098,0,0.3929,0.0584,174.9503,9.9904,5.6976,31.2185,10.67,18.052,11.5412,4.0263,5.7648,3.9441,9.5175,4.5522,4.2664,6.2542,10.2603,0.6141,15.5931,33.3294,3.6142,48.549,656.1144,12.7475,2.5037,6.5528,71.0297,7.5944,16.8431,824.8914,74.1396,183.8131,77.6483,35.1827,1191.5306,98.3902,64.9474,64.1691,43.1156,62.4547,33.5626,0.0
BEL_J61,3.0393,0.1811,0,0.7893,0.3372,28.1056,7.6468,2.6539,7.5773,46.4907,56.3404,38.5436,8.0903,9.9508,11.9755,29.388,8.4146,8.432,16.9044,9.3875,1.874,17.2779,127.4605,30.349,170.4376,601.0085,48.2871,34.3478,12.4531,250.2853,10.835,37.2677,67.6071,3345.0804,294.7261,1051.4025,111.3052,750.4628,185.6615,252.9138,59.1431,186.1857,26.1531,98.1596,0.0
BEL_J62_63,8.3368,0.0765,0,3.9892,0.2103,70.7249,9.8136,4.7695,14.9156,52.5582,96.3348,77.1755,6.5217,16.7343,27.0589,19.8534,23.6527,21.1332,41.959,28.0638,3.8628,14.7594,48.2461,15.9392,133.2727,963.9431,60.1913,24.1988,24.1629,111.0055,29.1478,19.2975,57.3533,820.5309,2384.1336,864.5505,69.2422,729.8144,390.8021,276.3998,41.1918,283.5549,27.2824,73.0997,0.0
BEL_K,271.5473,1.8239,0,5.7323,1.9901,414.4801,65.9812,41.3309,141.0588,503.8008,746.487,328.878,103.4669,114.0322,408.2624,332.5207,49.3619,67.7936,128.8462,191.8602,30.1482,101.3081,207.4663,184.8369,1060.7816,2638.2426,397.7089,132.8783,85.9362,583.0526,83.2228,432.6181,170.5456,383.1407,408.1402,10177.8297,2927.6287,3835.9963,887.6611,303.0857,132.7073,631.3903,149.0815,260.2023,0.0
BEL_L,36.3566,0.0076,0,5.6601,0.4176,154.61,28.9765,10.9723,48.5493,26.0177,55.2948,26.8881,15.977,17.7626,13.6892,78.2642,20.002,14.1896,23.1838,30.9087,7.2946,76.1887,64.9651,26.6187,943.1838,3656.2034,146.666,2.1387,10.7202,1027.1242,64.5195,551.5793,83.0427,204.8211,184.4395,806.9835,1574.9027,1974.0344,386.9455,998.225,307.9034,771.2505,152.8238,318.3839,0.0
BEL_M,280.1327,2.0228,0,24.551,3.7874,639.1657,183.1388,53.7851,154.6748,1322.3517,865.5368,929.2558,117.8898,184.246,196.251,442.408,215.8076,145.5613,289.5846,267.6687,57.6772,280.7369,1329.1482,497.7918,1937.7103,7708.2162,509.5396,106.1402,93.2998,2138.751,68.2323,456.6581,507.1985,400.2301,928.775,3967.2897,1071.7172,13260.4181,1563.8808,1579.2171,284.4932,902.2445,367.9433,899.7075,0.0
BEL_N,111.4825,0.3702,0,14.2953,2.5097,737.5994,89.5659,54.1996,127.3721,152.2498,454.4971,772.2018,121.64,146.0508,283.9476,278.6121,90.435,123.7931,134.767,237.4664,18.0846,140.268,259.8302,224.0848,1264.0947,3233.662,424.3353,98.4613,136.665,1330.4908,78.2366,420.7905,307.6538,164.1523,473.8902,1022.3263,763.1621,2065.3556,2923.9517,416.6818,228.514,1573.1613,254.5372,321.0473,0.0
BEL_O,18.0865,0.1461,0,0.5268,0.1213,28.8663,4.5317,15.2896,19.2871,19.5227,24.8432,38.4447,4.2286,3.2273,179.9577,24.3181,2.0736,3.5047,3.992,9.0045,2.1525,7.0602,24.1848,298.3269,68.5351,196.8471,17.6387,9.7556,3.9339,49.7749,4.31,37.8897,39.1842,45.4014,94.5137,103.454,36.2122,196.4495,46.7936,117.0345,38.2687,62.2144,187.1732,23.2616,0.0
BEL_P,2.2508,0.1671,0,0.1978,0.0927,24.6008,2.4925,3.9901,2.5506,17.5502,20.0369,123.2475,4.9594,3.8371,14.0084,14.7408,3.0094,5.9216,8.1183,5.0226,2.8569,14.9272,26.4229,12.3438,53.2661,164.4573,37.377,14.5796,15.8172,89.648,7.2354,10.2707,6.5916,37.0683,89.529,184.4568,21.7553,243.7335,70.2401,57.8913,1527.4912,85.5948,7.5094,48.9528,0.0
BEL_Q,0.5075,0.0001,0,0.1286,0.0503,4.6135,4.0822,0.1527,0.8514,3.4379,5.4527,9.5068,0.4802,1.2339,0.8232,3.0391,0.8976,1.3086,2.2742,2.5025,0.5948,1.635,0.9018,3.901,12.1668,52.349,7.1718,0.7082,0.5944,24.3555,3.2142,1.7014,1.4801,17.336,44.4179,19.7088,1.9816,28.7608,12.9281,29.1465,4.5471,5442.3305,7.1149,8.4551,0.0
BEL_R,15.5747,0.0653,0,0.2272,0.023,46.7016,3.7903,15.3244,1.7099,2.4418,7.9305,5.4171,2.6784,4.4933,3.412,12.442,0.7781,4.5209,1.9719,2.3101,3.2101,6.7086,11.5796,6.509,78.8837,100.2173,8.5805,5.914,1.2239,21.5291,3.0895,74.7597,85.0443,29.0114,20.48,94.5676,16.7147,112.5946,55.3089,111.959,21.0194,73.1935,462.0095,23.6633,0.0
BEL_S,12.548,0.133,0,0.7015,0.226,59.28,5.1282,4.698,8.949,21.3942,39.1489,31.9242,2.959,28.5905,11.7873,16.809,5.7315,11.5731,13.0597,16.3393,2.5572,10.5387,48.7367,13.7774,71.8268,631.9945,21.9013,18.7446,5.944,538.933,7.6809,68.7288,34.6793,24.1122,102.5413,288.5175,66.8245,342.0196,247.4147,47.0125,94.1039,527.9352,18.4866,1065.9672,0.0
BEL_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
