V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_A01_02,645.6687,0.0012,0,0.6032,0.027,4886.3301,34.5184,222.8879,53.9264,9.3532,53.8794,9.155,14.1496,5.1305,6.5372,12.6053,0.2346,0.6429,1.3137,8.7685,0.155,13.6946,15.6331,9.5425,12.7425,472.8375,5.0202,0.0788,0.1085,6.1788,0.1335,129.1925,2.8003,1.7502,7.4784,2.027,8.1622,15.9997,23.1279,10.2166,3.9749,85.8064,2.6458,15.4096,0.0
BEL_A03,0.0272,1.7559,0,0.0009,0.0001,26.5654,0.025,0.0132,0.0214,0.1008,0.098,0.0282,0.0129,0.0372,0.0406,0.1102,0.0133,0.0127,0.0237,0.0245,0.0021,0.0194,0.0141,0.0051,0.1416,1.1542,0.0112,0.0017,0.0111,0.0696,0.0019,33.1275,0.1071,0.0131,0.0521,0.0445,0.016,0.5139,3.4412,0.0261,0.0509,0.315,0.0297,0.1299,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,2.466,0.0262,0,14.0918,0.3378,2.4467,1.0724,0.216,9.5028,190.7666,34.0907,0.0669,2.3136,137.1001,86.8071,0.0467,0.0288,0.4333,0.2505,0.7117,0.0073,56.8104,1.4245,1.4988,80.063,10.3903,1.8438,0.0035,0.0073,3.2156,0.0034,21.9288,0.0142,0.0152,0.35,0.1055,0.533,0.5076,3.2873,3.5655,0.009,0.1634,0.2286,0.6236,0.0
BEL_B09,0.1224,0.0031,0,0.382,0.2754,0.1045,0.0034,0.0188,0.1834,31.1035,1.4054,0.0389,0.0491,0.8249,4.0297,0.2999,0.0016,0.0059,0.0773,0.007,0.0024,0.0185,3.2318,0.2751,9.8893,0.1419,0.2166,0.0248,0.0004,0.6678,0.0065,0.0353,0.0054,0.0,0.0051,0.0098,0.2542,0.1396,0.1443,0.2984,0.0395,0.0675,0.0143,0.0302,0.0
BEL_C10T12,1629.0413,0.0706,0,0.0708,0.0481,6525.218,14.8855,1.9674,16.1403,95.9848,351.9402,5.9353,1.4189,1.6764,2.7242,1.4979,0.6074,1.6516,3.4103,2.531,0.1203,3.9601,2.3009,15.5681,4.9124,611.7251,9.6757,0.3324,3.3669,0.3035,0.0828,2981.1356,25.1296,1.5779,1.9949,9.7123,0.7148,14.9857,18.4479,136.6813,33.7185,403.3384,100.7548,34.3544,0.0
BEL_C13T15,7.2983,6.6258,0,0.3219,0.0592,44.8455,731.7826,7.3254,77.9764,16.6542,44.2307,59.1723,19.0911,11.6324,10.1287,18.0314,3.4662,4.3718,9.4558,64.6597,0.8352,104.8469,2.1088,11.0601,262.5952,137.726,3.2486,0.4015,0.7678,7.3194,1.069,17.8157,3.3111,3.2913,7.7615,3.7756,8.7574,28.9082,29.3029,14.3091,4.7813,66.3819,17.0368,88.3728,0.0
BEL_C16,13.6315,0.1365,0,0.3851,0.1056,46.6818,3.2679,606.7976,27.9664,9.9355,93.553,2.9899,15.1581,20.8852,19.1052,29.5272,2.5727,8.8166,13.7225,8.7985,1.2296,122.4138,12.2473,10.2608,1058.9413,27.0218,1.9908,0.4168,0.3021,11.1184,0.1063,9.6808,12.2568,0.8162,1.7024,2.5768,17.1133,48.5345,54.7952,13.8423,8.0005,28.9116,15.8372,21.586,0.0
BEL_C17_18,10.7558,0.1238,0,0.8862,0.0761,531.71,39.3525,77.3103,1112.46,14.6787,110.058,55.2236,105.9544,30.0118,11.9667,41.8371,11.5497,17.2873,18.0201,30.0634,1.2116,54.5063,23.32,13.7684,94.429,1043.8649,22.6341,0.4033,1.8967,69.2978,8.8848,53.7833,922.1918,25.5612,28.3206,94.3162,35.3192,512.3469,171.967,303.5122,90.8526,149.9373,65.8796,112.8611,0.0
BEL_C19,299.514,16.7016,0,5.6831,2.3425,188.8396,84.96,38.0935,70.4113,8282.7345,2486.3927,125.4712,145.0098,166.1094,110.9974,67.5573,26.0669,36.889,58.9069,38.942,3.7625,78.2537,75.011,87.143,616.2208,621.2418,689.3555,262.896,540.337,418.915,14.233,53.4102,22.2945,29.0181,50.8216,116.3823,63.1667,290.0833,190.0124,216.4119,28.6646,225.9331,15.9784,86.4355,0.0
