V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_A01_02,291.039,3.0578,1.0219,0.287,1.0413,2705.8773,5.7666,428.0484,443.0742,1.2628,6.5107,1.9728,1.0043,1.1853,1.8723,1.277,0.8635,0.5743,1.1437,0.1733,1.1011,2.2363,5.7174,0.9033,56.502,47.4394,1.0534,15.8409,2.4681,3.0696,0.2181,85.1436,6.3179,1.2449,5.2056,7.5467,2.1091,9.7874,6.9388,44.6494,9.3914,47.1505,3.8313,3.0422,0.0
NOR_A03,3.6116,388.0011,0.9471,0.2163,0.8865,2903.5393,0.4242,1.0359,0.3476,0.3175,1.1005,0.5708,0.2877,0.8152,0.4332,0.864,0.5156,0.4161,0.8605,0.1458,0.7825,1.3235,2.3184,0.5732,0.9583,8.1636,0.2393,11.432,0.5729,0.2609,0.1132,74.3179,4.8416,3.5,3.2747,5.075,0.4529,3.3881,2.4375,6.2666,4.831,36.4315,1.3103,0.2697,0.0
NOR_B05_06,70.6288,85.757,106.9816,40.4013,183.4042,63.8461,2.5453,13.5062,25.9781,2387.332,182.6682,18.5277,5.7092,116.2516,106.6044,28.8557,3.8338,16.2906,379.7187,4.2581,95.9566,48.1163,108.1777,69.969,303.4953,452.0528,363.8749,722.3972,246.8449,269.7997,22.9756,35.5739,40.845,28.8338,38.324,8.7665,74.5849,107.9715,177.9189,83.668,33.0709,86.5822,29.6634,18.6465,0.0
NOR_B07_08,6.1152,2.5946,8.2989,22.7185,56.4959,18.7996,0.3882,2.4641,6.0823,0.6954,220.3389,28.7052,0.8235,209.2891,79.2697,4.7963,0.8189,0.5614,47.2598,0.4565,4.922,3.1057,0.4604,3.216,87.8624,6.413,12.411,4.2986,0.5177,9.6696,3.64,0.7903,1.0472,0.303,0.9437,0.4901,8.064,3.959,4.3196,7.4418,0.6335,3.7184,7.8503,0.4732,0.0
NOR_B09,8.2616,21.546,5335.1418,184.2136,4295.4804,9.5942,0.0726,2.9744,17.7437,3428.2225,51.93,0.4798,1.7447,91.9885,371.4329,24.222,0.2334,0.4174,9.9327,0.0768,0.2981,3.4467,299.1055,11.6044,934.103,10.1308,17.568,16.4144,0.0873,33.0606,0.4407,2.6762,0.4375,0.0,0.469,0.5403,26.0093,21.7013,11.1297,34.8712,3.4552,8.4582,2.343,2.17,0.0
NOR_C10T12,819.1972,1290.123,5.2974,1.5385,6.4641,3941.1574,13.6895,8.2524,2.6379,1.7003,29.115,4.1278,2.0086,5.8433,2.3778,7.2197,4.3933,3.336,8.2968,0.7322,6.3166,10.3463,18.5749,1.9638,13.7073,59.9634,2.1652,88.9706,5.0095,3.8162,0.3631,1045.4397,35.2593,5.9554,24.3761,39.2693,4.3273,26.2054,18.6617,74.7747,37.4284,274.6151,11.1487,0.8109,0.0
NOR_C13T15,2.7747,16.6765,3.7814,0.7989,2.4117,9.0621,33.1384,3.8144,2.0178,1.7755,6.8109,0.2397,2.7058,2.9239,6.5743,13.4149,0.9452,1.491,11.2189,1.4162,5.356,23.5221,8.5804,14.6677,54.083,32.3451,2.8314,26.1959,1.0747,6.385,0.2527,5.6345,13.6237,1.9367,4.9705,0.4478,6.9359,22.8051,13.2197,15.3503,6.6868,68.6466,44.078,19.0791,0.0
NOR_C16,3.583,15.1347,4.612,1.2122,10.3309,8.9854,0.5076,521.3729,55.1772,2.4753,10.3442,0.1941,1.9546,4.2123,3.5165,16.9795,2.8826,1.7165,12.469,1.7516,10.621,47.7098,8.7025,18.6462,1918.5791,95.708,4.833,9.997,3.2404,9.4081,0.4207,5.5315,3.6818,2.7578,2.939,2.2438,507.0405,10.6686,7.5615,6.2243,8.1956,16.2477,31.0044,9.821,0.0
NOR_C17_18,10.1294,52.279,4.0493,2.3216,9.0851,30.3782,0.9455,4.9196,436.1962,4.9966,34.1522,0.6793,8.3484,8.5298,5.064,2.4408,4.2999,1.1687,3.4789,0.3705,5.7272,8.575,6.1459,19.8456,40.4498,574.3953,9.5944,11.762,9.363,11.4159,16.4398,29.8766,698.8084,2.1992,38.3878,18.5061,64.6074,337.7692,104.7479,131.1993,39.8282,42.9875,65.9948,37.5092,0.0
NOR_C19,104.4795,130.4339,56.8945,46.7778,159.8507,82.8017,3.9267,15.5806,28.3315,712.0485,167.9848,11.2997,6.5409,112.7163,119.3805,24.2286,4.3178,18.4712,70.9854,3.4752,28.9576,24.8241,38.6505,88.3997,286.4884,495.4645,496.166,1117.4398,362.4544,230.756,14.0086,25.9789,32.9343,35.1637,19.387,6.066,86.0681,63.5778,58.5112,115.6042,46.3096,107.742,27.5591,21.612,0.0
NOR_C20,93.2728,23.027,61.0717,31.7149,110.6316,132.2859,6.4777,54.4858,174.1732,8.9824,1087.8179,1.742,190.262,40.1997,42.0697,41.6671,142.2791,29.9,97.2848,8.0898,81.6841,67.2841,6.883,34.9265,279.5751,377.5375,78.0301,108.4238,41.5803,39.2724,2.2913,24.4746,21.7743,24.3757,11.9749,13.2404,73.7378,78.802,99.2798,22.9414,54.7295,72.4568,37.8884,26.8663,0.0
NOR_C21,9.884,44.622,2.333,1.7937,2.2826,14.8578,1.4238,0.4204,0.7154,30.7931,11.3404,40.2697,0.4826,0.3847,5.1367,0.691,0.5883,0.3054,6.3375,0.0862,4.7736,1.0841,0.4624,5.0205,5.9186,6.3101,1.1005,1.5858,0.5592,3.0429,0.1681,4.2904,0.8505,1.419,1.1034,0.2774,1.5611,7.9768,3.3468,5.0747,3.0453,353.5327,0.7988,0.5889,0.0
NOR_C22,22.9278,21.3062,8.1613,2.7108,17.9768,39.1396,1.999,4.1353,15.5274,10.6423,20.31,2.0883,20.9042,3.4642,6.8098,13.7258,3.5775,3.272,21.878,1.4745,6.2094,26.9503,8.7024,61.9231,194.7208,139.8816,108.8971,11.8288,3.5458,10.775,0.4999,19.3972,12.7358,3.8093,7.5915,1.8204,45.432,31.4532,28.7912,16.1742,14.5711,29.734,6.8999,6.0054,0.0
NOR_C23,9.303,16.6198,26.1771,3.4484,45.0363,36.7523,1.1352,63.464,7.6588,3.6586,87.1669,0.7251,12.7629,281.6719,81.0713,38.6203,5.8613,3.1861,68.0537,6.7527,17.7752,13.8047,5.1855,9.027,1370.2103,91.4259,7.3543,15.8046,2.8504,356.5739,0.4816,40.3987,6.2378,3.9236,4.5451,3.3644,177.9289,17.0802,10.6762,40.5134,28.4529,26.7625,6.1777,3.2263,0.0
NOR_C24,0.0,6.101,12.1172,0.1263,28.8199,4.2253,7.222,19.4604,8.7524,0.1943,4.9786,0.0735,14.387,23.5802,2295.8001,251.7292,18.7083,296.822,119.3964,87.9761,79.5553,88.7556,0.0,20.4748,19.6127,37.0109,0.0,0.0,0.0021,241.4813,0.0,0.0833,1.5893,0.0,0.0639,0.0,0.1586,0.1176,2.4889,1.0431,0.6555,35.4144,0.9936,0.0,0.0
