V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_A01_02,8741.823,0.0889,13.8387,18.0313,2.4501,3992.7696,179.7597,20.6503,7.1896,1.008,10.7434,34.5827,6.446,11.5131,5.8714,0.2551,0.2268,0.3363,0.3029,0.3632,0.7391,3.8971,4.9967,1.3313,151.0054,152.5761,26.9522,0.746,3.1481,10.7311,5.0601,419.2454,1.0392,5.531,0.5439,24.4877,5541.7145,12.362,126.1291,1950.4668,275.7336,46.5918,8.2083,3.944,0.0
KAZ_A03,1.539,18.4734,0.007,0.0021,0.0003,20.5585,0.0054,0.0088,0.003,0.0083,0.0007,0.0004,0.0004,0.0004,0.003,0.0001,0.0,0.0001,0.0005,0.0001,0.0002,0.0004,0.0007,0.0912,0.0071,0.0112,0.0055,0.0259,0.0004,0.0038,0.0021,6.5893,0.0001,0.0005,0.0001,0.0005,0.0592,0.1265,1.7458,0.3796,14.1172,1.0561,7.5489,0.0001,0.0
KAZ_B05_06,2725.1154,0.023,21394.5091,1070.1656,259.611,21.9391,0.2746,0.3125,5.0906,5686.9548,155.1773,3.8543,72.1848,78.0396,1480.8169,4.0523,0.5771,0.4015,14.1127,0.3437,0.5547,105.2565,2393.6706,17.9088,336.0083,194.3059,2427.8329,0.2989,0.432,162.5829,7.4882,3.3655,0.4364,19.8362,0.3424,12.4661,44.3242,80.9498,5.9625,31.7483,135.2881,81.2356,7.3648,13.5398,0.0
KAZ_B07_08,8.9779,0.2929,723.9332,1322.6795,1.9747,7.274,0.2278,0.7481,0.1744,147.4522,256.5781,5.6192,0.7836,306.7491,6386.5471,4.8808,0.117,0.4642,0.4296,0.0757,0.2883,2.6337,9.9809,5.4763,467.1932,20.9443,34.8657,0.1273,9.7908,9.6704,0.3899,1.1642,0.168,4.5162,0.1186,3.2593,25.7202,25.9178,9.5566,6.2309,18.876,11.1074,2.6847,2.7475,0.0
KAZ_B09,0.0,0.0,3367.6178,2.0667,78.1241,0.0,0.0,0.0,0.0,0.0017,0.1127,0.0,0.0,2.3867,0.0001,0.0,0.0,0.0,1.1083,0.0,0.0,0.0075,0.8116,0.878,18.1247,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3298,0.6655,0.0,0.0,0.0,0.0,0.0,0.0
KAZ_C10T12,189.8648,0.9636,35.878,10.9245,2.5454,963.5921,12.2011,0.3203,2.7244,7.6401,66.7861,3.2391,1.3858,3.2818,25.6618,1.086,0.1953,0.5723,0.8092,0.257,0.7015,3.0253,5.7704,0.9952,29.8903,4026.9253,19.415,1.7067,14.5754,21.3298,1.1163,875.5278,1.6661,4.0213,0.8457,288.2249,236.4272,16.1469,159.9039,14.4865,1004.3535,146.3943,16.8946,6.2264,0.0
KAZ_C13T15,8.6925,1.5084,5.0346,6.0532,0.87,16.5514,66.681,0.066,1.4518,0.3815,0.957,0.0176,0.1031,2.7343,38.4725,0.1967,0.0981,0.0587,0.1418,0.0676,0.3209,18.9027,1.6104,1.2525,15.0008,15.5159,39.4805,4.8048,0.3524,2.0956,10.6128,28.0862,0.1129,2.8163,0.0692,3.666,0.588,4.9647,65.8394,5.0663,13.1466,18.5466,41.9542,4.0264,0.0
KAZ_C16,3.3771,0.0939,8.687,0.9802,0.0453,0.4313,0.0233,5.9357,10.1669,0.082,0.0295,0.0075,0.0383,1.3623,1.2653,0.2518,0.0056,0.0504,0.0759,0.0377,0.1838,19.2748,1.2406,0.0893,55.1141,10.6268,14.7352,0.0061,0.0153,1.587,0.1387,1.7254,0.0464,0.5302,0.0219,0.8409,0.3891,0.7831,0.3046,0.5336,0.8461,0.4148,0.2338,1.9528,0.0
KAZ_C17_18,10.67,0.0223,16.0578,3.99,0.89,41.1226,0.1557,0.0496,44.1228,2.8283,1.6073,0.5019,0.518,2.9565,10.446,0.5229,0.1706,0.2865,0.3184,0.1569,0.2607,2.0648,2.1743,0.9248,9.5365,352.2792,10.4878,0.1378,0.6591,1.4787,6.1318,10.8534,27.0039,2.7547,9.9889,5.7063,2.9558,84.3025,6.527,5.4481,26.1212,21.1239,1.9884,1.3236,0.0
KAZ_C19,787.379,3.4843,974.2905,327.52,111.6501,41.6907,1.3077,2.8245,13.3709,642.4366,135.5983,7.8185,11.7397,199.1781,1057.0626,1.4436,0.4185,1.2723,3.6538,3.1444,5.5084,15.519,54.2705,34.9232,420.8524,518.9948,1237.8494,38.8142,544.2057,27.2141,21.5378,37.6089,13.6331,21.1381,11.2735,79.4757,4.6282,121.3302,66.784,437.8417,78.3301,209.4157,13.4534,39.1447,0.0
