V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,437.2444,0.2467,1.3188,2.0047,0.0643,365.4271,6.7531,203.2167,136.6841,6.424,24.8972,1.3917,46.0709,8.4638,11.4552,6.3258,9.9164,3.1333,6.1733,15.0882,0.6623,6.9285,33.7014,3.2841,36.3831,91.1634,10.6364,0.0962,0.1496,9.6335,0.2962,8.8695,1.2093,1.2376,3.9286,1.3131,7.8895,14.5595,16.4986,6.3011,4.7355,6.8042,1.4298,4.7528,0.0
SVK_A03,0.0061,0.0005,0.099,0.1892,0.0,0.8786,0.0118,0.0014,0.0029,0.0051,0.0045,0.0004,0.0046,0.0083,0.0058,0.0052,0.0116,0.0037,0.0036,0.0093,0.0006,0.003,0.0119,0.0694,0.0076,0.0721,0.0061,0.0,0.0001,0.0041,0.0001,0.004,0.0014,0.0016,0.0043,0.0023,0.0013,0.0033,0.0035,0.0079,0.0107,0.0152,0.0024,0.0977,0.0
SVK_B05_06,0.6355,0.0012,1.1383,0.5734,0.0097,0.48,0.073,0.3267,0.1846,12.0135,0.2337,0.0253,0.2223,2.7387,24.9913,0.229,0.5074,0.1914,0.2038,0.7592,0.0216,0.3524,52.6049,0.2865,5.6572,1.1812,0.5826,0.0032,0.0126,1.1439,0.0389,0.0627,0.056,0.0909,0.0468,0.4128,1.9774,0.4649,0.3123,0.2295,0.3216,0.1683,0.1152,0.1873,0.0
SVK_B07_08,1.8758,0.0011,0.3253,2.219,0.1317,0.5117,0.0544,0.5234,0.3253,16.9118,0.6646,0.1973,0.3948,22.6998,49.1108,0.2379,0.2831,0.1745,0.1536,0.3492,0.012,0.0968,31.982,0.7405,22.7315,1.1727,0.4036,0.002,0.0018,1.2828,0.0163,0.0553,0.0478,0.0258,0.0195,0.0344,7.1492,0.7578,0.6977,0.2689,0.5236,0.1273,0.034,0.3303,0.0
SVK_B09,6.7892,0.003,11.5792,6.8418,44.9743,0.7142,0.0042,1.6227,0.478,77.9358,0.0806,0.0021,0.3893,7.1114,11.1293,0.0886,0.0226,0.0014,0.0655,0.0216,0.0059,0.0477,59.5509,1.9336,14.3534,1.2888,0.4049,0.0,0.0,3.0666,0.1256,0.0288,0.0152,0.0,0.0008,0.004,31.8604,3.1783,0.4567,0.5888,1.7454,0.3521,0.0285,0.2416,0.0
SVK_C10T12,41.194,0.1399,0.0063,0.0089,0.0088,352.1202,0.2372,0.043,2.287,0.0137,5.8431,3.7946,0.238,0.0631,0.0486,0.0491,0.0634,0.0055,0.1892,0.012,0.0035,0.0817,0.2169,0.2995,0.3834,25.1124,0.5728,0.0851,0.0596,0.1283,0.0303,63.9375,1.1715,0.0289,0.0248,0.0321,0.5142,2.6386,4.4166,1.9063,14.8436,30.6084,0.9406,3.4924,0.0
SVK_C13T15,0.6865,0.0013,0.0348,0.0658,0.0198,1.9789,85.9259,0.2718,4.4369,0.7681,0.4166,0.1805,4.5464,0.8526,1.845,10.5534,1.8767,2.0445,5.7943,56.9371,0.4437,5.1952,2.0675,0.6156,3.2002,12.0842,0.8837,0.008,0.0378,1.5614,0.0456,0.5781,0.3923,0.3332,0.1827,2.8826,0.3697,1.0205,4.2981,4.6805,1.7162,2.8079,1.3056,0.9396,0.0
SVK_C16,18.1614,0.0179,0.6398,0.8867,0.0298,5.1815,1.6367,133.8781,16.9869,1.2004,3.1602,0.3437,5.1467,19.4552,5.1389,8.8803,3.6256,6.8279,10.735,8.9072,6.2961,174.7368,10.5424,0.762,130.5363,54.0245,1.575,0.0137,0.0456,5.519,0.1532,6.1948,0.3318,0.2834,0.4497,0.2459,2.8719,16.7939,38.1824,1.382,1.4356,5.2835,8.2981,3.1103,0.0
SVK_C17_18,3.3558,0.0109,0.0586,0.1623,0.0324,49.8296,5.5036,2.2643,173.2074,0.7708,5.6521,5.5496,10.2036,6.968,3.9521,3.7384,18.949,4.8565,6.5503,11.4509,0.1932,4.0283,19.9102,0.9638,2.257,51.9607,3.9311,0.028,0.097,1.8394,3.3793,1.9255,48.4156,2.9983,7.1154,6.5779,2.1159,21.4966,24.8584,20.7825,11.7848,10.5997,4.447,7.4965,0.0
SVK_C19,108.7625,0.1799,1.3155,3.6708,0.848,37.5297,8.5917,15.3387,12.8677,342.4415,336.5623,2.2091,30.1451,24.1051,70.0183,14.1837,6.2613,5.6248,14.509,70.561,1.2303,14.2774,126.7931,23.4908,60.3003,189.677,352.2108,3.9965,13.1901,25.6291,5.165,8.4729,7.0495,5.2984,6.9025,2.9146,3.9627,22.9615,30.1297,12.6096,9.3797,21.6666,5.3113,8.6366,0.0
