V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_A01_02,76.8391,0.0484,0.0012,0.0084,0.0001,349.2299,0.0101,0.0512,0.0304,0.0013,1.7712,0.0811,0.0391,0.0339,0.0105,0.0245,0.0038,0.0024,0.0077,0.0062,0.0004,0.0617,0.1279,0.1654,9.2653,0.9698,0.0094,0.0005,0.0105,0.3704,0.0104,29.8729,0.2901,0.3295,0.0039,0.3636,2.2243,1.0726,0.2087,5.3357,0.2801,4.0593,0.7463,0.2297,0.0
CYP_A03,0.0,0.5231,0.0,0.0,0.0,11.4516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0943,0.0535,0.0716,0.0,0.0,0.0,0.0,0.0,0.5283,0.0004,1.5807,0.0394,0.0142,0.0
CYP_B05_06,0.0033,0.0,0.0044,0.0136,0.0001,0.0073,0.0,0.0,0.0,0.002,0.0384,0.029,0.0,0.8929,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6464,0.0,1.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0
CYP_B07_08,0.0966,0.0,0.031,0.5657,0.0016,0.1137,0.0,0.0,0.0,0.0556,1.1428,0.8583,0.0,20.8702,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4035,0.0,0.0,0.8478,0.0,0.0,0.0,0.0,0.0
CYP_B09,0.0027,0.0001,0.0086,0.0204,0.0002,0.001,0.0,0.0002,0.0007,0.0005,0.001,0.0001,0.0002,0.0205,0.0032,0.0018,0.0,0.0,0.0001,0.0,0.0,0.0001,0.3248,0.0015,0.0969,0.0013,0.0007,0.0013,0.0,0.0069,0.0,0.0008,0.0001,0.0,0.0,0.0001,0.0022,0.0006,0.0004,0.0038,0.0003,0.0004,0.0003,0.0002,0.0
CYP_C10T12,82.4635,0.0804,0.0011,0.0084,0.0001,159.1015,0.121,0.0122,0.0333,0.0002,1.4704,1.2027,0.0085,0.0131,0.0022,0.0253,0.0022,0.049,0.0035,0.0045,0.0068,0.5872,0.1368,0.0187,0.3184,2.2244,0.2132,1.7126,0.0355,0.1832,0.0229,221.6768,1.6751,1.6679,0.0768,0.652,1.5464,0.5115,0.068,7.8469,2.6783,35.3133,6.2108,1.1624,0.0
CYP_C13T15,0.0995,0.0039,0.0006,0.0051,0.0,0.5643,2.3848,0.1989,0.2653,0.0007,0.0104,0.0266,0.0132,0.0664,0.0042,0.173,0.0259,0.0245,0.0078,0.0393,0.0003,0.3576,0.1927,0.1155,0.8735,0.9985,0.0105,0.003,0.0314,0.1261,0.0016,1.9309,0.118,0.0429,0.0042,0.1238,0.1926,0.0787,0.0502,0.4094,0.0375,1.3881,0.1307,0.1894,0.0
CYP_C16,0.5218,0.0058,0.002,0.0191,0.0,15.9043,0.121,42.8976,0.0201,0.0008,0.5147,0.0075,0.0158,0.5599,0.018,0.5205,0.0685,0.0353,0.0493,0.2412,0.058,4.1583,1.9735,0.0115,77.9351,9.6302,0.0069,0.3834,0.1378,9.6558,0.0107,9.9705,2.0349,0.2416,0.0323,0.2875,8.9579,1.1948,0.1356,5.1613,0.12,0.998,1.1973,0.0227,0.0
CYP_C17_18,0.6956,1.1973,0.0105,0.098,0.0001,7.2599,0.1537,0.2421,19.3542,0.0021,0.3537,7.5642,3.6401,0.6987,0.0812,0.4219,0.1045,0.2374,0.1871,0.3148,0.0038,0.5157,1.8562,2.2311,3.4435,24.8254,0.2192,1.3351,0.3456,1.7572,2.7421,2.4332,20.0265,2.3795,2.2323,11.9619,4.6135,13.7702,2.0107,6.2232,3.9808,2.2077,4.8784,2.57,0.0
CYP_C19,0.0222,0.0005,0.0003,0.0037,0.0,0.0133,0.0003,0.0005,0.0019,0.0001,0.0054,0.0065,0.0026,0.025,0.0001,0.0054,0.0007,0.0002,0.0002,0.0002,0.0,0.0006,1.4229,0.0054,0.0159,0.0291,0.0138,0.0022,0.0032,0.0074,0.0028,0.0061,0.0024,0.0008,0.0006,0.0139,0.0023,0.0077,0.0019,0.0114,0.0022,0.0121,0.0026,0.0039,0.0
