V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_A01_02,52874.5106,8.6677,71.5593,46.5618,34.3376,146464.389,1829.1004,6670.233,2967.772,10.3898,6409.3797,79.6977,1506.6774,1.7497,0.9404,1.2459,0.4175,0.1288,0.8031,0.5416,0.3382,523.1162,4.8106,0.5525,1899.1765,2304.0528,19.7343,26.5248,0.0798,2.2197,0.1334,439.8512,91.8373,5.0459,6.5676,15.9739,64.786,462.6341,708.8458,3789.3748,301.7201,7.35,342.6565,41.9174,0.0
USA_A03,6.416,29.5663,0.0392,0.018,0.027,1220.3913,0.0018,0.0033,0.0156,0.0798,5.0642,0.0047,0.0079,0.0068,0.0152,0.0125,0.0056,0.0024,0.0083,0.0068,0.0052,0.0058,0.0988,0.0021,0.0037,103.3614,0.0493,0.4656,0.0013,0.0187,0.0038,706.8927,0.0029,0.0368,0.0023,0.0906,1.6419,11.1452,0.0077,88.3944,16.5967,0.031,25.7299,19.7486,0.0
USA_B05_06,1162.1529,9.7609,23626.4178,478.6193,490.0613,1655.3947,91.4538,51.5541,1325.5771,169764.5544,3614.4277,49.4178,169.3366,1504.5934,4961.4499,67.364,19.9112,58.769,88.0327,61.1515,26.2401,51.9881,33492.8185,57.2343,1537.5841,418.5031,1440.1872,142.2376,1100.8601,91.4386,274.9671,565.6688,24.3026,35.3945,54.8751,536.3617,626.4914,312.6367,218.9662,23411.5805,1619.4103,284.5709,63.2708,161.6516,0.0
USA_B07_08,1103.5924,0.0401,662.938,2030.212,102.1474,164.4476,38.9302,10.6237,304.9294,58.3162,4538.3574,40.3821,197.7894,4890.2192,15428.4084,547.53,34.4513,117.5955,121.416,66.3092,68.8253,267.3558,137.0369,82.9098,8557.7615,52.8226,93.6392,0.4427,1.1416,9.4081,1.9579,93.9822,84.5949,116.0568,83.4498,24.6026,434.3647,694.5507,317.6182,1379.5771,251.497,92.9102,738.2858,529.2121,0.0
USA_B09,16.1289,0.0796,6141.1591,779.6183,1001.6441,42.2214,3.322,5.2126,16.1832,207.0414,32.5265,4.0057,13.5803,14.6576,20.5573,53.1957,15.5889,12.4716,35.2128,80.8674,13.8509,14.8679,46.8528,3.0802,847.2493,42.5579,14.1578,2.555,1.6785,4.874,2.7062,14.8515,5.0924,17.5627,6.0294,23.1526,318.6861,57.4193,11.0757,258.9428,26.1061,18.7549,3.3039,16.1591,0.0
USA_C10T12,26011.4943,0.2827,42.7995,12.4014,13.3708,116065.7754,754.6719,62.9649,1815.0846,210.1023,2202.1104,978.9266,306.1211,169.2972,85.3206,100.7251,74.4851,44.3571,115.1333,141.3461,45.3859,96.1223,39.5613,9.8031,321.4733,5256.9465,35.0376,168.7649,268.0314,10.6611,8.6765,35964.1432,76.7663,51.4643,27.0787,21.0727,66.5744,1633.3203,84.3793,22823.7798,14530.3903,11772.7203,2734.1524,1171.1157,0.0
USA_C13T15,317.353,11.4768,44.6761,11.8575,11.8486,211.5074,4855.0112,235.3695,1552.6956,56.7426,1020.0896,73.1371,1176.8609,207.6513,42.4732,135.2827,48.5647,31.4416,444.0484,1480.942,327.3726,1861.1247,19.7019,50.2086,1058.8846,2642.4093,21.4624,101.1484,5.1717,14.6151,27.1663,849.5689,85.7764,148.3033,28.3769,26.7144,90.2149,214.7012,212.9003,1898.2854,364.9548,1758.2776,154.9355,591.8083,0.0
USA_C16,203.5644,24.7317,38.5847,9.2714,66.5531,240.8344,36.2956,10429.1685,3004.0589,4.6465,186.5049,12.5161,690.9476,232.2319,250.3058,399.5316,89.5914,127.714,503.579,1491.0825,180.8156,3926.2786,5.1533,8.7355,23212.2917,2048.1311,894.4964,0.6323,1.63,77.8398,28.3508,673.3389,212.0541,392.2343,543.9949,60.1326,1912.8724,315.2249,396.9471,786.783,1244.8498,963.1683,81.4948,210.0085,0.0
USA_C17_18,367.0621,0.1823,132.1038,103.0809,72.3599,18937.5764,534.8713,401.1894,40802.0544,77.8731,4404.3026,1332.8179,2954.4558,1323.9914,1501.4284,1794.1379,844.6729,777.5418,1767.0162,1767.2851,493.7633,2462.7728,197.9504,207.8047,2143.7287,19245.8096,865.9591,160.1136,79.7959,1245.0942,778.5251,5495.7906,8796.136,1729.4552,3793.2659,6605.7873,937.3445,11414.834,5690.7413,14641.681,9089.5163,8644.864,1515.6265,2533.6372,0.0
USA_C19,8907.3693,184.6502,4978.6855,2233.6267,2231.2415,3124.3226,665.1331,851.7158,3533.5222,9583.1191,19511.1694,904.693,3248.3505,6144.784,2761.7534,1240.0967,441.869,1065.6534,1399.9774,759.6076,314.0399,1146.5526,19248.2326,1040.347,24236.7601,6600.5755,26443.3747,2694.3746,20898.2925,1591.1243,5203.4763,3486.4369,421.7239,434.9323,991.4273,9579.0187,2535.6787,3198.1768,4246.253,75945.5508,25775.948,4330.4662,887.5258,2366.4071,0.0
