V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T
IND_C30,99.8644,42.7395,71.4802,49.3856,16.6747,42.7128,13.9067,15.1957,39.5753,103.3298,15.4672,5.396,78.9974,14.1484,142.0119,43.2611,72.2422,84.945,378.049,294.911,4219.516,45.865,11.5497,11.4953,144.9522,236.6871,210.7661,344.2509,10.657,38.3658,1.6534,5.1997,15.0384,32.9465,2.9264,7.3426,10.5349,2.0684,15.174,286.5049,3.6365,1.3001,13.592,34.641,0.0
IND_C31T33,832.157,79.5267,303.7603,167.5348,49.7083,119.883,169.8151,331.2835,317.9457,369.7756,199.1261,69.269,138.1607,215.2268,1076.6941,396.8845,181.46,265.5868,519.5684,400.5162,136.7494,3744.9174,413.4953,42.345,2269.2398,568.4219,519.9469,27.5723,111.1405,111.2943,9.2837,23.5416,60.463,220.9839,54.083,169.3298,134.0623,22.4701,203.1032,139.399,64.3428,71.7728,55.1733,234.7383,0.0
IND_D,2914.3255,0.0,788.0639,1191.8073,164.2168,249.6169,1065.2022,42.2455,708.7112,2220.7275,780.1681,212.014,477.7449,1473.5605,7032.3398,511.677,1603.3476,2933.7898,3395.3357,4446.8453,836.9136,856.4361,1070.4974,311.0513,7262.8939,5073.0872,4525.0504,395.1834,1562.4687,1779.5911,154.6396,2066.6133,462.4262,6043.9378,970.2704,6126.5963,1514.6816,156.2777,703.8207,1936.967,732.802,268.4303,629.6676,2455.8549,0.0
IND_E,127.3755,16.2531,130.8821,22.6515,15.1621,2.5505,1.2439,0.0,0.0081,0.0,1.7662,0.0001,0.0017,15.2874,17.0315,7.9015,0.0,0.0819,0.0,0.0,0.0,0.0,2452.61,72.6636,890.6601,386.6768,1740.9447,110.4375,480.0327,591.3449,2.7545,256.346,75.4731,56.679,188.4349,799.7377,328.4006,31.7773,185.5744,1748.5694,178.1821,48.4467,109.6923,546.503,0.0
IND_F,2233.2752,0.0,426.5345,149.8751,120.5816,95.0906,115.5532,1.0271,1744.8841,3960.9874,346.3686,128.3603,941.598,3005.0964,4315.8136,712.1411,62.9023,1456.1284,543.0405,779.3046,290.5797,22.7946,5580.9821,339.8878,49067.8306,9293.0464,1874.2759,50.0176,356.9773,949.8162,94.2259,59.5882,91.0767,3064.9746,2068.647,1509.5874,20183.8935,403.3622,1814.4395,5514.3427,743.4633,194.3797,1111.235,4474.0533,0.0
IND_G,13340.6428,589.2485,1398.5627,456.0278,337.1239,17971.3427,11863.3749,743.3213,1294.1105,5711.9134,5047.6258,1864.889,2068.2643,2564.2543,8875.7869,1942.8967,779.0596,1566.492,2352.3418,4293.0335,1177.621,1723.2036,3121.7105,216.3578,17051.4227,6865.8578,6044.8142,132.7565,362.1659,1104.471,76.7075,4126.7251,488.986,936.8982,164.3714,923.6397,754.4748,166.6671,1937.4614,2991.6626,1351.7738,1161.6794,200.9676,1216.9426,0.0
IND_H49,7831.5833,172.3917,1109.3091,581.3406,315.6231,5536.3735,2744.6089,359.9165,429.0701,3011.9739,1407.6916,475.7449,615.9351,2830.9011,7602.5988,1467.055,365.0758,573.212,1142.3641,1416.422,347.6127,675.5096,1227.9482,1095.0529,11813.2578,9573.2358,1076.6239,30.7598,87.3814,592.8198,66.5503,1006.0836,382.7476,598.5858,667.6201,366.9038,557.1753,73.6362,516.6047,2240.0797,282.6759,127.3214,120.4889,694.9709,0.0
IND_H50,92.4726,3.4168,27.9975,8.9329,0.0075,92.5305,68.6279,9.0403,22.9858,925.3225,110.0909,28.0989,30.6949,50.9267,222.8004,47.7269,24.7662,42.7553,75.0537,78.7193,20.8341,43.2719,66.705,3.8103,0.0111,0.0276,43.3511,1.3239,2.8474,0.5412,0.3176,21.0286,6.328,7.6442,1.7115,8.547,0.0134,0.0501,0.0383,0.008,0.0087,0.8289,0.0218,0.037,0.0
IND_H51,131.5481,4.9933,110.9321,53.5343,8.7173,109.9886,103.0083,14.5775,41.1314,1838.1898,203.9885,50.8106,53.8163,79.062,364.6288,79.5178,46.864,79.2785,137.195,139.7693,37.2957,79.342,123.4031,45.2952,555.9941,222.9957,88.068,3.0046,10.52,71.5836,4.1025,32.5664,18.4447,47.3559,2.946,354.368,20.857,16.8348,105.7858,751.7982,286.9992,46.5649,10.8853,60.6795,0.0
IND_H52,1179.4818,40.2293,418.881,78.7563,90.6948,1630.5164,751.8065,77.7183,113.4075,846.2978,399.6617,128.3237,174.222,501.8196,2100.059,357.4942,70.0254,154.0534,310.7893,410.6867,102.4448,174.2129,374.9654,22.943,3397.296,2515.5218,383.6077,12.555,976.3258,392.1756,7.0312,321.8383,53.0894,84.3989,28.4814,260.724,79.7962,21.4098,170.6407,747.0711,45.4258,36.2702,43.6979,254.9236,0.0
IND_H53,23.7663,0.0,20.0123,9.6327,8.6749,7.3453,4.0456,1.0648,1.0221,0.0851,0.7891,1.685,4.8486,12.5445,1.8298,4.9775,1.8331,0.9347,3.2215,1.1217,0.2281,1.4118,616.2334,80.7691,428.4864,201.3045,735.6538,16.8042,60.7812,320.1,127.9158,13.7725,19.3902,941.5772,115.6412,234.3517,58.5651,39.835,164.8919,0.0,59.3506,6.5875,7.4996,44.6651,0.0
IND_I,228.0848,0.0,875.7354,59.8329,41.4079,0.0,0.0,0.0,0.4489,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.1646,0.0,0.0,0.0,1682.9682,134.4237,5854.5435,6562.3694,2241.5127,77.6738,276.9904,456.8374,38.5115,32.4831,42.2409,976.7508,567.1062,4722.1054,448.2096,105.7029,606.3652,296.0136,210.1198,36.6575,90.9731,476.4644,0.0
IND_J58T60,131.9398,3.2496,22.8471,37.6185,6.1502,0.277,2.3436,0.2566,19.7477,0.0409,2.7644,17.303,0.241,1.1307,0.9406,1.3072,0.3983,0.3199,7.0601,0.2965,0.0651,0.4979,282.7156,6.4775,33.6385,134.234,263.3074,55.7623,136.7578,131.4446,1.0471,56.2866,266.3667,71.1658,104.1107,110.2776,30.0342,14.7767,42.9051,17.5289,69.9204,26.1473,22.7659,55.155,0.0
IND_J61,208.1595,0.0,279.6935,80.093,28.8721,57.0088,31.6616,8.6119,7.0761,0.6419,5.2307,11.363,38.7603,101.777,13.5269,39.0913,12.6522,6.4259,24.754,8.4825,1.8856,12.3039,3726.4841,568.5896,4643.863,1320.979,8084.2017,165.4162,685.9251,2592.6084,28.8187,163.6067,240.9888,6598.7484,1871.1272,1590.6973,513.4925,374.3316,1503.6374,0.0,487.3464,64.8614,76.1441,356.8274,0.0
IND_J62_63,0.581,0.0,0.1455,0.2406,67.2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9683,2.6088,522.8154,159.7117,12.378,0.4062,3.327,5.1619,1.1339,150.3413,26.4199,58.5492,5493.6274,284.0596,104.7923,51.6918,177.3202,140.872,32.3141,10.5347,18.0001,68.4004,0.0
IND_K,6406.1155,36.8296,202.9787,368.7432,165.2263,513.5539,614.9357,54.1247,308.0498,6799.4646,653.1561,508.5569,316.5403,665.9614,2289.7598,1904.688,285.0002,462.0288,794.8694,387.7849,94.4234,148.2011,2633.2962,1278.3392,8858.5687,12772.8468,4604.0782,48.3046,680.3147,1288.6922,77.1703,1189.6985,1435.0881,2964.9715,8299.2952,16135.5439,3684.235,1156.5898,5982.2766,1596.2146,5550.0787,1456.6501,248.2589,1368.8876,0.0
IND_L,0.6676,0.0,509.6109,0.0,21.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11213.2327,486.2671,2922.6047,5.289,0.0,2.0333,23.5367,182.3004,0.0,971.1833,0.0,0.0,103.7516,3.0856,12.3452,0.0,653.2872,0.0,4.1194,17.6653,0.0
IND_M,14.3546,0.0,5.1378,1.4855,26.8133,3.4528,4.3035,1.5208,2.3392,67.0259,4.1223,0.6904,19.6426,3.9183,53.2777,10.9154,47.105,19.334,68.391,15.6244,2.4757,0.9535,102.6538,11.2624,41.1317,13.1714,36.3078,3.7738,15.5156,11.2355,0.9826,0.9586,34.3279,47.9743,116.3333,45.481,14.6877,41.3855,46.356,70.2352,83.0349,8.5625,1.2417,6.456,0.0
IND_N,323.3186,0.0,786.4781,319.9998,427.9689,80.5314,120.9994,7.9884,50.4399,485.775,119.6041,31.933,657.9979,125.9296,532.6368,116.7984,51.6987,105.5466,139.0877,107.2972,24.1474,54.2446,3907.926,363.6338,370.7013,368.0556,1911.0353,156.47,437.1628,607.1756,75.3271,10.4543,1024.8616,2377.7249,3938.4271,1918.7678,2240.5945,359.6595,2712.1938,610.69,4382.8652,302.2833,37.3902,121.4106,0.0
IND_O,0.0,0.0,0.0,0.0,35.8653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_P,64.9807,0.0,3.5614,3.4877,9.3732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1171,0.2346,24.8742,403.6509,25.487,37.036,133.3491,137.7354,3.3896,1.9762,15.8163,96.306,155.7425,422.2165,41.8833,51.6446,174.5424,0.0,863.5466,20.6535,8.3277,49.1312,0.0
IND_Q,0.1003,0.0,3.0576,0.0,5.5783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.839,0.0,0.0,58.8545,0.0,0.0,0.0,0.0,0.0,197.5926,1.454,0.0,0.0
IND_R,34.4029,2.4419,12.4105,21.9034,0.7346,0.0,0.0534,0.0,0.0421,0.0,0.4359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0505,0.0,0.0,0.0001,19.0842,1.1112,19.6645,49.9471,35.5815,27.3636,13.9121,32.4624,0.5548,45.0668,13.6287,16.8341,22.7778,31.5032,8.9999,4.025,20.5187,0.8191,25.8274,12.4158,20.0299,13.3162,0.0
IND_S,0.9735,0.0,0.2659,0.2377,35.7436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.147,0.0,0.0,0.0,15.6511,0.4065,39.8188,1.7619,14.4448,1.5921,5.6436,12.8676,0.1144,5.6729,73.3595,2.6096,1.5395,6.469,4.8071,10.1235,37.7669,0.0,5.5222,0.4209,13.0823,96.9432,0.0
IND_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
