V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_A01_02,4.495,0.78,0.0033,0.0045,0.0023,54.2032,0.0907,0.0016,0.0135,0.0003,0.0192,0.0233,0.0183,0.0231,0.0004,0.0501,0.37,0.0098,0.0205,0.0013,0.0047,0.4351,0.0143,0.0758,0.5506,0.9166,0.152,0.0335,0.1184,1.6025,0.0512,19.0651,0.0107,0.0241,0.2499,1.5424,0.1883,0.163,2.0165,0.0947,0.3553,0.0286,1.1968,0.0626,0.0
MLT_A03,0.0378,9.3732,0.0084,0.0172,0.0114,0.0407,0.001,0.3033,0.0294,0.0051,0.0345,0.3636,0.0473,0.0128,0.0015,0.0201,0.031,0.022,0.0387,0.0066,0.0178,0.9169,0.0041,0.0185,0.421,0.3593,0.0394,0.0975,0.0064,0.105,0.0032,6.9186,0.0064,0.0058,0.1356,8.6843,0.1278,0.3356,0.0604,0.1064,0.0693,0.1007,0.1516,0.0146,0.0
MLT_B05_06,0.0,0.0058,0.0,0.0014,0.016,0.1499,0.0011,0.0,0.0004,0.0,0.0318,0.0001,0.0,0.0,0.0029,0.0,0.0,0.0001,0.0,0.0,0.0,0.0259,8.1418,0.0,0.0,0.0249,0.0,0.3519,0.0002,0.0091,0.0,0.011,0.0013,0.0077,0.0,0.1301,0.0031,0.3017,0.0203,0.0252,0.0276,0.0761,0.1354,0.0,0.0
MLT_B07_08,0.058,0.0121,0.0572,1.3698,1.0189,0.1494,0.0019,0.0007,0.0297,0.0001,0.0281,0.0233,0.0201,20.4525,0.0042,0.1282,1.3809,0.0137,0.0092,0.001,0.1036,0.0482,0.0943,0.2384,28.3928,0.2417,1.1064,0.2226,0.0474,0.3089,0.0072,0.2166,0.0084,0.0078,0.014,0.3071,0.5503,0.4964,0.1043,0.2901,0.1549,0.1651,0.1826,0.0642,0.0
MLT_B09,0.202,0.1863,4.9094,2.7095,2.6489,0.0913,0.0038,0.0082,0.1491,0.0843,0.1631,0.0818,0.0982,2.3681,0.1318,0.3282,0.0305,0.0115,0.0304,0.0003,0.0021,0.0367,21.0754,0.3485,13.9661,0.1755,0.323,0.1068,0.0044,1.1404,0.0142,0.1476,0.0012,0.0,0.0201,0.1556,0.231,0.2767,0.1306,0.3375,0.0462,0.0578,0.7289,0.0218,0.0
MLT_C10T12,11.163,7.224,1.1473,0.9263,0.0022,46.5976,0.0057,0.0042,0.006,0.0,0.4475,0.2405,0.0,0.6446,0.0,0.0285,0.0002,0.0029,0.0,0.0,0.0,0.0299,0.0,0.0,0.3868,0.4501,0.2687,2.0216,0.4022,0.308,0.0,89.7608,0.1601,0.0046,0.0,0.9133,0.0327,0.0703,0.0756,0.2024,0.0301,0.0584,0.1078,0.0378,0.0
MLT_C13T15,0.0187,0.0674,0.0001,0.001,0.0053,0.0664,0.9671,0.286,0.0898,0.001,0.0161,0.0543,0.0774,0.0074,0.0,0.0091,0.0088,0.0078,0.0191,0.0075,0.0108,0.3038,0.4951,0.0568,0.8,0.1479,0.095,0.1529,0.096,0.0629,0.0565,0.5964,0.0123,0.0096,0.0174,0.5992,0.0757,0.1437,0.2588,0.4895,0.3974,0.1599,0.23,0.3802,0.0
MLT_C16,0.1132,0.0099,0.0534,0.1037,0.0051,0.1378,0.004,1.8902,0.1573,0.0326,0.013,0.0395,0.0162,0.0415,0.0092,0.0265,0.1263,0.0243,0.112,0.0414,0.0914,5.597,0.0081,0.1163,2.1817,0.6828,0.1071,0.5038,0.013,0.5871,0.0098,0.406,0.0238,0.0118,0.0559,0.4191,0.722,0.199,0.1618,0.4886,0.1191,0.233,0.3178,0.0701,0.0
MLT_C17_18,0.0781,0.0523,0.0256,0.0327,0.005,0.9754,0.0895,0.0202,8.7087,0.0007,0.0658,0.5538,0.2577,0.0353,0.0024,0.0684,0.4106,0.0848,0.0436,0.0216,0.3081,0.9504,0.3351,0.0874,0.744,4.267,0.3794,0.3243,0.317,0.605,1.2224,1.7695,1.043,0.3794,2.2214,17.448,0.3835,12.308,0.8084,1.0494,0.9015,0.488,2.2966,0.1087,0.0
MLT_C19,0.008,0.0047,0.0006,0.0013,0.0003,0.0046,0.0003,0.0001,0.0006,0.0,0.0007,0.0012,0.0002,0.0049,0.0,0.0014,0.0108,0.0004,0.0,0.0,0.0002,0.0015,0.4072,0.0028,0.0303,0.0281,0.0417,0.0167,0.0634,0.038,0.0074,0.0054,0.0003,0.0003,0.0006,0.0039,0.0006,0.0054,0.0051,0.0027,0.0003,0.0034,0.0015,0.0007,0.0
