V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_A01_02,800.225,0.6155,0,1.4429,0.0217,3197.1711,51.0668,434.7731,481.1379,8.4313,97.1358,3.6112,65.6356,4.2043,1.2952,5.387,1.7367,2.4886,2.9568,11.1912,0.3329,9.9809,8.6996,6.5662,49.5586,86.743,6.0132,0.5678,3.5329,4.9889,0.496,208.9281,6.4133,5.7634,4.08,4.8665,5.4858,26.3319,37.1611,32.5312,4.9343,59.5686,3.8491,22.6075,0.0
PRT_A03,0.5724,16.3561,0,0.0725,0.0016,22.0485,0.8391,0.2453,0.4496,0.445,0.6047,0.4009,0.3099,0.3713,0.1348,0.5089,0.1543,0.2217,0.2284,0.3152,0.0243,0.5946,2.0467,0.642,1.5456,3.8497,0.4671,0.0356,0.2932,0.3111,0.0379,41.5082,0.3465,0.4081,0.3496,0.3203,0.2431,1.175,0.8641,1.25,0.2759,1.8551,0.2195,0.2439,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.5577,0.026,0,118.7569,1.8681,13.701,0.4613,0.4102,2.6237,2.2942,23.7401,0.1976,0.2187,495.9677,9.4687,21.0498,0.1136,2.6854,0.8652,2.1014,0.0271,0.6557,1.5592,6.0057,195.6311,9.0381,1.1262,0.0474,0.2629,3.2208,0.0504,1.5681,0.3276,0.2644,0.3094,0.2033,1.3972,2.1657,1.5722,6.2004,0.835,0.8163,0.7328,0.2317,0.0
PRT_B09,0.0924,0.0135,0,1.6503,0.062,0.0511,0.0077,0.0163,0.1615,5.812,0.1986,0.0032,0.0259,0.71,0.5653,0.1486,0.001,0.0034,0.0194,0.0034,0.0004,0.0111,2.88,0.1057,4.8345,0.0601,0.087,0.0024,0.0005,0.1453,0.0015,0.0374,0.0025,0.0,0.0013,0.0029,0.1018,0.0428,0.0551,0.1482,0.0181,0.027,0.009,0.0104,0.0
PRT_C10T12,783.3487,7.375,0,1.9673,0.0661,2157.1862,54.5125,1.7324,14.3838,0.6273,91.2667,13.1752,1.815,2.4401,0.9825,5.0848,1.5927,1.3439,1.7059,2.1749,0.1567,5.5204,1.494,3.5279,23.0957,206.2351,4.5974,0.6439,1.6897,2.7874,0.278,1973.3374,8.3351,1.1505,2.2238,1.6081,11.6585,19.8578,9.9387,26.7987,8.3501,289.5138,4.4108,2.0432,0.0
PRT_C13T15,15.7631,2.8028,0,2.3823,0.0556,7.0027,2244.0972,2.0444,6.8915,0.8007,6.844,8.3299,28.7613,6.6752,0.4861,9.8475,0.647,1.5293,1.688,146.2574,1.7522,102.9549,2.0739,1.1246,30.0828,44.8369,1.7384,0.1319,1.0924,1.6032,0.1251,25.6155,3.6834,0.7198,1.1792,0.7342,3.2179,5.6942,5.7869,3.4378,3.8148,35.5336,25.3335,3.7006,0.0
PRT_C16,28.5141,0.1622,0,1.2831,0.0288,74.764,4.5976,713.8366,48.2912,2.0722,7.7167,0.85,7.2028,35.7776,21.6753,17.3005,0.7775,13.991,4.2824,4.0813,0.8733,310.0804,2.5499,28.9261,653.495,77.1165,3.2736,0.1489,0.936,4.2786,0.1199,16.5826,1.1476,1.5525,1.14,1.279,18.2479,11.1085,12.7327,9.0574,2.0114,6.9468,3.2975,4.0005,0.0
PRT_C17_18,17.9548,2.8222,0,4.293,0.0818,323.389,32.3774,23.7071,995.6704,2.6509,33.3578,19.6125,17.8926,44.621,3.7076,16.9343,5.7768,8.4266,7.4189,14.2069,1.4252,27.2511,55.9576,7.2033,26.3161,309.1178,12.8409,2.7317,3.1077,9.6574,2.5128,35.6132,291.4601,16.6717,29.9214,43.7053,177.4418,117.3648,183.3578,39.079,84.9303,63.7557,17.7583,51.3197,0.0
PRT_C19,152.3427,37.5868,0,43.6616,0.6343,117.4619,49.3258,25.9958,55.9986,390.0402,171.8507,8.3149,38.4507,111.7841,7.4976,49.1269,4.6063,14.4699,12.1226,10.4865,1.06,45.4013,268.1337,48.4219,426.7545,519.9296,829.0662,15.643,536.3769,42.6899,6.3116,45.5673,11.29,13.4641,12.0168,29.7714,9.332,68.0794,88.6996,99.4949,27.468,136.2288,20.0471,27.1868,0.0
PRT_C20,129.0482,0.8351,0,16.9119,0.3682,80.0337,149.0946,40.7221,101.2796,130.2646,724.0765,70.8765,392.9999,78.4633,9.3636,51.595,9.2061,67.3851,13.5189,80.6391,3.9946,47.2075,9.7531,17.74,151.1737,109.099,8.1645,0.4773,2.0267,4.16,0.4493,38.9343,14.3193,4.0091,7.9723,4.244,20.4423,29.3807,25.0729,15.1997,21.0036,261.9169,7.3536,62.838,0.0
