V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,1115.3547,0.8031,1.3227,12.325,0.0005,4867.3224,145.3612,127.8982,0.4941,0.0363,15.0022,8.8339,21.9758,0.2667,2.738,0.021,0.0011,0.0063,0.023,0.0033,0.0011,160.3702,0.1465,0.0196,2.5368,1.6382,0.2901,0.0005,0.0186,0.0132,0.0038,506.811,0.0058,0.0431,0.0058,0.5043,0.0216,0.0965,0.0411,17.6791,1.0095,3.0299,0.9822,39.8146,0.0
PER_A03,0.5527,7.2094,0.0627,0.9821,0.0207,815.3341,0.1355,0.0046,0.0785,0.0052,0.2721,0.0225,0.0827,0.0574,0.2297,0.124,0.0053,0.0152,0.1211,0.0021,0.0007,0.5115,0.0661,0.0409,1.3044,0.4302,0.1647,0.0125,0.2842,0.0432,0.0012,62.3249,0.0915,0.3312,0.0078,0.1214,0.0015,0.1349,0.2038,4.5701,0.2999,1.5726,0.1586,2.5501,0.0
PER_B05_06,11.394,7.8763,120.8385,72.2567,33.667,188.354,4.3194,3.8072,7.1329,4452.7104,10.4795,0.0979,12.3477,802.6365,122.7725,18.5872,0.023,1.9453,0.5052,0.2503,0.0829,3.4276,411.5956,6.6386,18.4084,9.8085,99.4249,1.1522,6.697,5.1817,0.9282,3.8237,1.5879,0.6288,0.0161,0.5484,0.0534,2.7018,2.1486,20.7476,1.0041,1.3203,0.5291,3.6102,0.0
PER_B07_08,9.7668,0.2522,61.2042,69.8689,0.2901,11.1968,2.6456,0.119,0.4996,0.1596,14.1215,0.4054,0.6042,196.4104,555.9233,4.4246,0.0741,14.769,0.9126,0.348,0.1221,14.3593,15.1759,6.7345,386.8445,1.4307,0.5404,0.0049,0.0258,0.0927,0.0187,2.498,0.1379,0.9374,0.1568,1.4982,5.6901,0.6699,0.5615,40.6327,1.0948,1.6664,0.3189,2.949,0.0
PER_B09,0.64,0.0158,319.7135,189.1386,1.3547,0.4934,0.259,0.0167,0.1308,0.2501,0.2073,0.0523,0.1629,0.1171,13.2353,0.3133,0.0066,0.0226,0.0677,0.0871,0.0336,0.0645,0.2602,0.0773,7.6754,0.8866,0.2875,0.0168,0.3814,0.2283,0.0316,0.2403,0.203,0.717,0.0487,0.6176,0.095,0.7947,0.7696,1.3767,0.4884,0.5093,0.281,0.2692,0.0
PER_C10T12,376.9774,8.8327,5.4163,32.5544,0.3948,2299.0418,41.2919,1.4503,23.0383,0.2124,62.7,12.1277,16.9647,2.4076,10.5237,3.6437,0.1729,0.7796,3.9986,0.5754,0.1892,31.516,2.0954,1.144,26.9305,14.6092,3.3497,0.2133,4.766,1.0639,0.0585,2099.7873,1.7069,5.865,0.1641,3.7903,0.8015,2.8147,4.5112,183.1278,11.0251,15.0738,22.4079,122.2741,0.0
PER_C13T15,14.9493,21.2734,3.0323,9.7373,0.2085,41.5545,1738.1415,4.4277,16.786,0.436,17.1077,9.9667,22.8257,3.0604,4.4106,6.7783,0.109,0.2576,0.547,0.4549,0.1836,98.9474,0.4127,0.3012,47.7463,18.2596,0.6825,0.0027,0.104,0.0988,0.0097,54.4858,5.8038,0.2067,0.0217,5.2324,0.0761,42.9237,43.81,30.3342,4.925,17.6721,6.1072,13.3677,0.0
PER_C16,12.9084,1.1174,0.8016,32.4589,0.0007,6.2701,2.7239,240.5801,7.9098,0.0001,5.6814,0.0039,5.5635,4.0337,4.3626,2.3561,0.0002,0.4647,0.0002,6.3145,3.0789,160.2023,0.2281,0.213,734.4275,0.9361,0.0427,0.0001,0.0032,0.0025,0.0006,1.5489,0.0009,0.007,0.0006,2.2688,27.2171,1.7748,1.0167,21.7424,0.4205,1.5228,0.2281,14.3864,0.0
PER_C17_18,14.6844,1.1104,0.4791,11.0687,0.0809,219.6763,25.3678,9.9,956.6577,0.1706,30.7992,11.2419,28.0728,19.1552,1.1391,13.0951,2.3114,4.7187,2.6195,4.5532,1.4574,33.9826,7.3121,3.6813,14.8783,234.8047,4.4746,0.0085,0.3514,7.4121,0.4939,45.1045,206.9209,53.9456,2.1312,108.1997,39.9292,189.845,95.9253,184.924,127.1327,9.126,22.857,53.9237,0.0
PER_C19,28.3237,134.3669,71.9012,937.2769,2.9834,328.2079,47.3079,8.4439,25.5651,50.1756,49.2671,1.7744,10.452,57.1184,195.9949,22.2059,0.457,4.3892,4.828,4.5771,1.5193,55.2951,113.1118,19.2036,285.788,144.149,1626.281,19.7205,109.6275,89.9328,15.9683,42.7841,2.7234,8.4111,0.422,13.2673,1.1662,48.6647,36.4656,344.0597,20.0406,23.873,9.0564,21.7202,0.0
