V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T
SGP_D,4.8336,0.8295,0,0,0,29.9365,3.1185,1.1219,25.7425,92.121,743.069,18.6262,29.3239,14.7596,124.9337,77.1994,785.1515,55.0847,147.9011,21.4606,49.8859,28.0108,3006.3668,115.5067,70.5304,245.4213,33.9219,18.6191,28.9429,59.7309,3.5709,226.4061,14.2698,78.2364,17.1551,75.6132,238.2098,89.402,26.293,86.35,94.8811,79.3611,56.3004,33.6082,0.0
SGP_E,3.7919,1.3322,0,0,0,5.815,0.3555,0.1907,28.348,11.4543,90.0068,2.0195,1.4493,66.8817,69.448,13.7427,121.9393,14.7173,12.9008,1.4507,23.3458,2.7515,71.1032,717.7451,43.9309,38.5909,3.2801,21.9419,4.2442,9.4987,0.3887,61.4991,3.4814,1.1256,4.9164,6.9632,255.051,63.1989,6.3719,427.5601,32.5395,20.0448,46.1464,13.8685,0.0
SGP_F,1.315,0.4706,0,0,0,16.5329,2.5927,0.3599,5.3488,7.7308,35.0505,11.7019,3.5106,1.7915,11.348,31.9223,226.3009,10.6191,80.5998,5.4821,41.0199,51.2029,27.8424,33.3812,14356.6357,74.1723,9.2416,29.4633,5.8247,20.2315,1.2664,48.8004,20.2202,13.4676,7.8767,30.3296,671.2373,198.0882,58.949,69.8889,31.9362,14.1868,26.3717,10.2349,0.0
SGP_G,10.6492,12.8239,0,0,0,1466.0398,229.4541,41.3977,407.5938,3218.9605,3984.1689,273.8124,211.9259,149.5288,261.848,499.3597,8490.9234,336.5363,1210.0569,103.9338,266.5213,501.7939,344.5115,83.7985,2065.6788,2652.8428,196.6715,1799.3448,540.0292,283.5256,27.2392,1278.4036,612.2469,155.422,228.5697,456.1901,192.8336,812.4788,220.1288,665.4665,140.9438,316.2875,85.2884,184.7365,0.0
SGP_H49,1.1193,0.6897,0,0,0,46.4549,5.0055,2.8807,15.8395,198.7341,157.8976,11.6862,9.9291,13.016,20.3868,31.8258,311.8206,15.8603,76.0404,6.8423,18.0854,19.4923,15.0366,3.2527,141.0587,215.238,170.4112,112.9676,39.1326,36.0425,5.885,44.6245,21.7877,13.6703,16.3019,58.9863,10.4798,133.4092,32.3476,23.0287,12.9675,20.2025,13.6973,12.9055,0.0
SGP_H50,0.6129,0.8901,0,0,0,55.9964,11.7683,2.8301,28.0605,690.4051,269.4086,9.699,15.0074,25.1872,57.8275,63.26,782.5846,56.1548,181.8098,12.0793,49.9574,44.6113,25.667,7.1615,190.4191,4583.2585,57.6257,3874.0493,45.7642,130.831,7.2905,35.2877,38.2643,33.7814,29.9572,100.9209,20.7959,111.9115,40.5282,61.9122,12.1541,10.3801,6.1827,6.4779,0.0
SGP_H51,1.2782,2.3359,0,0,0,29.167,6.6481,1.4935,14.729,176.0351,123.5313,5.9016,7.7946,11.9139,26.8935,29.5184,420.9787,28.3471,87.3198,8.0644,27.0494,22.6825,10.8687,6.5332,98.3143,823.2579,11.6239,44.0593,1108.4666,38.5689,21.813,38.5445,295.7454,13.3742,22.4563,159.6676,55.8999,172.7443,69.815,41.2324,43.2074,29.1637,24.9239,32.506,0.0
SGP_H52,0.2101,0.1861,0,0,0,30.3313,3.7991,1.3745,18.9435,55.7562,137.1611,6.5739,6.5384,12.7564,5.2991,30.2948,338.205,13.5467,84.1816,16.6083,14.8284,15.1282,15.5533,15.2146,445.9722,2763.5554,151.5172,2366.0105,18.041,1738.2533,37.2711,19.7711,242.6202,73.0781,34.1189,78.3808,12.3679,154.8817,105.6486,37.1085,7.5375,8.3514,10.858,15.0242,0.0
SGP_H53,0.0684,0.0902,0,0,0,17.4676,0.2525,0.0692,0.3957,1.2541,5.6253,0.4517,0.2642,0.1983,0.2067,0.8706,46.971,2.514,6.1284,0.6461,1.3145,0.5356,1.6278,1.5444,34.0324,28.783,52.0149,22.0258,0.7209,64.6748,103.5232,2.8708,74.5604,51.4784,14.6807,23.3186,18.9212,52.5074,13.091,2.6202,1.1209,1.1704,0.7733,13.6007,0.0
SGP_I,0.7301,1.521,0,0,0,15.7916,3.0665,0.7058,8.6523,3.0443,25.9203,3.2769,5.2841,3.8317,14.389,25.8373,95.8211,23.5816,78.8191,6.4114,24.5903,15.5819,1.2768,1.357,98.9329,244.0168,10.3889,178.9608,171.2196,37.7635,33.8925,61.7419,46.8659,38.1057,52.3818,266.788,27.426,325.0079,60.1074,44.6424,70.5004,33.2149,71.4287,53.9424,0.0
SGP_J58T60,0.4768,0.4777,0,0,0,54.9746,7.4848,0.8305,12.1358,66.2889,104.4493,10.4276,5.4249,4.3081,9.0434,15.3473,266.9942,16.6816,63.4392,2.2335,16.799,15.7568,11.3925,4.5125,50.3125,409.5746,8.1866,54.8661,20.5533,11.2163,7.3803,52.4819,643.1663,50.3706,118.6919,170.4379,69.3036,176.6195,18.9057,88.7038,30.8318,23.8027,23.2021,15.2984,0.0
SGP_J61,1.0997,0.6763,0,0,0,14.8162,2.1329,0.4132,7.3854,8.1248,40.5134,11.6807,3.5974,1.807,4.9775,15.9302,208.9155,18.3241,65.3814,8.2635,31.2648,12.1628,5.6931,5.2089,198.4715,419.1815,61.5645,45.9306,58.135,79.5666,92.0332,24.0446,137.6471,2167.8769,112.7182,681.9548,23.0652,513.9292,139.6612,52.5831,52.6197,36.7639,34.0965,34.1082,0.0
SGP_J62_63,0.4301,0.6042,0,0,0,1.3795,0.4282,0.0195,3.9034,10.1425,36.5317,3.0506,1.3169,1.5601,15.5926,6.1755,121.5425,4.9162,92.85,0.5936,19.1262,5.2874,13.8764,4.8801,21.4242,155.6768,11.6529,10.3847,15.9491,26.8808,5.1464,12.3992,279.988,76.6285,611.6663,639.0819,6.5723,391.5313,31.6485,416.7322,81.8752,73.5252,36.6905,29.8291,0.0
SGP_K,2.4186,1.1311,0,0,0,18.6315,4.9959,1.0541,11.3571,83.4614,98.1432,20.2281,7.3404,5.7736,16.3668,40.267,459.4915,44.0054,125.8856,14.2928,62.408,30.6792,82.5795,11.2507,247.9238,1387.2123,30.5403,110.055,56.8282,85.9451,5.2904,98.8917,127.7274,121.7606,104.9171,8525.0702,2833.8436,251.2994,63.5333,1526.7956,57.3104,92.2936,57.9413,48.7161,0.0
SGP_L,1.5711,0.9305,0,0,0,50.4566,13.5181,1.9565,43.0682,20.9602,61.8052,9.1201,25.01,15.0201,7.2839,78.9315,327.2053,101.7089,207.4979,17.4624,88.7782,35.7941,9.5407,57.4566,357.4544,2679.4544,53.5049,62.7763,87.8036,78.2521,14.229,586.3428,117.8125,165.4105,149.2836,1017.7682,882.8435,781.2089,205.0341,360.9851,204.2271,271.6744,167.5761,296.0043,0.0
SGP_M,1.9676,1.1855,0,0,0,27.3881,2.0093,0.4617,12.987,52.5136,245.2606,66.3923,8.7195,11.9983,18.4893,34.5104,1493.5071,53.7944,394.9516,4.7772,186.3191,103.3543,103.2506,65.1737,1005.4716,1352.3737,40.2388,116.0092,62.9968,40.873,11.6852,110.7677,444.4901,326.8387,119.0611,895.5724,1421.1419,2501.0123,337.6773,335.6847,98.853,74.5049,131.144,46.6801,0.0
SGP_N,1.0929,0.418,0,0,0,37.5966,2.457,0.3309,6.3544,18.9742,111.6755,178.2138,4.9374,17.4954,12.753,55.559,2513.3538,45.1148,340.5579,33.9822,238.7829,31.043,7.6388,96.9359,197.6201,483.5927,32.1157,214.229,81.9143,50.8043,6.7385,111.8469,51.9995,127.5476,33.4159,493.3576,1008.1049,469.8237,540.793,282.6109,137.7537,84.5214,100.4641,60.8744,0.0
SGP_O,0.8074,0.1986,0,0,0,6.5749,0.828,0.2842,4.5153,8.8333,20.0057,4.1401,1.5994,5.4831,8.0143,6.4012,37.114,16.3281,19.0073,1.1067,12.9923,9.5894,46.9735,53.9448,113.1614,178.595,3.6093,11.4231,14.7825,6.7044,2.95,27.7039,17.692,33.0895,26.7981,137.875,53.9941,105.2239,16.4424,298.5077,24.0071,22.2406,12.0913,16.7678,0.0
SGP_P,0.0427,0.0119,0,0,0,0.7555,0.0943,0.0132,0.3336,0.8322,1.7265,1.4381,0.1874,0.1368,0.7425,1.0311,14.4907,4.6799,6.373,0.4837,2.3064,2.3264,1.0233,3.3481,5.0298,23.7421,0.9971,3.5939,3.3922,0.8556,0.2139,6.8835,3.8047,2.2287,11.47,19.8091,4.0583,27.2091,4.3487,1090.2889,239.7154,9.0683,7.0954,9.9112,0.0
SGP_Q,0.1728,0.0079,0,0,0,0.7127,0.1348,0.0112,0.2613,0.5114,1.0068,0.2685,0.1524,0.0614,0.0897,0.367,4.8462,0.4632,1.4062,0.0733,0.5479,0.4697,0.3533,0.4905,4.9524,15.3193,0.4566,1.8332,0.51,0.611,0.1546,3.242,6.0839,1.6203,3.131,19.9553,2.7945,26.588,3.4402,1497.8161,25.0456,384.7926,3.4595,27.1171,0.0
SGP_R,0.0703,0.0206,0,0,0,2.463,0.2963,0.0553,0.8293,1.1914,2.6189,0.9951,0.4959,0.2215,0.4541,1.9422,35.2215,2.3852,5.0058,0.5814,3.4429,1.3895,0.502,1.3923,14.633,37.0229,1.9107,5.3582,2.2964,4.9562,0.5016,26.0832,32.9154,3.0829,4.9173,22.9454,4.3305,19.5389,5.0555,10.009,25.525,5.3968,83.0186,9.7477,0.0
SGP_S,0.0795,0.0247,0,0,0,2.9505,0.3523,0.0968,3.2816,3.0756,25.6215,1.4728,1.0281,6.3532,5.444,6.7051,237.8342,6.945,17.7387,2.5275,12.0831,4.0154,1.3292,1.9026,33.1342,105.0734,4.3738,13.605,7.2674,23.8407,3.366,34.885,30.9716,5.0978,176.2385,22.4613,108.0508,79.7868,11.8649,139.7402,68.2834,40.3716,17.3955,46.3199,0.0
SGP_T,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
