V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T
ROW_A01_02,121044.4286,1138.1463,1580.3762,583.4884,418.2295,106382.0895,6115.0066,4214.2915,1742.1633,485.5406,1360.8526,892.3737,1942.5363,327.4588,335.3439,283.8641,65.0171,81.2039,189.6589,169.8111,77.9946,641.2571,644.3695,305.1918,4583.8344,6682.918,538.2204,281.31,319.5088,378.7585,30.9285,10468.6616,207.5819,215.7338,81.6525,541.7961,595.941,417.6441,661.8668,9850.4562,1691.9071,5466.2587,457.6405,780.5117,0.0
ROW_A03,341.3114,5218.1594,61.0347,15.9301,5.6024,6323.9309,28.484,7.8247,9.7729,24.1632,26.8995,11.1863,5.5735,9.7426,12.5306,5.3484,4.8184,4.0489,6.6356,6.857,2.0477,20.7738,13.0525,7.3997,68.138,185.5223,44.3841,48.1102,49.974,17.1514,2.0292,1681.1488,18.015,24.5561,7.2961,15.5274,17.7111,25.8702,21.0449,258.8543,71.1878,144.3696,33.0208,34.2733,0.0
ROW_B05_06,1737.0232,180.5757,120903.5876,3524.6213,3939.7621,3523.3733,623.7571,144.2919,521.6799,102176.8111,5972.4997,277.6342,288.3599,1646.257,3236.4717,237.1359,150.2759,128.3558,354.0397,192.3314,59.5132,242.5638,23426.3118,766.1977,6083.6856,4354.0163,8613.2782,1300.0245,1380.2515,1051.6972,223.883,1507.3721,250.7348,730.6209,157.7827,768.0104,1037.6103,597.899,532.9047,2492.9646,1285.4921,1116.0507,319.5998,619.7996,0.0
ROW_B07_08,1307.7297,119.3667,9809.886,26830.8079,5160.9305,1207.9072,135.639,28.735,285.2625,1996.6447,6954.8506,193.2744,107.7859,8204.9758,21484.0904,522.6538,117.3856,164.006,212.4749,93.4851,22.3794,420.3507,1119.5766,267.032,22754.5176,562.3292,199.1234,26.1909,23.1026,130.4058,10.3514,232.3305,36.2115,51.081,23.6886,44.5489,1126.7968,119.8996,102.2677,1051.9828,167.8767,126.3291,70.0534,154.971,0.0
ROW_B09,305.9629,40.2232,48946.0372,2632.0952,3704.4553,64.0416,10.8244,5.1117,53.6638,4175.7474,161.7169,6.2652,11.9098,1312.1398,3068.4625,142.4579,4.302,4.1863,16.1457,7.452,1.821,62.1391,574.8571,27.9948,2445.8257,88.6157,82.5748,26.3134,10.7491,85.7581,3.7155,42.642,10.3559,9.4457,6.0115,27.5936,76.3673,29.1945,37.8594,219.4503,59.4917,35.0071,12.639,31.1439,0.0
ROW_C10T12,25318.1143,1738.8739,1197.6232,158.0815,110.027,43772.3668,874.2411,98.4265,232.0103,305.716,1492.0381,604.6741,218.1729,148.8942,146.9499,93.547,74.2065,58.0575,86.1781,84.0275,25.8205,150.6731,210.377,100.5993,859.1191,5030.2699,670.1916,418.6701,503.0959,353.9038,21.6909,24655.7785,208.4687,187.6875,89.6269,803.3303,668.2328,361.4068,321.2739,5153.4084,2604.2457,2848.1264,647.3133,1185.4379,0.0
ROW_C13T15,426.9605,316.6991,1301.3379,144.0046,62.9979,490.781,31822.4621,75.3503,281.4041,130.6195,250.9657,132.7676,518.9685,151.1805,176.2026,162.1474,80.2351,70.4587,109.1938,941.525,44.9174,2272.2457,288.9977,169.8407,2106.0796,3297.0622,486.0731,154.5569,186.3883,218.4887,53.7778,710.5223,160.6836,241.5407,138.9818,367.2495,206.6764,313.5423,322.0842,3878.7954,594.8527,973.325,503.4449,1146.9928,0.0
ROW_C16,332.6078,33.2386,196.6222,103.4181,21.7292,332.6437,70.8128,2961.8254,334.7618,21.596,118.7015,29.0686,62.5595,121.9202,75.9466,76.5921,33.7607,46.1226,65.8481,114.83,39.1762,2758.9955,89.5699,25.0861,9186.298,519.1051,62.1028,11.6959,9.0066,64.4756,6.1387,59.6111,44.2353,22.093,11.2921,28.0495,634.6133,72.5657,57.8723,211.8571,131.2303,61.8586,41.383,234.5368,0.0
ROW_C17_18,565.7523,66.293,244.1958,100.4373,29.326,3822.3004,560.3435,256.2154,8878.9854,153.2326,674.9582,444.5696,288.5971,814.9362,153.0668,222.3548,130.5037,392.3085,157.2817,212.5751,17.203,374.6385,154.6247,107.3372,583.7972,3422.3624,287.2081,48.9016,85.9828,192.1806,119.8294,459.268,3651.1476,372.0579,215.1056,1761.9231,216.9811,1213.1351,619.877,1687.4535,1273.5835,621.24,271.3152,604.8751,0.0
ROW_C19,5843.3881,1499.1081,8747.8275,2684.1173,966.6148,2023.38,624.7864,321.9663,464.8359,12424.7924,4742.1148,352.1086,562.5644,2162.1248,1936.1263,396.4561,187.7411,222.4407,334.7253,324.2142,76.0266,410.453,3835.0055,621.4887,6131.8024,6263.9395,25268.8574,4267.3102,7470.3702,1423.8997,352.3247,802.6929,280.6586,469.5932,155.3454,799.7282,600.5434,923.7968,1037.9536,4627.5939,1395.5341,961.9321,297.3555,948.2268,0.0
