V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_A01_02,14402.1846,0.0,0.3041,2.2242,0.0109,30415.8914,135.3053,5364.9126,1128.1422,0.0,118.2159,0.0,333.8087,0.0,0.0,0.0,0.0,0.0,8.019,0.0,0.0,5.1175,241.0186,7.6106,4071.3822,10.0829,0.0,0.0,0.0,0.0,0.0,1011.7408,60.7048,0.0,0.0,13.744,0.0,19.548,32.0396,1496.4441,85.8435,15.0501,115.4849,83.8213,0.0
FRA_A03,0.6429,33.4487,0.0,0.0,0.0,688.5871,5.6282,0.0,0.0,0.0,3.8812,4.4494,5.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1405,10.1043,0.7251,64.4988,0.0,0.0,17.8086,0.0,0.0,0.0,387.1599,3.0955,0.4471,0.0,0.0,0.0,0.7204,0.8419,0.4028,0.0,51.9505,3.6445,11.6733,0.0
FRA_B05_06,0.974,0.0505,0.1016,0.0622,0.0101,1.8041,0.1169,0.0119,0.1614,493.2876,6.5801,0.1002,0.0432,0.171,5.1581,0.0694,0.0279,0.0287,0.059,0.1603,0.0741,0.1977,255.595,0.2157,1.1433,2.2132,2.8619,0.6211,1.8088,0.3507,0.0274,0.3521,0.1903,0.2227,0.1481,0.1199,0.0645,0.644,0.6764,4.8214,0.6098,0.1701,0.174,0.1326,0.0
FRA_B07_08,118.2641,33.1707,0.0,40.1666,0.2446,344.3858,17.1066,2.1326,103.6938,15.2002,962.3943,15.7188,39.2841,887.7434,1186.3206,92.4244,16.01,18.2666,18.6307,14.8239,14.7092,35.8724,100.2218,24.0899,1271.8509,32.6362,0.9428,0.5448,2.3451,1.5973,1.0904,65.8834,1.4118,6.4938,2.1863,8.6962,0.4285,27.5385,26.0924,0.0,0.0,15.3543,4.1125,11.153,0.0
FRA_B09,0.0844,0.004,0.1932,0.4472,0.0074,0.0398,0.0012,0.0023,0.0692,2.9502,0.2388,0.0068,0.0216,0.3244,0.5814,0.1093,0.001,0.0023,0.0228,0.0023,0.0062,0.021,1.8949,0.07,3.4988,0.0548,0.0862,0.0075,0.0003,0.1326,0.0017,0.0207,0.0029,0.0,0.0026,0.0041,0.1403,0.0707,0.0908,0.1355,0.0143,0.0297,0.0111,0.0108,0.0
FRA_C10T12,5356.1115,58.116,3.0083,35.435,0.0142,22487.9555,309.4014,12.9305,122.9863,75.1829,1876.8353,368.38,76.2774,47.5037,106.6629,82.3149,38.8521,38.3364,54.2423,91.2833,12.1576,159.3306,41.4836,115.3255,407.4451,2080.2773,60.8103,78.5886,240.004,99.7126,33.8318,16782.9089,431.3356,341.2963,191.9266,61.0118,111.7095,1557.1821,970.7259,514.3013,2331.8625,2452.3808,1106.1328,219.8128,0.0
FRA_C13T15,61.1139,2.5193,0.9825,1.108,0.0092,137.1008,2333.649,14.3561,357.2695,9.6541,90.4494,47.2787,94.787,23.0335,29.2998,33.5842,60.5156,34.0652,64.5088,302.8289,81.0199,321.3638,7.587,28.1362,336.1562,789.0516,8.0601,24.3941,9.1674,22.066,5.7134,144.3948,289.5868,64.0332,4.0937,16.2756,37.3535,85.5322,93.2623,67.3022,38.3433,219.5372,98.7567,77.2429,0.0
FRA_C16,511.7565,27.9692,0.0,35.13,0.0348,319.8596,12.9243,854.7243,292.9377,2.0582,58.372,58.6002,74.0215,278.7319,85.9748,109.9347,52.2962,37.56,78.7576,485.1102,124.0034,1066.6821,2.9402,82.1074,4279.8676,317.03,3.4617,14.3865,4.4309,68.7158,1.016,62.604,276.2873,126.9286,12.4435,5.7116,180.284,33.4955,134.014,7.1188,37.8965,38.0443,125.7655,91.2466,0.0
FRA_C17_18,113.8684,8.1109,0.0,25.2098,0.0229,1240.5369,184.5038,26.5011,4403.8024,39.036,551.2472,434.5666,256.4943,186.8281,29.5451,76.9747,122.1382,108.6746,90.0201,99.0541,50.1394,222.1544,32.1781,236.9224,382.5846,2509.9442,37.1294,34.1094,11.7252,156.8366,10.7819,166.2783,5192.2259,592.8263,303.6162,1363.5117,303.5501,3150.6803,1543.2507,968.9809,669.3957,442.6478,605.9391,335.318,0.0
FRA_C19,1683.2339,87.2411,1.4822,107.5637,0.6144,575.36,77.7324,20.604,168.3007,2438.2748,4308.2782,58.5549,74.6837,294.0153,252.1038,119.9241,48.1862,49.6421,102.022,169.297,20.9804,178.4053,541.5525,334.4235,1974.0366,3657.3166,4941.6955,1070.0836,3110.523,594.752,39.1837,137.4018,318.7693,337.7059,240.2106,207.2455,108.388,1049.5077,979.0944,604.837,161.657,178.8924,270.4342,146.3999,0.0
FRA_C20,3183.81,140.4711,0.7239,73.8994,0.3303,780.3051,524.4459,40.3916,1036.1114,682.8573,7793.1614,1537.1507,4484.2807,244.6496,357.4911,733.3643,127.5967,401.1242,309.0228,689.2066,209.0745,700.7885,2090.8009,132.7159,1740.8595,925.2702,30.5086,31.9745,13.0591,30.788,9.2919,148.9363,371.205,73.451,84.2661,22.1163,454.752,511.3031,300.2255,193.4389,125.9168,461.9481,173.3761,106.6702,0.0
FRA_C21,371.2129,15.6114,0.038,7.3207,0.0028,51.0754,1.5979,0.2089,0.3406,1.6819,142.9379,1527.1984,3.23,0.4484,0.4738,0.2482,0.5054,0.4762,0.4512,0.4766,0.4411,13.7463,0.774,1.4943,1.7377,8.0929,0.4797,0.2701,0.2366,3.1867,0.2783,1.062,0.2452,0.5004,2.4595,6.3259,0.3178,162.4377,34.0756,54.3144,5.2289,2028.7532,2.7026,5.0739,0.0
FRA_C22,270.3191,13.0974,0.0,37.6865,0.1049,1666.1336,310.8414,23.2913,333.204,719.2145,950.6127,237.899,1773.5838,150.0555,172.4621,510.3271,628.3945,794.1955,838.5867,2412.6517,452.1959,1395.8931,223.2997,105.5579,3476.5262,2470.5643,320.5706,64.4912,65.7218,43.027,83.474,40.9592,321.0355,381.7475,77.3385,77.4187,60.227,496.8773,394.2786,0.7302,9.3387,231.8004,44.1095,125.4965,0.0
FRA_C23,241.0123,17.7138,0.0,239.0996,0.1646,622.3145,23.3891,24.0686,66.7861,32.0493,382.6252,172.4533,117.8437,2852.4818,222.9878,318.0703,285.6989,129.1741,242.3404,627.7963,105.4948,451.2852,228.969,263.056,13093.6354,759.4782,99.2238,8.5462,2.5155,48.4731,0.0,131.1758,7.2588,50.8045,18.363,0.0,141.0457,496.1643,338.3139,29.1316,179.2666,500.6383,53.1296,79.6818,0.0
FRA_C24,2.1169,0.0,0.1903,15.5431,0.3377,32.9801,11.3283,3.5177,23.5212,143.2236,150.2308,77.4636,162.1573,416.7547,4755.3009,5025.1868,374.84,822.518,1692.3853,2204.2931,491.6549,1757.7414,35.3414,802.074,3567.6513,126.1177,14.3683,4.948,0.557,25.2001,5.1779,4.1889,53.3753,6.0911,7.2241,0.0,0.0,123.6442,213.0528,1.7732,0.0,0.8767,1.682,115.588,0.0
FRA_C25,471.8284,21.3899,2.7483,118.904,0.382,1155.8704,255.0846,111.2236,437.1852,668.177,950.8152,125.1894,316.4469,319.2983,1414.1519,7940.6358,1051.6949,1627.9537,3103.6532,3987.7573,1392.2422,3507.7961,448.5289,585.4943,12933.1138,661.3545,175.2584,19.2965,41.9113,210.9901,18.2442,183.9657,110.7423,315.806,123.5377,6.1721,330.0598,420.6368,946.2106,668.3196,32.7973,393.3573,96.3565,201.356,0.0
FRA_C26,0.0,0.0,0.1372,5.1929,0.0198,26.1663,7.0277,3.5115,37.2735,60.6223,51.6222,4.6663,34.621,44.2929,79.6545,149.3602,1336.3839,711.715,447.4133,609.074,1153.0751,523.825,120.8621,30.1719,789.2702,458.741,8.7351,13.6069,2.0439,76.7919,58.697,31.1131,72.6219,722.7606,423.8454,88.5138,20.3224,735.2211,334.5461,218.8364,54.7449,580.052,130.3128,295.8658,0.0
FRA_C27,16.3234,0.9953,0.4944,8.3066,0.0306,70.2338,14.2077,7.6009,74.5995,95.6182,110.142,9.2795,36.3228,42.36,145.419,324.4691,433.7581,842.3784,446.616,586.8393,230.3325,344.6753,170.1691,55.9427,1875.5519,633.0196,31.9684,6.5059,5.4043,115.651,48.4377,51.7464,42.8248,474.9766,208.7418,24.9776,178.743,475.1136,208.035,26.7399,6.717,17.2954,32.8971,94.6289,0.0
FRA_C28,52.2917,41.0626,0.7718,179.213,0.3035,404.1752,69.5045,26.2927,95.3041,163.3481,193.8801,23.3468,175.4576,143.9324,229.2171,414.3449,297.7696,218.5352,1434.8393,2019.2737,728.7826,1811.5552,371.6238,346.0134,2518.9818,832.4648,119.5089,31.1498,23.561,169.9226,11.7509,58.1662,93.4002,126.7326,42.3995,16.0165,16.8491,312.8584,320.8891,149.2747,30.2168,136.4369,81.4101,127.577,0.0
FRA_C29,100.9717,1.3604,0.0,2.8878,0.0284,89.7587,4.8066,1.989,9.0857,26.2573,28.8947,0.7051,4.2932,22.5189,14.3745,25.9932,13.2932,11.1241,385.6377,5370.2843,89.8717,137.0546,21.7246,146.222,71.9143,2552.1021,174.4908,29.2857,33.2695,190.5025,11.7604,10.5169,53.549,48.8039,18.2758,19.7922,12.0579,96.3035,167.5999,141.2466,13.5266,114.3373,69.0448,72.5168,0.0
FRA_C30,0.0,14.9258,0.0,0.0,0.0032,3.4376,0.1154,0.0261,0.3755,0.069,0.6253,0.0,0.5311,0.5684,4.2336,3.799,0.2031,0.9521,6.8409,91.9372,6302.4918,64.7203,0.4864,1.0485,2.3647,40.3414,61.7185,38.89,44.409,22.9119,0.5638,0.5808,0.8434,2.1834,0.6497,0.4373,0.0549,20.9474,10.877,1177.3575,0.1328,0.5874,0.1768,2.9333,0.0
FRA_C31T33,3259.0987,1.9238,6.2074,156.2975,0.809,301.4792,25.2423,33.1325,62.6816,127.4113,273.7202,44.0962,42.6816,84.7425,200.4688,702.2699,395.0777,185.3799,781.7915,2180.5972,4264.6984,8315.6567,87.952,122.7477,3047.5648,3059.7602,195.8725,37.3001,468.449,449.6666,24.0056,94.7067,97.5587,400.7992,57.0768,142.1651,16.2718,673.399,375.9142,1810.3346,37.8068,2131.2445,355.7011,112.4713,0.0
FRA_D,1171.8168,34.914,2.288,146.3263,0.6103,2964.3638,215.7349,104.9304,1714.0665,1069.9382,3686.1517,364.2011,382.6,1488.145,2873.4065,717.0806,310.3551,236.8135,310.1344,713.4018,218.6508,216.6602,53798.6335,568.5215,375.1292,3958.0863,1208.7897,8.5063,20.3303,388.723,59.8428,1363.3159,1853.1083,1353.3545,214.4582,559.6948,718.5918,1666.381,411.0267,2180.9645,1412.9467,1574.1809,1326.9076,294.1888,0.0
FRA_E,513.6597,23.1505,11.5984,45.8838,0.084,1238.451,215.4621,74.2808,757.5977,631.1955,684.2376,228.9318,146.8376,461.4216,3094.8196,532.2473,145.3076,116.4526,203.2814,382.0786,106.8182,288.4711,586.8459,8372.2854,1493.9544,2221.1034,101.2581,65.6265,74.8942,216.6492,69.8741,487.9365,678.0151,371.5698,377.142,292.2231,1137.4483,1761.7676,1119.0364,3701.6651,812.4838,1122.0943,365.0134,142.2503,0.0
FRA_F,444.0157,12.5011,12.8077,67.6787,0.4722,198.702,58.9931,15.7348,82.8104,469.2489,125.7123,38.9944,85.5057,88.7397,174.6904,249.0027,110.9753,104.1691,611.0567,217.5817,259.4372,296.8898,1766.1306,564.6498,52812.5536,697.7518,125.6359,164.8362,88.1125,269.1763,37.9239,112.8358,766.1225,867.759,171.3901,1686.0898,5174.7116,2393.4906,1189.7579,5333.9163,1787.7426,1186.898,1458.0268,136.4423,0.0
FRA_G,9686.0296,256.6154,5.7156,456.6762,1.2087,25192.7699,3378.4175,884.4491,2798.8905,3295.1382,7945.0854,2752.1693,3351.0584,2522.7473,2296.7689,3704.3931,2243.0339,2037.6386,3140.9685,7244.7375,3021.3883,5455.2133,5336.503,1216.1837,17140.9776,25480.1353,4031.4903,723.984,1508.6131,1160.3789,171.3674,10581.1755,3487.2313,1880.7014,1268.7307,1646.845,1528.1343,5397.3744,3460.1618,2728.9025,2082.2863,6462.1019,2300.4922,1230.4814,0.0
FRA_H49,1161.6521,33.4525,3.6289,68.9761,0.559,2928.3106,268.5455,132.6146,372.6139,1091.3599,1163.4269,264.1944,423.6934,455.748,513.286,575.5724,278.9187,258.4881,426.6407,914.1026,359.4142,691.7211,1012.1472,281.4644,2812.3607,14115.4445,9879.5106,88.0823,187.4687,468.3264,34.0072,1006.6141,642.9984,325.7936,145.7748,295.839,155.2109,990.6017,479.1973,2376.3249,1259.9489,1229.8399,369.5762,356.4152,0.0
FRA_H50,25.6548,0.7655,0.0222,1.4051,0.0052,60.4319,7.4881,2.8238,9.1604,50.0299,27.5568,6.0026,10.9718,9.0715,13.6064,15.0686,7.5726,7.5404,11.2949,25.5356,11.6399,17.7613,34.9598,4.0563,64.2724,24.6555,7.3053,0.0993,4.1392,0.0964,0.4847,20.9477,7.7541,5.2503,2.6711,2.8555,2.5159,11.7274,7.8857,7.0469,4.2726,13.6081,4.4564,3.1383,0.0
FRA_H51,62.7627,4.1632,0.2394,4.8231,0.0285,177.2811,30.187,7.076,31.3484,213.564,99.1395,30.3686,38.0136,30.2156,45.2826,53.1168,27.6993,30.4501,40.2207,88.4305,50.1675,59.7023,131.1438,18.6054,201.3092,267.4627,31.3671,15.5156,549.9064,79.1305,4.9145,89.9596,38.0845,28.0596,40.4473,308.6249,25.8854,241.5358,151.3169,68.4323,29.8281,75.2272,39.035,33.0056,0.0
FRA_H52,92.949,6.7097,6.1393,118.8241,0.3691,2332.6109,211.9465,105.158,724.133,1031.4912,849.7777,306.1055,296.2269,688.4381,828.8871,590.3808,287.122,225.9769,406.901,669.5732,425.9895,527.3809,350.7384,342.9877,2354.6841,9727.8539,7326.4882,3452.1503,896.0296,11110.1256,28.4974,1156.3489,893.6019,299.6944,542.8889,218.1715,861.9433,2254.1686,2134.5662,538.1614,188.4074,302.6108,504.9532,143.3008,0.0
FRA_H53,12.4907,0.0,1.2521,2.2932,0.0388,96.6974,17.1157,1.9811,42.2584,16.2358,163.0929,27.5992,12.2525,19.7319,17.4325,26.2558,19.6952,15.3161,27.4366,31.4997,26.7253,39.9057,93.8568,37.7187,148.425,2159.6682,61.3626,52.5973,74.8575,63.7409,1135.7925,181.2674,360.6304,1310.8657,498.5189,914.8186,81.8756,1472.7595,889.3756,2170.026,270.4068,292.055,242.2355,187.6605,0.0
FRA_I,37.4697,1.7381,20.9798,42.1458,0.1208,371.8658,39.1362,17.8806,67.6459,126.8628,192.9066,130.5979,94.2897,111.9244,162.7913,170.1718,79.1209,58.9965,122.4901,119.7662,175.2476,182.1122,146.1043,155.1384,348.8145,6739.6642,744.6115,340.7599,140.9467,270.8467,52.1118,2640.5138,575.1661,391.6458,706.7535,777.6183,612.6388,2466.6397,2280.4992,401.7605,700.1671,2369.5345,569.2054,202.066,0.0
FRA_J58T60,168.4284,4.4339,0.0102,2.1327,0.0321,271.4345,26.4569,7.2851,39.0201,52.7117,114.9707,65.44,34.5608,29.6264,40.1471,61.6285,90.0975,36.8816,58.9419,49.3945,126.73,71.6101,232.5992,98.9736,382.8121,2276.357,93.4729,69.3368,86.5414,165.5127,37.2911,159.0426,4142.9825,1023.99,2225.9776,3383.765,555.4051,4636.185,1958.5735,1268.4459,747.8473,529.5163,902.9009,425.018,0.0
FRA_J61,42.3972,1.1249,14.0377,24.7395,0.1203,293.4644,69.46,7.2025,106.7884,116.4514,176.6983,126.5685,44.1712,62.1913,53.3809,107.8023,74.2081,88.5701,153.5714,105.0844,126.5678,146.5966,302.3126,103.5058,744.0349,7259.2681,118.4541,88.3741,47.8255,224.5206,493.0399,623.7661,639.4896,15198.1347,1774.2468,5710.0895,696.6136,4385.206,3220.9938,1232.3155,511.1839,751.2107,609.3303,293.4135,0.0
FRA_J62_63,0.2632,8.8819,2.1384,3.025,0.0882,582.014,91.0977,21.2513,157.8366,296.8074,292.6194,130.2131,113.353,77.896,91.867,173.1851,397.6138,98.5671,164.766,83.0638,246.2525,197.3577,486.1777,197.2972,861.5086,3335.9765,198.4392,154.3201,98.3478,206.671,78.9746,237.3744,802.2234,1210.4323,9622.9079,7082.6334,875.8774,2977.8942,1926.5192,1473.9481,310.4276,594.6135,263.8752,353.5394,0.0
FRA_K,2460.1491,148.3382,91.3216,154.9821,0.7303,3321.4753,388.2557,77.2094,626.881,534.0951,1019.2502,415.9345,282.6005,390.0813,474.6102,603.1829,417.5539,295.4155,537.7735,540.8322,511.162,647.4328,797.6175,1204.6633,5574.6792,17713.0098,2662.2637,812.2711,523.4376,3972.7647,259.8649,2170.2505,1104.7666,2834.7352,872.1558,76590.1997,24750.4953,11898.8298,4742.6982,4167.8643,806.7968,3470.5102,696.1527,1704.3708,0.0
FRA_L,21.6255,1.1245,3.9046,91.1562,0.1392,777.7117,97.6134,52.95,326.6255,212.2897,423.1116,370.7351,142.6671,282.9065,433.7845,249.7174,143.6607,51.6986,234.1153,113.6442,362.7862,230.8813,217.5106,185.4085,924.5794,21885.2655,1115.0253,317.388,264.0894,1150.1821,276.2034,2212.0686,987.9615,1437.7921,2274.8548,7763.206,11940.5117,9736.8881,7543.9449,2208.2544,680.715,2743.3693,890.2352,700.7561,0.0
FRA_M,1807.6125,111.8803,79.5711,250.1686,1.5133,7624.4011,722.7394,188.8156,1673.7645,1241.7784,2526.9341,2305.2465,1431.2314,1211.1533,1580.687,1805.3936,1171.3974,731.7152,1506.3041,2299.7862,2107.4185,2126.8973,2128.8847,1462.327,15050.1697,27555.149,1963.873,1406.4703,794.1165,2967.2988,261.1776,3625.0544,3511.2591,3682.7933,4560.4055,11152.9,6034.5038,61681.9348,13824.6433,5910.6394,1880.9582,4235.6924,1998.1103,1613.8832,0.0
FRA_N,721.4745,37.1996,43.995,171.8654,1.1695,5531.4363,467.2935,149.4458,1220.5439,887.0795,1537.8344,901.3221,1343.2665,1514.7669,1677.2372,2157.9548,739.7092,901.5018,1368.815,1226.0423,1395.0619,1767.758,2152.6457,3256.072,12084.4303,22660.9668,3605.2615,1651.5175,955.1895,3223.9409,435.4817,2188.4927,2010.5656,3103.307,2680.0556,13007.5142,4830.8194,20417.2775,20698.2904,8349.0447,4210.6805,5592.7764,2292.5304,2630.0626,0.0
