V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_A01_02,1343.5727,0.4129,0.0495,4.7807,0.0015,5248.8649,42.1311,67.6007,41.0387,0.0,51.5464,12.4849,3.5874,1.7731,0.3022,0.1846,0.0,0.0,0.0,0.393,2.2475,3.7212,0.0,0.0,3.4279,93.0615,1.0241,0.7223,0.5594,0.5083,0.0,91.8003,1.4553,0.0,0.32,0.0,0.5436,2.4084,5.5556,5.7352,3.5412,2.8618,2.7271,7.9681,0.0
MAR_A03,0.0,45.0346,0.0,0.0,0.0,255.544,0.4341,0.0,0.0,0.0,2.477,0.8909,0.0,0.0,0.0,0.0,0.0,0.5795,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,3.7323,0.0113,0.016,0.0157,0.0054,0.0,14.2298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4904,0.3621,0.5057,0.0,0.0,0.0
MAR_B05_06,0.0,0.0,0.0006,0.0354,0.0005,0.0,0.0024,0.0005,0.0036,16.5272,0.0187,0.0004,0.0,0.0016,0.005,0.0014,0.001,0.0048,0.0,0.0,0.0,0.0003,2.2428,0.148,0.0007,0.0,0.0002,0.0,0.0001,0.0001,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1192,0.0005,0.0002,0.0,0.0,0.0
MAR_B07_08,0.0826,0.0972,0.0036,1.906,0.0956,4.491,0.2114,2.1466,0.1978,5.4657,861.5753,35.0147,0.3801,58.3396,68.5496,71.9008,0.2253,84.0785,0.296,0.7197,0.1338,0.3937,0.0405,0.0042,193.0555,3.3717,0.0743,0.0119,0.0231,0.0387,0.0015,0.126,0.1229,0.0123,0.0132,0.0562,0.0372,0.0783,0.0438,12.1101,0.0464,0.0253,0.0321,0.1503,0.0
MAR_B09,0.5736,0.0499,0.0739,7.9139,0.1159,0.1993,0.0112,0.0098,0.1094,17.1927,1.0535,0.0074,0.0265,1.9557,1.5845,0.1228,0.0022,0.0123,0.0076,0.0065,0.002,0.0062,1.749,0.0527,8.7195,0.0441,0.1026,0.0094,0.0006,0.0673,0.0013,0.0262,0.0015,0.0,0.0006,0.0024,0.0791,0.024,0.0942,0.1399,0.0676,0.0106,0.0036,0.0125,0.0
MAR_C10T12,645.8748,2.2782,0.0,0.0,0.0049,1567.9011,4.7001,0.1176,0.3911,0.0,2.7185,0.5362,0.1855,0.3126,0.0,0.0907,0.1844,0.0,0.0,0.0,0.0,0.2376,0.0,0.0,0.0,45.7291,0.735,0.5935,1.2147,0.4519,0.0,364.7239,1.8739,0.0,0.0405,0.0,0.0707,0.2876,0.3823,16.8268,6.4313,3.842,2.1417,6.9063,0.0
MAR_C13T15,4.9082,0.3035,0.0091,0.7724,0.0051,4.6645,427.2926,1.1017,1.7107,0.5384,1.6928,0.3306,4.1666,0.727,0.0282,0.499,0.8958,1.505,0.6516,3.6407,0.0628,17.626,0.0998,0.012,5.1594,5.6697,0.6135,0.1621,0.4524,0.2455,0.0149,1.4717,0.9852,0.0666,0.1394,0.0083,0.2635,1.0083,1.5016,12.5329,1.8437,1.1622,0.3802,1.4745,0.0
MAR_C16,2.7585,0.0211,0.0006,0.327,0.0063,4.0758,2.6413,64.0583,5.9685,0.338,0.337,0.0431,1.061,3.775,0.3496,6.8857,0.0675,1.4077,0.3169,2.47,5.7131,35.396,0.0507,0.0064,216.844,8.5956,0.087,0.0226,0.0266,0.0522,0.0086,0.1397,0.6152,0.0382,0.1456,0.0068,0.4827,0.8298,1.4881,0.0534,0.0132,0.0108,0.5799,2.1967,0.0
MAR_C17_18,2.2929,0.2696,0.0223,5.3182,0.008,134.4508,21.7983,0.6656,135.9895,0.6775,20.3879,5.6648,4.669,23.7395,2.2212,2.5128,2.9422,8.8476,1.5319,4.913,0.1978,4.124,2.2569,0.2448,9.0484,44.3424,2.3252,0.4261,1.1496,1.4981,0.5945,4.0634,35.2069,2.5858,0.8442,16.4562,0.8928,7.4444,7.5462,17.7186,23.5442,10.5972,4.5094,15.0526,0.0
MAR_C19,136.5144,64.5402,0.5678,97.8958,0.1908,135.2743,10.7586,0.8615,6.6249,24.7707,73.0901,3.2555,2.3141,149.2448,27.0068,8.1297,1.951,2.6543,1.1128,18.5716,0.0501,6.247,146.6615,12.0992,202.0974,128.5309,246.1999,70.1089,199.7699,29.1722,3.7267,14.5898,3.6387,8.9038,0.6743,0.0,1.7748,4.0067,9.7547,103.1796,18.5567,12.6708,3.1699,11.0249,0.0
