V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_A01_02,11163.1287,183.6762,55.3403,19.3513,0.3112,3070.4395,469.648,185.9869,63.9771,10.0205,140.4339,40.4884,89.077,8.7715,5.8738,6.5604,6.2057,4.0663,5.3135,5.8239,1.1111,47.3539,15.7329,2.9336,126.1743,549.6532,22.2844,12.1971,6.9449,14.7671,1.082,380.8192,9.6713,13.9196,4.8651,17.7263,33.9488,29.0828,50.1902,141.5537,85.3835,121.1127,29.2903,42.7521,0
MMR_A03,108.7865,2442.3906,10.405,3.578,0.053,392.8611,12.8886,1.5611,2.149,1.6366,8.6137,3.0644,1.3278,1.2489,0.997,0.8791,1.2373,0.7378,0.8963,0.9279,0.2123,10.2435,1.4356,0.3655,7.5478,57.9626,3.858,6.3883,1.9975,2.2323,0.19,233.5778,2.9858,3.8788,1.5643,2.9944,4.2465,5.1937,3.7629,20.6628,16.3019,24.2847,6.7049,5.569,0
MMR_B05_06,6.8469,1.8889,133.7566,9.8648,0.2746,1.454,1.7189,0.3593,1.2245,642.4239,8.9343,0.3689,0.7878,5.006,6.7042,0.8395,0.6518,0.5298,0.9162,0.6946,0.1816,0.8159,55.376,0.247,8.0848,7.4383,7.7178,2.1172,2.6626,1.6127,0.1928,0.6392,0.2777,0.8441,0.2149,0.9377,2.4216,1.4967,0.9352,3.0172,1.1563,1.2625,0.3641,0.8367,0
MMR_B07_08,7.8653,1.0557,33.6184,161.5638,0.8994,1.1976,1.0029,0.2764,2.0037,24.7239,35.8598,0.9851,0.9628,143.7548,252.3905,5.1511,1.2905,2.1711,1.6038,1.0081,0.2035,4.1551,6.2573,0.6624,142.9827,3.2006,1.3787,0.1527,0.1157,0.9611,0.0338,0.321,0.1096,0.2712,0.0802,0.2651,2.3335,0.9114,0.6007,2.8931,0.4112,0.5261,0.2554,0.6385,0
MMR_B09,0.0346,0.0109,10.789,0.9424,0.0347,0.0047,0.0048,0.0018,0.0123,1.0266,0.0233,0.0012,0.0038,0.0832,0.1127,0.0124,0.0022,0.0016,0.0047,0.002,0.0005,0.003,0.136,0.0032,0.4114,0.024,0.0212,0.0044,0.003,0.0166,0.0005,0.0022,0.0013,0.0033,0.0012,0.0045,0.0187,0.0099,0.007,0.0217,0.0039,0.004,0.0014,0.0031,0
MMR_C10T12,1103.8908,105.2938,13.1245,5.5108,0.0773,358.2731,46.2605,1.362,7.7691,5.0625,48.8717,13.3663,4.3428,2.9529,2.0697,1.8615,2.7525,1.6578,2.0115,1.581,0.2875,5.245,3.1105,0.9627,11.6194,138.0962,6.8576,10.7846,6.7205,7.6559,0.507,392.8622,5.7229,7.4504,2.7175,10.1359,10.3992,13.5032,11.7063,76.0512,58.7387,78.7719,17.8022,21.7816,0
MMR_C13T15,15.7367,9.7201,18.3827,4.6113,0.0752,3.7753,949.8129,1.7125,5.8185,1.7505,3.2357,1.2507,7.9891,3.5075,2.0232,2.9085,3.2551,2.0748,2.7986,9.6283,0.9345,30.0344,1.5653,0.7452,18.7237,37.8879,5.3794,1.9961,1.8643,2.4889,0.7169,3.7968,2.334,3.2354,0.9146,3.867,2.9361,6.0024,5.8886,29.4273,5.9584,15.1691,4.0353,14.3211,0
MMR_C16,8.281,1.7756,6.0773,4.4242,0.0409,1.4473,2.3896,84.7319,9.0212,0.3273,1.7576,0.3015,1.846,4.5982,1.4848,3.0043,1.9135,1.9771,1.8321,4.097,1.1073,73.5742,1.5512,0.2159,150.8177,13.581,1.4369,0.2479,0.1736,1.854,0.0867,0.5163,0.8234,0.6284,0.2235,0.5672,9.5224,2.1433,1.5227,2.4975,1.7589,1.3324,0.6971,3.8361,0
MMR_C17_18,7.6531,2.0662,4.377,3.3385,0.0283,10.2307,14.4106,3.9377,172.4301,1.4569,7.7899,4.2803,5.9805,9.1546,1.7531,2.7806,5.3439,4.2675,3.0734,2.9096,0.4031,9.3195,1.4162,0.5594,8.1733,61.2912,3.6243,0.7868,0.8826,3.8532,1.5564,2.4948,46.9681,9.3882,4.619,23.1858,5.0443,21.5593,10.2847,23.7376,17.3671,8.8591,3.7571,7.0493,0
MMR_C19,91.6626,31.9911,92.3325,54.2079,0.6203,4.0395,9.5954,3.5595,6.4658,157.1735,39.7736,2.5897,8.4447,25.3443,18.9112,5.5184,3.9871,4.1264,3.892,4.3036,0.8973,7.7596,32.9849,2.8443,70.0655,83.1947,208.1778,55.676,81.2942,20.2082,3.3899,3.0201,2.1451,6.4756,1.7347,8.8418,8.3771,11.8391,11.4847,36.2129,9.0928,11.2827,2.6037,8.9986,0
MMR_C20,129.8503,3.7215,43.5898,29.5033,0.3744,5.3702,38.8309,8.5761,30.3236,37.0694,174.5717,20.5978,106.3542,23.1561,11.8808,11.1363,16.8124,14.7816,7.7751,11.8674,1.608,21.2082,3.8076,2.2249,41.7236,24.6332,4.7397,1.1531,0.9934,2.2024,0.1763,2.0662,3.7942,1.1818,0.7287,2.0619,9.3514,7.8378,5.7432,8.5045,5.2547,27.1595,1.6346,11.9743,0
MMR_C21,15.8262,1.154,2.2272,1.1546,0.0125,1.2123,1.6948,0.2093,0.6382,0.8278,5.9571,43.0326,2.0538,0.5258,0.4454,0.2748,0.6699,0.393,0.4279,0.363,0.0672,0.8997,0.1748,0.111,1.5138,3.4836,0.4004,0.2152,0.1929,0.2299,0.0375,0.3023,0.183,0.2744,0.1129,0.4227,0.377,2.9543,0.3978,6.6524,1.4495,110.2077,0.368,1.1162,0
MMR_C22,14.025,3.1229,17.7407,10.131,0.1139,9.4073,21.4711,2.8866,10.733,2.6809,12.3151,4.2578,58.9568,8.0066,2.8597,7.8089,18.5116,17.448,12.3283,37.3439,2.7267,22.8135,1.1635,1.0217,88.1869,61.2883,21.4535,0.7578,1.5316,3.7347,0.5015,1.3132,1.697,2.1203,0.6351,2.0259,5.5031,4.8059,3.3166,5.8634,2.1497,5.9791,0.8204,5.2025,0
MMR_C23,9.1381,1.2784,13.2838,14.339,0.1906,5.1716,3.1647,2.4462,0.9943,1.6285,4.905,2.5267,4.474,128.6091,7.9597,6.3287,9.8453,6.8772,4.2751,9.5129,1.0191,6.9796,1.8475,0.7401,468.5544,14.6248,2.2213,0.4842,0.4199,1.2848,0.1012,1.4397,0.3504,1.5101,0.2822,1.1964,15.3124,3.0958,1.3432,4.9643,2.3172,3.0899,0.5971,2.3408,0
MMR_C24,1.4662,0.2409,40.3566,6.4851,0.2222,0.6249,1.1824,0.9301,1.4271,1.7824,2.8981,0.3729,3.7508,8.4085,194.3408,122.9071,22.4625,61.0924,58.6043,52.3129,7.5411,27.4081,1.5075,1.269,99.8033,6.4456,1.8531,0.2909,0.1738,1.0904,0.02,0.085,0.2379,0.543,0.0859,0.3552,1.3712,1.5193,0.4003,0.9207,0.2801,0.4619,0.1114,1.2513,0
MMR_C25,8.7096,2.0293,37.3224,9.0137,0.1843,3.5389,5.2494,2.8753,2.0533,2.9228,3.2675,0.7206,3.9567,5.9815,14.1093,50.3456,12.5084,15.1553,29.0594,25.4111,4.5107,17.1614,2.6559,0.747,124.9018,16.4025,3.1606,0.8918,0.679,2.1226,0.1247,0.7419,0.5845,2.2551,0.4417,1.2301,4.4428,3.6022,1.9,7.8745,1.4778,1.705,0.6209,3.222,0
MMR_C26,2.5295,0.8675,3.9917,1.0783,0.0247,0.6983,1.1405,0.1681,0.6668,0.5549,0.5661,0.2433,0.5448,0.5907,0.5514,1.0741,67.4065,7.1257,3.4513,3.331,0.6182,3.435,0.9262,0.1468,7.1688,7.482,1.2696,0.3656,0.5225,0.7778,0.1786,0.3449,1.1952,12.5695,2.5312,2.1581,0.7844,3.6672,1.1794,3.8645,1.8384,4.2286,0.4993,4.7699,0
MMR_C27,2.4018,0.8246,5.1412,1.8469,0.0347,0.5435,1.0956,0.2237,0.4338,0.6511,0.5757,0.1614,0.6895,0.9664,1.7205,2.4151,17.8453,35.2896,8.839,9.4224,1.3487,5.5179,4.1537,0.2223,41.4038,10.0638,2.3299,0.3804,0.4375,0.8646,0.0958,0.4335,0.4876,5.5697,0.6787,1.032,2.3257,1.9657,1.0163,2.4312,0.8484,1.0807,0.4241,3.7339,0
MMR_C28,7.0692,1.4428,30.7616,8.5412,0.1665,0.9739,2.2504,0.6458,1.4409,1.8069,1.2134,0.3306,1.2393,2.3918,2.2371,3.5096,4.6157,4.155,22.9936,9.5306,1.589,5.7995,1.8678,0.4094,19.7368,9.7205,2.2429,0.7205,0.9225,1.33,0.112,0.3254,0.4009,1.7297,0.4036,0.8815,1.2799,1.8136,1.3573,3.5944,0.7069,1.1737,0.3126,1.8066,0
MMR_C29,2.3157,0.5442,3.6775,1.6661,0.0235,0.4694,0.9177,0.1945,0.3094,0.3535,0.3625,0.1126,0.7099,0.6745,1.955,1.4595,1.5618,1.8031,2.9004,78.8506,0.924,2.2694,0.3434,0.2026,4.5437,31.8289,10.3159,0.2574,0.4421,1.2173,0.1803,0.1743,0.1736,0.752,0.1613,0.4911,0.5253,0.9111,1.2846,1.9682,0.3835,0.5674,0.1558,1.171,0
MMR_C30,0.159,3.0883,0.6178,0.2386,0.0022,0.0314,0.0529,0.0143,0.0214,0.0333,0.0232,0.0092,0.0412,0.0425,0.0559,0.1344,0.2025,0.1244,0.2788,1.7977,11.1137,2.4179,0.0423,0.011,0.4823,0.8548,2.0351,6.0525,3.6915,0.4273,0.0145,0.0174,0.0196,0.0581,0.0167,0.0441,0.0512,0.1325,0.1825,5.4463,0.045,0.0758,0.0508,0.3198,0
MMR_C31T33,14.415,4.9345,34.7238,12.0091,0.2289,2.1891,15.2736,3.4002,3.5395,3.7687,2.7469,1.2401,2.1917,4.6325,4.5663,4.1352,7.7621,3.9256,4.895,6.1718,1.5803,44.4194,5.8752,1.0327,30.4822,24.8132,9.6076,4.0845,6.5643,4.5634,0.5717,2.2281,1.9727,7.8415,1.4763,7.6085,6.278,7.3742,5.5683,15.8842,10.5235,33.1467,3.8952,6.2466,0
MMR_D,17.2796,2.7848,50.6425,22.5839,0.1634,3.095,10.2252,2.8821,8.6708,10.8232,10.2408,1.6461,4.7613,13.8878,15.0328,4.6751,4.9013,2.8836,3.3746,4.3109,0.7187,4.2933,70.5586,2.4632,7.1889,31.2343,8.8938,0.8486,0.7614,6.7896,0.736,4.8771,1.9591,9.2168,1.28,7.5695,17.0736,5.6222,3.5914,21.8696,13.414,11.118,3.4747,6.0928,0
MMR_E,2.356,0.3954,3.858,1.3596,0.0166,0.5063,1.3115,0.2809,1.7747,0.7052,0.8781,0.2088,0.5014,1.1431,7.7788,0.8338,0.4114,0.2887,0.3887,0.3469,0.0858,0.5167,1.2775,3.4645,2.2561,4.6681,1.0022,0.2052,0.1331,0.735,0.0866,0.7904,0.2516,0.7248,0.1971,1.0004,4.2999,1.0811,0.8312,8.0662,2.0005,2.2958,0.4742,1.1499,0
MMR_F,14.6094,2.5098,27.9943,9.9077,0.1809,1.6587,3.5386,1.1567,1.5395,3.7877,1.7349,0.6285,1.2496,4.3929,2.2508,2.5851,2.2141,1.5025,1.9035,1.6373,0.4419,3.6005,8.6291,2.2317,257.8473,23.6555,10.9644,1.509,1.6936,8.7705,0.5426,2.2923,1.3008,9.161,1.1662,8.6818,121.4822,11.3468,4.0046,47.8919,11.5355,7.1695,2.3248,3.5549,0
