V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_A01_02,266.3029,0.1501,0.0012,0.001,0.0001,469.8195,0.1241,2.0446,0.0327,0.3103,14.115,0.074,0.3982,0.0109,0.0231,0.0074,0.0001,0.0002,0.0222,0.0096,0.0092,1.1917,0.0844,0.1059,0.3943,6.7412,0.065,0.0,0.0,0.001,0.0,24.5686,0.082,0.0881,0.0217,0.0006,0.5392,0.0214,0.0315,1.6783,0.2089,0.989,0.9055,0.4196,0.0
JOR_A03,0.0,0.0974,0.0,0.0,0.0,0.2328,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0001,0.0
JOR_B05_06,5.383,0.0,5.334,0.1642,0.0264,8.9899,0.0038,0.0113,0.0034,191.8172,0.014,0.8434,0.1347,61.4863,0.0439,0.4096,0.0012,0.003,0.0068,9.9914,0.0001,9.9528,7.5348,2.105,0.062,81.6512,18.9722,0.4313,11.9214,0.778,0.0019,0.001,11.6664,0.0002,0.0027,21.3851,0.0915,0.007,0.0136,0.0001,0.018,0.0002,0.2121,0.279,0.0
JOR_B07_08,0.0011,0.0,0.1278,0.4635,0.0438,11.8734,0.0049,0.0149,0.0019,0.0,140.8121,1.107,0.174,46.2341,0.0536,0.5384,0.0014,0.0036,0.0088,0.0,0.0,0.184,0.0,0.0302,48.0428,0.11,0.0168,0.0,0.0,1.0155,0.0025,0.0,0.0,0.0001,0.0028,0.0,0.0907,0.0057,0.0112,0.4456,0.0235,0.0,0.1373,0.265,0.0
JOR_B09,0.0,0.0,69.3496,0.4322,42.5129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2111,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,145.7384,0.2639,0.0439,0.0602,0.013,540.9618,0.2711,0.0117,0.4188,0.1822,26.1255,2.1839,0.7345,0.1301,0.2432,5.6207,0.0278,0.0493,0.0446,0.0539,0.2374,2.869,0.2686,0.4734,2.4371,3.1149,0.4829,0.0112,0.1695,0.4542,0.0041,142.1386,0.2024,0.8439,0.0793,0.2039,2.0433,0.0489,0.1322,17.4947,5.3859,14.275,4.3446,0.5452,0.0
JOR_C13T15,0.1321,0.0454,0.0222,0.0275,0.0025,11.0264,70.5987,0.2458,1.2204,0.2013,0.1486,0.1406,0.178,0.0958,0.2046,0.0756,0.026,0.0321,0.2934,0.0221,0.0568,2.3134,0.0088,0.1601,0.6143,1.9594,0.3538,0.009,2.0647,1.8971,0.0272,4.5817,0.1518,0.1099,0.1007,0.9565,0.3841,0.1839,1.7344,0.9529,2.802,1.5065,3.6824,2.7914,0.0
JOR_C16,3.3783,0.0001,0.0046,0.0056,0.0008,0.1987,0.0547,6.6811,2.7941,0.0013,0.4416,0.0386,0.227,0.276,4.4315,0.2276,0.5445,1.1387,0.2328,0.1813,0.0084,15.8964,0.0012,0.0758,8.4494,0.58,0.0089,0.0182,0.0001,0.0008,0.0,0.122,0.0814,0.0033,0.0057,0.0111,0.0155,0.0084,0.0071,1.1496,0.6261,0.0043,0.0736,0.0358,0.0
JOR_C17_18,1.0157,0.0007,0.1548,0.1584,0.0184,9.6094,0.6188,0.0267,76.4612,0.1764,7.9758,10.1611,5.0198,4.6456,1.0531,0.5442,0.3774,0.5981,0.2798,0.2197,0.074,0.4985,0.6185,0.4646,5.2229,9.1595,0.9148,0.2273,0.939,2.9033,0.358,2.6788,15.4878,2.7142,2.2779,8.4943,0.5746,11.2735,5.6812,6.0319,7.7637,2.5714,1.3826,0.4247,0.0
JOR_C19,95.775,0.1607,23.3944,48.3326,4.2584,85.9779,1.8784,0.6523,7.3688,201.4198,44.9641,5.9296,5.3815,60.6777,14.1947,7.3393,0.6741,1.5187,1.0559,0.5871,0.7179,2.284,392.9973,6.6277,5.1031,50.1897,230.2099,8.196,378.8148,16.7133,2.4455,24.5576,1.9067,8.5114,0.8531,4.2398,3.7961,1.6385,11.4729,85.4543,42.4856,11.4509,6.1629,3.3769,0.0
JOR_C20,9.8265,0.0107,0.8731,1.5824,0.2497,7.5725,0.854,0.2406,6.3882,0.7491,116.5463,44.6706,24.3983,3.1355,25.6634,1.56,1.3147,2.4927,0.8633,0.0749,0.3327,2.292,1.0643,1.0096,5.7383,5.1092,0.458,0.0398,0.0773,0.5198,0.0341,2.6937,0.5589,0.1672,0.2515,0.4143,0.6355,0.2625,0.0588,0.6509,1.9525,2.2193,0.488,4.6606,0.0
JOR_C21,16.7205,0.0039,0.2584,0.2711,0.0519,1.865,0.0149,0.0018,0.0749,0.0023,15.0416,20.7345,0.7221,0.0095,0.0123,0.0303,0.0031,0.0044,0.2142,0.1313,0.2083,0.1289,0.0054,0.7846,0.1073,2.5333,0.0744,0.0002,0.0052,0.0289,0.0007,0.0588,0.0699,0.0167,0.0151,0.1586,0.1207,0.229,0.2246,16.0114,1.2928,55.7478,0.2642,0.5424,0.0
JOR_C22,3.3154,0.0068,1.0582,1.4515,0.2157,35.8721,1.8566,0.07,5.4583,0.2336,18.3317,8.8557,65.6857,2.8319,0.9656,0.9343,2.0454,4.2422,2.8663,0.0277,0.0581,1.2021,3.1804,0.4911,83.0718,44.6116,4.3837,0.0445,2.5179,1.0752,0.281,2.2577,0.4895,0.0807,0.176,0.4028,0.42,0.204,0.457,0.0332,0.037,0.1098,0.6348,1.6962,0.0
JOR_C23,0.2459,0.0,0.2014,0.4295,0.0846,12.1755,0.0054,1.1892,0.0133,0.566,4.7106,4.3044,2.1214,94.0448,6.066,8.0096,1.0336,1.9186,0.8223,0.0732,0.0199,1.7667,0.09,1.1246,534.1827,1.4145,0.2193,0.0001,0.001,0.0029,0.0001,0.031,0.0592,0.0028,0.0273,0.0045,0.1812,0.1184,0.2074,45.2341,1.2375,0.0756,1.0604,1.7883,0.0
JOR_C24,1.5144,0.0008,0.1048,0.1719,0.0366,2.1748,0.0729,0.2216,0.9307,0.357,5.4228,0.7005,3.7661,0.5998,51.1234,87.7756,13.8407,51.9846,9.5672,6.7997,0.3655,11.9298,5.058,2.8666,67.7442,3.0012,0.1085,0.0037,0.0242,1.7935,0.1851,0.3945,0.062,0.4859,0.0556,0.0955,0.1497,0.032,0.0516,5.0788,0.068,0.1479,0.2297,1.9724,0.0
JOR_C25,0.1144,0.0001,1.759,2.8778,0.6116,29.1762,1.1716,0.8653,0.6111,1.3014,9.1914,7.7793,1.6743,3.2044,6.9179,48.9301,5.419,13.416,5.5874,1.3681,0.0358,4.9013,2.3815,1.4758,143.869,6.2317,0.5504,0.0833,0.4131,2.1902,0.1351,6.6829,0.1288,8.1319,0.8964,0.1224,0.4377,0.2581,0.4471,0.2884,1.7836,2.4537,0.635,5.4401,0.0
JOR_C26,0.3805,0.0002,0.0188,0.0001,0.0,0.4098,0.0012,0.0023,0.0134,0.0215,0.0,0.0577,0.1029,0.0043,0.1235,0.6307,1.7579,0.4371,2.9755,0.0007,0.1121,0.2673,0.0,0.3381,9.3211,0.4667,0.0142,0.0008,0.1564,0.0001,0.0124,0.0038,0.0364,0.0019,0.9772,0.0016,0.034,0.0391,0.0557,0.0,0.033,0.0241,0.8913,1.7468,0.0
JOR_C27,0.104,0.0001,0.1643,0.2537,0.054,2.6962,0.1041,0.0776,0.0602,0.1261,1.4911,0.7226,0.1981,0.2844,0.6522,4.6164,0.8171,2.4508,1.754,0.1196,0.0716,0.4891,0.5851,0.213,53.8896,0.6718,0.0548,0.0075,0.0359,0.1929,0.012,0.5953,0.024,0.721,0.5219,0.008,0.0569,0.0425,0.0656,0.1208,0.1443,0.2148,0.4692,1.2321,0.0
JOR_C28,0.9383,0.0,1.705,2.3948,0.4053,2.4512,0.2256,0.0247,0.5904,0.7457,3.3632,0.5681,0.9565,2.5849,1.687,0.7708,0.4532,0.9753,2.9769,0.0409,0.0155,0.2429,0.0574,0.4779,23.5009,2.3322,1.0359,0.0006,0.7083,1.2963,0.0056,0.1601,0.0707,4.0169,0.2776,2.6454,0.0427,0.1602,0.2016,0.1386,1.1142,5.2303,0.1091,0.2105,0.0
JOR_C29,0.1784,0.0001,0.0505,0.0673,0.0083,0.3783,0.3509,0.0056,0.0053,0.0087,0.0653,0.0649,0.0108,0.0212,0.0483,0.3709,0.0366,0.0897,0.3061,3.1437,0.0395,0.108,0.0158,0.1101,1.6198,2.7372,7.4777,0.5744,0.9291,1.5027,0.0626,0.0446,0.0211,0.4658,0.0186,0.0165,0.0367,0.0367,0.0489,1.4094,0.0615,0.3139,0.0285,0.0772,0.0
JOR_C30,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5321,0.0,0.0,0.0,0.0,0.0,0.007,0.286,0.1194,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0002,0.0026,0.0,0.0,0.0,0.0033,0.0043,0.0
JOR_C31T33,1.0624,0.0013,0.0923,0.1387,0.0228,3.3753,0.6927,1.9462,0.8851,0.2129,1.0115,1.5692,1.877,0.4062,1.3536,1.4434,0.7181,1.342,0.7718,0.2178,0.3738,8.7519,2.6135,0.3045,10.121,1.7219,0.1956,0.2219,0.0947,0.252,0.0178,2.0784,0.0651,0.2977,0.0881,0.1504,0.0952,0.0547,0.0866,2.1633,7.7969,0.27,0.1729,0.3798,0.0
JOR_D,77.9964,0.4748,19.7749,35.589,3.0095,68.3927,10.2846,1.1972,18.7485,4.0892,69.2489,8.957,26.0,69.2562,21.9447,10.0514,1.4499,2.5513,2.1093,1.5514,0.4071,2.9464,2.7948,69.8052,36.7577,94.7811,5.6683,0.1394,2.0663,9.7687,0.8268,64.375,2.3969,16.7719,2.7708,26.5782,12.3968,2.4524,4.6793,93.0144,48.297,33.8604,13.48,13.1138,0.0
JOR_E,18.8445,0.0038,6.3239,9.0362,1.9843,14.2894,1.353,0.1298,3.8267,1.009,16.455,9.9021,2.1503,4.9414,1.9232,1.0222,0.2415,0.462,0.917,0.1611,0.5854,0.4264,2.1425,1.5147,12.7069,20.477,0.6688,0.8589,2.2905,3.3129,0.1072,16.114,1.7982,4.5661,0.9565,21.4092,4.7182,0.4584,1.5741,8.3746,18.106,13.2648,1.693,2.1089,0.0
JOR_F,5.7675,0.0001,0.9224,0.1243,0.0195,7.7672,0.5211,0.1144,1.1257,0.2451,1.8691,1.1244,0.5006,1.4659,0.3985,0.5567,0.0626,0.0981,0.1943,0.0775,0.6238,0.4168,0.647,9.5292,77.9431,28.3441,1.6996,0.0399,0.1955,0.8057,0.0456,14.0611,0.535,6.0511,0.532,7.654,256.696,0.6739,1.3553,101.2954,29.5856,14.1488,5.4053,3.9062,0.0
JOR_G,104.1296,0.1928,14.3788,21.533,4.301,241.7681,109.0226,3.1929,24.3034,31.2716,54.3098,42.0648,17.3238,34.6311,16.6285,20.351,3.9687,7.6989,6.3634,6.5858,0.9255,14.3044,51.2603,6.3511,125.829,62.7316,64.8033,4.8837,73.5911,11.0047,0.5671,51.0934,19.0638,34.2169,2.5039,20.8926,3.3317,2.6019,26.1896,63.6623,29.4256,32.8699,9.3333,9.3791,0.0
JOR_H49,44.9731,0.0606,2.9391,3.3713,0.4553,99.2755,12.8971,1.2056,11.1208,25.106,53.823,12.0585,11.8585,32.0808,12.672,10.5253,2.8009,5.2958,3.4507,3.2578,0.589,6.5356,110.3528,1.41,102.9589,23.7897,22.1203,1.3071,25.1981,6.2013,0.631,16.37,5.0452,3.447,0.8129,5.7768,1.0844,0.4464,20.6456,12.681,7.3671,9.6491,2.8735,1.1927,0.0
JOR_H50,0.6278,0.0037,0.0188,0.0192,0.01,3.7233,3.0773,0.1342,0.1365,13.9299,1.2142,0.4537,0.5342,0.7787,0.7609,0.569,0.2163,0.6061,0.3298,0.2757,0.0252,0.5395,1.3918,0.0174,4.2824,0.2236,0.0107,0.0161,0.8956,0.0607,0.0137,0.7505,0.0176,0.0088,0.0095,0.2426,0.0115,0.0615,0.0294,0.5828,0.2554,0.0313,0.1939,0.2263,0.0
JOR_H51,7.888,0.0204,0.7728,0.5749,0.035,16.6821,9.312,0.5086,1.5714,28.6969,4.833,0.7096,1.7519,7.6084,2.7109,3.042,0.7004,1.8497,0.9626,1.4116,0.0263,2.5248,4.7443,0.5019,16.3545,7.455,5.8133,0.1635,0.0854,0.4359,0.043,3.0891,1.0387,0.4749,0.1325,1.7972,0.1535,0.2338,0.3238,0.9811,0.84,1.3545,0.6305,0.7558,0.0
JOR_H52,14.9144,0.0029,13.4482,20.714,3.1214,13.5369,2.1175,0.1983,1.7414,8.8554,11.3863,11.8856,1.6918,18.9563,1.6492,2.1256,0.8719,1.3426,0.9729,1.2786,0.341,0.9628,2.803,1.5138,8.2153,58.6721,29.6734,13.2707,2.4406,34.2596,3.9625,3.2888,6.0171,4.0596,1.6269,4.8676,1.2572,12.5326,15.4997,4.9387,4.2603,3.6743,4.3887,0.3289,0.0
JOR_H53,0.0273,0.0,0.008,0.008,0.0016,0.1445,0.0103,0.0051,0.047,0.0066,0.1155,0.069,0.0529,0.0326,0.0197,0.0418,0.0081,0.0098,0.0211,0.0095,0.0063,0.0268,0.0318,0.035,0.1635,0.6076,0.0254,0.0266,0.1364,0.1513,0.0916,0.1637,0.1529,4.3012,0.0854,0.8223,0.0496,0.1306,0.127,0.0,0.1491,0.1065,0.1484,0.0109,0.0
JOR_I,0.0198,0.0,0.521,0.2386,0.1097,3.3496,0.9636,0.2463,1.0026,0.0549,2.9638,1.9121,2.2611,1.3079,1.1625,1.2321,0.2907,0.3059,0.6252,0.2765,0.475,1.1218,0.8162,0.7969,0.2368,42.9116,6.6477,0.1645,0.5175,2.0244,0.0706,7.5283,1.687,1.8252,1.3839,7.5451,1.7547,3.0985,26.0021,199.7136,8.7116,13.1232,4.1229,5.4259,0.0
JOR_J58T60,0.2165,0.0002,0.9686,3.5665,0.0308,2.8036,0.3108,0.0191,11.4576,0.4636,1.743,7.6391,0.6629,0.2654,0.2026,0.2141,0.1136,0.2015,0.2784,0.0463,0.2052,0.1347,0.9343,0.2793,1.8068,7.6067,0.5884,0.3429,1.4615,2.4738,0.1482,2.2635,6.5354,3.0831,1.8782,6.9279,0.9943,1.5517,3.2439,3.5362,4.0748,2.2372,0.545,0.3291,0.0
JOR_J61,3.443,0.0011,0.3304,0.4287,0.1021,6.0255,1.2055,0.2657,1.3771,0.4955,4.346,3.0926,1.2483,2.0226,1.1402,1.6002,0.399,0.4281,0.8962,0.5048,0.467,0.8434,1.9219,2.946,11.9133,59.6739,5.6431,0.2702,2.81,4.9388,0.5721,4.1167,1.136,357.2711,3.6172,31.0593,9.5216,5.1822,18.671,18.5133,21.2691,10.2301,8.5508,12.8434,0.0
JOR_J62_63,0.089,0.0,0.155,0.094,0.0166,1.2819,0.2246,0.0294,0.3745,0.0088,1.6519,1.1689,0.2491,0.4938,0.2909,0.33,0.0802,0.0704,0.1599,0.0575,0.1415,0.2833,0.8505,1.673,0.79,28.974,2.7724,0.0627,3.2164,1.6938,0.1635,5.9038,0.9071,7.6834,5.4587,33.6659,1.0396,1.8276,4.383,13.8596,12.1827,7.8614,1.6091,1.9633,0.0
JOR_K,23.5702,0.03,2.9643,4.34,0.7212,29.3521,5.3444,0.4935,4.674,28.1122,22.498,17.4547,2.9751,12.186,3.8326,4.1722,1.4354,2.24,1.7579,1.7523,1.1731,2.3047,56.1545,8.3481,142.2231,196.1321,80.1458,1.8994,7.9098,11.4865,1.2599,38.1898,3.4342,34.624,4.2825,102.3323,6.4334,10.7885,36.9887,55.7358,51.5118,29.1266,8.1413,12.5157,0.0
