V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_A01_02,6238.6265,585.5473,6.0773,2.5177,2.2885,28415.3465,1862.4244,1535.8876,563.022,23.3535,907.4192,163.2015,3752.4465,31.5825,0.0081,18.1555,0.1901,0.0376,1.9077,0.0007,40.71,97.9074,0.0048,85.1724,1674.9811,70.8412,0.622,7.9064,44.5654,0.4383,0.0065,2317.263,135.4501,0.0175,0.0676,2.9923,1.4726,0.6405,8.7189,21.7189,20.8221,2138.9741,108.6109,285.3292,0.0
IDN_A03,9.6306,360.985,0.0,0.0,0.0,1765.2396,0.1685,0.2876,0.0,0.0,1.8258,0.4933,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,8.2297,0.0,24.2936,0.0,0.0,0.0,8.7193,0.0,0.0,0.0,1075.1721,0.0,0.0,14.4274,0.0,0.0,15.2621,39.9434,4.6552,25.3966,174.6454,0.2216,15.0207,0.0
IDN_B05_06,0.0405,0.0,3253.0579,13.2682,13.3355,12.8272,15.9016,1.4265,30.0245,7110.411,3140.6506,94.7612,242.4623,471.6812,897.6738,1351.912,0.1538,93.4679,4.8488,6.503,2.7206,6.1924,3187.2788,0.0,0.5828,0.0,0.0663,0.0,0.0,30.1836,0.0,0.0922,0.0271,0.0,0.0,0.0,40.4833,52.1523,23.7413,0.0,0.0,0.0,0.0,0.0,0.0
IDN_B07_08,0.3906,0.9252,0.667,368.3871,348.3421,86.9786,6.9935,4.2594,0.0003,61.052,1309.7996,16.9355,94.3322,1492.9569,3360.8228,2364.2011,12.0689,87.0718,5.8561,0.8515,43.1791,65.5958,0.0172,8.0831,6174.2966,108.6759,0.0,0.0,0.0,0.0092,0.0,0.0188,0.0,0.0,2.982,0.0,0.0,9.3767,0.0306,3.9958,103.1825,0.0053,0.0019,0.0081,0.0
IDN_B09,0.0,0.0,2067.2698,456.2814,109.3395,0.0625,0.0067,0.0,0.0,2.3486,20.1689,0.0,3.2152,16.5054,51.6468,11.6321,2.3915,9.7007,0.0,0.0535,0.0216,12.4195,0.0002,0.0,1.6643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766,0.0,0.0,198.3727,0.7871,0.0,0.0,0.0,0.0,0.0,0.0
IDN_C10T12,2737.4547,499.4371,36.5466,28.9417,1.176,8005.8403,238.0813,18.0196,38.6511,11.4152,200.4957,31.2565,3.9077,5.4695,14.6524,21.3348,19.9888,22.9193,5.1222,13.6435,30.3827,13.1904,11.7554,29.1559,25.7759,513.5527,1.1645,224.5831,133.806,54.2714,30.8818,3234.9875,26.3804,17.966,15.7656,43.325,198.8913,36.8118,238.8222,20.4008,8.0537,2322.5777,153.0932,17.2342,0.0
IDN_C13T15,99.1393,8.7025,29.6689,8.5675,7.5267,14.5825,9896.9247,13.8981,37.7218,3.1553,14.6324,16.9463,38.1916,5.0805,3.1137,162.0509,4.0252,13.2671,1.9246,15.7823,22.3206,155.521,11.3695,4.7629,151.9331,2079.161,0.8781,3.2556,0.2055,35.5556,18.8493,8.6761,19.97,7.3415,3.0593,4.6965,280.3151,57.9448,217.6025,57.1498,21.0053,70.2025,6.5664,251.2769,0.0
IDN_C16,19.4716,1.004,0.0076,6.774,5.6134,6.7387,1.1636,791.2691,2.0014,138.5324,16.0489,0.2814,8.5141,61.5531,0.6347,39.9266,7.3221,10.2116,0.1921,4.46,77.5547,550.0836,0.0002,1.1954,3833.3217,1698.6949,0.962,0.0,0.0005,4.0065,1.1191,2.2417,6.4525,0.2471,0.0489,0.0,78.381,8.2043,5.5582,2.8438,3.9872,0.5943,0.2072,250.0885,0.0
IDN_C17_18,13.684,0.247,37.7877,8.3134,3.8466,84.9939,35.8266,3.2515,2819.1008,3.0688,11.6543,6.1939,8.2176,9.4219,7.4896,8.2641,113.4137,49.3308,2.0799,1.6598,14.4178,20.7177,1.8383,5.1538,79.2137,5762.1886,2.9638,1.9224,0.935,6.2053,43.1851,5.1691,1128.1694,52.0375,32.6785,258.9801,422.9667,149.2861,993.2058,289.6677,526.8232,16.9497,10.9262,35.7348,0.0
IDN_C19,132.0524,197.3681,225.5494,267.077,241.6576,63.199,200.8297,39.52,205.8215,169.7861,151.5387,17.0747,34.8553,155.5849,117.4022,158.5756,29.0696,64.7974,12.9274,54.593,84.6532,93.9037,1067.9649,19.5663,2605.148,14314.0986,1800.7959,680.5388,1149.586,119.2169,226.7304,26.9132,87.2473,14.4202,30.0176,3.9469,976.1933,67.2788,1223.8832,70.1451,28.667,57.3975,30.5904,57.1337,0.0
