V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_A01_02,7652.284,17.4849,12.5612,6.2779,0.0,22888.3705,1260.1209,220.2965,148.7806,13.7834,45.223,14.9441,49.7557,4.7689,2.6453,3.1963,0.6618,0.8736,3.9169,6.7544,0.2169,7.2332,21.9828,3.5751,227.8657,49.2615,52.829,0.3017,0.8985,13.5844,0.7638,934.5997,2.5367,40.3105,2.1048,6.1264,145.7005,22.1216,43.2343,126.9042,42.5144,26.9682,3.4475,21.8327,0.0
ARG_A03,10.9721,27.8482,0.033,0.0015,0.0241,331.8419,0.1018,0.0081,0.301,0.3448,1.9342,1.077,0.0288,0.0202,0.0331,0.0586,0.0209,0.013,0.0768,0.0796,0.0039,0.1052,0.0171,0.0069,0.0461,0.28,2.7871,0.0301,0.5891,0.5453,0.0571,132.519,0.1018,0.0534,0.018,0.0269,0.0057,0.1232,0.3877,3.0441,2.5245,3.0498,0.2883,0.9033,0.0
ARG_B05_06,4.3623,0.0905,355.5693,7.7008,36.5833,16.6356,3.0758,0.9607,2.2731,7255.8786,129.1711,80.4789,3.0426,20.4629,44.3009,5.2613,1.337,1.691,3.5751,5.146,0.3048,10.5365,2192.9052,4.5706,264.0035,36.2638,64.0076,0.419,1.9603,16.7959,0.9942,20.1577,4.5165,51.8909,5.0928,29.7406,169.9228,12.0435,23.2244,49.7786,27.6233,21.6844,2.5083,10.5124,0.0
ARG_B07_08,1.3452,0.7813,105.1651,543.0462,0.0667,79.3089,11.8613,0.0527,9.2656,114.7454,66.1425,67.9576,1.2779,591.7049,958.8966,28.4709,0.646,0.837,1.3485,28.6067,0.1307,2.6481,0.1312,6.2578,858.3129,0.3793,0.0945,0.0038,0.1217,0.1156,0.0,11.6922,1.0613,10.214,0.8057,0.0903,98.1356,0.5352,18.1358,25.506,0.7795,0.338,0.6052,2.5888,0.0
ARG_B09,0.0,0.0,3272.6346,79.5573,138.9909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573,0.0,14.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.802,19.727,0.0,0.0,0.0,0.0,0.0,0.0
ARG_C10T12,1472.8524,14.5495,15.7153,8.8422,4.7907,6654.7451,66.7369,8.8848,87.2658,28.1605,178.0971,153.8296,31.7296,55.6996,71.4407,21.5643,12.8088,14.3698,23.0704,56.8603,1.4286,16.3291,9.8304,22.0138,127.4504,92.1393,32.6274,0.4988,58.4009,16.7445,1.3943,4645.3786,24.3435,70.7964,24.2665,39.1007,28.7441,55.5391,109.0709,555.4256,294.6486,343.9878,226.9182,149.5712,0.0
ARG_C13T15,146.8299,6.7318,37.8237,1.5568,29.1743,251.1041,2231.8859,8.2005,56.2949,11.9924,24.2361,56.7957,170.9115,14.7991,14.7467,15.1328,9.2468,8.6646,25.5578,75.9989,1.893,69.2517,8.8033,20.3576,56.1098,127.234,46.5911,0.4377,19.3664,55.7806,7.897,103.6852,17.8964,46.0537,7.5665,21.3561,52.5908,30.5364,37.9271,189.0376,48.9864,92.7637,38.3164,97.0576,0.0
ARG_C16,120.8337,0.5105,0.8008,0.32,0.2199,97.4219,7.9721,286.8853,15.981,2.8767,7.5683,5.3374,12.5999,12.535,4.4066,20.0229,4.3979,9.6751,9.0706,10.8046,0.3698,245.9444,0.5855,48.8495,584.7431,340.0936,1.7529,0.0237,0.6337,13.9817,0.1227,15.2571,11.3024,4.5227,1.1483,1.7709,63.9019,8.1714,13.5624,12.6811,2.2283,1.8961,10.2323,6.11,0.0
ARG_C17_18,22.6495,10.2808,5.4815,43.4179,9.2129,726.15,58.1674,24.2229,1648.9026,7.4541,92.673,136.7435,53.2352,84.9471,10.8201,29.0221,32.9755,31.5831,23.1364,24.4682,2.4866,38.4081,11.3835,10.0474,32.5173,289.2595,40.8799,0.8987,16.8694,10.0353,29.7347,99.5235,569.5338,55.1093,101.8728,289.853,38.4982,306.2662,77.2485,277.6153,176.1343,74.0837,46.2596,132.3021,0.0
ARG_C19,888.7616,42.5985,16.8716,90.1024,39.5568,201.1695,45.4218,25.7378,51.7712,615.0417,386.9391,74.2101,205.8177,87.2533,96.7253,34.1265,10.3333,27.3216,23.5403,33.6387,2.8443,24.5178,166.2161,71.941,175.9853,316.8563,1818.9784,9.0107,409.4457,256.9002,10.8967,27.1561,9.97,22.0804,10.2783,48.086,29.5935,42.7111,62.7805,308.8734,27.7314,43.7861,15.9061,24.0595,0.0
