V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_A01_02,4441.5567,2.5047,5.0687,0.1404,0.0517,19829.8311,525.5153,424.3712,169.4821,13.2917,94.5009,43.6153,338.7319,60.681,74.3558,72.4025,12.9137,24.4948,52.7005,31.04,28.1638,111.3566,331.5493,75.9295,182.4064,2309.5475,50.244,32.3842,11.4024,145.9217,7.9547,1160.775,21.0004,50.595,23.7571,39.1958,48.8417,162.1811,690.2097,171.1673,45.2027,134.7679,88.0365,56.4518,0.0
ITA_A03,1.0208,9.0758,0.0037,0.0001,0.0,47.2941,0.2466,0.0005,0.0057,0.0025,20.5607,0.8904,0.0044,0.0052,0.0042,0.0985,0.0044,0.0132,0.0858,0.0087,0.0041,2.4215,0.0073,2.4866,0.1804,8.1114,0.1188,42.5691,0.0004,6.6366,0.0128,179.3302,3.7387,0.0028,0.5596,0.0477,1.3358,0.5887,1.2995,6.0264,3.6178,7.071,8.673,1.1461,0.0
ITA_B05_06,3.9737,0.0612,90.8257,2.6745,0.2704,153.9782,8.3797,1.4278,16.4533,4604.4266,173.6658,38.3287,13.7684,19.8,654.7641,7.798,7.264,6.0455,71.2431,29.9731,17.419,10.228,1627.8474,22.0101,162.2384,57.446,22.0393,2.4745,1.8566,68.8033,3.7255,98.447,5.9714,10.4821,15.7721,24.4322,26.22,62.705,30.5756,131.7042,3.9287,72.1727,21.7314,6.7628,0.0
ITA_B07_08,3.7937,0.0343,0.0756,0.0407,0.0347,9.7709,1.7504,2.4857,15.8478,0.8301,5.5021,1.2057,7.6017,90.934,5.0247,7.4777,2.0213,6.518,9.5319,8.9466,1.1824,5.4589,0.6164,14.2484,115.9975,117.0357,15.5036,0.4441,0.1636,0.5479,0.0299,1.968,0.3151,0.1526,1.2318,0.6924,2.7773,2.0339,1.8678,0.6298,0.7285,0.5837,0.4351,2.5957,0.0
ITA_B09,0.3236,0.0221,16.4016,0.0833,0.1227,0.1911,0.0355,0.0503,0.5242,14.446,1.0947,0.0348,0.1704,3.5285,5.2462,1.0129,0.0053,0.0259,0.3829,0.0116,0.0137,0.0558,7.989,0.3969,19.5963,0.2636,0.5166,0.0312,0.0006,0.6758,0.0067,0.1124,0.0117,0.0,0.0103,0.013,0.6587,0.2566,0.2741,0.6887,0.0644,0.1074,0.0563,0.0445,0.0
ITA_C10T12,3760.8569,57.3,0.0259,0.4256,0.044,29013.5411,668.3506,3.172,48.9894,38.4054,1143.9945,194.7405,7.3598,12.2889,7.7669,4.5052,1.8287,1.6951,11.1692,1.4173,0.7652,19.4953,13.0021,31.4559,17.9687,3193.1061,3.3565,471.9324,41.4281,85.7937,1.8408,13307.497,26.3759,0.5475,7.0297,0.8486,79.0751,101.3772,88.9538,55.4346,31.1238,449.9325,180.4914,27.3443,0.0
ITA_C13T15,130.9921,34.222,8.5482,0.0483,0.0827,40.0599,23582.969,93.4802,311.163,31.3049,157.783,50.3688,362.456,48.1042,77.8581,192.3023,32.7768,61.2385,177.1809,494.2904,94.9535,622.4886,12.9831,75.572,266.888,1078.712,79.6474,18.5732,15.7459,67.3741,15.32,108.2112,35.4773,16.3097,27.4167,18.3305,111.9016,201.1691,250.4028,79.3425,41.0067,131.0205,278.0601,168.6953,0.0
ITA_C16,90.7639,5.0157,4.3826,0.3035,0.1254,515.532,145.8555,5339.5366,93.0653,21.5103,65.1475,27.0279,135.8115,108.6755,91.633,540.0072,27.0534,106.4368,303.287,158.7592,221.6424,3843.2579,25.9596,43.6587,2654.6918,632.5003,99.1425,23.4553,12.5205,78.2137,3.5738,88.3272,29.9127,24.0388,29.5186,29.7107,118.1498,238.7379,186.4917,30.8924,10.3539,174.1361,49.8574,171.9183,0.0
ITA_C17_18,45.718,5.6634,22.9376,0.4295,0.0956,1046.6181,176.202,76.0918,10240.5935,80.2373,598.8033,163.8548,321.2166,163.3086,397.0022,437.2081,42.6279,380.0974,479.8863,269.8409,89.4711,353.0798,75.6193,297.2246,628.3095,1749.7849,380.8014,47.3495,49.9229,623.9789,69.0943,789.4023,2540.2764,754.6168,436.6754,1525.6438,252.6908,2835.0724,3658.4096,416.0959,204.1224,331.8399,743.9356,357.1193,0.0
ITA_C19,1604.7926,105.4308,49.2658,7.9947,2.1784,291.8013,180.2518,210.935,119.0569,4778.6844,5506.8015,64.8929,251.2405,1126.349,1113.7703,257.9576,60.5633,88.094,770.5292,168.1821,42.3141,512.6375,2234.0982,1601.6875,3076.2089,2132.2019,7221.1252,1935.9564,2111.0628,833.932,116.6289,105.9888,19.8818,14.5182,47.3794,66.1553,16.0669,196.0198,669.387,470.0153,19.3419,133.447,38.0611,116.3714,0.0
ITA_C20,1313.4337,8.3156,424.7827,6.2473,1.0917,830.1115,1044.6307,305.1957,1190.7204,869.3079,10725.3433,1644.0492,5477.9994,592.957,424.8172,769.2958,428.4099,848.9138,631.1508,539.3365,377.2006,1006.3606,71.964,217.1151,652.3363,1344.0033,146.9513,26.6757,16.9166,113.0693,18.2614,166.1354,191.9536,85.981,141.6386,77.3287,97.5314,653.6729,435.7275,174.5346,88.6634,921.8142,84.0187,439.7998,0.0
ITA_C21,167.9554,0.6897,29.3968,0.404,0.0924,179.9866,96.3439,20.5271,66.4195,73.0073,920.3578,2647.6339,321.6992,58.868,29.2899,56.7855,42.7739,57.2247,66.4462,72.0433,38.3196,97.0123,28.2932,26.133,73.6236,464.9396,47.0478,8.4818,6.1994,14.0626,2.1415,44.1865,24.4478,24.7388,37.6958,22.6882,15.5237,297.2065,73.6262,46.5708,19.3716,2799.148,21.065,32.2562,0.0
ITA_C22,293.7036,12.1563,25.3738,0.9044,0.4615,657.2455,1961.4769,183.2726,731.8519,122.2669,921.0933,276.9444,5019.2619,247.4697,478.4688,1270.5708,233.0178,1069.3673,2616.9096,2063.051,330.3525,1061.1359,92.1906,156.0691,2756.6437,1485.6912,1001.8846,46.8449,34.2699,363.2487,30.9476,295.2898,172.2322,144.3154,179.6373,284.8369,199.0272,1108.3191,959.4086,111.644,124.6612,268.6821,127.7273,163.7453,0.0
ITA_C23,363.2049,5.5538,20.314,5.5233,0.7079,1496.4192,185.578,196.2324,87.871,86.1926,998.0962,218.2545,329.3159,6965.4901,769.9217,931.964,148.3579,634.5017,481.2011,815.6541,200.9559,435.4844,83.8487,198.4939,11541.1519,2075.5345,105.9382,52.4536,17.6699,103.6913,7.7805,338.8277,66.3763,47.211,118.3436,68.7099,510.0364,431.5381,285.9721,114.0908,153.8247,188.7038,89.759,98.5411,0.0
ITA_C24,34.0576,7.2735,46.4575,0.1126,1.3155,32.823,35.8207,5.5881,65.7704,16.8099,164.0344,12.3462,433.6259,608.0093,14690.4912,11352.5553,614.9884,3969.9745,4444.3215,2460.8933,817.8669,2483.844,9.7981,89.4221,2388.2955,1105.0249,32.705,1.6452,2.4314,76.3722,0.4243,6.2181,2.5055,1.9768,21.5251,14.894,389.2408,281.1998,171.5711,1.071,1.4138,1.0807,12.4795,39.9156,0.0
ITA_C25,370.525,54.4364,71.875,0.867,1.4496,507.0302,304.7703,229.5208,336.4038,75.0353,257.8933,95.6531,675.2951,678.3279,1491.2045,17249.1155,390.6536,1709.6951,19103.9597,6855.3294,1589.405,2575.1577,218.276,305.0886,9145.5252,1987.3971,365.2897,410.4346,29.6448,379.4317,24.7119,232.1423,103.0924,449.6901,469.597,171.7728,422.6116,991.5247,904.4371,161.4562,75.9295,270.0173,134.0367,138.7926,0.0
ITA_C26,68.7426,4.945,22.8219,0.3081,0.2051,133.1105,114.3889,15.7795,60.3642,45.3711,96.2453,73.2037,124.3169,104.8661,58.0701,247.1756,1665.6854,797.8901,539.1672,339.5028,225.4536,397.1113,248.3446,56.3367,1567.1151,448.5608,132.7657,17.6764,20.7297,102.6775,18.5745,94.4157,108.0439,468.0886,561.7907,198.9449,103.4561,751.1541,212.8554,194.0919,54.6826,373.1979,157.1906,104.5962,0.0
ITA_C27,133.9691,15.9568,38.7348,1.0035,0.4571,148.5697,155.9244,30.5202,105.9587,46.7071,155.2776,50.9532,184.8096,163.5782,231.3958,1086.5033,651.3953,6591.4537,2607.5952,1530.9894,324.357,675.3402,233.6202,139.6059,2661.9703,895.9452,191.5107,77.6684,61.7594,320.5554,21.0981,265.3603,180.1486,658.0683,303.4901,96.1023,198.1598,817.8055,492.7471,163.6351,41.5762,240.6889,168.4997,91.0733,0.0
ITA_C28,270.4283,9.1135,114.7772,3.5896,2.5475,539.8452,267.9555,74.6955,318.8124,180.8261,204.9269,145.5986,318.305,299.5316,679.0365,2281.3431,409.0901,827.2826,15463.9544,2847.901,681.8951,724.433,215.9163,322.2283,3698.9416,1733.7122,658.6252,237.9151,115.2943,572.9061,79.8293,430.0297,280.287,568.7871,437.2976,262.558,262.5325,1295.1279,988.1789,343.1665,95.6453,372.956,153.1161,206.0503,0.0
ITA_C29,79.3907,2.8718,25.9538,2.6146,0.3123,191.1487,147.3363,20.933,82.7128,80.3897,42.4656,67.4428,227.313,164.7289,127.0031,649.947,146.5437,408.6546,2481.6111,4265.6269,278.5796,241.2147,129.5058,198.4993,1074.9931,3288.2955,690.7386,52.7519,59.8245,321.2502,51.3364,171.8494,177.7647,143.012,174.9878,147.5454,323.1621,705.5566,849.9665,84.4824,24.8157,128.2464,129.3866,79.4488,0.0
ITA_C30,0.0,69.8648,9.7686,0.5866,0.032,1.6047,16.2246,0.5454,7.9458,1.1478,5.6455,7.5406,28.4496,29.0912,73.1547,134.8042,65.8355,28.1853,369.5313,583.1426,2776.8049,1263.7817,7.4497,16.6339,55.245,109.6061,961.5902,101.7519,1553.3752,246.9589,7.5014,6.0264,1.4961,1.6947,3.822,3.4377,4.303,327.4764,114.887,74.5264,21.5939,9.6981,10.4311,100.4567,0.0
ITA_C31T33,557.374,18.3924,59.5127,1.7437,1.4881,450.1423,362.1247,504.6068,205.2415,122.7158,160.3954,212.0336,266.6099,325.826,314.4824,1101.2276,390.6619,382.7194,1324.5217,618.9888,311.4029,5116.8356,139.4005,243.6234,3465.7478,1410.6916,290.4873,146.2854,123.9254,323.4618,70.4566,320.5811,222.8989,987.8684,271.3399,246.2784,436.1456,742.9154,917.1596,700.0288,182.1102,2612.643,277.9046,206.0455,0.0
ITA_D,1210.2411,74.1904,248.6933,7.8018,1.7278,2943.8654,1299.9696,522.1507,2296.9661,789.1943,2124.4867,369.4279,1527.5351,2306.1738,3498.7881,1040.8133,440.5072,340.2131,1818.5464,664.3533,93.2544,1442.4541,27120.1072,1648.4653,1261.8261,5610.3024,1479.195,99.3541,99.5971,614.8707,496.0302,2450.4006,341.8401,368.4719,181.6021,875.6294,228.7022,1477.6434,1283.6402,4050.0777,860.0679,1828.8221,384.0515,1754.4158,0.0
ITA_E,479.5277,1.1021,243.3876,7.767,0.2937,589.0003,456.2198,356.7455,987.2684,133.3203,294.4848,167.0396,1656.1836,571.2259,6628.4611,249.1422,41.2405,74.6721,170.1563,125.5907,418.684,192.8403,1516.3099,9282.5152,1091.9775,1151.5472,496.1854,158.0065,9.5305,266.374,109.87,326.9573,64.6845,236.7628,84.9475,228.6296,206.8236,339.6526,650.1287,606.5252,140.8848,572.6601,202.1494,1227.9557,0.0
ITA_F,805.8161,3.4283,108.5682,1.3176,1.9587,858.7564,823.9413,186.3903,267.1219,318.1953,278.0374,344.9497,356.3213,580.1005,395.1211,749.4838,299.0536,365.8829,887.8415,457.9282,419.8069,514.8184,550.5062,494.7344,99151.4998,3623.3011,1585.972,105.2062,82.6931,742.0156,84.8906,950.821,466.1568,820.4843,758.4928,973.1659,4608.5694,2566.3021,1624.6055,4904.4991,816.6729,2698.8499,342.634,561.8341,0.0
ITA_G,4830.0189,125.288,344.7252,12.5576,3.3235,24697.3694,13209.8549,1905.5764,3298.3659,5218.9428,6251.7457,2881.0959,3510.0501,3148.1282,2879.7352,5379.0894,2161.2553,3209.5095,7610.1208,4370.58,1601.2237,6595.4968,3584.0795,1350.0839,9577.9282,23437.9896,4094.3721,2207.7331,1456.5542,2645.8625,256.6709,7682.4681,2610.9858,2654.3618,1925.226,2752.9367,1192.7307,7013.0033,8128.6978,1518.5259,574.0388,4645.2031,1362.7732,979.4762,0.0
ITA_H49,1092.7361,25.5188,293.7135,8.36,2.0271,7051.8516,2132.1783,712.4517,1106.8383,3133.3867,1317.5575,425.8048,1147.5033,1722.5134,1419.5675,1901.1296,411.9477,924.331,2127.122,1226.8997,479.8243,1518.4774,2923.1267,524.2115,2917.5413,10479.6207,5977.7198,621.2175,231.2088,4807.5664,969.6687,1386.1173,445.4124,618.8458,235.6254,727.7554,219.77,1188.2797,1615.6408,1513.9466,348.574,814.0776,325.8983,268.84,0.0
ITA_H50,64.0249,1.8793,21.4316,0.5794,0.1532,389.6002,181.8617,38.1513,79.7937,429.4181,148.678,53.7331,97.4555,88.2803,171.3183,148.8268,57.3256,96.8741,179.7417,131.4259,57.5421,113.8112,207.3129,26.1407,311.4406,1088.9988,694.3943,69.9374,52.4395,908.8188,12.5004,134.2339,44.9332,189.8627,40.0156,41.8883,45.3956,120.6762,261.2933,52.3386,13.6878,77.9596,29.1544,31.6642,0.0
ITA_H51,36.2499,1.1408,26.0344,0.6296,0.1302,223.1712,123.2729,22.7251,54.0357,325.2168,102.4145,40.8688,65.5724,55.6133,138.0941,101.5822,43.8844,71.1116,122.0338,90.0936,40.6422,79.4308,224.1742,32.3872,231.6793,611.3717,455.3581,60.4131,49.7807,544.1822,7.3175,87.481,79.9581,120.9231,38.8839,68.1566,21.5099,101.5286,198.0969,98.1931,16.1698,74.892,31.107,35.5469,0.0
ITA_H52,158.0094,3.7029,127.2637,1.7214,1.0304,2613.6129,1129.0851,150.4192,473.3498,381.3082,322.8985,225.4716,489.0978,567.5769,461.7136,637.0173,128.4885,377.8076,707.9933,732.6805,428.1283,474.9174,435.1251,109.661,2596.8694,12897.1059,9358.4936,783.3533,520.5998,12990.0719,160.7267,472.3366,221.8088,2512.3223,252.9255,160.4597,257.5194,731.8963,2982.7535,238.4827,57.3625,137.8527,143.1707,186.0761,0.0
