V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_C30,4.525,0.0558,1.2832,0.0485,0.2255,4.3299,0.1687,8.6517,0.0589,1.0137,5.5741,2.2934,4.316,6.448,8.4777,6.2547,0.0027,0.08,9.1641,0.0103,132.9995,31.077,33.3147,1.5424,134.9826,53.0453,383.8118,56.2091,59.7761,0.008,0.0,1.5907,0.0733,0.088,0.0069,0.0,0.0501,1.6959,0.2343,0.0,0.0012,0.0063,3.0851,21.5454,0.0
ROU_C31T33,307.4183,0.0135,12.764,0.3749,34.0945,14.5158,8.4969,26.4092,4.6538,7.0544,11.5415,3.7319,16.845,18.3235,26.4622,39.189,40.6416,22.0388,36.0611,204.4775,26.7518,63.3712,53.8045,24.1985,344.4916,341.8201,604.0122,15.6465,33.6549,95.4434,0.593,63.1031,16.203,59.879,3.8017,96.1873,82.0059,78.6975,12.7171,13.2953,19.0787,38.9337,5.4109,10.8556,0.0
ROU_D,359.5402,0.0978,333.6852,12.8709,24.1651,360.1496,178.5047,158.5484,104.8165,120.9464,576.5123,61.5645,244.8075,470.623,506.54,350.0098,73.8327,184.8867,222.5103,345.7319,104.8463,195.8361,3323.021,431.9888,1746.2851,1199.1763,192.5,9.6357,18.0251,340.0739,23.0095,240.8719,58.7128,137.0176,165.9995,193.511,129.5464,603.2806,136.7382,41.1554,55.16,135.4601,87.5446,99.0477,0.0
ROU_E,34.3327,0.0918,10.2278,2.0408,3.182,10.7298,11.6117,7.154,9.0169,2.4486,3.3443,6.5425,9.6132,6.5409,4.6505,7.5294,3.0667,11.766,2.8123,9.303,5.6751,9.6231,7.6508,31.9865,1440.036,81.3459,7.8305,1.5317,4.5597,51.668,4.0112,78.4995,15.2642,20.9791,25.746,12.185,9.1161,97.0562,25.2574,1.6521,105.3677,331.2455,14.963,25.7156,0.0
ROU_F,134.0668,0.0875,80.1266,9.349,19.6237,216.6603,92.7474,68.4485,41.9998,97.7613,187.7539,63.3276,97.9706,211.7986,127.8581,81.7948,28.8746,49.0219,79.2694,44.8174,53.0344,77.8222,1172.9691,159.7747,5119.2554,1859.5478,1548.4924,15.302,22.5658,220.3085,39.2565,264.3897,68.0057,242.2239,109.0033,139.2361,497.0094,436.1082,110.5009,274.4249,150.1398,375.3378,137.9677,115.507,0.0
ROU_G,968.9934,0.6626,84.4208,14.6801,21.6493,1507.1436,326.5216,124.6715,62.8608,333.0393,263.2031,45.2849,252.2886,225.0722,358.3327,200.3207,84.2273,115.1451,131.2368,414.2211,62.1579,222.8311,820.8868,107.5783,1932.3667,1868.3349,1039.5123,18.4288,29.626,113.446,8.3939,340.5621,81.3959,166.3578,80.3967,72.7098,109.8405,263.9741,66.3981,83.1302,81.6159,359.2867,69.9075,174.5616,0.0
ROU_H49,384.415,0.2729,99.6189,27.888,43.5197,474.817,69.4299,91.5054,27.7661,325.9223,133.3009,19.9683,102.9944,176.508,214.6786,145.7892,43.1156,60.0391,74.2357,192.6023,38.8706,109.5934,593.2346,49.241,1339.1986,1695.6042,363.6029,8.2937,12.1822,50.0636,24.81,87.454,27.5735,55.7503,29.3754,24.6055,44.4236,118.0342,61.1479,26.0001,23.9377,70.525,32.9756,78.1023,0.0
ROU_H50,11.3286,0.0225,1.4765,16.5006,1.5221,11.8758,4.5303,2.7607,1.517,5.5922,6.4214,0.7737,6.3743,4.7512,7.7543,6.045,2.0725,2.6986,3.9365,8.8744,1.1386,4.3805,11.034,1.5361,27.7215,30.9457,12.2236,3.6454,0.293,1.774,16.3971,2.1216,1.7376,2.9047,1.9933,0.7857,1.8727,4.1329,60.2667,0.7905,0.6335,3.9038,0.682,2.37,0.0
ROU_H51,10.1386,0.008,0.3943,0.084,0.1829,8.1433,4.1352,1.3421,1.4249,5.6049,5.0455,0.0693,4.4014,1.5799,5.0982,4.7123,1.3068,2.7054,2.0111,8.1233,0.1146,3.4029,10.1839,1.139,21.2355,2.625,9.5644,0.0691,0.0653,1.2037,0.0621,2.134,1.5854,0.0707,1.586,0.1826,2.0145,2.494,0.8232,0.0638,0.0339,0.5177,0.4858,1.1091,0.0
ROU_H52,94.3054,0.0954,68.5914,19.2053,17.3484,109.7508,15.1986,30.2375,8.1066,71.2372,43.9827,18.7349,43.1559,64.6096,60.9534,45.9037,17.8703,15.5267,26.0238,47.7375,23.5805,32.943,131.0798,18.357,338.2862,749.4413,95.3634,24.5497,14.2499,25.7757,1.9363,15.1609,9.6128,63.8578,10.7832,58.2638,9.3027,47.0398,45.7349,70.2709,13.1349,32.1601,9.2992,24.9292,0.0
