V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_A01_02,238.0966,0.0337,0.0009,0.0169,0.0005,734.6937,11.5179,6.7855,0.0171,0.0004,0.0209,0.0183,0.0041,0.2544,0.0002,0.0063,0.0001,0.0061,0.0015,0.0001,0.0683,1.6841,0.0976,0.0196,0.5214,15.2675,5.7961,0.0019,0.0078,0.0198,0.0001,81.8524,0.0051,0.0575,0.0039,0.0197,0.0043,0.0769,0.0191,2.3843,0.5668,1.7455,0.0625,0.0975,0.0
SEN_A03,0.7952,9.8087,0.009,0.1878,0.0027,111.2036,0.2704,0.1218,0.1153,0.0662,0.1273,0.0323,0.0408,0.4348,0.05,0.2128,0.0013,0.0605,0.0176,0.0007,0.0706,0.1652,0.4609,0.0765,1.7131,0.1332,0.29,0.0133,0.058,0.1559,0.0004,4.2688,0.007,0.4772,0.0184,0.0773,0.0141,0.3067,0.1383,0.8129,0.1773,0.1028,0.0071,0.0127,0.0
SEN_B05_06,0.0,0.0,2.2497,6.592,0.0359,3.2588,0.0,0.0004,0.0,6.7212,13.9315,0.0,0.0,12.48,0.0039,0.0224,0.0,0.0,0.0,0.0,0.0,0.0136,1.2509,0.1644,9.3883,0.0609,0.0,0.0,0.0,0.0,0.0,0.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_B07_08,0.1243,0.0247,0.5774,10.1954,0.0245,3.4486,0.0492,0.0132,0.0154,0.0051,30.7074,0.0039,0.0047,28.9186,67.271,0.059,0.0002,0.0069,0.0019,0.0001,0.0059,8.192,0.0729,0.161,37.2396,0.117,0.0463,0.0018,0.0074,0.0189,0.0001,0.1124,0.0025,0.0582,0.0029,0.0135,0.0019,0.0528,0.0178,0.0394,0.0231,0.0145,0.029,0.2108,0.0
SEN_B09,0.0001,0.0,1.1293,16.3043,0.0777,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.7841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_C10T12,90.326,4.9286,0.0471,0.804,0.0138,266.0884,5.7299,0.4918,0.5113,0.2291,0.7301,1.1701,0.2537,2.7204,0.1695,0.7612,0.0052,0.2409,0.0743,0.0034,0.2536,0.6738,2.1861,0.6452,6.6803,16.7888,3.5075,0.0559,0.2406,2.1434,0.0029,104.9871,0.0724,2.171,0.0962,0.7763,0.1443,1.6669,0.6319,7.624,1.3986,2.7367,0.1602,0.2356,0.0
SEN_C13T15,2.5464,0.0366,0.0012,0.0197,0.0005,0.614,54.4773,1.0469,0.0197,0.0004,0.0226,0.0079,0.02,0.0593,0.0002,0.0068,0.0001,0.0066,0.3935,0.0001,0.0387,0.5938,0.1058,0.0286,0.1312,0.0573,0.068,0.0021,0.0084,0.0209,0.0001,1.4134,0.0056,0.0621,0.0043,0.0213,0.0038,0.0851,0.4804,3.0096,1.9432,0.6328,0.0878,0.203,0.0
SEN_C16,0.0112,0.0414,0.0012,0.0131,0.0005,8.5775,0.6111,9.6883,0.0717,0.0,0.0282,0.0027,2.093,0.0067,0.1808,3.8328,0.0,0.0005,0.0002,0.0038,7.8105,16.4353,0.0085,0.0401,11.2106,0.0285,0.065,0.0013,0.0167,8.9941,0.0003,0.0179,0.0006,0.0231,0.026,0.1134,0.0021,0.9411,0.0265,0.647,0.5348,0.162,0.0179,0.0292,0.0
SEN_C17_18,0.3577,0.333,0.0231,0.6356,0.0725,15.8451,0.3983,0.154,15.8297,0.1223,1.275,0.5615,0.2408,9.7053,0.0012,0.0258,0.002,0.019,0.0979,0.0188,0.0188,0.2573,0.3711,1.8298,1.0341,7.7052,1.978,0.0843,1.5169,2.5453,0.0317,1.5927,5.1978,5.0185,2.077,9.2606,0.3804,9.8286,3.7421,10.9653,13.3258,2.7085,0.3529,0.4591,0.0
SEN_C19,3.6729,14.4553,0.2993,5.6418,0.2083,13.9935,0.5893,0.2781,0.2225,0.1115,6.9023,0.3102,0.3353,10.1895,0.0129,0.1172,0.0009,0.0771,0.0416,0.0084,0.0253,0.2948,62.2427,2.7306,11.8882,8.3198,34.1661,0.7125,1.6707,5.0618,0.009,1.2496,0.1499,2.6717,0.238,1.6976,0.6555,6.9749,2.3249,6.8717,0.9787,1.985,0.0992,0.1834,0.0
SEN_C20,92.0215,0.8263,0.4066,3.0602,0.0768,14.0929,1.1026,0.0758,0.8131,0.9463,33.5955,1.8387,20.0383,17.3251,0.015,0.1906,0.0002,0.0185,0.0441,0.0037,0.0174,0.3586,0.209,2.6077,11.4836,1.8938,1.3702,0.017,0.251,2.2783,0.0045,1.6033,0.0533,0.6636,0.0665,0.6148,0.1701,2.3875,2.8877,1.3382,0.4041,2.2618,0.0401,0.1234,0.0
SEN_C21,0.2366,0.0011,0.0,0.0005,0.0,0.2999,0.0024,0.0003,0.0005,0.0,0.0007,1.0044,0.0001,0.0017,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0004,0.0031,0.0005,0.0037,0.004,0.002,0.0001,0.0002,0.0006,0.0,0.004,0.0002,0.0018,0.0001,0.0006,0.0001,0.4339,0.0006,0.0096,0.0646,2.2043,0.005,0.008,0.0
SEN_C22,2.9645,2.0223,0.0113,0.2829,0.0205,55.6304,2.2342,0.7442,0.3508,0.0375,2.6467,0.4816,6.8679,1.2638,0.0181,0.6872,0.0,0.0066,0.6317,0.026,0.0597,1.5218,0.6268,1.5744,0.825,4.5455,0.2927,0.0512,0.0612,0.7607,0.0036,0.2651,0.0174,3.4063,0.2915,0.44,0.0815,2.2001,0.9172,0.1112,0.2188,0.6835,0.0209,0.0537,0.0
SEN_C23,3.2789,1.3286,0.0077,0.1621,0.0074,11.3201,3.5982,1.2554,0.3211,0.0038,6.2959,3.9779,0.5605,77.9341,0.0831,1.0941,0.0008,0.0617,0.0375,0.0068,0.1092,0.6296,0.8189,3.6613,353.23,3.2086,0.1776,0.0029,0.0165,0.737,0.009,1.675,0.2375,2.6626,0.1185,2.5789,2.3364,1.9872,0.6079,2.742,0.6595,1.2406,0.1002,0.1175,0.0
SEN_C24,0.0,0.0,0.0081,0.3944,0.0,1.1047,0.0003,0.0957,0.0,0.0,0.0,0.3276,0.0028,0.9676,0.4728,8.945,0.0,0.6492,0.0072,0.0042,0.1496,0.1069,0.0,0.0029,9.9735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0209,0.0,0.0,0.0048,0.0093,0.0313,0.0
SEN_C25,0.0,0.0,0.1027,4.8948,0.0,19.5104,0.0037,1.5041,0.0,0.0,0.0,2.4267,0.0213,6.7788,0.3712,23.0341,0.0,0.0,0.0415,0.0251,2.8598,0.7805,0.0,0.0249,102.5562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.4466,0.0,0.0,0.1339,0.2585,0.5297,0.0
SEN_C26,0.0126,0.003,0.0002,0.0022,0.0001,0.0423,0.0055,0.0008,0.0071,0.0,0.0024,0.0005,0.0004,0.0048,0.0,0.0006,0.0002,0.0085,0.001,0.0,0.0001,0.0011,0.0086,0.003,0.0106,0.0046,0.0059,0.0003,0.0014,0.0026,0.0,0.0097,0.0004,0.0438,0.0011,0.0044,0.0004,0.01,0.0105,0.0098,0.0034,0.0036,0.0002,0.0003,0.0
SEN_C27,0.0272,0.4001,0.0561,1.3505,0.008,1.2494,0.0908,0.038,0.0935,0.0001,0.5203,0.0315,0.082,0.5178,0.0045,0.0936,0.0012,0.0308,0.0442,0.0068,0.0052,0.1045,0.9309,0.3599,3.6632,0.7768,1.1695,0.1904,0.9231,0.6407,0.0047,0.5321,0.0249,4.732,0.042,0.0237,0.106,2.1838,1.0526,0.0462,0.1158,0.399,0.0513,0.1351,0.0
SEN_C28,0.2671,0.0887,0.035,0.8812,0.0065,0.4061,0.0238,0.0164,0.0281,0.0483,0.1176,0.0088,0.0173,0.4052,0.0009,0.0202,0.0,0.0073,0.0692,0.0015,0.0011,0.0339,0.2778,0.0962,0.6321,0.1707,0.2542,0.0407,0.1958,0.1464,0.0011,0.1128,0.0058,0.9523,0.0147,0.0233,0.0283,0.5837,0.1966,0.0578,0.0601,0.1138,0.0035,0.0078,0.0
SEN_C29,0.0246,0.0135,0.0028,0.0639,0.0005,0.0439,0.0026,0.0012,0.003,0.0137,0.0139,0.0011,0.0027,0.0351,0.0001,0.0035,0.0,0.0012,0.0002,0.0008,0.0003,0.0077,0.0311,0.0117,0.0899,0.0252,0.0458,0.0062,0.0302,0.0209,0.0002,0.017,0.0008,0.0203,0.0014,0.0004,0.0039,0.0717,0.0283,0.0012,0.0074,0.0265,0.0008,0.0013,0.0
SEN_C30,0.0,0.9272,0.0,0.0,0.0,2.4082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
